Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2905,"R.K. Dixon","Carbon pools and flux of global forest ecosystems",1994,"Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028182111&origin=inward",1,"2024-07-23 10:19:50","Article","10.1126/science.263.5144.185","0036-8075","https://api.elsevier.com/content/abstract/scopus_id/0028182111",263,5144,185,190,2905,96.83,2905,1,30,"","",""
2749,"Y.S. Ho","The kinetics of sorption of divalent metal ions onto sphagnum moss peat",2000,"Water Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S0043135499002328","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033992049&origin=inward",2,"2024-07-23 10:19:50","Article","10.1016/S0043-1354(99)00232-8","0043-1354","https://api.elsevier.com/content/abstract/scopus_id/0033992049",34,3,735,742,2749,114.54,2749,1,24,"","",""
2221,"J. Vymazal","Removal of nutrients in various types of constructed wetlands",2007,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969706007212","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34249108549&origin=inward",3,"2024-07-23 10:19:50","Article","10.1016/j.scitotenv.2006.09.014","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/34249108549",380,1,48,65,2221,130.65,2221,1,17,"","",""
2026,"G. Rondeaux","Optimization of soil-adjusted vegetation indices",1996,"Remote Sensing of Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-0034425795001867","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029751226&origin=inward",4,"2024-07-23 10:19:50","Article","10.1016/0034-4257(95)00186-7","0034-4257","https://api.elsevier.com/content/abstract/scopus_id/0029751226",55,2,95,107,2026,72.36,2026,1,28,"","",""
1868,"C. Tamocai","Soil organic carbon pools in the northern circumpolar permafrost region",2009,"Global Biogeochemical Cycles","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70349556766&origin=inward",5,"2024-07-23 10:19:50","Article","10.1029/2008GB003327","0886-6236","https://api.elsevier.com/content/abstract/scopus_id/70349556766",23,2,,,1868,124.53,1868,1,15,"","",""
1417,"S.E. Page","The amount of carbon released from peat and forest fires in Indonesia during 1997",2002,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037038393&origin=inward",6,"2024-07-23 10:19:50","Article","10.1038/nature01131","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0037038393",420,6911,61,65,1417,64.41,1417,1,22,"","",""
1173,"Y.S. Ho","The sorption of lead(II) ions on peat",1999,"Water Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S0043135498002073","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033080643&origin=inward",7,"2024-07-23 10:19:50","Article","10.1016/S0043-1354(98)00207-3","0043-1354","https://api.elsevier.com/content/abstract/scopus_id/0033080643",33,2,578,584,1173,46.92,1173,1,25,"","",""
1146,"I. Throbäck","Reassessing PCR primers targeting nirS, nirK and nosZ genes for community surveys of denitrifying bacteria with DGGE",2004,"FEMS Microbiology Ecology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0168649604001473","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=4344685944&origin=inward",8,"2024-07-23 10:19:50","Article","10.1016/j.femsec.2004.04.011","0168-6496","https://api.elsevier.com/content/abstract/scopus_id/4344685944",49,3,401,417,1146,57.30,1146,1,20,"","",""
1126,"M.W.I. Schmidt","Black carbon in soils and sediments: Analysis, distribution, implications, and current challenges",2000,"Global Biogeochemical Cycles","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033761807&origin=inward",9,"2024-07-23 10:19:50","Review","10.1029/1999GB001208","0886-6236","https://api.elsevier.com/content/abstract/scopus_id/0033761807",14,3,777,793,1126,46.92,1126,1,24,"","",""
1115,"I. Ali","Low cost adsorbents for the removal of organic pollutants from wastewater",2012,"Journal of Environmental Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0301479712004367","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84866556339&origin=inward",10,"2024-07-23 10:19:50","Review","10.1016/j.jenvman.2012.08.028","0301-4797","https://api.elsevier.com/content/abstract/scopus_id/84866556339",113,,170,183,1115,92.92,1115,1,12,"","",""
1021,"K.A. Kvenvolden","Methane hydrate - A major reservoir of carbon in the shallow geosphere?",1988,"Chemical Geology","","https://api.elsevier.com/content/article/eid/1-s2.0-0009254188901040","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024233957&origin=inward",11,"2024-07-23 10:19:50","Article","10.1016/0009-2541(88)90104-0","0009-2541","https://api.elsevier.com/content/abstract/scopus_id/0024233957",71,1,41,51,1021,28.36,1021,1,36,"","",""
985,"S.E. Page","Global and regional importance of the tropical peatland carbon pool",2011,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78649240237&origin=inward",12,"2024-07-23 10:19:50","Article","10.1111/j.1365-2486.2010.02279.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/78649240237",17,2,798,818,985,75.77,985,1,13,"","",""
918,"E. Hopmans","A novel proxy for terrestrial organic matter in sediments based on branched and isoprenoid tetraether lipids",2004,"Earth and Planetary Science Letters","","https://api.elsevier.com/content/article/eid/1-s2.0-S0012821X04003176","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3242708874&origin=inward",13,"2024-07-23 10:19:50","Article","10.1016/j.epsl.2004.05.012","0012-821X","https://api.elsevier.com/content/abstract/scopus_id/3242708874",224,1,107,116,918,45.90,918,1,20,"","",""
856,"D.S. Schimel","Climatic, edaphic, and biotic controls over storage and turnover of carbon in soils",1994,"Global Biogeochemical Cycles","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028551889&origin=inward",14,"2024-07-23 10:19:50","Article","10.1029/94GB00993","0886-6236","https://api.elsevier.com/content/abstract/scopus_id/0028551889",8,3,279,293,856,28.53,856,1,30,"","",""
835,"C. Freeman","Export of organic carbon from peat soils",2001,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035939950&origin=inward",15,"2024-07-23 10:19:50","Article","10.1038/35090628","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0035939950",412,6849,785,785,835,36.30,835,1,23,"","",""
832,"J. Ding","Carbon nanosheet frameworks derived from peat moss as high performance sodium ion battery anodes",2013,"ACS Nano","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84891368521&origin=inward",16,"2024-07-23 10:19:50","Article","10.1021/nn404640c","1936-0851","https://api.elsevier.com/content/abstract/scopus_id/84891368521",7,12,11004,11015,832,75.64,832,1,11,"","",""
823,"W. Fitzgerald","The case for atmospheric mercury contamination in remote areas",1998,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031963669&origin=inward",17,"2024-07-23 10:19:50","Review","10.1021/es970284w","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/0031963669",32,1,1,7,823,31.65,823,1,26,"","",""
819,"E. Matthews","Methane emission from natural wetlands: Global distribution, area, and environmental characteristics of sources",1987,"Global Biogeochemical Cycles","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84977403953&origin=inward",18,"2024-07-23 10:19:50","Article","10.1029/GB001i001p00061","0886-6236","https://api.elsevier.com/content/abstract/scopus_id/84977403953",1,1,61,86,819,22.14,819,1,37,"","",""
788,"B. Xing","Dual-mode sorption of low-polarity compounds in glassy poly(vinyl chloride) and soil organic matter",1997,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031051088&origin=inward",19,"2024-07-23 10:19:50","Article","10.1021/es960481f","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/0031051088",31,3,792,799,788,29.19,788,1,27,"","",""
754,"R. Segers","Methane production and methane consumption: A review of processes underlying wetland methane fluxes",1998,"Biogeochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031943516&origin=inward",20,"2024-07-23 10:19:50","Article","10.1023/A:1005929032764","0168-2563","https://api.elsevier.com/content/abstract/scopus_id/0031943516",41,1,23,51,754,29.00,754,1,26,"","",""
735,"S.D. Bridgham","The carbon balance of North American wetlands",2006,"Wetlands","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34248578514&origin=inward",21,"2024-07-23 10:19:50","Article","10.1672/0277-5212(2006)26[889:TCBONA]2.0.CO;2","0277-5212","https://api.elsevier.com/content/abstract/scopus_id/34248578514",26,4,889,916,735,40.83,735,1,18,"","",""
725,"K. Kalbitz","Biodegradation of soil-derived dissolved organic matter as related to its properties",2003,"Geoderma","","https://api.elsevier.com/content/article/eid/1-s2.0-S0016706102003658","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037401014&origin=inward",22,"2024-07-23 10:19:50","Conference Paper","10.1016/S0016-7061(02)00365-8","0016-7061","https://api.elsevier.com/content/abstract/scopus_id/0037401014",113,3,273,291,725,34.52,725,1,21,"","",""
710,"H. Hoitink","Biocontrol within the context of soil microbial communities: A substrate-dependent phenomenon",1999,"Annual Review of Phytopathology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032720991&origin=inward",23,"2024-07-23 10:19:50","Article","10.1146/annurev.phyto.37.1.427","0066-4286","https://api.elsevier.com/content/abstract/scopus_id/0032720991",37,,427,446,710,28.40,710,1,25,"","",""
