Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
637,"J. Côté","A generalized thermal conductivity model for soils and construction materials",2005,"Canadian Geotechnical Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=24044537597&origin=inward",1,"2024-07-23 09:56:37","Article","10.1139/t04-106","0008-3674","https://api.elsevier.com/content/abstract/scopus_id/24044537597",42,2,443,458,637,33.53,637,1,19,"","",""
492,"N.H. Abu-Hamdeh","Soil thermal conductivity: Effects of density, moisture, salt concentration, and organic matter",2000,"Soil Science Society of America Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034233667&origin=inward",2,"2024-07-23 09:56:37","Article","10.2136/sssaj2000.6441285x","0361-5995","https://api.elsevier.com/content/abstract/scopus_id/0034233667",64,4,1285,1290,492,20.50,492,1,24,"","",""
354,"D.M. howard","Relationships between co<inf>2</inf> evolution, moisture content and temperature for a range of soil types",1993,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-003807179390008Y","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027331721&origin=inward",3,"2024-07-23 09:56:37","Article","10.1016/0038-0717(93)90008-Y","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/0027331721",25,11,1537,1546,354,11.42,354,1,31,"","",""
337,"V. Romanovsky","Effects of unfrozen water on heat and mass transport processes in the active layer and permafrost",2000,"Permafrost and Periglacial Processes","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033815043&origin=inward",4,"2024-07-23 09:56:37","Article","10.1002/1099-1530(200007/09)11:3<219::AID-PPP352>3.0.CO;2-7","1045-6740","https://api.elsevier.com/content/abstract/scopus_id/0033815043",11,3,219,239,337,14.04,337,1,24,"","",""
306,"A.L. Tuna","The effects of calcium sulphate on growth, membrane stability and nutrient uptake of tomato plants grown under salt stress",2007,"Environmental and Experimental Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-S0098847206000232","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33751211250&origin=inward",5,"2024-07-23 09:56:37","Article","10.1016/j.envexpbot.2005.12.007","0098-8472","https://api.elsevier.com/content/abstract/scopus_id/33751211250",59,2,173,178,306,18.00,306,1,17,"","",""
297,"D.W. Rutherford","Influence of Soil Organic Matter Composition on the Partition of Organic Compounds",1992,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026614474&origin=inward",6,"2024-07-23 09:56:37","Article","10.1021/es00026a014","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/0026614474",26,2,336,340,297,9.28,297,1,32,"","",""
240,"P. Hayward","Profiles of water content and pore size in Sphagnum and peat, and their relation to peat bog ecology",1982,"Proceedings of the Royal Society of London - Biological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0019975733&origin=inward",7,"2024-07-23 09:56:37","Article","10.1098/rspb.1982.0044","0962-8452","https://api.elsevier.com/content/abstract/scopus_id/0019975733",215,1200,299,325,240,5.71,240,1,42,"","",""
224,"DH BOELTER","PHYSICAL PROPERTIES OF PEATS AS RELATED TO DEGREE OF DECOMPOSITION",1969,"","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0014622701&origin=inward",8,"2024-07-23 09:56:37","Conference Paper","","","https://api.elsevier.com/content/abstract/scopus_id/0014622701",33,4,606,609,224,4.07,224,1,55,"","",""
204,"L. Bragazza","Biogeochemical plant-soil microbe feedback in response to climate warming in peatlands",2013,"Nature Climate Change","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84874601399&origin=inward",9,"2024-07-23 09:56:37","Article","10.1038/nclimate1781","1758-678X","https://api.elsevier.com/content/abstract/scopus_id/84874601399",3,3,273,277,204,18.55,204,1,11,"","",""
204,"C. Kaya","Improved salt tolerance of melon (Cucumis melo L.) by the addition of proline and potassium nitrate",2007,"Environmental and Experimental Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-S009884720700007X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34250737900&origin=inward",10,"2024-07-23 09:56:37","Article","10.1016/j.envexpbot.2006.12.008","0098-8472","https://api.elsevier.com/content/abstract/scopus_id/34250737900",60,3,397,403,204,12.00,204,1,17,"","",""
