Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
131,"L. Zribi","Application of chlorophyll fluorescence for the diagnosis of salt stress in tomato ""Solanum lycopersicum (variety Rio Grande)""",2009,"Scientia Horticulturae","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304423808004779","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=61449091431&origin=inward",1,"2024-07-23 10:23:50","Article","10.1016/j.scienta.2008.11.025","0304-4238","https://api.elsevier.com/content/abstract/scopus_id/61449091431",120,3,367,372,131,8.73,131,1,15,"","",""
118,"S. Schnell","Responses of methanotrophic activity in soils and cultures to water stress",1996,"Applied and Environmental Microbiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029810963&origin=inward",2,"2024-07-23 10:23:50","Article","10.1128/aem.62.9.3203-3209.1996","0099-2240","https://api.elsevier.com/content/abstract/scopus_id/0029810963",62,9,3203,3209,118,4.21,118,1,28,"","",""
117,"K. Schwärzel","Soil physical characteristics of peat soils",2002,"Journal of Plant Nutrition and Soil Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0141626887&origin=inward",3,"2024-07-23 10:23:50","Conference Paper","10.1002/1522-2624(200208)165:4<479::AID-JPLN479>3.0.CO;2-8","1436-8730","https://api.elsevier.com/content/abstract/scopus_id/0141626887",165,4,479,486,117,5.32,117,1,22,"","",""
108,"X. Feng","Investigating the role of mineral-bound humic acid in phenanthrene sorption",2006,"Environmental Science and Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33646718180&origin=inward",4,"2024-07-23 10:23:50","Article","10.1021/es0521472","0013-936X","https://api.elsevier.com/content/abstract/scopus_id/33646718180",40,10,3260,3266,108,6.00,108,1,18,"","",""
105,"C. Kechavarzi","Physical properties of low-lying agricultural peat soils in England",2010,"Geoderma","","https://api.elsevier.com/content/article/eid/1-s2.0-S0016706109002699","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=72249122236&origin=inward",5,"2024-07-23 10:23:50","Article","10.1016/j.geoderma.2009.08.018","0016-7061","https://api.elsevier.com/content/abstract/scopus_id/72249122236",154,3,196,202,105,7.50,105,1,14,"","",""
83,"R. Naasz","Measuring hysteretic hydraulic properties of peat and pine bark using a transient method",2005,"Soil Science Society of America Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=12944287807&origin=inward",6,"2024-07-23 10:23:50","Article","10.2136/sssaj2005.0013","0361-5995","https://api.elsevier.com/content/abstract/scopus_id/12944287807",69,1,13,22,83,4.37,83,1,19,"","",""
78,"J. Paquet","In situ determination of the water desorption characteristics of peat substrates",1993,"Canadian Journal of Soil Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027800225&origin=inward",7,"2024-07-23 10:23:50","Article","10.4141/cjss93-035","0008-4271","https://api.elsevier.com/content/abstract/scopus_id/0027800225",73,3,329,339,78,2.52,78,1,31,"","",""
67,"A. Niedermeier","Hydrological controls on soil redox dynamics in a peat-based, restored wetland",2007,"Geoderma","","https://api.elsevier.com/content/article/eid/1-s2.0-S001670610600259X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845902235&origin=inward",8,"2024-07-23 10:23:50","Article","10.1016/j.geoderma.2006.08.027","0016-7061","https://api.elsevier.com/content/abstract/scopus_id/33845902235",137,3,318,326,67,3.94,67,1,17,"","",""
66,"C. Kechavarzi","The role of soil moisture, temperature and nutrient amendment on CO<inf>2</inf> efflux from agricultural peat soil microcosms",2010,"Geoderma","","https://api.elsevier.com/content/article/eid/1-s2.0-S0016706109000706","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=72249094466&origin=inward",9,"2024-07-23 10:23:50","Article","10.1016/j.geoderma.2009.02.018","0016-7061","https://api.elsevier.com/content/abstract/scopus_id/72249094466",154,3,203,210,66,4.71,66,1,14,"","",""
66,"P. Porvari","Methylmercury production in flooded soils: A laboratory study",1995,"Water, Air, &amp; Soil Pollution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028990580&origin=inward",10,"2024-07-23 10:23:50","Article","10.1007/BF01189728","0049-6979","https://api.elsevier.com/content/abstract/scopus_id/0028990580",80,1,765,773,66,2.28,66,1,29,"","",""
65,"I. Dodd","Root water potential integrates discrete soil physical properties to influence ABA signalling during partial rootzone drying",2010,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955858049&origin=inward",11,"2024-07-23 10:23:50","Article","10.1093/jxb/erq195","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/77955858049",61,13,3543,3551,65,4.64,65,1,14,"","",""
57,"V.C. Luis","Nursery fertilization enhances survival and physiological status in Canary Island pine (Pinus canariensis) seedlings planted in a semiarid environment",2009,"European Journal of Forest Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=64749107764&origin=inward",12,"2024-07-23 10:23:50","Article","10.1007/s10342-009-0257-7","1612-4669","https://api.elsevier.com/content/abstract/scopus_id/64749107764",128,3,221,229,57,3.80,57,1,15,"","",""
57,"K. Klamkowski","Morphological and physiological responses of strawberry plants to water stress",2006,"Agriculturae Conspectus Scientificus","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33847018096&origin=inward",13,"2024-07-23 10:23:50","Conference Paper","","1331-7768","https://api.elsevier.com/content/abstract/scopus_id/33847018096",71,4,159,165,57,3.17,57,1,18,"","",""
