Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
25,"Z Wang, W Bao, D Feng, H Lin","Functional trait scaling relationships across 13 temperate mosses growing in wintertime",2014,"Ecological Research","Springer","https://link.springer.com/article/10.1007/s11284-014-1146-1","https://scholar.google.com/scholar?cites=101552927544369114&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-12 08:37:17","HTML","10.1007/s11284-014-1146-1","","",,,,,25,2.50,6,4,10,"Mosses growing in wintertime exert important ecosystem function, but we know little about their fundamental functional trait levels and scaling relationships across species. Thus the …","https://link.springer.com/article/10.1007/s11284-014-1146-1","https://scholar.google.com/scholar?q=related:2t8ufNnJaAEJ:scholar.google.com/&scioq=pleurozium+%22canopy+mass%22&hl=en&as_sdt=2007"
2,"E Jabłońska, W Kotowski, NA Soudzilovskaia","Desiccation avoidance and hummock formation traits of rich fen bryophytes",2023,"Wetlands","Springer","https://link.springer.com/article/10.1007/s13157-023-01669-4","https://scholar.google.com/scholar?cites=10676949426722999587&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-12 08:37:17","HTML","10.1007/s13157-023-01669-4","","",,,,,2,2.00,1,3,1,"… Avoiding desiccation is quite well represented by canopy mass per projected area (CMA), as it increases with biomass allocation to structural components, such as rhizoid tomentum (A. …","https://link.springer.com/article/10.1007/s13157-023-01669-4","https://scholar.google.com/scholar?q=related:I42iSO8kLJQJ:scholar.google.com/&scioq=pleurozium+%22canopy+mass%22&hl=en&as_sdt=2007"
17,"SK Rice, JHC Cornelissen","Best practices for measuring photosynthesis at multiple scales",2013,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_5","https://scholar.google.com/scholar?cites=11963277960207341024&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-12 08:37:17","","10.1007/978-94-007-6988-5_5","","",,,,,17,1.55,9,2,11,"… However, bryophyte canopies show some similar trait relationships with both studies indicating strong negative relationships between canopy mass per area and maximum rates of …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=106","https://scholar.google.com/scholar?q=related:4BVrr-sZBqYJ:scholar.google.com/&scioq=pleurozium+%22canopy+mass%22&hl=en&as_sdt=2007"
42,"Z Wang, X Liu, MY Bader, D Feng…","The 'plant economic spectrum'in bryophytes, a comparative study in subalpine forest",2017,"American Journal of …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.3732/ajb.1600335","https://scholar.google.com/scholar?cites=11962860824876436409&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-12 08:37:17","","10.3732/ajb.1600335","","",,,,,42,6.00,8,5,7,"… The most reported parameters involved in the trait tradeoffs include shoot mass per area (SMA) [or canopy mass per area (CMA)], mass-based light-saturated assimilation rate (A mass ) …","https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.1600335","https://scholar.google.com/scholar?q=related:uUsyzImeBKYJ:scholar.google.com/&scioq=pleurozium+%22canopy+mass%22&hl=en&as_sdt=2007"
11,"X Liu, Z Wang, W Bao, XM Li","Photosynthetic responses of two pleurocarpous mosses to low-level nitrogen addition: a study in an old-growth fir forest",2015,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282014Y.0000000122","https://scholar.google.com/scholar?cites=16392901012143421178&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-12 08:37:17","","10.1179/1743282014Y.0000000122","","",,,,,11,1.22,3,4,9,"We examined photosynthetic responses of two dominant pleurocarpous mosses, Actinothuidium hookeri (Mitt.) Broth. and Hylocomium splendens (Hedw.) Schimp. to low-level nitrogen (…","https://www.researchgate.net/profile/Xin-Liu-205/publication/275953488_Photosynthetic_responses_of_two_pleurocarpous_mosses_to_low-level_nitrogen_addition_A_study_in_an_old-growth_fir_forest/links/554acbf70cf21ed21358ff08/Photosynthetic-responses-of-two-pleurocarpous-mosses-to-low-level-nitrogen-addition-A-study-in-an-old-growth-fir-forest.pdf","https://scholar.google.com/scholar?q=related:-jbzAp5If-MJ:scholar.google.com/&scioq=pleurozium+%22canopy+mass%22&hl=en&as_sdt=2007"
20,"M Waite, L Sack","Shifts in bryophyte carbon isotope ratio across an elevation× soil age matrix on Mauna Loa, Hawaii: do bryophytes behave like vascular plants?",2011,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-010-1903-y","https://scholar.google.com/scholar?cites=10412633790203261201&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-12 08:37:17","HTML","10.1007/s00442-010-1903-y","","",,,,,20,1.54,10,2,13,"… We found that the δ 13 C decreased with decreasing bryophyte canopy mass per area (CMA), analogously to the decrease of δ 13 C with decreasing LMA in M. polymorpha (Vitousek et …","https://link.springer.com/article/10.1007/s00442-010-1903-y","https://scholar.google.com/scholar?q=related:EXFLgUMbgZAJ:scholar.google.com/&scioq=pleurozium+%22canopy+mass%22&hl=en&as_sdt=2007"
2,"I Varnagiryte-Kabašinskiene, V Stakenas…","Vertical position of dry mass and elemental concentrations in Pinus sylvestris L. canopy under the different ash-nitrogen treatments",2015,"iForest-Biogeosciences …","sisef.it","http://www.sisef.it/iforest/contents/?id=ifor1342-007&v=abstr","https://scholar.google.com/scholar?cites=7192451120813895489&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-12 08:37:17","HTML","","","",,,,,2,0.22,1,3,9,"… by mosses, with the most common species being Pleurozium schreberi (Brid.) Mitt., Dicranum … Increases in canopy mass and stemwood production following soil nutrient improvements …","http://www.sisef.it/iforest/contents/?id=ifor1342-007&v=abstr","https://scholar.google.com/scholar?q=related:Qe946C-40GMJ:scholar.google.com/&scioq=pleurozium+%22canopy+mass%22&hl=en&as_sdt=2007"
1,"AM McDonough","Ecosystem Response to Above Canopy Nitrogen Addition in a Jack Pine (Pinus banksiana) Forest in the Athabasca Bituminous Sands Region of …",2021,"","search.proquest.com","https://search.proquest.com/openview/d9b91ae29b84e31f2bea29f98e2575bd/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=6783697147811405190&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-12 08:37:17","HTML","","","",,,,,1,0.33,1,1,3,"In this study we seek to better understand the potential effects of short-term (5-year) N fertilization on jack pine forest biogeochemistry, vascular plant community composition and to …","https://search.proquest.com/openview/d9b91ae29b84e31f2bea29f98e2575bd/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:hh0hR52IJF4J:scholar.google.com/&scioq=pleurozium+%22canopy+mass%22&hl=en&as_sdt=2007"
0,"M Lüth","Ecological Factors",,"","","","",9,"2024-07-12 08:37:17","CITATION","","","",,,,,0,0.00,0,1,,"","","https://scholar.google.com/scholar?q=related:hjMsAP2loBQJ:scholar.google.com/&scioq=pleurozium+%22canopy+mass%22&hl=en&as_sdt=2007"
0,"JM Glime","Volume 1, Chapter 9-2: Light: Adaptions for Shade",2013,"","Michigan Technological University","","",10,"2024-07-12 08:37:17","CITATION","","","",,,,,0,0.00,0,1,11,"","","https://scholar.google.com/scholar?q=related:KeNaE_yG16IJ:scholar.google.com/&scioq=pleurozium+%22canopy+mass%22&hl=en&as_sdt=2007"
