Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
162,"A Solga, J Burkhardt, HG Zechmeister, JP Frahm","Nitrogen content, 15N natural abundance and biomass of the two pleurocarpous mosses Pleurozium schreberi (Brid.) Mitt. and Scleropodium purum (Hedw.) Limpr. in …",2005,"Environmental pollution","Elsevier","https://www.sciencedirect.com/science/article/pii/S026974910400380X","https://scholar.google.com/scholar?cites=5598776515502257916&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 09:40:49","","","","",,,,,162,8.53,41,4,19,"… They were undertaken with Pleurozium schreberi and Scleropodium purum, two pleurocarpous and ectohydric mosses that are common throughout Europe. These species also have …","https://www.academia.edu/download/112757009/j.envpol.2004.09.00820240326-1-q7o8h7.pdf","https://scholar.google.com/scholar?q=related:_LZPx5PZsk0J:scholar.google.com/&scioq=pleurozium+carbon&hl=en&as_sdt=2007"
5,"KE Mason, S Oakley, LE Street, M Arróniz-Crespo…","Boreal Forest Floor Greenhouse Gas Emissions Across a Pleurozium schreberi-Dominated, Wildfire-Disturbed Chronosequence",2019,"Ecosystems","Springer","https://link.springer.com/article/10.1007/s10021-019-00344-2","https://scholar.google.com/scholar?cites=14412847590987695206&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 09:40:49","HTML","10.1007/s10021-019-00344-2","","",,,,,5,1.00,1,5,5,"… The boreal forest is a globally critical biome for carbon cycling. Its forests are shaped by … (CO 2 , CH 4 , N 2 O) along a Pleurozium schreberi-dominated chronosequence in mid- to late …","https://link.springer.com/article/10.1007/s10021-019-00344-2","https://scholar.google.com/scholar?q=related:ZoSqfoW4BMgJ:scholar.google.com/&scioq=pleurozium+carbon&hl=en&as_sdt=2007"
80,"LE Street, JA Subke, M Sommerkorn, V Sloan…","The role of mosses in carbon uptake and partitioning in arctic vegetation",2013,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.12285","https://scholar.google.com/scholar?cites=16812369347470466936&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 09:40:49","","10.1111/nph.12285","","",,,,,80,7.27,16,5,11,"… to carbon ( C ) cycling is essential in order to accurately quantify ecosystem C balance. Mosses contribute substantially to biomass, but their impact on carbon … Acutifolia and Pleurozium …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.12285","https://scholar.google.com/scholar?q=related:eJ-khNiIUekJ:scholar.google.com/&scioq=pleurozium+carbon&hl=en&as_sdt=2007"
157,"TG Williams, LB Flanagan","Measuring and modelling environmental influences on photosynthetic gas exchange in Sphagnum and Pleurozium",1998,"Plant, Cell &Environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?cites=9685983540770307951&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 09:40:49","","10.1046/j.1365-3040.1998.00292.x","","",,,,,157,6.04,79,2,26,"… that contains a high proportion of Sphagnum and Pleurozium moss. It has been suggested that this … Carbon dioxide assimilation rates in the leaves of higher plants have been accurately …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?q=related:b__kN7aGa4YJ:scholar.google.com/&scioq=pleurozium+carbon&hl=en&as_sdt=2007"
26,"SK Rice, N Neal, J Mango, K Black","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-114/issue-2/0007-2745-114.2.367/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the/10.1639/0007-2745-114.2.367.short","https://scholar.google.com/scholar?cites=10331985589368611300&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-11 09:40:49","","10.1639/0007-2745-114.2.367.short","","",,,,,26,2.00,7,4,13,"… of carbon exchange and in plant biochemical and structural traits in Pleurozium schreberi, 2) … Twenty-five, 25cm 3 35cm samples of Pleurozium schreberi were collected from mats in the …","https://www.jstor.org/stable/pdf/41289793.pdf","https://scholar.google.com/scholar?q=related:5GHF_iaWYo8J:scholar.google.com/&scioq=pleurozium+carbon&hl=en&as_sdt=2007"
57,"BW Benscoter, DH Vitt","Evaluating feathermoss growth: a challenge to traditional methods and implications for the boreal carbon budget",2007,"Journal of Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2745.2006.01180.x","https://scholar.google.com/scholar?cites=7050395168675051008&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 09:40:49","","10.1111/j.1365-2745.2006.01180.x","","",,,,,57,3.35,29,2,17,"… We present a conceptual model of feathermoss growth using Pleurozium schreberi that includes apical and lateral annual growth. From this model, we provide a modified method to …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1365-2745.2006.01180.x","https://scholar.google.com/scholar?q=related:ALYBIw0J2GEJ:scholar.google.com/&scioq=pleurozium+carbon&hl=en&as_sdt=2007"
0,"O Sergeeva, L Mukhortova…","Carbon stock in litter of middle taiga forest ecosystems of Central Siberia",2021,"IOP Conference Series …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1755-1315/875/1/012085/meta","",7,"2024-07-11 09:40:49","","10.1088/1755-1315/875/1/012085","","",,,,,0,0.00,0,3,3,"… The moss-lichen layer is discontinuous and dominated by Pleurozium schreberi (Willd. ex Brid.) … The continuous moss layer is dominated by Pleurozium schreberi (Willd. ex Brid.) Mitt. …","https://iopscience.iop.org/article/10.1088/1755-1315/875/1/012085/pdf","https://scholar.google.com/scholar?q=related:_cZZHxP8WCsJ:scholar.google.com/&scioq=pleurozium+carbon&hl=en&as_sdt=2007"
262,"TG Williams, LB Flanagan","Effect of changes in water content on photosynthesis, transpiration and discrimination against 13CO2 and C18O16O in Pleurozium and Sphagnum",1996,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00333212","https://scholar.google.com/scholar?cites=3808195268485381253&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 09:40:49","","10.1007/BF00333212","","",,,,,262,9.36,131,2,28,"… ) both Sphagnum and Pleurozium had similar values of … Sphagnum and 22%0 in Pleurozium. In a similar manner C18C160 … to average carbon composition associated with photorespi- …","https://www.jstor.org/stable/pdf/4221384.pdf","https://scholar.google.com/scholar?q=related:hfxkhWtt2TQJ:scholar.google.com/&scioq=pleurozium+carbon&hl=en&as_sdt=2007"
16,"TH DeLuca, O Zackrisson, MC Nilsson, S Sun…","Long-term fate of nitrogen fixation in Pleurozium schreberi Brid (Mit.) moss carpets in boreal forests",2022,"Applied Soil …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0929139321003383","https://scholar.google.com/scholar?cites=11725614988361534913&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 09:40:49","","","","",,,,,16,8.00,3,5,2,"… We conducted a seven-year 15 N 2(g) labelling and tracing experiment in a boreal forest with a moss bottom layer dominated by Pleurozium schreberi Brid (Mitt). Mesocosms of forest …","","https://scholar.google.com/scholar?q=related:wQ1J-rTAuaIJ:scholar.google.com/&scioq=pleurozium+carbon&hl=en&as_sdt=2007"
31,"ERA Pederson, D Warshan…","Genome Sequencing of Pleurozium schreberi: The Assembled and Annotated Draft Genome of a Pleurocarpous Feather Moss",2019,"G3: Genes, Genomes …","academic.oup.com","https://academic.oup.com/g3journal/article-abstract/9/9/2791/6026388","https://scholar.google.com/scholar?cites=13845127798234790628&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 09:40:49","","","","",,,,,31,6.20,10,3,5,"… The pleurocarpous feather moss Pleurozium schreberi is a ubiquitous moss species which … a significant role in driving ecosystem nitrogen and carbon inputs and fluxes. By hosting …","https://academic.oup.com/g3journal/article/9/9/2791/6026388","https://scholar.google.com/scholar?q=related:5Lqru2DGI8AJ:scholar.google.com/&scioq=pleurozium+carbon&hl=en&as_sdt=2007"
