Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
34,"EAVM ARO, N Valanne","Effect of Continous Light on CO2 Fixation and Chloroplast Structure of the Mosses Pleurozium schreberi and Ceratodon purpureus",1979,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.1979.tb02614.x","https://scholar.google.com/scholar?cites=13549773942383978180&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 09:53:45","","10.1111/j.1399-3054.1979.tb02614.x","","",,,,,34,0.76,17,2,45,"… environmental conditions: the RUBP-carboxylase activity, capacity of the photosynthetic … in relation to the activity of RUBP-carboxylase. the enzyme primarily responsible for CO2 …","","https://scholar.google.com/scholar?q=related:xCakXpx3CrwJ:scholar.google.com/&scioq=pleurozium+carboxylation&hl=en&as_sdt=2007"
157,"TG Williams, LB Flanagan","Measuring and modelling environmental influences on photosynthetic gas exchange in Sphagnum and Pleurozium",1998,"Plant, Cell &Environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?cites=9685983540770307951&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 09:53:45","","10.1046/j.1365-3040.1998.00292.x","","",,,,,157,6.04,79,2,26,"… exchange for Sphagnum and Pleurozium were made in an old … The calculated maximum rates of carboxylation by Rubisco (… V max was observed in Pleurozium with average values of 7, …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?q=related:b__kN7aGa4YJ:scholar.google.com/&scioq=pleurozium+carboxylation&hl=en&as_sdt=2007"
39,"EC Smith, H Griffiths","The role of carbonic anhydrase in photosynthesis and the activity of the carbon-concentrating-mechanism in bryophytes of the class Anthocerotae",2000,"The New Phytologist","cambridge.org","https://www.cambridge.org/core/journals/new-phytologist/article/role-of-carbonic-anhydrase-in-photosynthesis-and-the-activity-of-the-carbonconcentratingmechanism-in-bryophytes-of-the-class-anthocerotae/EC6403A010A4AD389A813EA811FA443B","https://scholar.google.com/scholar?cites=15102345767682740046&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 09:53:45","","10.1046/j.1469-8137.2000.00559.x","","",,,,,39,1.63,20,2,24,"… on the amounts of PEP carboxylase in the Anthocerotae, we … to contain significantly more PEP carboxylase than species of … by PEP carboxylase and subsequent decarboxylation of the …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1046/j.1469-8137.2000.00559.x","https://scholar.google.com/scholar?q=related:To_axXVPltEJ:scholar.google.com/&scioq=pleurozium+carboxylation&hl=en&as_sdt=2007"
262,"TG Williams, LB Flanagan","Effect of changes in water content on photosynthesis, transpiration and discrimination against 13CO2 and C18O16O in Pleurozium and Sphagnum",1996,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00333212","https://scholar.google.com/scholar?cites=3808195268485381253&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 09:53:45","","10.1007/BF00333212","","",,,,,262,9.36,131,2,28,"… ) both Sphagnum and Pleurozium had similar values of … Sphagnum and 22%0 in Pleurozium. In a similar manner C18C160 … of carboxylation by ribulose bisphosphate carboxylase to the …","https://www.jstor.org/stable/pdf/4221384.pdf","https://scholar.google.com/scholar?q=related:hfxkhWtt2TQJ:scholar.google.com/&scioq=pleurozium+carboxylation&hl=en&as_sdt=2007"
8,"EM Aro","Polypeptide patterns of the thylakoid membranes of bryophytes",1982,"Plant Science Letters","Elsevier","https://www.sciencedirect.com/science/article/pii/030442118290030X","https://scholar.google.com/scholar?cites=17141502710175017287&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-11 09:53:45","","","","",,,,,8,0.19,8,1,42,"… , two mosses (Ceratodon purpureus protonemata and Pleurozium schreberi) and a liverwort (… The identity of the third band with heme associated peroxidase activity in Pleurozium is not …","","https://scholar.google.com/scholar?q=related:R6lgNOXZ4u0J:scholar.google.com/&scioq=pleurozium+carboxylation&hl=en&as_sdt=2007"
0,"LB Flanagan","Measuring and modelling environmental influences on photosynthetic gas exchange in Sphagnum andPleurozium.",1998,"Plant, Cell &Environment","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=01407791&AN=5284624&h=O0cv7DhCXliOKkoiDvNa64wF0XzR2l4rUAOwl8gHkpOkymIvgOyzLL5w7lyAj6unWcuDE88XRRugJ9trOEPcaQ%3D%3D&crl=c","",6,"2024-07-11 09:53:45","","","","",,,,,0,0.00,0,1,26,"… Pleurozium were made in an old black spruce ecosystem over a growing season in order to assign values to parameters in the model. The calculated maximum rates of carboxylation by …","https://scholar.google.com/scholar?output=instlink&q=info:AL4_TSUmlYgJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=6396442527348647128&oi=lle","https://scholar.google.com/scholar?q=related:AL4_TSUmlYgJ:scholar.google.com/&scioq=pleurozium+carboxylation&hl=en&as_sdt=2007"
16,"E Rintamäki, EM Aro","… to the Moss Ceratodon purpureus: Properties of Ribulose Bisphosphate Carboxylase/ Oxygenase, Phosphoenolpyruvate Carboxylase and Glycolate Oxidase",1985,"Journal of experimental botany","academic.oup.com","https://academic.oup.com/jxb/article-abstract/36/11/1677/480787","https://scholar.google.com/scholar?cites=3253922252404893538&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-11 09:53:45","","","","",,,,,16,0.41,8,2,39,"… in PEP carboxylase activity between C3 and C, plants The properties of RuBP carboxylase/oxygenase are discussed in relation to the activities of PEP carboxylase and glycolate …","https://www.jstor.org/stable/pdf/23691402.pdf","https://scholar.google.com/scholar?q=related:YidVbQxBKC0J:scholar.google.com/&scioq=pleurozium+carboxylation&hl=en&as_sdt=2007"
9,"X Zhu, V Nimmo, J Wu, R Thomas","Sphagnum outcompetes feathermosses in their photosynthetic adaptation to postharvest black spruce forests",2019,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2019-0076","https://scholar.google.com/scholar?cites=9732328113305871832&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 09:53:45","","10.1139/cjb-2019-0076","","",,,,,9,1.80,2,4,5,"… et trois hypnums (Hylocomium, Ptilium et Pleurozium) qui coexistent dans les blocs de … photo-inhibition, particulièrement chez Pleurozium qui subissait une diminution significative …","https://cdnsciencepub.com/doi/pdf/10.1139/cjb-2019-0076","https://scholar.google.com/scholar?q=related:2OUk39osEIcJ:scholar.google.com/&scioq=pleurozium+carboxylation&hl=en&as_sdt=2007"
56,"BJ Fletcher, SJ Brentnall, WP Quick…","BRYOCARB: a process-based model of thallose liverwort carbon isotope fractionation in response to CO2, O2, light and temperature",2006,"… et Cosmochimica Acta","Elsevier","https://www.sciencedirect.com/science/article/pii/S001670370600202X","https://scholar.google.com/scholar?cites=1410380421120218825&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 09:53:45","HTML","","","",,,,,56,3.11,14,4,18,"… When the rate of photosynthesis is primarily controlled by carboxylation by … carboxylation by Rubisco (μmol CO 2 m −2 s −1 ), k c and k o are the Michaelis coefficients for carboxylation …","https://www.sciencedirect.com/science/article/pii/S001670370600202X","https://scholar.google.com/scholar?q=related:yVYJP4WtkhMJ:scholar.google.com/&scioq=pleurozium+carboxylation&hl=en&as_sdt=2007"
34,"DT Hanson, K Renzaglia, JC Villarreal","Diffusion Limitation and CO2 Concentrating Mechanisms in Bryophytes",2014,"Photosynthesis in bryophytes and …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_6","https://scholar.google.com/scholar?cites=859975911342766528&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 09:53:45","","10.1007/978-94-007-6988-5_6","","",,,,,34,3.40,11,3,10,"This chapter explores how the diffusion of CO 2 into photosynthetic tissues is affected by the morphology and biochemistry of bryophytes from the sub-cellular level to that of leaf-like …","https://www.researchgate.net/profile/Juan-Villarreal-A/publication/268686744_Diffusion_Limitation_and_CO2_Concentrating_Mechanisms_in_Bryophytes/links/55c6131608aeb975674399ba/Diffusion-Limitation-and-CO2-Concentrating-Mechanisms-in-Bryophytes.pdf","https://scholar.google.com/scholar?q=related:wHn69og_7wsJ:scholar.google.com/&scioq=pleurozium+carboxylation&hl=en&as_sdt=2007"
