Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
157,"TG Williams, LB Flanagan","Measuring and modelling environmental influences on photosynthetic gas exchange in Sphagnum and Pleurozium",1998,"Plant, Cell &Environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?cites=9685983540770307951&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 10:01:40","","10.1046/j.1365-3040.1998.00292.x","","",,,,,157,6.04,79,2,26,"… Measurements of gas exchange for Sphagnum and Pleurozium were made in an old black spruce … In contrast, no seasonal variation in V max was observed in Pleurozium with average …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?q=related:b__kN7aGa4YJ:scholar.google.com/&scioq=pleurozium+conductance&hl=en&as_sdt=2007"
262,"TG Williams, LB Flanagan","Effect of changes in water content on photosynthesis, transpiration and discrimination against 13CO2 and C18O16O in Pleurozium and Sphagnum",1996,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00333212","https://scholar.google.com/scholar?cites=3808195268485381253&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 10:01:40","","10.1007/BF00333212","","",,,,,262,9.36,131,2,28,"… capacity and conductance to CO> Changes in Cc/G and carbon isotope discrimination are, therefore, a function of changes in photosynthetic capacity and/or conductance to CO 2 (Far…","https://www.jstor.org/stable/pdf/4221384.pdf","https://scholar.google.com/scholar?q=related:hfxkhWtt2TQJ:scholar.google.com/&scioq=pleurozium+conductance&hl=en&as_sdt=2007"
26,"SK Rice, N Neal, J Mango, K Black","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-114/issue-2/0007-2745-114.2.367/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the/10.1639/0007-2745-114.2.367.short","https://scholar.google.com/scholar?cites=10331985589368611300&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 10:01:40","","10.1639/0007-2745-114.2.367.short","","",,,,,26,2.00,7,4,13,"… The objectives of this study were to characterize functional trait relationships in the widespread feathermoss Pleurozium schreberi, to develop an empirical model to predict net …","https://www.jstor.org/stable/pdf/41289793.pdf","https://scholar.google.com/scholar?q=related:5GHF_iaWYo8J:scholar.google.com/&scioq=pleurozium+conductance&hl=en&as_sdt=2007"
19,"AK Jägerbrand, JM Alatalo, G Kudo","Variation in responses to temperature treatments ex situ of the moss Pleurozium schreberi (Willd. ex Brid.) Mitt. originating from eight altitude sites in Hokkaido …",2014,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282014Y.0000000095","https://scholar.google.com/scholar?cites=4024504108260252924&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 10:01:40","","10.1179/1743282014Y.0000000095","","",,,,,19,1.90,6,3,10,"… We chose Pleurozium schreberi for this study since it is an ecologically important bryophyte … Pleurozium schreberi has a wide circumpolar distribution and high abundance in certain …","https://www.researchgate.net/profile/Juha-Alatalo/publication/261958478_Variation_in_responses_to_temperature_treatments_ex_situ_of_the_moss_Pleurozium_schreberi_Willd_Ex_Brid_Mitt_originating_from_eight_altitude_sites_in_Hokkaido_Japan/links/553dfd140cf2fbfe509b7edd/Variation-in-responses-to-temperature-treatments-ex-situ-of-the-moss-Pleurozium-schreberi-Willd-Ex-Brid-Mitt-originating-from-eight-altitude-sites-in-Hokkaido-Japan.pdf","https://scholar.google.com/scholar?q=related:_Nzz6Snp2TcJ:scholar.google.com/&scioq=pleurozium+conductance&hl=en&as_sdt=2007"
0,"LB Flanagan","Measuring and modelling environmental influences on photosynthetic gas exchange in Sphagnum andPleurozium.",1998,"Plant, Cell &Environment","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=01407791&AN=5284624&h=O0cv7DhCXliOKkoiDvNa64wF0XzR2l4rUAOwl8gHkpOkymIvgOyzLL5w7lyAj6unWcuDE88XRRugJ9trOEPcaQ%3D%3D&crl=c","",5,"2024-07-11 10:01:40","","","","",,,,,0,0.00,0,1,26,"… Measurements of gas exchange for Sphagnum and Pleurozium were made in an old black … In order to estimate Cc it is necessary to determine the total conductance to CO2 of the leaf (…","https://scholar.google.com/scholar?output=instlink&q=info:AL4_TSUmlYgJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=6396442527348647128&oi=lle","https://scholar.google.com/scholar?q=related:AL4_TSUmlYgJ:scholar.google.com/&scioq=pleurozium+conductance&hl=en&as_sdt=2007"
7,"HJ During, B Verduyn, A Jägerbrand","Biomechanical properties of the terrestrial mosses Pleurozium schreberi (Brid.) Mitt. and Pogonatum japonicum Sull. &Lesq. along altitudinal gradients in northern …",2015,"Arctoa: A Journal of Briology","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1747635","https://scholar.google.com/scholar?cites=17664155238805418207&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 10:01:40","","","","",,,,,7,0.78,2,3,9,"… This study focused on biomechanical traits of two moss species, the more or less horizontally growing Pleurozium schreberi and the erect-growing Pogonatum japonicum, along …","https://www.diva-portal.org/smash/get/diva2:1747635/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:3zBa2pmvI_UJ:scholar.google.com/&scioq=pleurozium+conductance&hl=en&as_sdt=2007"
89,"M Carriquí, M Roig‐Oliver, TJ Brodribb…","Anatomical constraints to nonstomatal diffusion conductance and photosynthesis in lycophytes and bryophytes",2019,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15675","https://scholar.google.com/scholar?cites=15130846546578363027&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-11 10:01:40","","10.1111/nph.15675","","",,,,,89,17.80,22,4,5,"… conductance g s , mesophyll conductance g m (which we rename nonstomatal diffusion conductance g … Mesophyll conductance in a typical angiosperm leaf is the sum of gas- and liquid-…","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15675","https://scholar.google.com/scholar?q=related:k9K_d8SQ-9EJ:scholar.google.com/&scioq=pleurozium+conductance&hl=en&as_sdt=2007"
59,"KK Deane-Coe, M Mauritz, G Celis, V Salmon…","Experimental warming alters productivity and isotopic signatures of tundra mosses",2015,"Ecosystems","Springer","https://link.springer.com/article/10.1007/s10021-015-9884-7","https://scholar.google.com/scholar?cites=6586934925832459678&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 10:01:40","HTML","10.1007/s10021-015-9884-7","","",,,,,59,6.56,12,5,9,"… net C assimilation and stomatal conductance, thus providing information … Pleurozium accounted for the largest percent cover of all three genera at our site, reductions in Pleurozium …","https://link.springer.com/article/10.1007/s10021-015-9884-7","https://scholar.google.com/scholar?q=related:npXbfGp-aVsJ:scholar.google.com/&scioq=pleurozium+conductance&hl=en&as_sdt=2007"
4,"SM Morgan","Ecophysiological responses of bryophytes to atmospheric nitrogen deposition",1992,"","search.proquest.com","https://search.proquest.com/openview/250c8002774bfa84332c043abff73559/1?pq-origsite=gscholar&cbl=2026366&diss=y","https://scholar.google.com/scholar?cites=1607053889001634232&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 10:01:40","BOOK","","","",,,,,4,0.13,4,1,32,"… Some shoots of the Pleurozium schreberi turfs appeared yellow and etiolated, the branching was no longer regularly pinnate. Dicranum majus and the two Mnium species developed …","https://search.proquest.com/openview/250c8002774bfa84332c043abff73559/1?pq-origsite=gscholar&cbl=2026366&diss=y","https://scholar.google.com/scholar?q=related:uDnaXP9mTRYJ:scholar.google.com/&scioq=pleurozium+conductance&hl=en&as_sdt=2007"
14,"SK Rice, TA Gagliardi, RA Krasa","Canopy structure affects temperature distributions and free convection in moss shoot systems",2018,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.1145","https://scholar.google.com/scholar?cites=12579384663811399281&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 10:01:40","","10.1002/ajb2.1145","","",,,,,14,2.33,5,3,6,"… -layer properties that control conductance to water vapor. As … strong determinants of boundary layer conductance (R 2 = 0.86… in shoot structure, Pleurozium schreberi and Rytidiadelphus …","https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.1002/ajb2.1145","https://scholar.google.com/scholar?q=related:cZ55C7Tzkq4J:scholar.google.com/&scioq=pleurozium+conductance&hl=en&as_sdt=2007"
