Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
65,"RE Longton, SW Greene","Relationship between Sex Distribution and Sporophyte Production in Pleurozium schreberi (Brid.) Mitt.",1969,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/33/1/107/166566","https://scholar.google.com/scholar?cites=12562921397152045388&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 13:15:06","","","","",,,,,65,1.18,33,2,55,"… ABSTRACT The distribution of perigonia, perichaetia, and sporophytes of Pleurozium schreberi has been investigated in Britain and in some other areas. Fruiting populations are …","https://www.jstor.org/stable/pdf/42908109.pdf","https://scholar.google.com/scholar?q=related:TNlmEnN2WK4J:scholar.google.com/&scioq=pleurozium+distribution&hl=en&as_sdt=2007"
12,"R Ochyra, H Bednarek-Ochyra","Pleurozium schreberi (Musci, Hylocomiaceae) recorded for tropical Africa and a review of its world distribution",2002,"Cryptogamie-Bryologie","sciencepress.mnhn.fr","https://sciencepress.mnhn.fr/sites/default/files/articles/pdf/cryptogamie-bryologie2002v23f4a4.pdf","https://scholar.google.com/scholar?cites=4771834784859734884&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 13:15:06","PDF","","","",,,,,12,0.55,6,2,22,"The occurrence of the common Holarctic moss species Pleurozium schreberi (Brid.) Mitt. in tropical Africa is confirmed. The species was recorded twice in the Bale Mountains in central …","https://sciencepress.mnhn.fr/sites/default/files/articles/pdf/cryptogamie-bryologie2002v23f4a4.pdf","https://scholar.google.com/scholar?q=related:ZMNqXnT2OEIJ:scholar.google.com/&scioq=pleurozium+distribution&hl=en&as_sdt=2007"
3,"SY Popov","On the Distribution of Pleurozium schreberi (Bryophyta, Hylocomiaceae) in the East European Plain and Eastern Fennoscandia",2018,"Moscow University Biological Sciences Bulletin","Springer","https://link.springer.com/article/10.3103/S0096392518030148","https://scholar.google.com/scholar?cites=9377742859271156099&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 13:15:06","","10.3103/S0096392518030148","","",,,,,3,0.50,3,1,6,"… as establishing the biogeographical patterns of species distribution and diversity, is extremely topical. This study considers Pleurozium schreberi (Brid.) Mitt as an object of research. …","https://link.springer.com/content/pdf/10.3103/S0096392518030148.pdf","https://scholar.google.com/scholar?q=related:gzHQ8XFvJIIJ:scholar.google.com/&scioq=pleurozium+distribution&hl=en&as_sdt=2007"
7,"J Lewinsky, GS Mogensen","Distribution maps of bryophytes in Greenland 6",1979,"Lindbergia","JSTOR","https://www.jstor.org/stable/20149337","https://scholar.google.com/scholar?cites=17986268458325258631&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 13:15:06","","","","",,,,,7,0.16,4,2,45,"… to our work on the collections to publish distribution maps of those species which are taxonomically without problems and whose distributions in Greenland are rather well known. In this …","","https://scholar.google.com/scholar?q=related:hzFKFd4PnPkJ:scholar.google.com/&scioq=pleurozium+distribution&hl=en&as_sdt=2007"
23,"H Korpelainen, A Jägerbrand…","Genetic structure of mosses Pleurozium schreberi (Willd. ex Brid.) Mitt. and Racomitrium lanuginosum (Hedw.) Brid. along altitude gradients in Hokkaido, Japan",2012,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/full/10.1179/1743282012Y.0000000031","https://scholar.google.com/scholar?cites=6625506270558195786&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-11 13:15:06","","10.1179/1743282012Y.0000000031","","",,,,,23,1.92,8,3,12,"… in two common, widely distributed moss species, Pleurozium schreberi (Willd. ex Brid.) Mitt. … Pleurozium schreberi was collected from 21 populations from six localities (pairwise …","https://www.academia.edu/download/100342801/1743282012y.000000003120230327-1-kcx9zm.pdf","https://scholar.google.com/scholar?q=related:SpC-gdmG8lsJ:scholar.google.com/&scioq=pleurozium+distribution&hl=en&as_sdt=2007"
68,"A Gałuszka","Distribution patterns of PAHs and trace elements in mosses Hylocomium splendens (Hedw.) BSG and Pleurozium schreberi (Brid.) Mitt. from different forest …",2007,"Chemosphere","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045653506013415","https://scholar.google.com/scholar?cites=14624058229046556216&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 13:15:06","","","","",,,,,68,4.00,68,1,17,"Twenty samples of the moss species Hylocomium splendens and Pleurozium schreberi were collected at 10 sites of the Holy Cross Mountains (south-central Poland) and analyzed for …","https://scholar.google.com/scholar?output=instlink&q=info:OLbyTHoX88oJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=4291037021997814424&oi=lle","https://scholar.google.com/scholar?q=related:OLbyTHoX88oJ:scholar.google.com/&scioq=pleurozium+distribution&hl=en&as_sdt=2007"
162,"A Solga, J Burkhardt, HG Zechmeister, JP Frahm","Nitrogen content, 15N natural abundance and biomass of the two pleurocarpous mosses Pleurozium schreberi (Brid.) Mitt. and Scleropodium purum (Hedw.) Limpr. in …",2005,"Environmental pollution","Elsevier","https://www.sciencedirect.com/science/article/pii/S026974910400380X","https://scholar.google.com/scholar?cites=5598776515502257916&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-11 13:15:06","","","","",,,,,162,8.53,41,4,19,"… Moreover, the spatial distribution of the stations is very uneven. In this unsatisfactory situation the … They were undertaken with Pleurozium schreberi and Scleropodium purum, two …","https://www.academia.edu/download/112757009/j.envpol.2004.09.00820240326-1-q7o8h7.pdf","https://scholar.google.com/scholar?q=related:_LZPx5PZsk0J:scholar.google.com/&scioq=pleurozium+distribution&hl=en&as_sdt=2007"
100,"RE Longton, SW Greene","The Growth and Reproductive Cycle of Pleurozium schreberi (Brid.) Mitt",1969,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/33/1/83/166870","https://scholar.google.com/scholar?cites=11366688758054490337&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 13:15:06","","","","",,,,,100,1.82,50,2,55,"… ABSTRACT The reproductive cycle of the moss Pleurozium schreberi has been investigated … Relationship between sex distribution and sporophyte production in Pleurozium schreberi (…","https://www.jstor.org/stable/pdf/42908108.pdf","https://scholar.google.com/scholar?q=related:4ZBDwDOXvp0J:scholar.google.com/&scioq=pleurozium+distribution&hl=en&as_sdt=2007"
10,"K Kolon, A Samecka-Cymerman, AJ Kempers…","Pleurozium schreberi of the Tatra mountains (Poland) used as a bioindicational system for observing long range atmospheric transport of chemical elements",2010,"Journal of atmospheric …","Springer","https://link.springer.com/article/10.1007/s10874-011-9198-x","https://scholar.google.com/scholar?cites=4803156989796392289&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 13:15:06","HTML","10.1007/s10874-011-9198-x","","",,,,,10,0.71,3,4,14,"… Concentrations of the elements Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Na, Ni, Pb, V and Zn were measured in the moss Pleurozium schreberi from the Tatra National Park, one of the most …","https://link.springer.com/article/10.1007/s10874-011-9198-x","https://scholar.google.com/scholar?q=related:YZ0_gdU9qEIJ:scholar.google.com/&scioq=pleurozium+distribution&hl=en&as_sdt=2007"
19,"AK Jägerbrand, JM Alatalo, G Kudo","Variation in responses to temperature treatments ex situ of the moss Pleurozium schreberi (Willd. ex Brid.) Mitt. originating from eight altitude sites in Hokkaido …",2014,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282014Y.0000000095","https://scholar.google.com/scholar?cites=4024504108260252924&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 13:15:06","","10.1179/1743282014Y.0000000095","","",,,,,19,1.90,6,3,10,"… We chose Pleurozium schreberi for this study since it is an ecologically important bryophyte … Pleurozium schreberi has a wide circumpolar distribution and high abundance in certain …","https://www.researchgate.net/profile/Juha-Alatalo/publication/261958478_Variation_in_responses_to_temperature_treatments_ex_situ_of_the_moss_Pleurozium_schreberi_Willd_Ex_Brid_Mitt_originating_from_eight_altitude_sites_in_Hokkaido_Japan/links/553dfd140cf2fbfe509b7edd/Variation-in-responses-to-temperature-treatments-ex-situ-of-the-moss-Pleurozium-schreberi-Willd-Ex-Brid-Mitt-originating-from-eight-altitude-sites-in-Hokkaido-Japan.pdf","https://scholar.google.com/scholar?q=related:_Nzz6Snp2TcJ:scholar.google.com/&scioq=pleurozium+distribution&hl=en&as_sdt=2007"
