Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"J Asplund, K van Zuijlen, RE Roos…","Divergent responses of functional diversity to an elevational gradient for vascular plants, bryophytes and lichens",2022,"Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jvs.13105","https://scholar.google.com/scholar?cites=5530433452318862715&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 10:44:40","","10.1111/jvs.13105","","",,,,,9,4.50,2,4,2,"… Common bryophyte species are Pleurozium schreberi and Dicranum acutifolium at lower … In contrast to the vascular plant community and in line with our hypothesis, functional trait …","https://nmbu.brage.unit.no/nmbu-xmlui/bitstream/handle/11250/2993557/J%2BVegetation%2BScience%2B-%2B2021%2B-%2BAsplund%2B-%2BDivergent%2Bresponses%2Bof%2Bfunctional%2Bdiversity%2Bto%2Ban%2Belevational%2Bgradient%2Bfor%2Bvascular.pdf?sequence=1","https://scholar.google.com/scholar?q=related:ey1nY-wLwEwJ:scholar.google.com/&scioq=pleurozium+%22functional+trait%22&hl=en&as_sdt=2007"
0,"L Gerra-Inohosa, L Strazdiņa","Relevance of broad-leaved forest stands for maintaining epiphytic bryophyte species and functional trait diversity in forest landscape in Latvia",2021,"Proceedings of the Latvian Academy of …","sciendo.com","https://sciendo.com/pdf/10.2478/prolas-2021-0044","",2,"2024-07-11 10:44:40","PDF","10.2478/prolas-2021-0044","","",,,,,0,0.00,0,2,3,"… To assess the differences in species composition and functional trait diversity in relation to major forest stand variables, we applied principal components analysis (PCA) and indicator …","https://sciendo.com/pdf/10.2478/prolas-2021-0044","https://scholar.google.com/scholar?q=related:yl2t-OTrGbAJ:scholar.google.com/&scioq=pleurozium+%22functional+trait%22&hl=en&as_sdt=2007"
26,"SK Rice, N Neal, J Mango, K Black","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-114/issue-2/0007-2745-114.2.367/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the/10.1639/0007-2745-114.2.367.short","https://scholar.google.com/scholar?cites=10331985589368611300&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 10:44:40","","10.1639/0007-2745-114.2.367.short","","",,,,,26,2.00,7,4,13,"… The objectives of this study were to characterize functional trait relationships in the widespread feathermoss Pleurozium schreberi, to develop an empirical model to predict net …","https://www.jstor.org/stable/pdf/41289793.pdf","https://scholar.google.com/scholar?q=related:5GHF_iaWYo8J:scholar.google.com/&scioq=pleurozium+%22functional+trait%22&hl=en&as_sdt=2007"
37,"PS Martin, AU Mallik","The status of non-vascular plants in trait-based ecosystem function studies",2017,"Perspectives in Plant Ecology, Evolution and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1433831917300082","https://scholar.google.com/scholar?cites=6854481565949405223&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 10:44:40","","","","",,,,,37,5.29,19,2,7,"… , ecologists have been increasingly employing functional trait-based methods to describe the … The positive seedbed influence due to high Pleurozium schreberi cover was attributed to …","","https://scholar.google.com/scholar?q=related:J6jg6aoCIF8J:scholar.google.com/&scioq=pleurozium+%22functional+trait%22&hl=en&as_sdt=2007"
1,"Y Ma, MY Bader, I Petersen, P Porada","Quantifying the effect of competition on the functional assembly of bryophyte and lichen communities: A process‐based model analysis",2024,"Journal of Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.14279","https://scholar.google.com/scholar?cites=14823276158214779898&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-11 10:44:40","","10.1111/1365-2745.14279","","",,,,,1,1.00,0,4,1,"… Because of such effects of functional trait distributions, there … on samples, provide functional-trait data of lichen and moss … ), Mnium hornum (Mh), Pleurozium schreberi (Ps), Polytrichum …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.14279","https://scholar.google.com/scholar?q=related:-rPo-SDbts0J:scholar.google.com/&scioq=pleurozium+%22functional+trait%22&hl=en&as_sdt=2007"
62,"PR Nelson, B McCune, C Roland…","Non‐parametric methods reveal non‐linear functional trait variation of lichens along environmental and fire age gradients",2015,"Journal of Vegetation …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jvs.12286","https://scholar.google.com/scholar?cites=2951984597189021381&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 10:44:40","","10.1111/jvs.12286","","",,,,,62,6.89,16,4,9,"… (small, filamentous plants, eg Calliergon sp.); and (7) weft (medium to large plants forming airy horizontal mats, with inter-branch air spaces, eg Hylocomium splendens and Pleurozium …","https://www.jstor.org/stable/pdf/43912907.pdf","https://scholar.google.com/scholar?q=related:xU7g0VmO9ygJ:scholar.google.com/&scioq=pleurozium+%22functional+trait%22&hl=en&as_sdt=2007"
35,"Z Wang, X Liu, W Bao","Higher photosynthetic capacity and different functional trait scaling relationships in erect bryophytes compared with prostrate species",2016,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-015-3484-2","https://scholar.google.com/scholar?cites=6128851940291282885&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-11 10:44:40","HTML","10.1007/s00442-015-3484-2","","",,,,,35,4.38,12,3,8,"… with different shoot structures have different functional trait levels and scaling relationships is limited… This study confirms the effect of growth form on the functional trait levels and scaling …","https://link.springer.com/article/10.1007/s00442-015-3484-2","https://scholar.google.com/scholar?q=related:xYcGHl4ODlUJ:scholar.google.com/&scioq=pleurozium+%22functional+trait%22&hl=en&as_sdt=2007"
41,"KK Deane-Coe, D Stanton","Functional ecology of cryptogams: scaling from bryophyte, lichen, and soil crust traits to ecosystem processes",2017,"New Phytologist","JSTOR","https://www.jstor.org/stable/newphytologist.213.3.993","https://scholar.google.com/scholar?cites=18240530458912089176&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 10:44:40","PDF","","","",,,,,41,5.86,21,2,7,"… Bryophytes in particular can dominate in forest understories, dryland biocrusts, and peatlands, making cryptogams particularly important in our understanding of the functional trait …","https://www.jstor.org/stable/newphytologist.213.3.993","https://scholar.google.com/scholar?q=related:WOQlVs9hI_0J:scholar.google.com/&scioq=pleurozium+%22functional+trait%22&hl=en&as_sdt=2007"
25,"Z Wang, W Bao, D Feng, H Lin","Functional trait scaling relationships across 13 temperate mosses growing in wintertime",2014,"Ecological Research","Springer","https://link.springer.com/article/10.1007/s11284-014-1146-1","https://scholar.google.com/scholar?cites=101552927544369114&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 10:44:40","HTML","10.1007/s11284-014-1146-1","","",,,,,25,2.50,6,4,10,"… We used independent sample’s T-test to compare the differences in all functional trait values between moss species in the present work and vascular plant leaves from the GLOPNET …","https://link.springer.com/article/10.1007/s11284-014-1146-1","https://scholar.google.com/scholar?q=related:2t8ufNnJaAEJ:scholar.google.com/&scioq=pleurozium+%22functional+trait%22&hl=en&as_sdt=2007"
50,"RE Roos, K van Zuijlen, T Birkemoe…","Contrasting drivers of community‐level trait variation for vascular plants, lichens and bryophytes across an elevational gradient",2019,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.13454","https://scholar.google.com/scholar?cites=10011553487548484787&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 10:44:40","","10.1111/1365-2435.13454","","",,,,,50,10.00,13,4,5,"… The bryophyte species Pleurozium schreberi and Dicranum acutifolium are common at … Further, our study highlights the importance of including intraspecific variation in functional trait …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2435.13454","https://scholar.google.com/scholar?q=related:s4wme9ou8IoJ:scholar.google.com/&scioq=pleurozium+%22functional+trait%22&hl=en&as_sdt=2007"
