Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
45,"M Tobias, Ü Niinemets","Acclimation of photosynthetic characteristics of the moss Pleurozium schreberi to among‐habitat and within‐canopy light gradients",2010,"Plant Biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1438-8677.2009.00285.x?casa_token=1h9xFMCIxNsAAAAA:oyz_tKQ1MnZGFjiQIvgxSksqwOfY9WH2C04Wo4DBfmiPE9tKBCvyNnLfvAhyyJZDYmQsDtyo0SwEG_NwEQ","https://scholar.google.com/scholar?cites=17065672971556172060&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-12 10:41:34","","10.1111/j.1438-8677.2009.00285.x","","",,,,,45,3.21,23,2,14,"… (Car) and nitrogen (N) concentrations, and photosynthetic electron transport capacity (J max ) along habitat and canopy light gradients in the widespread, temperate moss Pleurozium …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1438-8677.2009.00285.x?casa_token=4bcsq1Ojg9wAAAAA:HNY0fjutAMLcaWblamewkeIGSOdiznMm-gRuv3dxAelwC45jZESrbg7MAKw4vhLASHpWKemMQ4YUle9Bsg","https://scholar.google.com/scholar?q=related:HDGXWiZz1ewJ:scholar.google.com/&scioq=pleurozium+height&hl=en&as_sdt=2007"
7,"HJ During, B Verduyn, A Jägerbrand","Biomechanical properties of the terrestrial mosses Pleurozium schreberi (Brid.) Mitt. and Pogonatum japonicum Sull. &Lesq. along altitudinal gradients in northern …",2015,"Arctoa: A Journal of Briology","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1747635","https://scholar.google.com/scholar?cites=17664155238805418207&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-12 10:41:34","","","","",,,,,7,0.78,2,3,9,"… This study focused on biomechanical traits of two moss species, the more or less horizontally growing Pleurozium schreberi and the erect-growing Pogonatum japonicum, along …","https://www.diva-portal.org/smash/get/diva2:1747635/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:3zBa2pmvI_UJ:scholar.google.com/&scioq=pleurozium+height&hl=en&as_sdt=2007"
26,"SK Rice, N Neal, J Mango, K Black","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-114/issue-2/0007-2745-114.2.367/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the/10.1639/0007-2745-114.2.367.short","https://scholar.google.com/scholar?cites=10331985589368611300&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-12 10:41:34","","10.1639/0007-2745-114.2.367.short","","",,,,,26,2.00,7,4,13,"… DISCUSSION Field collected Pleurozium schreberi canopies ranged over two fold in height (green tissue), almost three fold in SMA, SAI and N, and 4 to 6 fold in the concentrations of …","https://www.jstor.org/stable/pdf/41289793.pdf?casa_token=lzeZCaZ30m4AAAAA:JK6cvU7mL-EdIGS_-GG5fn4yuob_EqHCi8VBQnjs9iv5D-Xefdo0Zv_FppOhTvKplO90_CaL5dIn3Zm7JKh-ZMFTRsL2GXX6f8QuYJh-0mRAL66lYjPVRw","https://scholar.google.com/scholar?q=related:5GHF_iaWYo8J:scholar.google.com/&scioq=pleurozium+height&hl=en&as_sdt=2007"
40,"NM Lappalainen, S Huttunen…","Acclimation of a pleurocarpous moss Pleurozium schreberi (Britt.) Mitt. to enhanced ultraviolet radiation in situ",2008,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2007.01489.x?casa_token=rJhYIWSnvj8AAAAA:w52_QxrSMHYBN5uUwN4QcZMsR3Ao2AQgIRAHSaVshk-zsE3yfq1L3qWYw4vEO4xAI1mnPAdLxXxvoX8A6A","https://scholar.google.com/scholar?cites=1427191702038765834&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-12 10:41:34","","10.1111/j.1365-2486.2007.01489.x","","",,,,,40,2.50,13,3,16,"… segment height, dry weight and ratio of dry weight to height (… , the chlorophylls and carotenoids of Pleurozium do not react to … According to our results, Pleurozium has an average ratio of …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2486.2007.01489.x?casa_token=S-OoMiMn3esAAAAA:u4IblYrYa27eJDwgr4yvOPebPaX6W_9ej69DEzw2-BMsMilbubV8Vkw8jk_bexfvMIrn_Ezxh9gP0t--rw","https://scholar.google.com/scholar?q=related:CuFnmkpnzhMJ:scholar.google.com/&scioq=pleurozium+height&hl=en&as_sdt=2007"
86,"HG Zechmeister","Growth rates of five pleurocarpous moss species under various climatic conditions",1995,"Journal of bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.1995.18.3.455","https://scholar.google.com/scholar?cites=13126742455978278934&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-12 10:41:34","","10.1179/jbr.1995.18.3.455","","",,,,,86,2.97,86,1,29,"… Growth rates of the moss species Hylocomium splendens, Pleurozium schreberi, Hypnum … the tops of the shoots to estimate mean height. The contents were harvested and the shoot …","https://www.researchgate.net/profile/Harald-Zechmeister/publication/272226831_Growth_rates_of_five_pleurocarpous_moss_species_under_various_climatic_conditions/links/5dcfbf004585156b35169ef9/Growth-rates-of-five-pleurocarpous-moss-species-under-various-climatic-conditions.pdf","https://scholar.google.com/scholar?q=related:FsCfGreOK7YJ:scholar.google.com/&scioq=pleurozium+height&hl=en&as_sdt=2007"
34,"BM Stuiver, MJ Gundale, DA Wardle…","Nitrogen fixation rates associated with the feather mosses Pleurozium schreberi and Hylocomium splendens during forest stand development following clear …",2015,"Forest Ecology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378112715001371?casa_token=xTXQ8wgL8JwAAAAA:ke84AmevvyZcQLhAzJ2J8N8EImidaJO1T2nMi_yUR_XeHX8uin2B5uUc_OWW1zI6ISn009hIJid0","https://scholar.google.com/scholar?cites=5595589350771781521&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-12 10:41:34","HTML","","","",,,,,34,3.78,9,4,9,"… wood production to better understand how stand development after clear-cutting drives changes in biomass and N 2 -fixation rates of the two dominant feather mosses, Pleurozium …","https://www.sciencedirect.com/science/article/pii/S0378112715001371?casa_token=xTXQ8wgL8JwAAAAA:ke84AmevvyZcQLhAzJ2J8N8EImidaJO1T2nMi_yUR_XeHX8uin2B5uUc_OWW1zI6ISn009hIJid0","https://scholar.google.com/scholar?q=related:ke-1Kd6Gp00J:scholar.google.com/&scioq=pleurozium+height&hl=en&as_sdt=2007"
54,"SE Trynoski, JM Glime","Direction and height of bryophytes on four species of northern trees",1982,"Bryologist","JSTOR","https://www.jstor.org/stable/3243047?casa_token=SmpCSVLogVEAAAAA:GJMPUsAI7rfWYZnx031RKYaoeWx9d4-a7pRucB8dGhZyp3H7CFHN8yUvik91QbwwXEa-ErJ62O-OjqqzZMryYALvtHI6tphFu-iSTO2IY70ntLvvoPJONg","https://scholar.google.com/scholar?cites=1027473876440511852&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-12 10:41:34","","","","",,,,,54,1.29,27,2,42,"… from all three heights were analyzed … height was compared with its frequency at the other height(s) where it occurred. Chi-square 2 x 2 contingency tables were used to test two heights …","https://www.jstor.org/stable/pdf/3243047.pdf?casa_token=r3rUBnKLdrkAAAAA:ga5v_pcdvaBhuiL_sMDCJyZbxZB9Nk6my87XpnHicvNdZeDnFGTg84dKkgpaTcggW0gPIIaTzlPRjX4Vs_y_6-ZYA_6O10TRkdfc7bHceZKrVHNoLGQisA","https://scholar.google.com/scholar?q=related:bPU6_QtSQg4J:scholar.google.com/&scioq=pleurozium+height&hl=en&as_sdt=2007"
321,"DR Foster","Vegetation development following fire in Picea mariana (black spruce)-Pleurozium forests of south-eastern Labrador, Canada",1985,"The Journal of Ecology","JSTOR","https://www.jstor.org/stable/2260491?casa_token=VXL4caY4sRsAAAAA:-cvUe3o6vF1uQF2xBMRl_GYz_vNXpNniDGBnxgsWkG0zL-e0RsBmlMvnQxw2Rq_0kPTuHl8sraSGlt_goai6wqE3Vf_7ft7infGGmbhYS7BfbB3bMDq04w","https://scholar.google.com/scholar?cites=15439464125453920227&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-12 10:41:34","","","","",,,,,321,8.23,321,1,39,"The pattern of post-fire vegetation development in Picea mariana (black spruce)-Pleurozium … -Polytrichum juniperinum-Cladonia lichens-Pleurozium schreberi-feather mosses and …","https://www.jstor.org/stable/pdf/2260491.pdf?casa_token=TwJAcaEPteQAAAAA:iiahWZh3PJjzQQQI43hxrvrfCrkADzFT5jWoZtunyIOVxz8guPiDkcKPNtJhiaYDVS9XwDAPxdf6R2qvNWqNJXmBSoRiLpa67ej8Cgi1RHuL6dwuLVPf1g","https://scholar.google.com/scholar?q=related:42cRANL-Q9YJ:scholar.google.com/&scioq=pleurozium+height&hl=en&as_sdt=2007"
52,"S Mattsson, K Liden","137 Cs in Carpets of the Forest Moss Pleurozium schreberi, 1961-1973",1975,"Oikos","JSTOR","https://www.jstor.org/stable/3543503?casa_token=cW5zot3l1kUAAAAA:mUVsYVYld0jTZBdsUfT4-A2VWAKb073u_IUK_C8_rVFtIiNrc8CdPV8AdF_8-ATDlWeIm5XUmXhdYUf9sP6sBer-UxyVdX1W8rvbeTYK1BHrsb6ByU4ABA","https://scholar.google.com/scholar?cites=10344893040405338587&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-12 10:41:34","","","","",,,,,52,1.06,26,2,49,"… of 137Cs in about 200 g of the samples, collected 1968-1973, was then studied by means of a Ge(Li) gamma-spectrometer, using a 50 cm3 detector and a 4096-channel pulse-height …","https://www.jstor.org/stable/pdf/3543503.pdf?casa_token=yfV23CKcOZIAAAAA:kCv5GXaeKYOQ8z1K7PfcGd58krBHUwVIAFNPRElZpSt4BPffPRNV6DgenSuWYEr6fH5RNnGrd9_uVe5imd5XGsu0VnzWKBw7LqXpstPVAh5cSCLGq38goA","https://scholar.google.com/scholar?q=related:21nFIGlxkI8J:scholar.google.com/&scioq=pleurozium+height&hl=en&as_sdt=2007"
7,"AM Rzepczynska, A Michelsen, MAN Olsen…","Bryophyte species differ widely in their growth and N2-fixation responses to temperature",2022,"Arctic …","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/as-2021-0053","https://scholar.google.com/scholar?cites=1889277587489016417&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-12 10:41:34","","10.1139/as-2021-0053","","",,,,,7,3.50,2,4,2,"… ), we measured colony height increment of Barbilophozia floerkei … Colony height increment was the distance between the two … splendens and Pleurozium schreberi grew less than the …","https://cdnsciencepub.com/doi/pdf/10.1139/as-2021-0053","https://scholar.google.com/scholar?q=related:YcpjvPQPOBoJ:scholar.google.com/&scioq=pleurozium+height&hl=en&as_sdt=2007"
