Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"K Zawadzki, K Sokołowska…","Mercury in Pleurozium schreberi and Polytrichum commune from areas with various levels of Hg pollution–an accumulation and desorption experiment with …",2014,"Ecotoxicology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0147651314002693","https://scholar.google.com/scholar?cites=8347789484665746880&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 13:02:09","","","","",,,,,10,1.00,3,3,10,"… To fulfill this need, we selected terrestrial mosses with different characteristic life forms: orthotropic and endohydric Polytrichum commune and plagiotropic and ectohydric Pleurozium …","","https://scholar.google.com/scholar?q=related:wDU-zU5O2XMJ:scholar.google.com/&scioq=pleurozium+%22leaf+density%22&hl=en&as_sdt=2007"
13,"SK Rice, DT Hanson, Z Portman","Structural and functional analyses of bryophyte canopies",2013,"… in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_10","https://scholar.google.com/scholar?cites=10577720432462383968&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 13:02:09","","10.1007/978-94-007-6988-5_10","","",,,,,13,1.18,4,3,11,"… to measure temperature distribution within Pleurozium schreberi canopies under still conditions … branch and leaf density like the capitula retain water. This can be observed in Fig. 10.1. …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=197","https://scholar.google.com/scholar?q=related:YMtPrrCcy5IJ:scholar.google.com/&scioq=pleurozium+%22leaf+density%22&hl=en&as_sdt=2007"
6,"N Lappalainen","The responses of ectohydric and endohydric mosses under ambient and enhanced ultraviolet radiation",2010,"","oulurepo.oulu.fi","https://oulurepo.oulu.fi/handle/10024/34478","https://scholar.google.com/scholar?cites=8414860609891863981&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 13:02:09","BOOK","","","",,,,,6,0.43,6,1,14,"… Seasonality of the methanol-extractable UACs in Pleurozium … The photosynthetive pigments of Pleurozium schreberi were … to our results – the leaf density increased under enhanced UV-…","https://oulurepo.oulu.fi/bitstream/handle/10024/34478/isbn978-951-42-6214-2.pdf?sequence=1","https://scholar.google.com/scholar?q=related:rQ0IDySXx3QJ:scholar.google.com/&scioq=pleurozium+%22leaf+density%22&hl=en&as_sdt=2007"
89,"M Carriquí, M Roig‐Oliver, TJ Brodribb…","Anatomical constraints to nonstomatal diffusion conductance and photosynthesis in lycophytes and bryophytes",2019,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15675","https://scholar.google.com/scholar?cites=15130846546578363027&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 13:02:09","","10.1111/nph.15675","","",,,,,89,17.80,22,4,5,"… Leaf density D leaf and leaf thickness T leaf varied 53.4-fold and 61.2-fold, respectively. f ias varied from 51 ± 4% in Selaginella uncinata to zero in mosses with a single layer of cells (…","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15675","https://scholar.google.com/scholar?q=related:k9K_d8SQ-9EJ:scholar.google.com/&scioq=pleurozium+%22leaf+density%22&hl=en&as_sdt=2007"
6,"A Orekhova, M Barták, J Hájek, J Morkusová","Species-specific responses of spectral reflectance and the photosynthetic characteristics in two selected Antarctic mosses to thallus desiccation",2022,"Acta Physiologiae …","Springer","https://link.springer.com/article/10.1007/s11738-021-03339-6","https://scholar.google.com/scholar?cites=14425596763835175433&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-11 13:02:09","","10.1007/s11738-021-03339-6","","",,,,,6,3.00,2,4,2,"Mosses are considered highly resistant against desiccation because they maintain photosynthetic activity even when severely dehydrated. In our study, we investigated changes in the …","https://scholar.google.com/scholar?output=instlink&q=info:CZJrndMDMsgJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=7618806529481166388&oi=lle","https://scholar.google.com/scholar?q=related:CZJrndMDMsgJ:scholar.google.com/&scioq=pleurozium+%22leaf+density%22&hl=en&as_sdt=2007"
19,"NM Lappalainen, S Huttunen, H Suokanerva…","Seasonal acclimation of the moss Polytrichum juniperinum Hedw. to natural and enhanced ultraviolet radiation",2010,"Environmental …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0269749109004680","https://scholar.google.com/scholar?cites=16818600504853092251&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 13:02:09","","","","",,,,,19,1.36,5,4,14,"… was divided by segment height, or the segment height was multiplied by estimated leaf density. … Enhanced UV-B radiation reduced the leaf density compared to the UV-A and ambient …","https://www.researchgate.net/profile/Satu-Huttunen/publication/26871104_Seasonal_acclimation_of_the_moss_Polytrichum_juniperinum_Hedw_to_natural_and_enhanced_ultraviolet_radiation/links/59f86590458515547c2507f8/Seasonal-acclimation-of-the-moss-Polytrichum-juniperinum-Hedw-to-natural-and-enhanced-ultraviolet-radiation.pdf","https://scholar.google.com/scholar?q=related:m1f55gysZ-kJ:scholar.google.com/&scioq=pleurozium+%22leaf+density%22&hl=en&as_sdt=2007"
0,"Z Tuba, NG Slack","Effects of Climate Change on Tundra Bryophytes",,"cambridge.org","","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/6D2F39CAC718E5F9E640B26EF8B54B2D","",7,"2024-07-11 13:02:09","","","","",,,,,0,0.00,0,2,,"… Similarly, populations of Pleurozium schreberi, originating from an altitudinal gradient in Hokkaido, Japan, showed different length-growth responses when grown in warm laboratory …","","https://scholar.google.com/scholar?q=related:W359QGu5sDEJ:scholar.google.com/&scioq=pleurozium+%22leaf+density%22&hl=en&as_sdt=2007"
0,"BDK Wilkie","High Arctic bryophytes in biogeochemical and evolutionary studies.",2011,"","library-archives.canada.ca","https://library-archives.canada.ca/eng/services/services-libraries/theses/Pages/item.aspx?idNumber=819845479","",8,"2024-07-11 13:02:09","BOOK","","","",,,,,0,0.00,0,1,13,"<? Pub Inc> Mosses from the Canadian High Arctic are useful biomonitors of atmospheric heavy metal deposition. Anthropogenically influenced concentrations of As, Cr, Cu, Ni and Zn …","https://central.bac-lac.gc.ca/.item?id=MR71250&op=pdf&app=Library&oclc_number=819845479","https://scholar.google.com/scholar?q=related:IuKDKL9aWQIJ:scholar.google.com/&scioq=pleurozium+%22leaf+density%22&hl=en&as_sdt=2007"
2,"II Volkova, IV Volkov, YA Morozova, VA Nikitkin…","Water Holding Capacity of Some Bryophyta Species from tundra and north taiga of the West Siberia",2023,"Water","mdpi.com","https://www.mdpi.com/2073-4441/15/14/2626","https://scholar.google.com/scholar?cites=8916118812893547545&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 13:02:09","HTML","","","",,,,,2,2.00,0,5,1,"Functional traits are a set of characteristics that are expressed in the phenotype of an individual organism as a response to the environment and their impact on the ecosystem’s …","https://www.mdpi.com/2073-4441/15/14/2626","https://scholar.google.com/scholar?q=related:GYyyGdJqvHsJ:scholar.google.com/&scioq=pleurozium+%22leaf+density%22&hl=en&as_sdt=2007"
0,"M Lüth","Ecological Factors",,"","","","",10,"2024-07-11 13:02:09","CITATION","","","",,,,,0,0.00,0,1,,"","","https://scholar.google.com/scholar?q=related:hjMsAP2loBQJ:scholar.google.com/&scioq=pleurozium+%22leaf+density%22&hl=en&as_sdt=2007"
