Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
26,"SK Rice, N Neal, J Mango, K Black","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-114/issue-2/0007-2745-114.2.367/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the/10.1639/0007-2745-114.2.367.short","https://scholar.google.com/scholar?cites=10331985589368611300&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-12 08:35:22","","10.1639/0007-2745-114.2.367.short","","",,,,,26,2.00,7,4,13,"… Of the feathermosses, Pleurozium schreberi is among the … , leaf nitrogen concentration, leaf mass per area and maximum … biochemical and structural traits in Pleurozium schreberi, 2) …","https://www.jstor.org/stable/pdf/41289793.pdf","https://scholar.google.com/scholar?q=related:5GHF_iaWYo8J:scholar.google.com/&scioq=pleurozium+%22leaf+mass%22&hl=en&as_sdt=2007"
26,"Ü Niinemets, M Tobias","Scaling light harvesting from moss “leaves” to canopies",2013,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_9","https://scholar.google.com/scholar?cites=17855212720943001565&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-12 08:35:22","","10.1007/978-94-007-6988-5_9","","",,,,,26,2.36,13,2,11,"… Illustration of estimation of leaf area index (L) in the moss Pleurozium schreberi. Leaf area index is estimated from the … 9.2 for calculation of L in branched moss Pleurozium schreberi). …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=176","https://scholar.google.com/scholar?q=related:3e_XZF51yvcJ:scholar.google.com/&scioq=pleurozium+%22leaf+mass%22&hl=en&as_sdt=2007"
88,"B Bond-Lamberty, ST Gower","Estimation of stand-level leaf area for boreal bryophytes",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?cites=5314145550210239110&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-12 08:35:22","HTML","10.1007/s00442-006-0619-5","","",,,,,88,5.18,44,2,17,"… Leaf area may also be calculated from leaf mass using specific leaf area (SLA), the ratio of … , much as the current study found Pleurozium cover positively correlated to overstory LAI. …","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?q=related:hgoB7Tijv0kJ:scholar.google.com/&scioq=pleurozium+%22leaf+mass%22&hl=en&as_sdt=2007"
28,"S Huttunen, T Taipale, NM Lappalainen, E Kubin…","Environmental specimen bank samples of Pleurozium schreberi and Hylocomium splendens as indicators of the radiation environment at the surface",2005,"Environmental …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0269749104002386","https://scholar.google.com/scholar?cites=453416279004875219&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-12 08:35:22","","","","",,,,,28,1.47,6,5,19,"… In the second series of samples (years 1985, 1990, 1995, 2000), we used specific leaf area (SLA = leaf area per unit leaf mass) as a basis of comparing the screening compounds. A …","https://www.academia.edu/download/40000650/Environmental_specimen_bank_samples_of_P20151114-26033-vot038.pdf","https://scholar.google.com/scholar?q=related:0wl3FbTbSgYJ:scholar.google.com/&scioq=pleurozium+%22leaf+mass%22&hl=en&as_sdt=2007"
35,"Z Wang, X Liu, W Bao","Higher photosynthetic capacity and different functional trait scaling relationships in erect bryophytes compared with prostrate species",2016,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-015-3484-2","https://scholar.google.com/scholar?cites=6128851940291282885&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-12 08:35:22","HTML","10.1007/s00442-015-3484-2","","",,,,,35,4.38,12,3,8,"… these traits have significant negative correlations with leaf mass per area (Karst and Lechowicz … Actinothuidium hookeri, Hylocomium splendens, Pleurozium schreberi and Ptilium crista-…","https://link.springer.com/article/10.1007/s00442-015-3484-2","https://scholar.google.com/scholar?q=related:xYcGHl4ODlUJ:scholar.google.com/&scioq=pleurozium+%22leaf+mass%22&hl=en&as_sdt=2007"
0,"SK Rice, N Neal, J Mango, K Black","A Journal of Bryology and Lichenology",,"researchgate.net","","https://www.researchgate.net/profile/Kelly-Black-2/publication/232693413_Relationships_among_shoot_tissue_canopy_and_photosynthetic_characteristics_in_the_feathermoss_Pleurozium_schreberi/links/58d27c6792851cf4f8f5e720/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the-feathermoss-Pleurozium-schreberi.pdf","",6,"2024-07-12 08:35:22","PDF","","","",,,,,0,0.00,0,4,,"… in the widespread feathermoss Pleurozium schreberi, to … Of the feathermosses, Pleurozium schreberi is among the … , leaf nitrogen concentration, leaf mass per area and maximum …","https://www.researchgate.net/profile/Kelly-Black-2/publication/232693413_Relationships_among_shoot_tissue_canopy_and_photosynthetic_characteristics_in_the_feathermoss_Pleurozium_schreberi/links/58d27c6792851cf4f8f5e720/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the-feathermoss-Pleurozium-schreberi.pdf","https://scholar.google.com/scholar?q=related:kZ1QebuwzOkJ:scholar.google.com/&scioq=pleurozium+%22leaf+mass%22&hl=en&as_sdt=2007"
25,"Z Wang, W Bao, D Feng, H Lin","Functional trait scaling relationships across 13 temperate mosses growing in wintertime",2014,"Ecological Research","Springer","https://link.springer.com/article/10.1007/s11284-014-1146-1","https://scholar.google.com/scholar?cites=101552927544369114&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-12 08:35:22","HTML","10.1007/s11284-014-1146-1","","",,,,,25,2.50,6,4,10,"… And these physiological traits were negatively associated with leaf mass per area (LMA). In consideration of the extensive distribution and the high diversity of moss species all over the …","https://link.springer.com/article/10.1007/s11284-014-1146-1","https://scholar.google.com/scholar?q=related:2t8ufNnJaAEJ:scholar.google.com/&scioq=pleurozium+%22leaf+mass%22&hl=en&as_sdt=2007"
26,"S Bansal, MC Nilsson, DA Wardle","Response of photosynthetic carbon gain to ecosystem retrogression of vascular plants and mosses in the boreal forest",2012,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-011-2246-z","https://scholar.google.com/scholar?cites=3759244094039830423&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-12 08:35:22","HTML","10.1007/s00442-011-2246-z","","",,,,,26,2.17,9,3,12,"… , and the feather mosses Pleurozium schreberi (hereafter Pleurozium) and Hylocomium splendens … Specific leaf areas were calculated by dividing leaf area by leaf mass. Vaccinium gas …","https://link.springer.com/article/10.1007/s00442-011-2246-z","https://scholar.google.com/scholar?q=related:l686EZaEKzQJ:scholar.google.com/&scioq=pleurozium+%22leaf+mass%22&hl=en&as_sdt=2007"
42,"Z Wang, X Liu, MY Bader, D Feng…","The 'plant economic spectrum'in bryophytes, a comparative study in subalpine forest",2017,"American Journal of …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.3732/ajb.1600335","https://scholar.google.com/scholar?cites=11962860824876436409&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-12 08:35:22","","10.3732/ajb.1600335","","",,,,,42,6.00,8,5,7,"… + The SMA of bryophytes is compared with the leaf mass per area (LMA) of vascular plants. … + The SMA of bryophyte corresponds to the leaf mass per area of vascular plant leaves. …","https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.1600335","https://scholar.google.com/scholar?q=related:uUsyzImeBKYJ:scholar.google.com/&scioq=pleurozium+%22leaf+mass%22&hl=en&as_sdt=2007"
17,"SK Rice, JHC Cornelissen","Best practices for measuring photosynthesis at multiple scales",2013,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_5","https://scholar.google.com/scholar?cites=11963277960207341024&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-12 08:35:22","","10.1007/978-94-007-6988-5_5","","",,,,,17,1.55,9,2,11,"… strong negative relationships between canopy mass per area and maximum rates of photosynthesis expressed on a mass basis, a similar pattern found when comparing leaf mass per …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=106","https://scholar.google.com/scholar?q=related:4BVrr-sZBqYJ:scholar.google.com/&scioq=pleurozium+%22leaf+mass%22&hl=en&as_sdt=2007"
