Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
23,"X Liu, Z Wang, X Li, K Rousk, W Bao","High nitrogen resorption efficiency of forest mosses",2020,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/125/4/557/5678559","https://scholar.google.com/scholar?cites=15762026950403576231&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-12 10:30:19","","","","",,,,,23,5.75,5,5,4,"… Nutrient resorption from senescing tissue is a key mechanism for plants to conserve nutrients, and can affect the nutrient dynamics of ecosystems. Yet, our limited knowledge of nitrogen …","https://academic.oup.com/aob/article/125/4/557/5678559?casa_token=aU3IAif2W28AAAAA:cVcD8BVHAPJoXT9DcWM85gAiJd88D9c1Z8j5S90ynlNu3i_EpUdinGpwUqo8WUcgh0z_O0cG0mfW-H5r","https://scholar.google.com/scholar?q=related:p1HwJgD4vdoJ:scholar.google.com/&scioq=pleurozium+%22nutrient+resorption%22&hl=en&as_sdt=2007"
5,"X Liu, Z Wang, X Li, W Bao","Nitrogen and phosphorus translocation of forest floor mosses as affected by a pulse of these nutrients",2020,"Journal of Plant Ecology","academic.oup.com","https://academic.oup.com/jpe/article-abstract/13/5/633/5891166","https://scholar.google.com/scholar?cites=9825018319553794377&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-12 10:30:19","","","","",,,,,5,1.25,1,4,4,"… Nutrient resorption from senescing leaves of perennials: are there general patterns? … Nutrient resorption and patterns of litter production and decomposition in a neotropical savanna …","https://academic.oup.com/jpe/article/13/5/633/5891166","https://scholar.google.com/scholar?q=related:SZG1QBt6WYgJ:scholar.google.com/&scioq=pleurozium+%22nutrient+resorption%22&hl=en&as_sdt=2007"
80,"RL Eckstein","Nitrogen retention by Hylocomium splendens in a subarctic birch woodland",2000,"Journal of Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2745.2000.00480.x","https://scholar.google.com/scholar?cites=9660226092198695169&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-12 10:30:19","","10.1046/j.1365-2745.2000.00480.x","","",,,,,80,3.33,80,1,24,"… splendens and Pleurozium schreberi dominating in the bryophyte layer. Within this forest type, I selected 20 apparently undisturbed populations of H. splendens, all of which had a very …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-2745.2000.00480.x","https://scholar.google.com/scholar?q=related:AZF243IEEIYJ:scholar.google.com/&scioq=pleurozium+%22nutrient+resorption%22&hl=en&as_sdt=2007"
535,"JHC Cornelissen, SI Lang, NA Soudzilovskaia…","Comparative cryptogam ecology: a review of bryophyte and lichen traits that drive biogeochemistry",2007,"Annals of …","academic.oup.com","https://academic.oup.com/aob/article-abstract/99/5/987/2769322","https://scholar.google.com/scholar?cites=9615171266348572679&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-12 10:30:19","","","","",,,,,535,31.47,134,4,17,"… The acrocarpous moss Polytrichum commune had the highest P max (2·65 mg CO 2 g −1 h −1 ), the two pleurocarpous mosses, Hylocomium spendens and Pleurozium schreberi had …","https://academic.oup.com/aob/article/99/5/987/2769322","https://scholar.google.com/scholar?q=related:B-A_yVLzb4UJ:scholar.google.com/&scioq=pleurozium+%22nutrient+resorption%22&hl=en&as_sdt=2007"
1,"JUG Levinsen, A Michelsen, K Rousk","Moss-associated nitrogen fixation across scales: from shoot to landscape",2022,"","researchsquare.com","https://www.researchsquare.com/article/rs-1670625/latest","https://scholar.google.com/scholar?cites=4973896641403924402&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-12 10:30:19","","","","",,,,,1,0.50,0,3,2,"… To address these knowledge gaps, we measured BNF along vertical layers (segments) representing different depths and age along moss shoots of two dominant species, Pleurozium …","https://www.researchsquare.com/article/rs-1670625/latest.pdf","https://scholar.google.com/scholar?q=related:sq9jfKTUBkUJ:scholar.google.com/&scioq=pleurozium+%22nutrient+resorption%22&hl=en&as_sdt=2007"
0,"A Lagerström","Linkages of nitrogen and phosphorus availability to ecosystem processes and succession in forests of northern Sweden and New Zealand",2009,"","pub.epsilon.slu.se","http://pub.epsilon.slu.se/2164/1/Anna_L_Thesis.pdf","",6,"2024-07-12 10:30:19","BOOK","","","",,,,,0,0.00,0,1,15,"… The feather mosses Pleurozium schreberi and Hylocomium splendens dominate the ground layer … As such, nutrient resorption does not serve as a good indicator of the severity of plant …","http://pub.epsilon.slu.se/2164/1/Anna_L_Thesis.pdf","https://scholar.google.com/scholar?q=related:IIvdn5fc5EAJ:scholar.google.com/&scioq=pleurozium+%22nutrient+resorption%22&hl=en&as_sdt=2007"
0,"P Porada","Process-based modelling of lichens and bryophytes and their role in global biogeochemical cycles",2014,"","d-nb.info","https://d-nb.info/117760342X/34","",7,"2024-07-12 10:30:19","PDF","","","",,,,,0,0.00,0,1,10,"… Only a few studies, however, provide concrete estimates for nutrient resorption and leaching regarding lichens and bryophytes. Therefore, three scenarios are used to account for the …","https://d-nb.info/117760342X/34","https://scholar.google.com/scholar?q=related:-kL9XvkDWUMJ:scholar.google.com/&scioq=pleurozium+%22nutrient+resorption%22&hl=en&as_sdt=2007"
26,"S Bansal, MC Nilsson, DA Wardle","Response of photosynthetic carbon gain to ecosystem retrogression of vascular plants and mosses in the boreal forest",2012,"Oecologia","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00442-011-2246-z&casa_token=wa-MOrvvcq4AAAAA:0wtPCubPshlPBhmSg3OmIvaLxOjTUQ__gMXcW_VJsvJn3haFfBuvLO2TkTjgUxNlyKMfSiHKPkbo4eiQ8NA","https://scholar.google.com/scholar?cites=3759244094039830423&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-12 10:30:19","HTML","10.1007/s00442-011-2246-z","","",,,,,26,2.17,9,3,12,"… vitis-idaea and Empetrum hermaphroditum, and the feather mosses Pleurozium schreberi (hereafter Pleurozium) and Hylocomium splendens (hereafter Hylocomium). The relative …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00442-011-2246-z&casa_token=wa-MOrvvcq4AAAAA:0wtPCubPshlPBhmSg3OmIvaLxOjTUQ__gMXcW_VJsvJn3haFfBuvLO2TkTjgUxNlyKMfSiHKPkbo4eiQ8NA","https://scholar.google.com/scholar?q=related:l686EZaEKzQJ:scholar.google.com/&scioq=pleurozium+%22nutrient+resorption%22&hl=en&as_sdt=2007"
0,"J Kubešová","Effect of P Enrichment on Rhizodeposit Quantity and Bioavailability: a Comparison of Two Macrophyte Species",2013,"","dspace.jcu.cz","https://dspace.jcu.cz/handle/20.500.14390/24538","",9,"2024-07-12 10:30:19","","","","",,,,,0,0.00,0,1,11,"Processes present in root-soil interface play an important role even in the ecosystem scale. Complex relationships between plant and rhizosphere microbial community are crucial in all …","https://dspace.jcu.cz/bitstream/handle/20.500.14390/24538/master_thesis_STAG.pdf?sequence=1","https://scholar.google.com/scholar?q=related:tnQ22uM2uoUJ:scholar.google.com/&scioq=pleurozium+%22nutrient+resorption%22&hl=en&as_sdt=2007"
4,"Z Wang, MY Bader, C Pi, Y He, S Guo, W Bao","Does the removal of non-photosynthetic sections lead to a down-regulation of photosynthesis in mosses? A first experiment",2021,"Cryptogamie, Bryologie","BioOne","https://bioone.org/journals/cryptogamie-bryologie/volume-42/issue-7/cryptogamie-bryologie2021v42a7/Does-the-Removal-of-Non-Photosynthetic-Sections-Lead-to-a/10.5252/cryptogamie-bryologie2021v42a7.short","https://scholar.google.com/scholar?cites=11108223661059691935&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-12 10:30:19","","10.5252/cryptogamie-bryologie2021v42a7.short","","",,,,,4,1.33,1,6,3,"… Mapping nutrient resorption efficiencies of subarctic cryptogams and seed plants onto the Tree of Life. Ecology and Evolution 4: 2217-2227. https://doi.org/10.1002/ece3.1079 …","","https://scholar.google.com/scholar?q=related:n1UN25BWKJoJ:scholar.google.com/&scioq=pleurozium+%22nutrient+resorption%22&hl=en&as_sdt=2007"
