Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
35,"JM Shields, CR Webster, JM Glime","Bryophyte community response to silvicultural opening size in a managed northern hardwood forest",2007,"Forest ecology and management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378112707004987","https://scholar.google.com/scholar?cites=16101944719733143414&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-12 09:23:05","","","","",,,,,35,2.06,12,3,17,"… ([relative percent cover + frequency]/2) of bryophytes as a group and total percent cover of … Although few species in our study primarily colonize woody debris, Pleurozium schreberi …","","https://scholar.google.com/scholar?q=related:drerLGmZdd8J:scholar.google.com/&scioq=pleurozium+%22percent+cover%22&hl=en&as_sdt=2007"
2,"WL Strong","Range-Level Lodgepole Pine (Pinus contorta var. latifolia Engelmann ex S. Watson) Understory Types in Western North America",2015,"Forest Science","academic.oup.com","https://academic.oup.com/forestscience/article-abstract/61/2/247/4584038","https://scholar.google.com/scholar?cites=2724305456320956830&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-12 09:23:05","","","","",,,,,2,0.22,2,1,9,"… was initially based on a percent cover and constancy analysis of … Pleurozium schreberi, a large amount of Hylocomium splendens and Pleurozium schreberi, or a mixture of Pleurozium …","https://search.proquest.com/openview/7c2a43ae50274095e29d4177370102a3/1?pq-origsite=gscholar&cbl=47511","https://scholar.google.com/scholar?q=related:nkmr52CtziUJ:scholar.google.com/&scioq=pleurozium+%22percent+cover%22&hl=en&as_sdt=2007"
1,"W Wilson","Bryophyte dynamics across wetland and lakeshore edges in southwest Nova Scotia",2011,"","dalspace.library.dal.ca","https://dalspace.library.dal.ca/handle/10222/76590","https://scholar.google.com/scholar?cites=13481873221935370406&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-12 09:23:05","","","","",,,,,1,0.08,1,1,13,"… Percent cover estimates of contiguous quadrates for Pleurozium schreberi and Dicranum spp. … Percent cover estimates of contiguous quadrates for Bazzania trilobata and Leucobryum …","https://dalspace.library.dal.ca/bitstream/handle/10222/76590/Wendy%20Wilson.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:phBP7EM8GbsJ:scholar.google.com/&scioq=pleurozium+%22percent+cover%22&hl=en&as_sdt=2007"
18,"JE Peterson","The effects of forest harvest on bryophyte recolonization in a mixed forest in New Brunswick.",1999,"","library-archives.canada.ca","https://library-archives.canada.ca/eng/services/services-libraries/theses/Pages/item.aspx?idNumber=1006985856","https://scholar.google.com/scholar?cites=623469441914316111&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-12 09:23:05","","","","",,,,,18,0.72,18,1,25,"… Bryophyte species abundance, as percent cover, was measured … variables, most rneasured as percent cover, were recordai for … Regeneration of Pleurozium schreberi and Dicranum …","https://www.nlc-bnc.ca/obj/s4/f2/dsk2/ftp03/MQ54639.pdf?is_thesis=1&oclc_number=1006985856","https://scholar.google.com/scholar?q=related:TyWddScCpwgJ:scholar.google.com/&scioq=pleurozium+%22percent+cover%22&hl=en&as_sdt=2007"
3,"AL Ross-Davis","Forest floor bryophyte community composition and structure in relation to habitat conditions and propagule availability.",2003,"","library-archives.canada.ca","https://library-archives.canada.ca/eng/services/services-libraries/theses/Pages/item.aspx?idNumber=55885437","https://scholar.google.com/scholar?cites=3368095809673001857&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-12 09:23:05","BOOK","","","",,,,,3,0.14,3,1,21,"… with corresponding contents in apical shoot tissue of Pleurozium schreberi (striped bars) and … occurrence, mean percent cover (over all quadrats), and mean percent cover when present …","https://central.bac-lac.gc.ca/.item?id=MQ76410&op=pdf&app=Library&oclc_number=55885437","https://scholar.google.com/scholar?q=related:gXsKQUvhvS4J:scholar.google.com/&scioq=pleurozium+%22percent+cover%22&hl=en&as_sdt=2007"
5,"J Zhang","Ecological studies on interspecific interrelations between two mosses (Pleurozium schreberi and Dicranum polysetum) on the boreal forest floor",1998,"","search.proquest.com","https://search.proquest.com/openview/252211acb50eee7212d2859e1b125e55/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=10795048190188187125&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-12 09:23:05","BOOK","","","",,,,,5,0.19,5,1,26,"… of Dicranum polysetum and Pleurozium schreberi, branch … of Dicranum polysetum and Pleurozium schreberi, branch number, … of Dicranum polysetum and Pleurozium schreberi, branch …","","https://scholar.google.com/scholar?q=related:9e1jZSK3z5UJ:scholar.google.com/&scioq=pleurozium+%22percent+cover%22&hl=en&as_sdt=2007"
49,"TC Hutchinson, MG Scott","The response of the feather moss, Pleurozium schreberi, to 5 years of simulated acid precipitation in the Canadian boreal forest",1988,"Canadian Journal of Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/b88-012","https://scholar.google.com/scholar?cites=767819829939369329&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-12 09:23:05","","10.1139/b88-012","","",,,,,49,1.36,25,2,36,"… , Pleurozium schreberi (Brid.) Mitt., were established at a Canadian boreal forest site to study the effects of simulated acid precipitation on percent cover… in growth and percent cover of P. …","","https://scholar.google.com/scholar?q=related:cXUJNxHYpwoJ:scholar.google.com/&scioq=pleurozium+%22percent+cover%22&hl=en&as_sdt=2007"
5,"JW Harden, J Munster, KL Manies, MC Mack, JL Bubier","Changes in species, areal cover, and production of moss across a fire chronosequence in Interior Alaska",2009,"","researchgate.net","https://www.researchgate.net/profile/J-Harden-2/publication/237370438_Changes_in_Species_Areal_Cover_and_Production_of_Moss_across_a_Fire_Chronosequence_in_Interior_Alaska/links/00b7d52cc4429f3022000000/Changes-in-Species-Areal-Cover-and-Production-of-Moss-across-a-Fire-Chronosequence-in-Interior-Alaska.pdf","https://scholar.google.com/scholar?cites=1834574653626825777&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-12 09:23:05","PDF","","","",,,,,5,0.33,1,5,15,"… Growth increment ranged from <0.5 cm for Pleurozium spp. to more than 1 cm for … These polygon percent cover values were then summed to determine the total percent cover (percent) …","https://www.researchgate.net/profile/J-Harden-2/publication/237370438_Changes_in_Species_Areal_Cover_and_Production_of_Moss_across_a_Fire_Chronosequence_in_Interior_Alaska/links/00b7d52cc4429f3022000000/Changes-in-Species-Areal-Cover-and-Production-of-Moss-across-a-Fire-Chronosequence-in-Interior-Alaska.pdf","https://scholar.google.com/scholar?q=related:Mbxcb-23dRkJ:scholar.google.com/&scioq=pleurozium+%22percent+cover%22&hl=en&as_sdt=2007"
155,"NJ Fenton, Y Bergeron","Facilitative succession in a boreal bryophyte community driven by changes in available moisture and light",2006,"Journal of Vegetation Science","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1654-1103.2006.tb02424.x","https://scholar.google.com/scholar?cites=6726214787913330655&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-12 09:23:05","","10.1111/j.1654-1103.2006.tb02424.x","","",,,,,155,8.61,78,2,18,"… mosses into the previously bryophyte layer dominated by feathermosses (Pleurozium … Within each 25-m2 quadrat, all bryophyte species were identified and their percent cover visually …","https://www.jstor.org/stable/pdf/4096779.pdf","https://scholar.google.com/scholar?q=related:36-NbLZQWF0J:scholar.google.com/&scioq=pleurozium+%22percent+cover%22&hl=en&as_sdt=2007"
0,"MJ Simpson","The post-fire successional ecology of mosses in boreal white spruce (Picea glauca) forests in north-central Alberta, Canada",2007,"","era.library.ualberta.ca","https://era.library.ualberta.ca/items/860e3cff-4ba8-4230-9f97-8a974880fd51/download/66bae130-e21f-48ad-a4bd-2ac28c49cb63","",10,"2024-07-12 09:23:05","PDF","","","",,,,,0,0.00,0,1,17,"… of Pleurozium schreberi and Ptilium crista-castrensis; and (iv) test the hypothesis that the viability of vegetative fragments of Pleurozium … We estimated the percent cover of litter using the …","https://era.library.ualberta.ca/items/860e3cff-4ba8-4230-9f97-8a974880fd51/download/66bae130-e21f-48ad-a4bd-2ac28c49cb63","https://scholar.google.com/scholar?q=related:zirE6wKVHzwJ:scholar.google.com/&scioq=pleurozium+%22percent+cover%22&hl=en&as_sdt=2007"
