Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
46,"G Raeymaekers, JM Glime","Effects of simulated acidic rain and lead interaction on the phenology and chlorophyll content of Pleurozium schreberi (Brid.) Mitt.",1987,"The Journal of the Hattori Botanical …","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/jhbl/61/0/61_525/_article/-char/ja/","https://scholar.google.com/scholar?cites=5203552401401275333&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 13:08:46","","","","",,,,,46,1.24,23,2,37,"… We analyzed the growth of Pleurozium schreberi over one year (April 1984-1985) in plots … phenology. We initially described the maturation cycle (Greene 1966) of Pleurozium schreberi …","https://www.jstage.jst.go.jp/article/jhbl/61/0/61_525/_pdf","https://scholar.google.com/scholar?q=related:xWOn51a7NkgJ:scholar.google.com/&scioq=pleurozium+phenology&hl=en&as_sdt=2007"
100,"RE Longton, SW Greene","The Growth and Reproductive Cycle of Pleurozium schreberi (Brid.) Mitt",1969,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/33/1/83/166870","https://scholar.google.com/scholar?cites=11366688758054490337&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 13:08:46","","","","",,,,,100,1.82,50,2,55,"… ABSTRACT The reproductive cycle of the moss Pleurozium schreberi has been investigated by scoring over 600 specimens from Britain and elsewhere, and through regular …","https://www.jstor.org/stable/pdf/42908108.pdf","https://scholar.google.com/scholar?q=related:4ZBDwDOXvp0J:scholar.google.com/&scioq=pleurozium+phenology&hl=en&as_sdt=2007"
39,"FE Wielgolaski, L Kärenlampi","Plant phenology of Fennoscandian tundra areas",1975,"… Tundra Ecosystems: Part 1 Plants and …","Springer","https://link.springer.com/content/pdf/10.1007/978-3-642-80937-8_10?pdf=chapter%20toc","https://scholar.google.com/scholar?cites=3864402197823060328&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 13:08:46","","10.1007/978-3-642-80937-8_10","","",,,,,39,0.80,20,2,49,"… F or some species, eg Pleurozium schreberi, the intervals were considerably longer and irregular. Stem thickness-growth measurements were carried out by growth bands on …","","https://scholar.google.com/scholar?q=related:aHl7DlMdoTUJ:scholar.google.com/&scioq=pleurozium+phenology&hl=en&as_sdt=2007"
27,"LR Stark","Phenology and species concepts: A case study",1985,"Bryologist","JSTOR","https://www.jstor.org/stable/3243028","https://scholar.google.com/scholar?cites=14806113282626563692&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 13:08:46","","","","",,,,,27,0.69,27,1,39,"… Phenological characters are relevant to the biological species … in phenological characters is present in genera related to Forsstroemia indicating that several generalized phenological …","https://www.jstor.org/stable/pdf/3243028.pdf","https://scholar.google.com/scholar?q=related:bC4mm5Xhec0J:scholar.google.com/&scioq=pleurozium+phenology&hl=en&as_sdt=2007"
118,"LR Stark","Phenology and its repercussions on the reproductive ecology of mosses",2002,"The bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-105/issue-2/0007-2745_2002_105_0204_PAIROT_2.0.CO_2/Phenology-and-its-Repercussions-on-the-Reproductive-Ecology-of-Mosses/10.1639/0007-2745(2002)105[0204:PAIROT]2.0.CO;2.short","https://scholar.google.com/scholar?cites=558126712138255682&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-11 13:08:46","","10.1639/0007-2745(2002)105[0204:PAIROT]2.0.CO;2.short","","",,,,,118,5.36,118,1,22,"… and sex dimorphisms to be explored in Pleurozium schreberi (Brid) Mitt. Thus, these two papers provided the first comprehensive treatment of phenology and reproductive ecology for a …","https://www.jstor.org/stable/pdf/3244744.pdf","https://scholar.google.com/scholar?q=related:Qk2ooEndvgcJ:scholar.google.com/&scioq=pleurozium+phenology&hl=en&as_sdt=2007"
5,"F Maruo, S Imura","Phenology of Racomitrium lanuginosum growing at a seasonally snow-covered site on Mt. Fuji, Japan",2016,"Polar Science","Elsevier","https://www.sciencedirect.com/science/article/pii/S1873965216300639","https://scholar.google.com/scholar?cites=1946903705289632000&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 13:08:46","HTML","","","",,,,,5,0.63,3,2,8,"… The aim of this study was to clarify the phenological pattern of gametangium and sporophyte maturation in R. lanuginosum growing at a site with a short growth period because it …","https://www.sciencedirect.com/science/article/pii/S1873965216300639","https://scholar.google.com/scholar?q=related:ACmu1ZrKBBsJ:scholar.google.com/&scioq=pleurozium+phenology&hl=en&as_sdt=2007"
46,"RTT Forman","A system for studying moss phenology",1965,"Bryologist","JSTOR","https://www.jstor.org/stable/3240599","https://scholar.google.com/scholar?cites=17405469661235797782&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-11 13:08:46","","","","",,,,,46,0.78,46,1,59,"… a wide geographic are general phenology of the majority of our … the phenological stages of moss de ment and (2) to give an example of the use of this system. The need for phenological …","https://www.jstor.org/stable/pdf/3240599.pdf","https://scholar.google.com/scholar?q=related:Fl_MUnCmjPEJ:scholar.google.com/&scioq=pleurozium+phenology&hl=en&as_sdt=2007"
98,"RE Longton, SW Greene","Experimental studies of growth and reproduction in the moss Pleurozium schreberi (Brid.) Mitt.",1979,"Journal of bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.1979.10.3.321","https://scholar.google.com/scholar?cites=5689919539480102269&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 13:08:46","","10.1179/jbr.1979.10.3.321","","",,,,,98,2.18,49,2,45,"An experimental study of growth and reproduction in Pleurozium schreberi was undertaken to obtain information on the species seasonal pattern of growth and the previously reported …","","https://scholar.google.com/scholar?q=related:fQVEt6yn9k4J:scholar.google.com/&scioq=pleurozium+phenology&hl=en&as_sdt=2007"
28,"S Imura","Phenological study in two dioecious mosses, Atrichum rhystophyllum (C. Müll.) Par. and Pogonatum inflexum (Lindb.) Lac.",1994,"The Journal of the Hattori Botanical Laboratory","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/jhbl/76/0/76_105/_article/-char/ja/","https://scholar.google.com/scholar?cites=10666415098344164895&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 13:08:46","","","","",,,,,28,0.93,28,1,30,"… Pleurozium schreberi is pleurocarpous species, and the other species are acrocarpous. On pleurocarpous mosses, sexual organs are produced on lateral branches extending from the …","https://www.jstage.jst.go.jp/article/jhbl/76/0/76_105/_pdf","https://scholar.google.com/scholar?q=related:H86q0wS4BpQJ:scholar.google.com/&scioq=pleurozium+phenology&hl=en&as_sdt=2007"
2,"OO Oyesiku","Phenology of three mosses from Upper Ogun, a savanna area of Southwestern Nigeria",2016,"Ife Journal of Science","ajol.info","https://www.ajol.info/index.php/ijs/article/view/148376","https://scholar.google.com/scholar?cites=9326906252096006003&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 13:08:46","","","","",,,,,2,0.25,2,1,8,"… As a contribution to the phenological studies of Nigerian mosses, this paper reports studies on the seasonal patterns of development in the sexualreproduction organs in one …","https://www.ajol.info/index.php/ijs/article/download/148376/137879","https://scholar.google.com/scholar?q=related:c2eN-dHTb4EJ:scholar.google.com/&scioq=pleurozium+phenology&hl=en&as_sdt=2007"
