Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
162,"FS Chapin, WC Oechel, K Van Cleve, W Lawrence","The role of mosses in the phosphorus cycling of an Alaskan black spruce forest",1987,"Oecologia","Springer","https://link.springer.com/article/10.1007/bf00379375","https://scholar.google.com/scholar?cites=6633284578198816279&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-12 10:37:13","","10.1007/bf00379375","","",,,,,162,4.38,41,4,37,"… because phosphorus concentrations in new growth were higher in Hylocomium and Pleurozium … of the biomass and total phosphorus pool, mosses dominate the phosphorus flux to new …","https://www.jstor.org/stable/pdf/4218470.pdf?casa_token=UnnNVxrYr2cAAAAA:TZHe8azYuAowO8m0Z2TeMGMSdgJcjQsjziZCMzKhu0c5ARPrkXCVQ5mH8DdJR1WBdiyByI6-CQKS5B1gx1LZbBsdrzLwz_xJJfYJZVHxa2jGzZlzkYru_w","https://scholar.google.com/scholar?q=related:Fwae4S0pDlwJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
63,"JW Bates, AM Farmer","An Experimental Study of Calcium Acquisition and its Effects on the Calcifuge Moss Pleurozium schreberi",1990,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/65/1/87/208570","https://scholar.google.com/scholar?cites=13493159407881429256&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-12 10:37:13","","","","",,,,,63,1.85,32,2,34,"… The experimental treatments had no significant effect on intracellular phosphorus concentration in Pleurozium schreben, nor was a significant block effect detected by anova (Table 1) …","https://www.jstor.org/stable/pdf/42771377.pdf?casa_token=jTmQVJBm_68AAAAA:XNim7_aO-l6UbxvlJpjbN_K2d8ukf2S4730xCokKue20Ov-DApwCzYkikCRZjz1RyovRAI6nW_XHUZum4JfhirpM0C96BYVB_H6sJDuy9N6cJKaIULES9w","https://scholar.google.com/scholar?q=related:CCF-3P1UQbsJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
27,"O Zackrisson, A Dahlberg, G Norberg, MC Nilsson…","… on the effects of water availability and exclusion of fungal hyphae on nutrient uptake and establishment of Pinus sylvestris seedlings in carpets of the moss Pleurozium …",1998,"Ecoscience","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/11956860.1998.11682444","https://scholar.google.com/scholar?cites=10005712014606827511&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-12 10:37:13","","10.1080/11956860.1998.11682444","","",,,,,27,1.04,5,5,26,"… Abstract: The feathermoss Pleurozium schreberi has the capacity to suppress tree seedling regeneration in late successional northern boreal forests. We investigated, through a field …","https://www.jstor.org/stable/pdf/42900774.pdf?casa_token=ZFArqH9akK4AAAAA:OhSiM4TJUwSFtp4kwFYPJEFyTnAnNopC5CZ50JUeYPbOYYfISO068-57z__5Ml8VL2mhlWer9QQyp_raiBoLymLivYUTlLAlm6_g1AtakE87C-20Uvxz7A","https://scholar.google.com/scholar?q=related:939_kxBu24oJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
0,"P Martin Ortega","Water availability controls nitrogen fixation in the feather moss, Pleurozium schreberi",2008,"","stud.epsilon.slu.se","http://stud.epsilon.slu.se/12190","",4,"2024-07-12 10:37:13","","","","",,,,,0,0.00,0,1,16,"The influence of water availability in terms of amount and frequency of addition on N fixation of the feather moss Pleurozium schreberi was evaluated in a greenhouse experiment. Moss …","https://stud.epsilon.slu.se/12190/1/ortega_p_171106.pdf","https://scholar.google.com/scholar?q=related:UQ_FSODn3jwJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
36,"B Lafleur, D Paré, NJ Fenton, Y Bergeron","Growth and nutrition of black spruce seedlings in response to disruption of Pleurozium and Sphagnum moss carpets in boreal forested peatlands",2011,"Plant and soil","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11104-011-0767-1&casa_token=au4hrJ4NMeAAAAAA:tK6eb7-aV7XhBTd5eJZUElmDd6L28DcF35Zw_KNWFPLAYj50G7Lcj16RCXoziYDKl6TeDqBnPZEQhmEWgms","https://scholar.google.com/scholar?cites=14207742841482403443&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-12 10:37:13","HTML","10.1007/s11104-011-0767-1","","",,,,,36,2.77,9,4,13,"… and Pleurozium schreberi … Pleurozium schreberi carpets had a higher decomposition index than Sphagnum spp. carpets, whereas disturbance had no effect on this variable. Pleurozium …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11104-011-0767-1&casa_token=au4hrJ4NMeAAAAAA:tK6eb7-aV7XhBTd5eJZUElmDd6L28DcF35Zw_KNWFPLAYj50G7Lcj16RCXoziYDKl6TeDqBnPZEQhmEWgms","https://scholar.google.com/scholar?q=related:c16optYKLMUJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
48,"A Solga, JP Frahm","Nitrogen accumulation by six pleurocarpous moss species and their suitability for monitoring nitrogen deposition",2006,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/174328206X104552","https://scholar.google.com/scholar?cites=8988059343518207459&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-12 10:37:13","","10.1179/174328206X104552","","",,,,,48,2.67,24,2,18,"… , Hylocomium splendens, Pleurozium schreberi, Rhytidiadelphus … The results show that Pleurozium schreberi and … in the cases of Pleurozium schreberi and Rhytidiadelphus triquetrus…","","https://scholar.google.com/scholar?q=related:442IJloAvHwJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
64,"JA Carroll, D Johnson, M Morecroft, A Taylor…","The effect of long-term nitrogen additions on the bryophyte cover of upland acidic grasslands",2000,"Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.2000.22.2.83","https://scholar.google.com/scholar?cites=2064102082258880867&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-12 10:37:13","","10.1179/jbr.2000.22.2.83","","",,,,,64,2.67,13,5,24,"… Pleurozium schreberi, present at much lower cover values, however showed no significant … The nitrogen and phosphorus content of the diluted extracts was then determined using a …","","https://scholar.google.com/scholar?q=related:Y0kvYegppRwJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
5,"X Liu, Z Wang, X Li, W Bao","Nitrogen and phosphorus translocation of forest floor mosses as affected by a pulse of these nutrients",2020,"Journal of Plant Ecology","academic.oup.com","https://academic.oup.com/jpe/article-abstract/13/5/633/5891166","https://scholar.google.com/scholar?cites=9825018319553794377&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-12 10:37:13","","","","",,,,,5,1.25,1,4,4,"… Nitrogen and phosphorus pulse treatments lead to increased respective nutrient … Phosphorus pulse treatments lead to slightly decreased N concentration in A. hookeri (R 2 = …","https://academic.oup.com/jpe/article/13/5/633/5891166","https://scholar.google.com/scholar?q=related:SZG1QBt6WYgJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
13,"P Kapusta, B Godzik","Does heavy metal deposition affect nutrient uptake by moss Pleurozium schreberi?",2013,"E3S Web of Conferences","e3s-conferences.org","https://www.e3s-conferences.org/articles/e3sconf/abs/2013/01/e3sconf_ichm13_29005/e3sconf_ichm13_29005.html","https://scholar.google.com/scholar?cites=9965402288086496523&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-12 10:37:13","","","","",,,,,13,1.18,7,2,11,"… The aim of the study was to evaluate the heavy metal deposition in Poland using moss Pleurozium schreberi as a bioindicator, and check whether C/N, C/S, C/P and Ca/Mg ratios in …","https://www.e3s-conferences.org/articles/e3sconf/pdf/2013/01/e3sconf_ichm13_29005.pdf","https://scholar.google.com/scholar?q=related:C7VCAZU4TIoJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
31,"DW Carter, JM Arocena","Soil formation under two moss species in sandy materials of central British Columbia (Canada)",2000,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706100000598","https://scholar.google.com/scholar?cites=8983421549367245435&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-12 10:37:13","","","","",,,,,31,1.29,16,2,24,"… Our results indicate a higher intensity of podzolization under Ptilium compared to Pleurozium, … The concentration of easily extractable phosphorus was determined using the Bray …","","https://scholar.google.com/scholar?q=related:e7qfjU2Gq3wJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
1,"L Avila Clasen, A Permin, AB Horwath, DB Metcalfe…","Do nitrogen and phosphorus additions affect nitrogen fixation associated with tropical mosses?",2023,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/12/7/1443","https://scholar.google.com/scholar?cites=1037075254579001362&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-12 10:37:13","HTML","","","",,,,,1,1.00,0,5,1,"… [28] applied different rates of inorganic and organic N to two mosses (Pleurozium schreberi and Sphagnum campillifolium) and found variable results, where inhibition of nitrogenase …","https://www.mdpi.com/2223-7747/12/7/1443","https://scholar.google.com/scholar?q=related:EniHCnNuZA4J:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
13,"S Manninen, MK Sassi, K Lovén","Effects of nitrogen oxides on ground vegetation, Pleurozium schreberi and the soil beneath it in urban forests",2013,"Ecological indicators","Elsevier","https://www.sciencedirect.com/science/article/pii/S1470160X12002993","https://scholar.google.com/scholar?cites=6517643446495839883&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-12 10:37:13","","","","",,,,,13,1.18,4,3,11,"… of ground layer vegetation, dry biomass and shoot length of Pleurozium schreberi ((Brid.) Mitt.), … Pleurozium schreberi acclimates to open urban forests by increasing biomass production …","","https://scholar.google.com/scholar?q=related:i4YJwS5Sc1oJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
0,"H Gustafsson","The effect of moisture, litter and stand age on N fixation in the feathermoss, Pleurozium schreberi",2008,"","stud.epsilon.slu.se","https://stud.epsilon.slu.se/12191/","",13,"2024-07-12 10:37:13","","","","",,,,,0,0.00,0,1,16,"… that live in association with the moss Pleurozium schreberi. There is currently limited … Investigation of the role of phosphorus in symbiotic dinitrogen fixation Plant Physiology 84, …","https://stud.epsilon.slu.se/12191/1/gustafsson_h_171106.pdf","https://scholar.google.com/scholar?q=related:dxCdRXXEa7wJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
26,"JP JÄPPINEN, JP HOTANEN","Effect of fertilization on the abundance of bryophytes in two drained peatland forests in Eastern Finland",1990,"Annales Botanici Fennici","JSTOR","https://www.jstor.org/stable/23725422?casa_token=2WfZHK9F1usAAAAA:PUZbIv-ypgdPkucbfqTsgy_f63p848-xpytbqWu3KkzVNwoCxrdlDvajAAUnAkAke7xncYHmHULtvaG8y6jkBqYg02LfrRGGJawH7nrj96l-KVzFIv43xQ","https://scholar.google.com/scholar?cites=3617847980446991178&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-12 10:37:13","","","","",,,,,26,0.76,13,2,34,"… The coverage of Pleurozium schreberi was usually after reditching and fertilization. See … (Summary: Effects of drainage and fertili zation on nitrogen and phosphorus contents of …","https://www.jstor.org/stable/pdf/23725422.pdf?casa_token=Uc61b8fQ-6YAAAAA:IQM8fyAdeWaZc0JOnJwXVgT6ibq00XbIZ71cWuSBs1MxslXm8jubhSNfexgyB5G72J2FlF_j3VKWelfcj_A0WfHJlXvHqwfDbuz0ipAWQTXkW6J8yrP5YA","https://scholar.google.com/scholar?q=related:SkPo7ZEtNTIJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
5,"KE Mason, S Oakley, LE Street, M Arróniz-Crespo…","Boreal Forest Floor Greenhouse Gas Emissions Across a Pleurozium schreberi-Dominated, Wildfire-Disturbed Chronosequence",2019,"Ecosystems","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10021-019-00344-2&casa_token=ITM6jroMx_gAAAAA:FLWcqQsGdmymzYG7GUMm_M_fOU72cc2ViNh636UhyracXmrCGsa2T0donzkFGPOAXizFB4sOx2whU6MWFxc","https://scholar.google.com/scholar?cites=14412847590987695206&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-12 10:37:13","HTML","10.1007/s10021-019-00344-2","","",,,,,5,1.00,1,5,5,"… to determine the relationships between time since last wildfire (hereafter ‘time since fire’, TSF), soil properties, and forest floor GHG emissions of CO 2 , CH 4 , and N 2 O in Pleurozium …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10021-019-00344-2&casa_token=ITM6jroMx_gAAAAA:FLWcqQsGdmymzYG7GUMm_M_fOU72cc2ViNh636UhyracXmrCGsa2T0donzkFGPOAXizFB4sOx2whU6MWFxc","https://scholar.google.com/scholar?q=related:ZoSqfoW4BMgJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
24,"K Sokołowska, M Turzańska, MC Nilsson","Symplasmic and apoplasmic transport inside feather moss stems of Pleurozium schreberi and Hylocomium splendens",2017,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/120/5/805/4259602","https://scholar.google.com/scholar?cites=13365050939933147359&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-12 10:37:13","","","","",,,,,24,3.43,8,3,7,"… The ubiquitous feather mosses Pleurozium schreberi and Hylocomium splendens form a thick, … Pleurozium schreberi is also capable of apoplasmic internal long-distance transport via a …","https://academic.oup.com/aob/article/120/5/805/4259602","https://scholar.google.com/scholar?q=related:30C3zwQzerkJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
74,"JW Bates","Responses of the mosses Brachythecium rutabulum and Pseudoscleropodium purum to a mineral nutrient pulse",1994,"Functional ecology","JSTOR","https://www.jstor.org/stable/2390227?casa_token=IT0TGEeNmjIAAAAA:LxigN5JF207Wqq194DepvjhlhyyNK2bthUv_oI8bKx5QJ6KDdGwFUrGyU_2JTrlKRQp4Kp1A3r4FghIlqvzdQ8eRpus0a0Nkq2mBegIn22Hj9LheH7CsaA","https://scholar.google.com/scholar?cites=13126914334959007360&as_sdt=2005&sciodt=2007&hl=en",17,"2024-07-12 10:37:13","","","","",,,,,74,2.47,74,1,30,"… A mineral nutrient 'pulse' was given to half the individuals (four pots) of each species by spraying the plants to saturation with an aqueous solution containing nitrogen, phosphorus and …","https://www.jstor.org/stable/pdf/2390227.pdf?casa_token=_V8QwWGD0pUAAAAA:GnEg7z1-Ef31Pm-tD05dRit7TU5FDmo-BD8FsfPGDF3v6Rv0aTZscYd4fj5gbG0ja7ojsgs6BQIgk-txyDtTUVpZi9RS8PrS0zvMu9Wg7KOnML1t3U8lIg","https://scholar.google.com/scholar?q=related:gPY2zAkrLLYJ:scholar.google.com/&scioq=pleurozium+phosphorus&hl=en&as_sdt=2007"
