Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
157,"TG Williams, LB Flanagan","Measuring and modelling environmental influences on photosynthetic gas exchange in Sphagnum and Pleurozium",1998,"Plant, Cell &Environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?cites=9685983540770307951&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 09:35:07","","10.1046/j.1365-3040.1998.00292.x","","",,,,,157,6.04,79,2,26,"… Measurements of gas exchange for Sphagnum and Pleurozium were made in an old … photosynthetic apparatus. In contrast, no seasonal variation in V max was observed in Pleurozium …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?q=related:b__kN7aGa4YJ:scholar.google.com/&scioq=pleurozium+photosynthesis&hl=en&as_sdt=2007"
34,"EAVM ARO, N Valanne","Effect of Continous Light on CO2 Fixation and Chloroplast Structure of the Mosses Pleurozium schreberi and Ceratodon purpureus",1979,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.1979.tb02614.x","https://scholar.google.com/scholar?cites=13549773942383978180&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 09:35:07","","10.1111/j.1399-3054.1979.tb02614.x","","",,,,,34,0.76,17,2,45,"… In the present investigation the net photosynthetic rate was studied in relation to the activity of … structure of the photosynthetic apparatus in two moss species, Pleurozium schreberi and …","","https://scholar.google.com/scholar?q=related:xCakXpx3CrwJ:scholar.google.com/&scioq=pleurozium+photosynthesis&hl=en&as_sdt=2007"
45,"M Tobias, Ü Niinemets","Acclimation of photosynthetic characteristics of the moss Pleurozium schreberi to among‐habitat and within‐canopy light gradients",2010,"Plant Biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1438-8677.2009.00285.x","https://scholar.google.com/scholar?cites=17065672971556172060&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 09:35:07","","10.1111/j.1438-8677.2009.00285.x","","",,,,,45,3.21,23,2,14,"… photosynthetic electron transport capacity (J max ) along habitat and canopy light gradients in the widespread, temperate moss Pleurozium … chemistry and photosynthetic characteristics …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1438-8677.2009.00285.x","https://scholar.google.com/scholar?q=related:HDGXWiZz1ewJ:scholar.google.com/&scioq=pleurozium+photosynthesis&hl=en&as_sdt=2007"
262,"TG Williams, LB Flanagan","Effect of changes in water content on photosynthesis, transpiration and discrimination against 13CO2 and C18O16O in Pleurozium and Sphagnum",1996,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00333212","https://scholar.google.com/scholar?cites=3808195268485381253&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 09:35:07","","10.1007/BF00333212","","",,,,,262,9.36,131,2,28,"… Pleurozium and 500 btmol m -2 s I for Sphagnum. Both of these intensities were saturating for photosynthesis; the lower light for Pleurozium … Pleurozium was treated in a similar manner. …","https://www.jstor.org/stable/pdf/4221384.pdf","https://scholar.google.com/scholar?q=related:hfxkhWtt2TQJ:scholar.google.com/&scioq=pleurozium+photosynthesis&hl=en&as_sdt=2007"
26,"SK Rice, N Neal, J Mango, K Black","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-114/issue-2/0007-2745-114.2.367/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the/10.1639/0007-2745-114.2.367.short","https://scholar.google.com/scholar?cites=10331985589368611300&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-11 09:35:07","","10.1639/0007-2745-114.2.367.short","","",,,,,26,2.00,7,4,13,"… In bryophytes, rates of net photosynthesis vary among populations. How this variation is … feathermoss Pleurozium schreberi, to develop an empirical model to predict net photosynthesis …","https://www.jstor.org/stable/pdf/41289793.pdf","https://scholar.google.com/scholar?q=related:5GHF_iaWYo8J:scholar.google.com/&scioq=pleurozium+photosynthesis&hl=en&as_sdt=2007"
40,"NM Lappalainen, S Huttunen…","Acclimation of a pleurocarpous moss Pleurozium schreberi (Britt.) Mitt. to enhanced ultraviolet radiation in situ",2008,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2007.01489.x","https://scholar.google.com/scholar?cites=1427191702038765834&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 09:35:07","","10.1111/j.1365-2486.2007.01489.x","","",,,,,40,2.50,13,3,16,"… The amount of photosynthetic pigments correlated with the … , the chlorophylls and carotenoids of Pleurozium do not react to … According to our results, Pleurozium has an average ratio of …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2486.2007.01489.x","https://scholar.google.com/scholar?q=related:CuFnmkpnzhMJ:scholar.google.com/&scioq=pleurozium+photosynthesis&hl=en&as_sdt=2007"
203,"O Skre, WC Oechel","Moss functioning in different taiga ecosystems in interior Alaska: I. Seasonal, phenotypic, and drought effects on photosynthesis and response patterns",1981,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00346987","https://scholar.google.com/scholar?cites=64472387361437476&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-11 09:35:07","","10.1007/BF00346987","","",,,,,203,4.72,102,2,43,"… temperature for photosynthesis decreased gradually with increasing age of tissue. In 2-year-old tissue (G3) of Pleurozium there was no positive net photosynthesis at temperatures …","https://www.jstor.org/stable/pdf/4216267.pdf","https://scholar.google.com/scholar?q=related:JPd_cksN5QAJ:scholar.google.com/&scioq=pleurozium+photosynthesis&hl=en&as_sdt=2007"
1,"P Dziurowicz, P Falowska, K Waszkiewicz…","Changes in photosynthetic activity of the Lichen Cladonia mitis and the Moss Pleurozium schreberi under artificial high-energy lighting in laboratory conditions",2022,"Acta Biologica …","yadda.icm.edu.pl","https://yadda.icm.edu.pl/yadda/element/bwmeta1.element.agro-f6bfd0e5-0808-4797-8903-f81d0cd9b1a2/c/23-33.pdf","https://scholar.google.com/scholar?cites=12778639782847440994&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 09:35:07","PDF","","","",,,,,1,0.50,0,4,2,"… environmental factors have a stressful effect on photosynthetically active organisms. High-intensity … in photosynthetic activity of the lichen Cladonia mitis and the bryophyte Pleurozium …","https://yadda.icm.edu.pl/yadda/element/bwmeta1.element.agro-f6bfd0e5-0808-4797-8903-f81d0cd9b1a2/c/23-33.pdf","https://scholar.google.com/scholar?q=related:YuhLqS3ZVrEJ:scholar.google.com/&scioq=pleurozium+photosynthesis&hl=en&as_sdt=2007"
0,"P Dziurowicz, P Fałowska, K Waszkiewicz…","Effect of light stress on maximum photochemical efficiency of photosystem II and chloroplast structure in cryptogams Cladonia mitis and Pleurozium schreberi",2024,"Ecological …","apcz.umk.pl","https://apcz.umk.pl/EQ/article/view/47114","",9,"2024-07-11 09:35:07","","","","",,,,,0,0.00,0,4,1,"… Among the results, we find information that dehydration damages the photosynthetic … differences in the photosynthetic activity of Cladonia mitis and Pleurozium schreberi depending on …","https://apcz.umk.pl/EQ/article/download/47114/38092","https://scholar.google.com/scholar?q=related:5DfyGizk9X8J:scholar.google.com/&scioq=pleurozium+photosynthesis&hl=en&as_sdt=2007"
21,"T Nakatsubo, Y Takamine, Y Ino","Response patterns of net photosynthesis to moisture of mosses in xeric habitats",1989,"The botanical magazine= Shokubutsu …","Springer","https://link.springer.com/article/10.1007/BF02488113","https://scholar.google.com/scholar?cites=11926613598074783876&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 09:35:07","","10.1007/BF02488113","","",,,,,21,0.60,7,3,35,"… A similar difference was observed between Rhacomitrium lanuginosum and Pleurozium schreberi in the present study ; water potential was lower in the latter species at a moisture level …","","https://scholar.google.com/scholar?q=related:hEiXpuDXg6UJ:scholar.google.com/&scioq=pleurozium+photosynthesis&hl=en&as_sdt=2007"
