Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
58,"AK Jägerbrand, G Kudo","Short-Term Responses in Maximum Quantum Yield of PSII (Fv/Fm) to ex situ Temperature Treatment of Populations of Bryophytes Originating from Different …",2016,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/5/2/22","https://scholar.google.com/scholar?cites=8945982406604997204&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 11:07:08","HTML","","","",,,,,58,7.25,29,2,8,"… quantum yield of PSII (Fv/Fm) could be used as an indicator of adaptation or temperature stress in two bryophyte species: Pleurozium … In Pleurozium schreberi, there were no significant …","https://www.mdpi.com/2223-7747/5/2/22","https://scholar.google.com/scholar?q=related:VMKV2JmDJnwJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
19,"AK Jägerbrand, JM Alatalo, G Kudo","Variation in responses to temperature treatments ex situ of the moss Pleurozium schreberi (Willd. ex Brid.) Mitt. originating from eight altitude sites in Hokkaido …",2014,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282014Y.0000000095","https://scholar.google.com/scholar?cites=4024504108260252924&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 11:07:08","","10.1179/1743282014Y.0000000095","","",,,,,19,1.90,6,3,10,"… A maximum quantum yield of PS II (Fv/Fm) between 0·62–0·75, as was found in this study, would be considered low compared with vascular plants (eg. Björkman &Demmig, Citation…","https://www.researchgate.net/profile/Juha-Alatalo/publication/261958478_Variation_in_responses_to_temperature_treatments_ex_situ_of_the_moss_Pleurozium_schreberi_Willd_Ex_Brid_Mitt_originating_from_eight_altitude_sites_in_Hokkaido_Japan/links/553dfd140cf2fbfe509b7edd/Variation-in-responses-to-temperature-treatments-ex-situ-of-the-moss-Pleurozium-schreberi-Willd-Ex-Brid-Mitt-originating-from-eight-altitude-sites-in-Hokkaido-Japan.pdf","https://scholar.google.com/scholar?q=related:_Nzz6Snp2TcJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
2,"YF Cameán, M Barták","Limitation of photosynthetic processes in photosystem II in alpine mosses exposed to low temperatures: Response of chlorophyll fluorescence parameters",2018,"Czech Polar Reports","journals.muni.cz","https://journals.muni.cz/CPR/article/view/12929","https://scholar.google.com/scholar?cites=14429838887358505560&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 11:07:08","","","","",,,,,2,0.33,1,2,6,"… Pleurozium … quantum yield of PS II, ψ0 is the probability that a trapped exciton is used for electron transport beyond QA, φEo is the quantum yield for ET, φDo is the quantum yield (at t=0) …","https://journals.muni.cz/CPR/article/download/12929/11281","https://scholar.google.com/scholar?q=related:WCIf9wMWQcgJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
76,"T Hájek, ES Tuittila, M Ilomets, R Laiho","Light responses of mire mosses–a key to survival after water‐level drawdown?",2009,"Oikos","Wiley Online Library","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0706.2008.16528.x","https://scholar.google.com/scholar?cites=10955330251575589616&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 11:07:08","HTML","10.1111/j.1600-0706.2008.16528.x","","",,,,,76,5.07,19,4,15,"… had lower photosynthetic capacity and maximum quantum yield than those found to grow in the … Pleurozium schreberi reached photosynthetic light saturation at half the irradiance level …","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1600-0706.2008.16528.x","https://scholar.google.com/scholar?q=related:8PpA6tEmCZgJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
5,"AK Jägerbrand","Dead or alive? Testing the use of C: N ratios and chlorophyll fluorescence in vertical shoot profiles to determine depth of vitality and point of senescence in …",2015,"Lindbergia","BioOne","https://bioone.org/journals/lindbergia/volume-38/issue-1/linbg.01062/Dead-or-alive-Testing-the-use-of-C-N-ratios/10.25227/linbg.01062.full","https://scholar.google.com/scholar?cites=8268517355574515903&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-11 11:07:08","HTML","10.25227/linbg.01062.full","","",,,,,5,0.56,5,1,9,"… segments in the shoot profile depth of Pleurozium schreberi from Mt Oakan, Hokkaido, northern Japan. Figure with dual axes showing Fv/Fm, maximum quantum yield of PS II, on left (…","https://bioone.org/journals/lindbergia/volume-38/issue-1/linbg.01062/Dead-or-alive-Testing-the-use-of-C-N-ratios/10.25227/linbg.01062.full","https://scholar.google.com/scholar?q=related:v9gr9rmsv3IJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
11,"X Liu, Z Wang, W Bao, XM Li","Photosynthetic responses of two pleurocarpous mosses to low-level nitrogen addition: a study in an old-growth fir forest",2015,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282014Y.0000000122","https://scholar.google.com/scholar?cites=16392901012143421178&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 11:07:08","","10.1179/1743282014Y.0000000122","","",,,,,11,1.22,3,4,9,"… Our results indicate that added low-level N was mainly absorbed by the new growth, the quantum yield of PSII was stimulated by N addition after 8 days and that the faster growing H. …","https://www.researchgate.net/profile/Xin-Liu-205/publication/275953488_Photosynthetic_responses_of_two_pleurocarpous_mosses_to_low-level_nitrogen_addition_A_study_in_an_old-growth_fir_forest/links/554acbf70cf21ed21358ff08/Photosynthetic-responses-of-two-pleurocarpous-mosses-to-low-level-nitrogen-addition-A-study-in-an-old-growth-fir-forest.pdf","https://scholar.google.com/scholar?q=related:-jbzAp5If-MJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
12,"P Świsłowski, M Rajfur, M Wacławek","Influence of Heavy Metal Concentration on Chlorophyll Content in Mosses",2020,"Ecological Chemistry and …","sciendo.com","https://sciendo.com/article/10.2478/eces-2020-0037","https://scholar.google.com/scholar?cites=3841909726484228736&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-11 11:07:08","","10.2478/eces-2020-0037","","",,,,,12,3.00,4,3,4,"… The species used for this study was the moss Pleurozium schreberi. It was collected in … photochemical efficiency [Y(II)] or maximum quantum yield (Fv/Fm). Attention should also be paid …","https://sciendo.com/pdf/10.2478/eces-2020-0037","https://scholar.google.com/scholar?q=related:gOo1eoo0UTUJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
49,"L Kangas, L Maanavilja, T Hájek, E Juurola…","Photosynthetic traits of Sphagnum and feather moss species in undrained, drained and rewetted boreal spruce swamp forests",2014,"Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.939","https://scholar.google.com/scholar?cites=1513499110495218807&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 11:07:08","","10.1002/ece3.939","","",,,,,49,4.90,10,5,10,"… of PSII (Φ PSII ), and the maximum potential quantum yield (F v /F m ), we applied linear … rewetting differ between Sphagnum girgensohnii and Pleurozium schreberi – the two species …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.939","https://scholar.google.com/scholar?q=related:d-zvEGwHARUJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
9,"X Zhu, V Nimmo, J Wu, R Thomas","Sphagnum outcompetes feathermosses in their photosynthetic adaptation to postharvest black spruce forests",2019,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2019-0076","https://scholar.google.com/scholar?cites=9732328113305871832&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 11:07:08","","10.1139/cjb-2019-0076","","",,,,,9,1.80,2,4,5,"… (Hylocomium, Ptilium et Pleurozium) qui coexistent dans les … -inhibition, particulièrement chez Pleurozium qui subissait une … capacity, (ii) quantum yield determining the efficiency of …","https://cdnsciencepub.com/doi/pdf/10.1139/cjb-2019-0076","https://scholar.google.com/scholar?q=related:2OUk39osEIcJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
44,"KS Maseyk, TGA Green, D Klinac","Photosynthetic responses of New Zealand Sphagnum species",1999,"New Zealand Journal of Botany","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/0028825X.1999.9512621","https://scholar.google.com/scholar?cites=8958110721800636551&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 11:07:08","","10.1080/0028825X.1999.9512621","","",,,,,44,1.76,15,3,25,"… This response is a result of a typical decline in IPSII (the effective quantum yield of photosystem II) with increasing incident PFD. The brown Mamaku S. cristatum sample, however, did …","https://www.tandfonline.com/doi/pdf/10.1080/0028825X.1999.9512621","https://scholar.google.com/scholar?q=related:h4iLRz2aUXwJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
3,"P Świsłowski, A Nowak, M Rajfur","Comparison of exposure techniques and vitality assessment of mosses in active biomonitoring for their suitability in assessing heavy metal pollution in atmospheric …",2022,"… Toxicology and Chemistry","Wiley Online Library","https://setac.onlinelibrary.wiley.com/doi/abs/10.1002/etc.5321","https://scholar.google.com/scholar?cites=3617415772380148434&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-11 11:07:08","","10.1002/etc.5321","","",,,,,3,1.50,1,3,2,"… The actual quantum yield of photosystem II photochemical was also analyzed as the main … , and (2) gametophytes of the moss Pleurozium schreberi exposed in urban areas by the moss-…","","https://scholar.google.com/scholar?q=related:0jKdpXqkMzIJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
0,"AV Chasov, FV Minibaeva","Photosynthetic Apparatus of Hylocomium Brilliant Moss Resistant to Extreme Low Temperatures",2023,"Russian Journal of Ecology","Springer","https://link.springer.com/article/10.1134/S1067413623060036","",12,"2024-07-11 11:07:08","","10.1134/S1067413623060036","","",,,,,0,0.00,0,2,1,"… In this regard, fast light response curves were analyzed, providing information on the maximum photosynthetic capacity, quantum yield, and efficiency of the use of radiation by moss …","https://scholar.google.com/scholar?output=instlink&q=info:jety-jaJm_EJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=16346917791820700165&oi=lle","https://scholar.google.com/scholar?q=related:jety-jaJm_EJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
118,"MJ Gundale, M Nilsson, S Bansal…","The interactive effects of temperature and light on biological nitrogen fixation in boreal forests",2012,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2012.04071.x","https://scholar.google.com/scholar?cites=18292955686561151879&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-11 11:07:08","","10.1111/j.1469-8137.2012.04071.x","","",,,,,118,9.83,30,4,12,"… by two boreal feather mosses, Pleurozium schreberi and Hylocomium splendens, which are … of saturating light to determine the effective PS II quantum yield (φ p ), which represents the …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.2012.04071.x","https://scholar.google.com/scholar?q=related:h3tw1Uai3f0J:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
1,"A Egawa","The potential use of ultraviolet-absorbing compounds for reconstructing past climate in Antarctic mosses",2018,"","ro.uow.edu.au","https://ro.uow.edu.au/theses1/424/","https://scholar.google.com/scholar?cites=9613109028015938828&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-11 11:07:08","","","","",,,,,1,0.17,1,1,6,"Mosses which are the dominant plants in Antarctica, have to tolerate harsh environments such as cold temperatures, freezing and desiccation. In addition, ozone depletion has led to …","https://ro.uow.edu.au/cgi/viewcontent.cgi?article=1415&context=theses1","https://scholar.google.com/scholar?q=related:DJ39gbqfaIUJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
7,"L Liepina, G Ievinsh","Potential for fast chlorophyll a fluorescence measurement in bryophyte ecophysiology",2013,"Estonian Journal of Ecology","vana.kirj.ee","http://vana.kirj.ee/public/Ecology/2013/issue_2/ecol-2013-2-137-149.pdf","https://scholar.google.com/scholar?cites=3284856956727076398&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-11 11:07:08","PDF","","","",,,,,7,0.64,4,2,11,"The aim of the study was to analyse if the measurement of fast fluorescence induction kinetics in bryophyte samples in field conditions could be used for characterizing the …","http://vana.kirj.ee/public/Ecology/2013/issue_2/ecol-2013-2-137-149.pdf","https://scholar.google.com/scholar?q=related:Liawi_8nli0J:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
1,"L Kangas, L Maanavilja, T Hájek, E Juurola…","Sphagnum ecophysiology of restored, drained, and pristine boreal spruce swamp forests",2012,"International Peat …","peatlands.org","https://peatlands.org/assets/uploads/2019/06/Kangas-187.pdf","https://scholar.google.com/scholar?cites=37844378679960530&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-11 11:07:08","PDF","","","",,,,,1,0.08,0,5,12,"… from each site, with Pleurozium schreberi and Sphagnum girgensohnii … Measurements of quantum yield of PSII were taken at the … We also calculated the maximum quantum yield of CO2 …","https://peatlands.org/assets/uploads/2019/06/Kangas-187.pdf","https://scholar.google.com/scholar?q=related:0uP2C0NzhgAJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
12,"P Świsłowski, A Nowak, M Rajfur","Is your moss alive during active biomonitoring study?",2021,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/10/11/2389","https://scholar.google.com/scholar?cites=16528150898122455158&as_sdt=2005&sciodt=2007&hl=en",17,"2024-07-11 11:07:08","HTML","","","",,,,,12,4.00,4,3,3,"… The purpose of the study was to assess the survival of Pleurozium schreberi moss during … content are related to the maximum quantum yield of primary photochemistry. Results …","https://www.mdpi.com/2223-7747/10/11/2389","https://scholar.google.com/scholar?q=related:dnikBKzJX-UJ:scholar.google.com/&scioq=pleurozium+%22quantum+yield%22&hl=en&as_sdt=2007"
