Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"Z Ziembik, A Dołhańczuk-Śródka, T Majcherczyk…","Illustration of constrained composition statistical methods in the interpretation of radionuclide concentrations in the moss Pleurozium schreberi",2013,"Journal of environmental …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0265931X12000859","https://scholar.google.com/scholar?cites=500576898882932886&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 11:55:22","","","","",,,,,13,1.18,3,4,11,"In this work we have used moss Pleurozium schreberi as a bioindicator of radioactive materials in environment. The following radionuclides were determined in moss samples: 137 Cs, …","","https://scholar.google.com/scholar?q=related:lhCvkAlo8gYJ:scholar.google.com/&scioq=pleurozium+scattering&hl=en&as_sdt=2007"
26,"SK Rice, N Neal, J Mango, K Black","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-114/issue-2/0007-2745-114.2.367/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the/10.1639/0007-2745-114.2.367.short","https://scholar.google.com/scholar?cites=10331985589368611300&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 11:55:22","","10.1639/0007-2745-114.2.367.short","","",,,,,26,2.00,7,4,13,"… The objectives of this study were to characterize functional trait relationships in the widespread feathermoss Pleurozium schreberi , to develop an empirical model to predict net …","https://www.jstor.org/stable/pdf/41289793.pdf","https://scholar.google.com/scholar?q=related:5GHF_iaWYo8J:scholar.google.com/&scioq=pleurozium+scattering&hl=en&as_sdt=2007"
2,"R Fernandes, HP White, DR Peddle…","The reflectance of Pleurozium scheberi as a function of water status and its implications on understory reflectance variations for BOREAS sites",1996,"IGARSS'96. 1996 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/516294/","https://scholar.google.com/scholar?cites=4063857700147035375&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 11:55:22","","","","",,,,,2,0.07,1,4,28,"A controlled laboratory experiment was conducted to test the null hypothesis that the nadir reflectance of Pleurozium scheberi (a feather moss) in the red (/spl rho//sub RED/), near-…","","https://scholar.google.com/scholar?q=related:7_z_Cgy5ZTgJ:scholar.google.com/&scioq=pleurozium+scattering&hl=en&as_sdt=2007"
100,"RE Longton, SW Greene","The Growth and Reproductive Cycle of Pleurozium schreberi (Brid.) Mitt",1969,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/33/1/83/166870","https://scholar.google.com/scholar?cites=11366688758054490337&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 11:55:22","","","","",,,,,100,1.82,50,2,55,"The reproductive cycle of the moss Pleurozium schreberi has been investigated by scoring over 600 specimens from Britain and elsewhere, and through regular observations on …","https://www.jstor.org/stable/pdf/42908108.pdf","https://scholar.google.com/scholar?q=related:4ZBDwDOXvp0J:scholar.google.com/&scioq=pleurozium+scattering&hl=en&as_sdt=2007"
0,"P Dziurowicz, P Fałowska, K Waszkiewicz…","Effect of light stress on maximum photochemical efficiency of photosystem II and chloroplast structure in cryptogams Cladonia mitis and Pleurozium schreberi",2024,"Ecological …","apcz.umk.pl","https://apcz.umk.pl/EQ/article/view/47114","",5,"2024-07-11 11:55:22","","","","",,,,,0,0.00,0,4,1,"… The fluorescence of chloroplasts of the moss Pleurozium schreberi varied over time depending on the type of light. Referring to the FL sample, a decrease in the fluorescence of the …","https://apcz.umk.pl/EQ/article/download/47114/38092","https://scholar.google.com/scholar?q=related:5DfyGizk9X8J:scholar.google.com/&scioq=pleurozium+scattering&hl=en&as_sdt=2007"
65,"RE Longton, SW Greene","Relationship between Sex Distribution and Sporophyte Production in Pleurozium schreberi (Brid.) Mitt.",1969,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/33/1/107/166566","https://scholar.google.com/scholar?cites=12562921397152045388&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 11:55:22","","","","",,,,,65,1.18,33,2,55,"… ABSTRACT The distribution of perigonia, perichaetia, and sporophytes of Pleurozium schre… : fruiting collections have been examined from scattered localities throughout much of the …","https://www.jstor.org/stable/pdf/42908109.pdf","https://scholar.google.com/scholar?q=related:TNlmEnN2WK4J:scholar.google.com/&scioq=pleurozium+scattering&hl=en&as_sdt=2007"
1,"P Dziurowicz, P Falowska, K Waszkiewicz…","Changes in photosynthetic activity of the Lichen Cladonia mitis and the Moss Pleurozium schreberi under artificial high-energy lighting in laboratory conditions",2022,"Acta Biologica …","yadda.icm.edu.pl","https://yadda.icm.edu.pl/yadda/element/bwmeta1.element.agro-f6bfd0e5-0808-4797-8903-f81d0cd9b1a2/c/23-33.pdf","https://scholar.google.com/scholar?cites=12778639782847440994&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-11 11:55:22","PDF","","","",,,,,1,0.50,0,4,2,"… The purpose of the conducted research was to observe changes in photosynthetic activity of the lichen Cladonia mitis and the bryophyte Pleurozium schreberi exposed to artificial high-…","https://yadda.icm.edu.pl/yadda/element/bwmeta1.element.agro-f6bfd0e5-0808-4797-8903-f81d0cd9b1a2/c/23-33.pdf","https://scholar.google.com/scholar?q=related:YuhLqS3ZVrEJ:scholar.google.com/&scioq=pleurozium+scattering&hl=en&as_sdt=2007"
321,"DR Foster","Vegetation development following fire in Picea mariana (black spruce)-Pleurozium forests of south-eastern Labrador, Canada",1985,"The Journal of Ecology","JSTOR","https://www.jstor.org/stable/2260491","https://scholar.google.com/scholar?cites=15439464125453920227&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 11:55:22","","","","",,,,,321,8.23,321,1,39,"The pattern of post-fire vegetation development in Picea mariana (black spruce)-Pleurozium … -Polytrichum juniperinum-Cladonia lichens-Pleurozium schreberi-feather mosses and …","https://www.jstor.org/stable/pdf/2260491.pdf","https://scholar.google.com/scholar?q=related:42cRANL-Q9YJ:scholar.google.com/&scioq=pleurozium+scattering&hl=en&as_sdt=2007"
1,"L Michel, M Renaudin, R Darnajoux, C Blasi…","Evaluating the effect of moss functional traits and sampling on elemental concentrations in Pleurozium schreberi and Ptilium crista-castrensis in Eastern Canada …",2024,"Science of The Total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969723065270","https://scholar.google.com/scholar?cites=15143909798258100344&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 11:55:22","","","","",,,,,1,1.00,0,5,1,"… except for emblematic elements such as nitrogen, sulfur, and mercury (ie, Canada CAPMoN program, USGS NADP program) and rely on networks of a few monitoring stations scattered …","","https://scholar.google.com/scholar?q=related:eEi7w7n5KdIJ:scholar.google.com/&scioq=pleurozium+scattering&hl=en&as_sdt=2007"
13,"A Gałuszka","Geochemical Background of Selected Trace Elements in Mosses Pleurozium schreberi (Brid.) Mitt. and Hylocomium splendens (Hedw.) BSG from Wigierski National …",2006,"Polish Journal of Environmental Studies","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=12301485&AN=27417748&h=q1ugE6q%2FrHdvVSrSo%2BnXvVzATBC5vrbOWzWx6sCm7M7rP4wcSl5EQGp689bz9U%2BO81LeGrB9IlIN4%2BoDNNA9vA%3D%3D&crl=c","https://scholar.google.com/scholar?cites=6338481556170522663&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 11:55:22","","","","",,,,,13,0.72,13,1,18,"This article presents the results of study of the moss species Pleurozium schreberi and Hylocomium splendens from Wigierski National Park (northeastern Poland). To assess the …","","https://scholar.google.com/scholar?q=related:J8DogmTP9lcJ:scholar.google.com/&scioq=pleurozium+scattering&hl=en&as_sdt=2007"
