Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
31,"DW Carter, JM Arocena","Soil formation under two moss species in sandy materials of central British Columbia (Canada)",2000,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706100000598","https://scholar.google.com/scholar?cites=8983421549367245435&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 12:47:05","","","","",,,,,31,1.29,16,2,24,"… to Ae horizon in soil under Pleurozium (referred to as Pleurozium soil from hereon). At the … in Pleurozium soil while the mean thickness of the Bf horizon is 29. 3 cm in Pleurozium and …","","https://scholar.google.com/scholar?q=related:e7qfjU2Gq3wJ:scholar.google.com/&scioq=pleurozium+soil&hl=en&as_sdt=2007"
28,"Z Mazur, M Radziemska, O Maczuga…","Heavy metal concentrations in soil and moss (Pleurozium schreberi) near railroad lines in Olsztyn (Poland)",2013,"Fresenius Environ …","academia.edu","https://www.academia.edu/download/36981226/2013_Mazur_Radziemska_Makuch_Maczuga_Fresenius_Environmental_Bulletin.pdf","https://scholar.google.com/scholar?cites=6817779678284734313&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 12:47:05","PDF","","","",,,,,28,2.55,7,4,11,"… The highest Fe, Mn, Zn, Pb, Cu, and Cd contents in soil were … Maximum contents of heavy metals in soil and Pleurozium … the exception of chromium in soil) from the average contents. …","https://www.academia.edu/download/36981226/2013_Mazur_Radziemska_Makuch_Maczuga_Fresenius_Environmental_Bulletin.pdf","https://scholar.google.com/scholar?q=related:ad8JyX6enV4J:scholar.google.com/&scioq=pleurozium+soil&hl=en&as_sdt=2007"
14,"EV Yakovleva, DN Gabov…","Two-Year Monitoring of PAH in the Soils and Pleurozium schreberi under the Impact of Coal Mining",2021,"Polycyclic Aromatic …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/10406638.2019.1709213","https://scholar.google.com/scholar?cites=13796559217064852090&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 12:47:05","","10.1080/10406638.2019.1709213","","",,,,,14,4.67,5,3,3,"… We surveyed PAH concentrations in soils and moss Pleurozium … in soil and moss due to the fact that Pleurozium schreberi is the main part of vegetation cover and forms upper soil …","https://www.researchgate.net/profile/Yuriy-Dubrovskiy/publication/338571034_Two-Year_Monitoring_of_PAH_in_the_Soils_and_Pleurozium_schreberi_under_the_Impact_of_Coal_Mining/links/5e2182e5458515ba208e5418/Two-Year-Monitoring-of-PAH-in-the-Soils-and-Pleurozium-schreberi-under-the-Impact-of-Coal-Mining.pdf","https://scholar.google.com/scholar?q=related:errKt4I5d78J:scholar.google.com/&scioq=pleurozium+soil&hl=en&as_sdt=2007"
13,"S Manninen, MK Sassi, K Lovén","Effects of nitrogen oxides on ground vegetation, Pleurozium schreberi and the soil beneath it in urban forests",2013,"Ecological indicators","Elsevier","https://www.sciencedirect.com/science/article/pii/S1470160X12002993","https://scholar.google.com/scholar?cites=6517643446495839883&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 12:47:05","","","","",,,,,13,1.18,4,3,11,"… and shoot length of Pleurozium schreberi ((Brid.) Mitt.), and moss and soil total carbon (C) … C concentration, and soil C:N ratio. The moss total N concentration of 1.23 ± 0.13% and the …","","https://scholar.google.com/scholar?q=related:i4YJwS5Sc1oJ:scholar.google.com/&scioq=pleurozium+soil&hl=en&as_sdt=2007"
19,"M Pajak, M Jasik","Heavy metal (Zn, Pb, Cd) concentration in soil and moss (Pleurozium schreberii) in the Brynica district, southern Poland",2011,"iForest-Biogeosciences and Forestry","sisef.it","http://www.sisef.it/iforest/contents/?id=581","https://scholar.google.com/scholar?cites=6513572067300016038&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-11 12:47:05","HTML","","","",,,,,19,1.46,10,2,13,"… of Poland) was assessed in the top layer of soils (0-20 cm), organic layer and in tissues of the common woodland moss Pleurozium schreberii. Samples were taken in July 2008 at 31 …","http://www.sisef.it/iforest/contents/?id=581","https://scholar.google.com/scholar?q=related:pv9S6kjbZFoJ:scholar.google.com/&scioq=pleurozium+soil&hl=en&as_sdt=2007"
16,"TH DeLuca, O Zackrisson, MC Nilsson, S Sun…","Long-term fate of nitrogen fixation in Pleurozium schreberi Brid (Mit.) moss carpets in boreal forests",2022,"Applied Soil …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0929139321003383","https://scholar.google.com/scholar?cites=11725614988361534913&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 12:47:05","","","","",,,,,16,8.00,3,5,2,"… forest with a moss bottom layer dominated by Pleurozium schreberi Brid (Mitt). Mesocosms … periods and slowly transferred to the forest soil O horizon as moss tissue decomposes …","","https://scholar.google.com/scholar?q=related:wQ1J-rTAuaIJ:scholar.google.com/&scioq=pleurozium+soil&hl=en&as_sdt=2007"
63,"JW Bates, AM Farmer","An Experimental Study of Calcium Acquisition and its Effects on the Calcifuge Moss Pleurozium schreberi",1990,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/65/1/87/208570","https://scholar.google.com/scholar?cites=13493159407881429256&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-11 12:47:05","","","","",,,,,63,1.85,32,2,34,"… chalk soil compared to Pleurozium schreben and Pseudoscleropodium purum from acidic clay However, intracellular Ca levels were similar in all plants Concentrations of K in all …","https://www.jstor.org/stable/pdf/42771377.pdf","https://scholar.google.com/scholar?q=related:CCF-3P1UQbsJ:scholar.google.com/&scioq=pleurozium+soil&hl=en&as_sdt=2007"
6,"A Dołhańczuk-Śródka, Z Ziembik…","Transfer of cesium-137 from forest soil to moss Pleurozium schreberi",2011,"The Journal of …","researchgate.net","https://www.researchgate.net/profile/Zbigniew-Ziembik/publication/279554101_Transfer_of_cesium-137_from_forest_soil_to_moss_Pleurozium_schreberi/links/55ca3b1708aeca747d69e3d9/Transfer-of-cesium-137-from-forest-soil-to-moss-Pleurozium-schreberi.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail","https://scholar.google.com/scholar?cites=4836379274061356636&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 12:47:05","PDF","","","",,,,,6,0.46,2,3,13,"… Pleurozium schreberi to study transfer factor (TF) and aggregated transfer factor (Tag) of radiocesium from forest soil … Samples of the moss Pleurozium schreberi and soil were collected …","https://www.researchgate.net/profile/Zbigniew-Ziembik/publication/279554101_Transfer_of_cesium-137_from_forest_soil_to_moss_Pleurozium_schreberi/links/55ca3b1708aeca747d69e3d9/Transfer-of-cesium-137-from-forest-soil-to-moss-Pleurozium-schreberi.pdf?_sg%5B0%5D=started_experiment_milestone&origin=journalDetail","https://scholar.google.com/scholar?q=related:XB59VVNFHkMJ:scholar.google.com/&scioq=pleurozium+soil&hl=en&as_sdt=2007"
41,"RJK Rinne, P Barclay-Estrup","Heavy metals in a feather moss, Pleurozium schreberi, and in soils in NW Ontario, Canada",1980,"Oikos","JSTOR","https://www.jstor.org/stable/3544550","https://scholar.google.com/scholar?cites=9744841256364883150&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 12:47:05","","","","",,,,,41,0.93,21,2,44,"… Samples of the feather moss Pleurozium schreberi (Brid.) Mitt. and the underlying soil were … Soil pH, soil loss on ignition and tree cover were also measured. Metal concentrations in the …","https://www.jstor.org/stable/pdf/3544550.pdf","https://scholar.google.com/scholar?q=related:zjwzBn6hPIcJ:scholar.google.com/&scioq=pleurozium+soil&hl=en&as_sdt=2007"
162,"A Solga, J Burkhardt, HG Zechmeister, JP Frahm","Nitrogen content, 15N natural abundance and biomass of the two pleurocarpous mosses Pleurozium schreberi (Brid.) Mitt. and Scleropodium purum (Hedw.) Limpr. in …",2005,"Environmental pollution","Elsevier","https://www.sciencedirect.com/science/article/pii/S026974910400380X","https://scholar.google.com/scholar?cites=5598776515502257916&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 12:47:05","","","","",,,,,162,8.53,41,4,19,"The suitability of the two pleurocarpous mosses Pleurozium schreberi and Scleropodium purum for assessing spatial variation in nitrogen deposition was investigated. Sampling was …","https://www.academia.edu/download/112757009/j.envpol.2004.09.00820240326-1-q7o8h7.pdf","https://scholar.google.com/scholar?q=related:_LZPx5PZsk0J:scholar.google.com/&scioq=pleurozium+soil&hl=en&as_sdt=2007"
321,"DR Foster","Vegetation development following fire in Picea mariana (black spruce)-Pleurozium forests of south-eastern Labrador, Canada",1985,"The Journal of Ecology","JSTOR","https://www.jstor.org/stable/2260491","https://scholar.google.com/scholar?cites=15439464125453920227&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-11 12:47:05","","","","",,,,,321,8.23,321,1,39,"… development in Picea mariana (black spruce)Pleurozium forests in south-eastern Labrador, … : mineral soil-charcoal-Polytrichum juniperinum-Cladonia lichensPleurozium schreberi-…","https://www.jstor.org/stable/pdf/2260491.pdf","https://scholar.google.com/scholar?q=related:42cRANL-Q9YJ:scholar.google.com/&scioq=pleurozium+soil&hl=en&as_sdt=2007"
43,"G Kosior, A Samecka-Cymerman, K Kolon, AJ Kempers","Bioindication capacity of metal pollution of native and transplanted Pleurozium schreberi under various levels of pollution",2010,"Chemosphere","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045653510008106","https://scholar.google.com/scholar?cites=16619800012134171551&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-11 12:47:05","","","","",,,,,43,3.07,11,4,14,"… out with the moss Pleurozium schreberi transplanted from an … schreberi and in the soil of all of the sites. The sites were … of metals in Pleurozium schreberi transplanted from an unpolluted …","https://www.academia.edu/download/76625252/j.chemosphere.2010.07.02920211216-22680-1wb0whd.pdf","https://scholar.google.com/scholar?q=related:n0NKOQ5kpeYJ:scholar.google.com/&scioq=pleurozium+soil&hl=en&as_sdt=2007"
