Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
123,"JR Busby, DWA Whitfield","Water potential, water content, and net assimilation of some boreal forest mosses",1978,"Canadian Journal of Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/b78-184","https://scholar.google.com/scholar?cites=15506462369052962641&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-12 08:38:54","","10.1139/b78-184","","",,,,,123,2.67,62,2,46,"… Water potential. water content, and net assimilation of some … Relationships between water content and water potential for … comparable between species is water potential. the energy …","","https://scholar.google.com/scholar?q=related:US9dLl4FMtcJ:scholar.google.com/&scioq=pleurozium+%22water+potential%22&hl=en&as_sdt=2007"
1,"T Möller, P Porada, I Petersen","The effect of water potential on the water balance of lichens and mosses–distribution patterns of internal and external water",2022,"","academia.edu","https://www.academia.edu/download/103602952/latest.pdf","https://scholar.google.com/scholar?cites=961916463529530398&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-12 08:38:54","PDF","","","",,,,,1,0.50,0,3,2,"… of 11 Pleurozium … water potential ψ may show negative values already while the cells are still fully turgid. 83 The aim of this study is to determine how different values of water potential ψ …","https://www.academia.edu/download/103602952/latest.pdf","https://scholar.google.com/scholar?q=related:HhRHWO1pWQ0J:scholar.google.com/&scioq=pleurozium+%22water+potential%22&hl=en&as_sdt=2007"
21,"T Nakatsubo, Y Takamine, Y Ino","Response patterns of net photosynthesis to moisture of mosses in xeric habitats",1989,"The botanical magazine= Shokubutsu …","Springer","https://link.springer.com/article/10.1007/BF02488113","https://scholar.google.com/scholar?cites=11926613598074783876&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-12 08:38:54","","10.1007/BF02488113","","",,,,,21,0.60,7,3,35,"… little difference to water potential, … water potential. A similar difference was observed between Rhacomitrium lanuginosum and Pleurozium schreberi in the present study ; water potential …","","https://scholar.google.com/scholar?q=related:hEiXpuDXg6UJ:scholar.google.com/&scioq=pleurozium+%22water+potential%22&hl=en&as_sdt=2007"
0,"P Dziurowicz, P Fałowska, K Waszkiewicz…","Effect of light stress on maximum photochemical efficiency of photosystem II and chloroplast structure in cryptogams Cladonia mitis and Pleurozium schreberi",2024,"Ecological …","apcz.umk.pl","https://apcz.umk.pl/EQ/article/view/47114","",4,"2024-07-12 08:38:54","","","","",,,,,0,0.00,0,4,1,"… The fluorescence of chloroplasts of the moss Pleurozium schreberi varied over time depending on the type of light. Referring to the FL sample, a decrease in the fluorescence of the …","https://apcz.umk.pl/EQ/article/download/47114/38092","https://scholar.google.com/scholar?q=related:5DfyGizk9X8J:scholar.google.com/&scioq=pleurozium+%22water+potential%22&hl=en&as_sdt=2007"
0,"LB Flanagan","Measuring and modelling environmental influences on photosynthetic gas exchange in Sphagnum andPleurozium.",1998,"Plant, Cell &Environment","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=01407791&AN=5284624&h=O0cv7DhCXliOKkoiDvNa64wF0XzR2l4rUAOwl8gHkpOkymIvgOyzLL5w7lyAj6unWcuDE88XRRugJ9trOEPcaQ%3D%3D&crl=c","",5,"2024-07-12 08:38:54","","","","",,,,,0,0.00,0,1,26,"… Measurements of gas exchange for Sphagnum and Pleurozium were made in an old black spruce ecosystem over a growing season in order to assign values to parameters in the …","https://scholar.google.com/scholar?output=instlink&q=info:AL4_TSUmlYgJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=6396442527348647128&oi=lle","https://scholar.google.com/scholar?q=related:AL4_TSUmlYgJ:scholar.google.com/&scioq=pleurozium+%22water+potential%22&hl=en&as_sdt=2007"
145,"TG Elumeeva, NA Soudzilovskaia…","The importance of colony structure versus shoot morphology for the water balance of 22 subarctic bryophyte species",2011,"Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1654-1103.2010.01237.x","https://scholar.google.com/scholar?cites=16383671625547926928&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-12 08:38:54","","10.1111/j.1654-1103.2010.01237.x","","",,,,,145,11.15,48,3,13,"… This causes gradients in water potential that drive internal transport fluxes at a range of … habitats such as Hylocomium splendens and Pleurozium schreberi also had thick cell walls (…","https://www.jstor.org/stable/pdf/41059630.pdf","https://scholar.google.com/scholar?q=related:kE1u_Yl-XuMJ:scholar.google.com/&scioq=pleurozium+%22water+potential%22&hl=en&as_sdt=2007"
2,"R Fernandes, HP White, DR Peddle…","The reflectance of Pleurozium scheberi as a function of water status and its implications on understory reflectance variations for BOREAS sites",1996,"IGARSS'96. 1996 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/516294/","https://scholar.google.com/scholar?cites=4063857700147035375&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-12 08:38:54","","","","",,,,,2,0.07,1,4,28,"… A controlled laboratory experiment was conducted to test the null hypothesis that the nadir reflectance of Pleurozium scheberi (a feather moss) in the red (p-), near-infrared (pm), and …","","https://scholar.google.com/scholar?q=related:7_z_Cgy5ZTgJ:scholar.google.com/&scioq=pleurozium+%22water+potential%22&hl=en&as_sdt=2007"
0,"SK AKI, P HARI","RATE (OF PHOTOSYNTHESIS (OF SOME FOREST MOSSES AS A FUNCTION OF TEMPERATURE AND LIGHT INTENSITY AND EFFECT OF WATER …",,"researchgate.net","","https://www.researchgate.net/profile/Seppo-Kellomaeki/publication/38294041_Rate_of_photosynthesis_of_some_forest_mosses_as_a_function_of_temperature_and_light_intensity_and_effect_of_water_content_of_moss_cushion_on_photosynthetic_rate/links/0912f50c05db5c8953000000/Rate-of-photosynthesis-of-some-forest-mosses-as-a-function-of-temperature-and-light-intensity-and-effect-of-water-content-of-moss-cushion-on-photosynthetic-rate.pdf","",8,"2024-07-12 08:38:54","PDF","","","",,,,,0,0.00,0,2,,"… The aim of this paper is to study the photosynthetic rate of Pleurozium schreber (Willd.), Hylocomium splendens (Hedw.) and Dicranum polysetum (Sw.) as a function of light and …","https://www.researchgate.net/profile/Seppo-Kellomaeki/publication/38294041_Rate_of_photosynthesis_of_some_forest_mosses_as_a_function_of_temperature_and_light_intensity_and_effect_of_water_content_of_moss_cushion_on_photosynthetic_rate/links/0912f50c05db5c8953000000/Rate-of-photosynthesis-of-some-forest-mosses-as-a-function-of-temperature-and-light-intensity-and-effect-of-water-content-of-moss-cushion-on-photosynthetic-rate.pdf","https://scholar.google.com/scholar?q=related:QUgx97rQbKwJ:scholar.google.com/&scioq=pleurozium+%22water+potential%22&hl=en&as_sdt=2007"
183,"TGA Green, LG Sancho, A Pintado","Ecophysiology of desiccation/rehydration cycles in mosses and lichens",2011,"Plant desiccation tolerance","Springer","https://link.springer.com/chapter/10.1007/978-3-642-19106-0_6","https://scholar.google.com/scholar?cites=14405800372575647356&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-12 08:38:54","","10.1007/978-3-642-19106-0_6","","",,,,,183,14.08,61,3,13,"… This water is at very high potential, at or close to zero, and can be lost through desiccation without affecting the water potential of the lichen or bryophyte. Water potential will only start to …","","https://scholar.google.com/scholar?q=related:fLaPGB2v68cJ:scholar.google.com/&scioq=pleurozium+%22water+potential%22&hl=en&as_sdt=2007"
6,"DB Raudabaugh, BE Overton, SE Zelski, AN Miller","Pure culture response of bryophilous fungi to matric-induced water stress",2011,"Mycosphere","mycosphere.org","https://mycosphere.org/pdfs/MC2_6_No6.pdf","https://scholar.google.com/scholar?cites=10466644131350036498&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-12 08:38:54","PDF","","","",,,,,6,0.46,2,4,13,"… There is a general lack of information about the water potential of bryophyte rhizoids in their … if similar water potential values occur as have been previously reported in bryophyte shoots. …","https://mycosphere.org/pdfs/MC2_6_No6.pdf","https://scholar.google.com/scholar?q=related:EsCL_2H9QJEJ:scholar.google.com/&scioq=pleurozium+%22water+potential%22&hl=en&as_sdt=2007"
