Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
109,"C. Reimann","Critical remarks on the use of terrestrial moss (Hylocomium splendens and Pleurozium schreberi) for monitoring of airborne pollution",2001,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-S0269749100001561","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035091568&origin=inward",1,"2024-07-11 09:21:36","Article","10.1016/S0269-7491(00)00156-1","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/0035091568",113,1,41,57,109,4.74,109,1,23,"","",""
96,"C. Reimann","Influence of extreme pollution on the inorganic chemical composition of some plants",2001,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-S0269749101001063","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034848927&origin=inward",2,"2024-07-11 09:21:36","Article","10.1016/S0269-7491(01)00106-3","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/0034848927",115,2,239,252,96,4.17,96,1,23,"","",""
95,"F. Chapin","The role of mosses in the phosphorus cycling of an Alaskan black spruce forest",1987,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0023527851&origin=inward",3,"2024-07-11 09:21:36","Article","10.1007/BF00379375","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0023527851",74,2,310,315,95,2.57,95,1,37,"","",""
94,"A. Rühling","Changes in the atmospheric deposition of minor and rare elements between 1975 and 2000 in south Sweden, as measured by moss analysis",2004,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-S0269749104001150","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3142707188&origin=inward",4,"2024-07-11 09:21:36","Article","10.1016/j.envpol.2004.03.005","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/3142707188",131,3,417,423,94,4.70,94,1,20,"","",""
83,"B. Balabanova","Biomonitoring of atmospheric pollution with heavy metals in the copper mine vicinity located near Radovis, Republic of Macedonia",2010,"Journal of Environmental Science and Health - Part A Toxic/Hazardous Substances and Environmental Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77955588489&origin=inward",5,"2024-07-11 09:21:36","Article","10.1080/10934529.2010.506097","1093-4529","https://api.elsevier.com/content/abstract/scopus_id/77955588489",45,12,1504,1518,83,5.93,83,1,14,"","",""
68,"S. Dragović","Analysis of mosses and topsoils for detecting sources of heavy metal pollution: Multivariate and enrichment factor analysis",2009,"Environmental Monitoring and Assessment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70349248276&origin=inward",6,"2024-07-11 09:21:36","Article","10.1007/s10661-008-0543-8","0167-6369","https://api.elsevier.com/content/abstract/scopus_id/70349248276",157,1,383,390,68,4.53,68,1,15,"","",""
50,"A. Kłos","Application of enrichment factor (EF) to the interpretation of results from the biomonitoring studies",2011,"Ecological Chemistry and Engineering S","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84860652725&origin=inward",7,"2024-07-11 09:21:36","Review","","1898-6196","https://api.elsevier.com/content/abstract/scopus_id/84860652725",18,2,171,183,50,3.85,50,1,13,"","",""
47,"K. Rousk","Feather moss nitrogen acquisition across natural fertility gradients in boreal forests",2013,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071713000679","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875273066&origin=inward",8,"2024-07-11 09:21:36","Article","10.1016/j.soilbio.2013.02.011","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/84875273066",61,,86,95,47,4.27,47,1,11,"","",""
45,"O. Skre","Moss leaf water content and solar radiation at the moss surface in a mature black spruce forest in central Alaska.",1983,"Canadian Journal of Forest Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020922853&origin=inward",9,"2024-07-11 09:21:36","Article","10.1139/x83-116","0045-5067","https://api.elsevier.com/content/abstract/scopus_id/0020922853",13,5,860,868,45,1.10,45,1,41,"","",""
39,"O.A. Culicov","Atmospheric deposition of heavy metals around the lead and copper-zinc smelters in Baia Mare, Romania, studied by the moss biomonitoring technique, neutron activation analysis and flame atomic absorption spectrometry",2002,"Journal of Radioanalytical and Nuclear Chemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036774121&origin=inward",10,"2024-07-11 09:21:36","Article","10.1023/A:1020853800937","0236-5731","https://api.elsevier.com/content/abstract/scopus_id/0036774121",254,1,109,115,39,1.77,39,1,22,"","",""
