Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
61,"T. Hájek","Light responses of mire mosses - A key to survival after water-level drawdown?",2009,"Oikos","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58849114154&origin=inward",1,"2024-07-11 09:23:00","Article","10.1111/j.1600-0706.2008.16528.x","0030-1299","https://api.elsevier.com/content/abstract/scopus_id/58849114154",118,2,240,250,61,4.07,61,1,15,"","",""
37,"A. Tremper","Field and laboratory exposures of two moss species to low level metal pollution",2004,"Journal of Atmospheric Chemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=14944345360&origin=inward",2,"2024-07-11 09:23:00","Article","10.1007/s10874-004-1218-7","0167-7764","https://api.elsevier.com/content/abstract/scopus_id/14944345360",49,1,111,120,37,1.85,37,1,20,"","",""
27,"M. Tobias","Acclimation of photosynthetic characteristics of the moss Pleurozium schreberi to among-habitat and within-canopy light gradients",2010,"Plant Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78049400211&origin=inward",3,"2024-07-11 09:23:00","Article","10.1111/j.1438-8677.2009.00285.x","1435-8603","https://api.elsevier.com/content/abstract/scopus_id/78049400211",12,5,743,754,27,1.93,27,1,14,"","",""
25,"N.M. Lappalainen","Acclimation of a pleurocarpous moss Pleurozium schreberi (Britt.) Mitt. to enhanced ultraviolet radiation in situ",2008,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58549100217&origin=inward",4,"2024-07-11 09:23:00","Article","10.1111/j.1365-2486.2007.01489.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/58549100217",14,2,321,333,25,1.56,25,1,16,"","",""
25,"S. Rice","Laser scanning reveals bryophyte canopy structure",2005,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=17644396044&origin=inward",5,"2024-07-11 09:23:00","Article","10.1111/j.1469-8137.2005.01327.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/17644396044",166,2,695,704,25,1.32,25,1,19,"","",""
19,"G. Amblard-Gross","Biological fluxes conversion and SXRF experiment with a new active biomonitoring tool for atmospheric metals and trace element deposition",2002,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-S0269749102001276","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036421351&origin=inward",6,"2024-07-11 09:23:00","Conference Paper","10.1016/S0269-7491(02)00127-6","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/0036421351",120,1,47,58,19,0.86,19,1,22,"","",""
18,"P. KARUNEN","Fatty Acid Composition of Polar Lipids in Ceratodon purpureus and Pleurozium schreberi",1979,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84981584100&origin=inward",7,"2024-07-11 09:23:00","Article","10.1111/j.1399-3054.1979.tb01699.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/84981584100",45,2,265,269,18,0.40,18,1,45,"","",""
17,"E.M. ARO","Effect of Continous Light on CO<inf>2</inf> Fixation and Chloroplast Structure of the Mosses Pleurozium schreberi and Ceratodon purpureus",1979,"Physiologia Plantarum","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84981641711&origin=inward",8,"2024-07-11 09:23:00","Article","10.1111/j.1399-3054.1979.tb02614.x","0031-9317","https://api.elsevier.com/content/abstract/scopus_id/84981641711",45,4,460,466,17,0.38,17,1,45,"","",""
16,"S.K. Rice","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959562345&origin=inward",9,"2024-07-11 09:23:00","Article","10.1639/0007-2745-114.2.367","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/79959562345",114,2,367,378,16,1.23,16,1,13,"","",""
15,"P. Świsłowski","Influence of Heavy Metal Concentration on Chlorophyll Content in Pleurozium schreberi Mosses",2020,"Ecological Chemistry and Engineering S","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100614123&origin=inward",10,"2024-07-11 09:23:00","Article","10.2478/eces-2020-0037","1898-6196","https://api.elsevier.com/content/abstract/scopus_id/85100614123",27,4,591,601,15,3.75,15,1,4,"","",""
