Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
195,"M. Simard","Forest productivity decline caused by successional paludification of boreal soils",2007,"Ecological Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=38449113402&origin=inward",1,"2024-07-11 09:25:20","Article","10.1890/06-1795.1","1051-0761","https://api.elsevier.com/content/abstract/scopus_id/38449113402",17,6,1619,1637,195,11.47,195,1,17,"","",""
147,"C. Reimann","Comparison of the element composition in several plant species and their substrate from a 1 500 000-km<sup>2</sup> area in Northern Europe",2001,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969700008901","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035922920&origin=inward",2,"2024-07-11 09:25:20","Article","10.1016/S0048-9697(00)00890-1","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/0035922920",278,1,87,112,147,6.39,147,1,23,"","",""
114,"U. Herpin","The distribution of heavy metals in a transect of the three states the Netherlands, Germany and Poland, determined with the aid of moss monitoring",1996,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-0048969796051418","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030577034&origin=inward",3,"2024-07-11 09:25:20","Article","10.1016/0048-9697(96)05141-8","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/0030577034",187,3,185,198,114,4.07,114,1,28,"","",""
103,"K. Grodzińvska","Mosses as bioindicators of heavy metal pollution in polish national parks",1978,"Water, Air, and Soil Pollution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0017792822&origin=inward",4,"2024-07-11 09:25:20","Article","10.1007/BF00185749","0049-6979","https://api.elsevier.com/content/abstract/scopus_id/0017792822",9,1,83,97,103,2.24,103,1,46,"","",""
99,"B. Markert","A comparison of heavy metal deposition in selected Eastern European countries using the moss monitoring method, with special emphasis on the 'Black Triangle'",1996,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969796053338","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030301109&origin=inward",5,"2024-07-11 09:25:20","Article","10.1016/S0048-9697(96)05333-8","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/0030301109",193,2,85,100,99,3.54,99,1,28,"","",""
98,"M. Salemaa","Element accumulation in boreal bryophytes, lichens and vascular plants exposed to heavy metal and sulfur deposition in Finland",2004,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969703006296","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1842686058&origin=inward",6,"2024-07-11 09:25:20","Article","10.1016/j.scitotenv.2003.10.025","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/1842686058",324,1,141,160,98,4.90,98,1,20,"","",""
97,"J. Kreyling","Absence of snow cover reduces understory plant cover and alters plant community composition in boreal forests",2012,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84855985121&origin=inward",7,"2024-07-11 09:25:20","Article","10.1007/s00442-011-2092-z","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/84855985121",168,2,577,587,97,8.08,97,1,12,"","",""
96,"C. Reimann","Influence of extreme pollution on the inorganic chemical composition of some plants",2001,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-S0269749101001063","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034848927&origin=inward",8,"2024-07-11 09:25:20","Article","10.1016/S0269-7491(01)00106-3","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/0034848927",115,2,239,252,96,4.17,96,1,23,"","",""
88,"S. Dołȩgowska","Anomalous concentrations of rare earth elements in the moss-soil system from south-central Poland",2013,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-S0269749113001000","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84875440071&origin=inward",9,"2024-07-11 09:25:20","Article","10.1016/j.envpol.2013.02.024","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/84875440071",178,,33,40,88,8.00,88,1,11,"","",""
80,"J.L. Gellerman","Distribution of arachidonic and eicosapentaenoic acids in the lipids of mosses",1975,"Biochimica et Biophysica Acta (BBA)/Lipids and Lipid Metabolism","","https://api.elsevier.com/content/article/eid/1-s2.0-0005276075901332","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0016722269&origin=inward",10,"2024-07-11 09:25:20","Article","10.1016/0005-2760(75)90133-2","0005-2760","https://api.elsevier.com/content/abstract/scopus_id/0016722269",388,2,277,290,80,1.63,80,1,49,"","",""
