Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
118,"G. Hornberg","Influence of bryophytes and microrelief conditions on Picea abies seed regeneration patterns in boreal old-growth swamp forests",1997,"Canadian Journal of Forest Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030824316&origin=inward",1,"2024-07-11 09:33:36","Article","10.1139/x97-045","0045-5067","https://api.elsevier.com/content/abstract/scopus_id/0030824316",27,7,1015,1023,118,4.37,118,1,27,"","",""
48,"J. Wheeler","Feathermoss seedbeds facilitate black spruce seedling recruitment in the forest-tundra ecotone (labrador, canada)",2011,"Oikos","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79960639938&origin=inward",2,"2024-07-11 09:33:36","Article","10.1111/j.1600-0706.2010.18966.x","0030-1299","https://api.elsevier.com/content/abstract/scopus_id/79960639938",120,8,1263,1271,48,3.69,48,1,13,"","",""
40,"H. Chen","Variation of the understory composition and diversity along a gradient of productivity in Populus tremuloides stands of northern British Columbia, Canada",2004,"Canadian Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=9444282151&origin=inward",3,"2024-07-11 09:33:36","Article","10.1139/B04-086","0008-4026","https://api.elsevier.com/content/abstract/scopus_id/9444282151",82,9,1314,1323,40,2.00,40,1,20,"","",""
37,"S. Parent","Establishment and dynamics of the balsam fir seedling bank in old forests of northeastern Quebec",2003,"Canadian Journal of Forest Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0038548194&origin=inward",4,"2024-07-11 09:33:36","Article","10.1139/x02-194","0045-5067","https://api.elsevier.com/content/abstract/scopus_id/0038548194",33,4,597,603,37,1.76,37,1,21,"","",""
36,"D.A. Locky","The vegetational ecology of black spruce swamps, fens, and bogs in southern boreal Manitoba, Canada",2005,"Wetlands","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33749486202&origin=inward",5,"2024-07-11 09:33:36","Article","10.1672/0277-5212(2005)025[0564:TVEOBS]2.0.CO;2","0277-5212","https://api.elsevier.com/content/abstract/scopus_id/33749486202",25,3,564,582,36,1.89,36,1,19,"","",""
34,"B. Stuiver","The impact of moss species and biomass on the growth of pinus sylvestris tree seedlings at different precipitation frequencies",2014,"Forests","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84940276248&origin=inward",6,"2024-07-11 09:33:36","Article","10.3390/f5081931","1999-4907","https://api.elsevier.com/content/abstract/scopus_id/84940276248",5,8,1931,1951,34,3.40,34,1,10,"","",""
30,"S. Rasmus","Interactions between snow, canopy, and vegetation in a boreal coniferous forest",2011,"Plant Ecology and Diversity","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959324138&origin=inward",7,"2024-07-11 09:33:36","Article","10.1080/17550874.2011.558126","1755-0874","https://api.elsevier.com/content/abstract/scopus_id/79959324138",4,1,55,65,30,2.31,30,1,13,"","",""
26,"A.U. Mallik","Response of a Typha marsh community to draining, flooding, and seasonal burning.",1986,"Canadian Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0022825412&origin=inward",8,"2024-07-11 09:33:36","Article","10.1139/b86-282","0008-4026","https://api.elsevier.com/content/abstract/scopus_id/0022825412",64,9,2136,2143,26,0.68,26,1,38,"","",""
25,"N.M. Lappalainen","Acclimation of a pleurocarpous moss Pleurozium schreberi (Britt.) Mitt. to enhanced ultraviolet radiation in situ",2008,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58549100217&origin=inward",9,"2024-07-11 09:33:36","Article","10.1111/j.1365-2486.2007.01489.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/58549100217",14,2,321,333,25,1.56,25,1,16,"","",""
25,"T. Hutchinson","The response of the feather moss, Pleurozium schreberi, to 5 years of simulated acid precipitation in the Canadian boreal forest",1988,"Canadian Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0024258111&origin=inward",10,"2024-07-11 09:33:36","Article","10.1139/b88-012","","https://api.elsevier.com/content/abstract/scopus_id/0024258111",66,1,82,88,25,0.69,25,1,36,"","",""
16,"S.K. Rice","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959562345&origin=inward",11,"2024-07-11 09:33:36","Article","10.1639/0007-2745-114.2.367","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/79959562345",114,2,367,378,16,1.23,16,1,13,"","",""
16,"T.C. Hutchinson","The effect of simulated acid rain on feather mosses and lichens of the boreal forest",1986,"Water, Air, &amp; Soil Pollution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0022812378&origin=inward",12,"2024-07-11 09:33:36","Article","10.1007/BF00630858","0049-6979","https://api.elsevier.com/content/abstract/scopus_id/0022812378",31,1,409,416,16,0.42,16,1,38,"","",""
10,"R. Laiho","Moss production in a boreal, forestry-drained peatland",2011,"Boreal Environment Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80054110820&origin=inward",13,"2024-07-11 09:33:36","Article","","1239-6095","https://api.elsevier.com/content/abstract/scopus_id/80054110820",16,5,441,449,10,0.77,10,1,13,"","",""
9,"M. Turunen","Impacts of winter feeding of reindeer on vegetation and soil in the sub-Arctic: Insights from a feeding experiment",2013,"Polar Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84876341690&origin=inward",14,"2024-07-11 09:33:36","Article","10.3402/polar.v32i0.18610","0800-0395","https://api.elsevier.com/content/abstract/scopus_id/84876341690",32,,,,9,0.82,9,1,11,"","",""
7,"O. Motyka","Environmental factors affecting trace metal accumulation in two moss species",2015,"Carpathian Journal of Earth and Environmental Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84949463095&origin=inward",15,"2024-07-11 09:33:36","Article","","1842-4090","https://api.elsevier.com/content/abstract/scopus_id/84949463095",10,4,57,63,7,0.78,7,1,9,"","",""
4,"A.A. Sinyutkina","Transformation of the surface and vegetation cover of drained bogs in Tomsk region",2018,"Vestnik Tomskogo Gosudarstvennogo Universiteta, Biologiya","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059777874&origin=inward",16,"2024-07-11 09:33:36","Article","10.17223/19988591/43/10","1998-8591","https://api.elsevier.com/content/abstract/scopus_id/85059777874",,43,196,223,4,0.67,4,1,6,"","",""
3,"E. Rajandu","Bryophyte species and communities on various roofing materials, Estonia",2021,"Folia Cryptogamica Estonica","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123723582&origin=inward",17,"2024-07-11 09:33:36","Article","10.12697/fce.2021.58.21","1406-2070","https://api.elsevier.com/content/abstract/scopus_id/85123723582",58,,213,227,3,1.00,3,1,3,"","",""
3,"J. Tews","Hummock vegetation at the arctic tree-line near Churchill, Manitoba",2004,"Canadian Field-Naturalist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33644981710&origin=inward",18,"2024-07-11 09:33:36","Article","10.22621/cfn.v118i4.61","0008-3550","https://api.elsevier.com/content/abstract/scopus_id/33644981710",118,4,590,594,3,0.15,3,1,20,"","",""
2,"N. Sahara","Roles of bryophyte communities in germination and early growth of tree species of a subalpine deciduous broad-leaved forest established after logging in central Japan",2018,"Nihon Ringakkai Shi/Journal of the Japanese Forestry Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054927192&origin=inward",19,"2024-07-11 09:33:36","Article","10.4005/jjfs.100.102","0021-485X","https://api.elsevier.com/content/abstract/scopus_id/85054927192",100,4,102,109,2,0.33,2,1,6,"","",""
2,"K. Hansen","Vegetation changes of a Danish mire 1957–1981",1984,"Nordic Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84981580057&origin=inward",20,"2024-07-11 09:33:36","Article","10.1111/j.1756-1051.1984.tb02052.x","0107-055X","https://api.elsevier.com/content/abstract/scopus_id/84981580057",4,4,481,490,2,0.05,2,1,40,"","",""
1,"A. Kaltz","Metals and nitrogen concentrations in Mosses sampled in Saxony",2010,"Umweltwissenschaften und Schadstoff-Forschung","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79954488450&origin=inward",21,"2024-07-11 09:33:36","Article","10.1007/s12302-010-0126-5","0934-3504","https://api.elsevier.com/content/abstract/scopus_id/79954488450",22,5,610,626,1,0.07,1,1,14,"","",""
0,"M.A. Smirnova","PINE (Pinus sylvestris) FORESTS AND SPARSE FORESTS OF THE NOTHERN-WEST LADOGA REGION",2023,"Rastitel'nost' Rossii","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85181813450&origin=inward",22,"2024-07-11 09:33:36","Article","10.31111/vegrus/2023.47.24","2073-0659","https://api.elsevier.com/content/abstract/scopus_id/85181813450",,47,24,60,0,0.00,0,1,1,"","",""
0,"G. Petaja","Changes in forest floor and tree vegetation in the level ii monitoring plot in Valgunde Parish",2017,"Research for Rural Development","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85041966382&origin=inward",23,"2024-07-11 09:33:36","Conference Paper","10.22616/rrd.23.2017.007","1691-4031","https://api.elsevier.com/content/abstract/scopus_id/85041966382",1,,47,54,0,0.00,0,1,7,"","",""
