Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
445,"T.H. DeLuca","Quantifying nitrogen-fixation in feather moss carpets of boreal forests",2002,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037206899&origin=inward",1,"2024-07-11 09:16:53","Article","10.1038/nature01051","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0037206899",419,6910,917,920,445,20.23,445,1,22,"","",""
175,"M.J. Gundale","Bryophytes attenuate anthropogenic nitrogen inputs in boreal forests",2011,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959989580&origin=inward",2,"2024-07-11 09:16:53","Article","10.1111/j.1365-2486.2011.02407.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/79959989580",17,8,2743,2753,175,13.46,175,1,13,"","",""
161,"O. Zackrisson","Nitrogen fixation increases with successional age in boreal forests",2004,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=11844263398&origin=inward",3,"2024-07-11 09:16:53","Article","10.1890/04-0461","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/11844263398",85,12,3327,3334,161,8.05,161,1,20,"","",""
122,"A. Solga","Nitrogen content, <sup>15</sup>N natural abundance and biomass of the two pleurocarpous mosses Pleurozium schreberi (Brid.) Mitt. and Scleropodium purum (Hedw.) Limpr. in relation to atmospheric nitrogen deposition",2005,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-S026974910400380X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=11144311044&origin=inward",4,"2024-07-11 09:16:53","Article","10.1016/j.envpol.2004.09.008","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/11144311044",134,3,465,473,122,6.42,122,1,19,"","",""
112,"S. Kanerva","Phenolic compounds and terpenes in soil organic horizon layers under silver birch, Norway spruce and Scots pine",2008,"Biology and Fertility of Soils","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=43149092906&origin=inward",5,"2024-07-11 09:16:53","Article","10.1007/s00374-007-0234-6","0178-2762","https://api.elsevier.com/content/abstract/scopus_id/43149092906",44,4,547,556,112,7.00,112,1,16,"","",""
112,"O. Zackrisson","Interference mechanisms in conifer - Ericaceae - feathermoss communities",1997,"Oikos","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030620790&origin=inward",6,"2024-07-11 09:16:53","Article","10.2307/3546287","0030-1299","https://api.elsevier.com/content/abstract/scopus_id/0030620790",78,2,209,220,112,4.15,112,1,27,"","",""
106,"A. Nordin","Effects of simulated N deposition on understorey vegetation of a boreal coniferous forest",1998,"Functional Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031670080&origin=inward",7,"2024-07-11 09:16:53","Article","10.1046/j.1365-2435.1998.00240.x","0269-8463","https://api.elsevier.com/content/abstract/scopus_id/0031670080",12,4,691,699,106,4.08,106,1,26,"","",""
98,"M. Salemaa","Element accumulation in boreal bryophytes, lichens and vascular plants exposed to heavy metal and sulfur deposition in Finland",2004,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969703006296","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1842686058&origin=inward",8,"2024-07-11 09:16:53","Article","10.1016/j.scitotenv.2003.10.025","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/1842686058",324,1,141,160,98,4.90,98,1,20,"","",""
97,"J.A. Fernández","A critical review of protocols for moss biomonitoring of atmospheric deposition: Sampling and sample preparation",2015,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S004896971500193X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84923383254&origin=inward",9,"2024-07-11 09:16:53","Review","10.1016/j.scitotenv.2015.02.050","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/84923383254",517,,132,150,97,10.78,97,1,9,"","",""
97,"J. Kreyling","Absence of snow cover reduces understory plant cover and alters plant community composition in boreal forests",2012,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84855985121&origin=inward",10,"2024-07-11 09:16:53","Article","10.1007/s00442-011-2092-z","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/84855985121",168,2,577,587,97,8.08,97,1,12,"","",""
92,"T.H. DeLuca","Ecosystem controls on nitrogen fixation in boreal feather moss communities",2007,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34247336792&origin=inward",11,"2024-07-11 09:16:53","Article","10.1007/s00442-006-0626-6","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/34247336792",152,1,121,130,92,5.41,92,1,17,"","",""
85,"A. Lagerström","Ecosystem input of nitrogen through biological fixation in feather mosses during ecosystem retrogression",2007,"Functional Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=36248936128&origin=inward",12,"2024-07-11 09:16:53","Article","10.1111/j.1365-2435.2007.01331.x","0269-8463","https://api.elsevier.com/content/abstract/scopus_id/36248936128",21,6,1027,1033,85,5.00,85,1,17,"","",""
