Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
147,"C. Reimann","Comparison of the element composition in several plant species and their substrate from a 1 500 000-km<sup>2</sup> area in Northern Europe",2001,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969700008901","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035922920&origin=inward",1,"2024-07-11 09:33:13","Article","10.1016/S0048-9697(00)00890-1","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/0035922920",278,1,87,112,147,6.39,147,1,23,"","",""
98,"M. Salemaa","Element accumulation in boreal bryophytes, lichens and vascular plants exposed to heavy metal and sulfur deposition in Finland",2004,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969703006296","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1842686058&origin=inward",2,"2024-07-11 09:33:13","Article","10.1016/j.scitotenv.2003.10.025","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/1842686058",324,1,141,160,98,4.90,98,1,20,"","",""
96,"C. Reimann","Influence of extreme pollution on the inorganic chemical composition of some plants",2001,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-S0269749101001063","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034848927&origin=inward",3,"2024-07-11 09:33:13","Article","10.1016/S0269-7491(01)00106-3","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/0034848927",115,2,239,252,96,4.17,96,1,23,"","",""
95,"F. Chapin","The role of mosses in the phosphorus cycling of an Alaskan black spruce forest",1987,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0023527851&origin=inward",4,"2024-07-11 09:33:13","Article","10.1007/BF00379375","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0023527851",74,2,310,315,95,2.57,95,1,37,"","",""
85,"A. Lagerström","Ecosystem input of nitrogen through biological fixation in feather mosses during ecosystem retrogression",2007,"Functional Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=36248936128&origin=inward",5,"2024-07-11 09:33:13","Article","10.1111/j.1365-2435.2007.01331.x","0269-8463","https://api.elsevier.com/content/abstract/scopus_id/36248936128",21,6,1027,1033,85,5.00,85,1,17,"","",""
75,"K. Rousk","Molybdenum and phosphorus limitation of moss-associated nitrogen fixation in boreal ecosystems",2017,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85005808081&origin=inward",6,"2024-07-11 09:33:13","Article","10.1111/nph.14331","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/85005808081",214,1,97,107,75,10.71,75,1,7,"","",""
50,"A. Gałuszka","Distribution patterns of PAHs and trace elements in mosses Hylocomium splendens (Hedw.) B.S.G. and Pleurozium schreberi (Brid.) Mitt. from different forest communities: A case study, south-central Poland",2007,"Chemosphere","","https://api.elsevier.com/content/article/eid/1-s2.0-S0045653506013415","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33846854904&origin=inward",7,"2024-07-11 09:33:13","Article","10.1016/j.chemosphere.2006.10.010","0045-6535","https://api.elsevier.com/content/abstract/scopus_id/33846854904",67,7,1415,1422,50,2.94,50,1,17,"","",""
35,"T. Lynham","Soil chemical changes and plant succession following experimental burning in immature jack pine",1998,"Canadian Journal of Soil Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031799082&origin=inward",8,"2024-07-11 09:33:13","Conference Paper","10.4141/S97-031","0008-4271","https://api.elsevier.com/content/abstract/scopus_id/0031799082",78,1,93,104,35,1.35,35,1,26,"","",""
27,"S. Gombert","Biomonitoring of element deposition using Mosses in the 2000 French survey: Identifying sources and spatial trends",2004,"Journal of Atmospheric Chemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=14944353762&origin=inward",9,"2024-07-11 09:33:13","Article","10.1007/s10874-004-1261-4","0167-7764","https://api.elsevier.com/content/abstract/scopus_id/14944353762",49,1,479,502,27,1.35,27,1,20,"","",""
24,"T.H. DeLuca","Enhanced soil fertility under Juniperus communis in arctic ecosystems",2007,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34249031586&origin=inward",10,"2024-07-11 09:33:13","Article","10.1007/s11104-007-9242-4","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/34249031586",294,1,147,155,24,1.41,24,1,17,"","",""
