Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
174,"T. Williams","Effect of changes in water content on photosynthesis, transpiration and discrimination against <sup>13</sup>CO<inf>2</inf> and C<sup>18</sup>O<sup>16</sup>O in Pleurozium and Sphagnum",1996,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029957445&origin=inward",1,"2024-07-11 09:13:52","Article","10.1007/BF00333212","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0029957445",108,1,38,46,174,6.21,174,1,28,"","",""
112,"O. Skre","Moss functioning in different taiga ecosystems in interior Alaska - I. Seasonal, phenotypic, and drought effects on photosynthesis and response patterns",1981,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0003108366&origin=inward",2,"2024-07-11 09:13:52","Article","10.1007/BF00346987","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0003108366",48,1,50,59,112,2.60,112,1,43,"","",""
89,"M. Davey","Seasonal trends in the biomass and structure of bryophyte-associated fungal communities explored by 454 pyrosequencing",2012,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84864546249&origin=inward",3,"2024-07-11 09:13:52","Article","10.1111/j.1469-8137.2012.04215.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84864546249",195,4,844,856,89,7.42,89,1,12,"","",""
61,"T. Hájek","Light responses of mire mosses - A key to survival after water-level drawdown?",2009,"Oikos","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58849114154&origin=inward",4,"2024-07-11 09:13:52","Article","10.1111/j.1600-0706.2008.16528.x","0030-1299","https://api.elsevier.com/content/abstract/scopus_id/58849114154",118,2,240,250,61,4.07,61,1,15,"","",""
56,"D. Whitehead","Photosynthesis and light-use efficiency by plants in a Canadian boreal forest ecosystem",2001,"Tree Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034836543&origin=inward",5,"2024-07-11 09:13:52","Conference Paper","10.1093/treephys/21.12-13.925","0829-318X","https://api.elsevier.com/content/abstract/scopus_id/0034836543",21,12,925,929,56,2.43,56,1,23,"","",""
54,"M. Davey","Fungal biomass associated with the phyllosphere of bryophytes and vascular plants",2009,"Mycological Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S0953756209001488","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70449533769&origin=inward",6,"2024-07-11 09:13:52","Article","10.1016/j.mycres.2009.08.001","0953-7562","https://api.elsevier.com/content/abstract/scopus_id/70449533769",113,11,1254,1260,54,3.60,54,1,15,"","",""
45,"O. Skre","Moss leaf water content and solar radiation at the moss surface in a mature black spruce forest in central Alaska.",1983,"Canadian Journal of Forest Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020922853&origin=inward",7,"2024-07-11 09:13:52","Article","10.1139/x83-116","0045-5067","https://api.elsevier.com/content/abstract/scopus_id/0020922853",13,5,860,868,45,1.10,45,1,41,"","",""
37,"L. Maanavilja","Spatial variation in CO<inf>2</inf> exchange at a northern aapa mire",2011,"Biogeochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79957830843&origin=inward",8,"2024-07-11 09:13:52","Article","10.1007/s10533-010-9505-7","0168-2563","https://api.elsevier.com/content/abstract/scopus_id/79957830843",104,1,325,345,37,2.85,37,1,13,"","",""
34,"O. Kellner","Effects of wood ash on bryophytes and lichens in a Swedish pine forest",1998,"Scandinavian Journal of Forest Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032414105&origin=inward",9,"2024-07-11 09:13:52","Article","","0282-7581","https://api.elsevier.com/content/abstract/scopus_id/0032414105",13,,76,85,34,1.31,34,1,26,"","",""
32,"B. Benscoter","Evaluating feathermoss growth: A challenge to traditional methods and implications for the boreal carbon budget",2007,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845656508&origin=inward",10,"2024-07-11 09:13:52","Article","10.1111/j.1365-2745.2006.01180.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/33845656508",95,1,151,158,32,1.88,32,1,17,"","",""
28,"K. Rousk","The resilience of nitrogen fixation in feather moss (Pleurozium schreberi)-cyanobacteria associations after a drying and rewetting cycle",2014,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84898059042&origin=inward",11,"2024-07-11 09:13:52","Article","10.1007/s11104-013-1984-6","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/84898059042",377,1,159,167,28,2.80,28,1,10,"","",""
27,"M. Tobias","Acclimation of photosynthetic characteristics of the moss Pleurozium schreberi to among-habitat and within-canopy light gradients",2010,"Plant Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78049400211&origin=inward",12,"2024-07-11 09:13:52","Article","10.1111/j.1438-8677.2009.00285.x","1435-8603","https://api.elsevier.com/content/abstract/scopus_id/78049400211",12,5,743,754,27,1.93,27,1,14,"","",""
21,"O. Skre","Patterns of translocation of carbon in four common moss species in a black spruce ( Picea mariana) dominated forest in interior Alaska.",1983,"Canadian Journal of Forest Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020903514&origin=inward",13,"2024-07-11 09:13:52","Article","10.1139/x83-117","0045-5067","https://api.elsevier.com/content/abstract/scopus_id/0020903514",13,5,869,878,21,0.51,21,1,41,"","",""
16,"S.K. Rice","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959562345&origin=inward",14,"2024-07-11 09:13:52","Article","10.1639/0007-2745-114.2.367","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/79959562345",114,2,367,378,16,1.23,16,1,13,"","",""
14,"A.L. Dunn","Landscape heterogeneity, soil climate, and carbon exchange in a boreal black spruce forest",2009,"Ecological Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=65349128782&origin=inward",15,"2024-07-11 09:13:52","Article","10.1890/07-0771.1","1051-0761","https://api.elsevier.com/content/abstract/scopus_id/65349128782",19,2,495,504,14,0.93,14,1,15,"","",""
14,"T. Nakatsubo","Response patterns of net photosynthesis to moisture of mosses in xeric habitats",1989,"The Botanical Magazine Tokyo","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=51249171423&origin=inward",16,"2024-07-11 09:13:52","Article","10.1007/BF02488113","0006-808X","https://api.elsevier.com/content/abstract/scopus_id/51249171423",102,1,63,73,14,0.40,14,1,35,"","",""
13,"M. Renaudin","Quantification of Moss-Associated Cyanobacteria Using Phycocyanin Pigment Extraction",2021,"Frontiers in Microbiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099662557&origin=inward",17,"2024-07-11 09:13:52","Article","10.3389/fmicb.2020.611792","1664-302X","https://api.elsevier.com/content/abstract/scopus_id/85099662557",11,,,,13,4.33,13,1,3,"","",""
9,"M.H. Węgrzyn","Seasonal changes in the photosynthetic activity of terrestrial lichens and mosses in the lichen scots pine forest habitat",2021,"Diversity","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121615750&origin=inward",18,"2024-07-11 09:13:52","Article","10.3390/d13120642","1424-2818","https://api.elsevier.com/content/abstract/scopus_id/85121615750",13,12,,,9,3.00,9,1,3,"","",""
9,"K.J. Lees","Assessing the reliability of peatland GPP measurements by remote sensing: From plot to landscape scale",2021,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969720361428","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85093698680&origin=inward",19,"2024-07-11 09:13:52","Article","10.1016/j.scitotenv.2020.142613","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/85093698680",766,,,,9,3.00,9,1,3,"","",""
9,"B. Bharali","Soil cations influence bryophyte susceptibility to bisulfite",2002,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036712821&origin=inward",20,"2024-07-11 09:13:52","Article","10.1093/aob/mcf192","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/0036712821",90,3,337,343,9,0.41,9,1,22,"","",""
7,"X. Zhu","Sphagnum outcompetes feathermosses in their photosynthetic adaptation to postharvest black spruce forests",2019,"Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85075244122&origin=inward",21,"2024-07-11 09:13:52","Article","10.1139/cjb-2019-0076","1916-2804","https://api.elsevier.com/content/abstract/scopus_id/85075244122",97,11,585,597,7,1.40,7,1,5,"","",""
5,"W. Winner","Photosynthesis and respiration of feather mosses fumigated at different hydration levels with SO<inf>2</inf>.",1983,"Canadian Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0021057614&origin=inward",22,"2024-07-11 09:13:52","Article","10.1139/b83-158","0008-4026","https://api.elsevier.com/content/abstract/scopus_id/0021057614",61,5,1456,1461,5,0.12,5,1,41,"","",""
2,"G. Callahan","The effects of clearcut harvesting on moss chloroplast lipidome and adaptation to light stress during boreal forest regeneration",2022,"Journal of Environmental Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0301479722006995","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85129644360&origin=inward",23,"2024-07-11 09:13:52","Article","10.1016/j.jenvman.2022.115126","0301-4797","https://api.elsevier.com/content/abstract/scopus_id/85129644360",315,,,,2,1.00,2,1,2,"","",""
0,"P. Dziurowicz","Effect of light stress on maximum photochemical efficiency of photosystem II and chloroplast structure in cryptogams Cladonia mitis and Pleurozium schreberi",2024,"Ecological Questions","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85189888480&origin=inward",24,"2024-07-11 09:13:52","Article","10.12775/EQ.2024.039","1644-7298","https://api.elsevier.com/content/abstract/scopus_id/85189888480",35,3,,,0,0.00,0,1,1,"","",""
