Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
82,"M. Gundale","The interactive effects of temperature and light on biological nitrogen fixation in boreal forests",2012,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858750285&origin=inward",1,"2024-07-11 09:22:36","Article","10.1111/j.1469-8137.2012.04071.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84858750285",194,2,453,463,82,6.83,82,1,12,"","",""
61,"T. Hájek","Light responses of mire mosses - A key to survival after water-level drawdown?",2009,"Oikos","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58849114154&origin=inward",2,"2024-07-11 09:22:36","Article","10.1111/j.1600-0706.2008.16528.x","0030-1299","https://api.elsevier.com/content/abstract/scopus_id/58849114154",118,2,240,250,61,4.07,61,1,15,"","",""
39,"A.K. Jägerbrand","Short-term responses in maximum quantum yield of PSII (Fv/Fm) to ex situ temperature treatment of populations of bryophytes originating from different sites in Hokkaido, Northern Japan",2016,"Plants","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85005950328&origin=inward",3,"2024-07-11 09:22:36","Article","10.3390/plants5020022","2223-7747","https://api.elsevier.com/content/abstract/scopus_id/85005950328",5,2,455,465,39,4.88,39,1,8,"","",""
25,"S. Rice","Laser scanning reveals bryophyte canopy structure",2005,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=17644396044&origin=inward",4,"2024-07-11 09:22:36","Article","10.1111/j.1469-8137.2005.01327.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/17644396044",166,2,695,704,25,1.32,25,1,19,"","",""
11,"P. Świsłowski","Is your moss alive during active biomonitoring study?",2021,"Plants","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118536688&origin=inward",5,"2024-07-11 09:22:36","Article","10.3390/plants10112389","2223-7747","https://api.elsevier.com/content/abstract/scopus_id/85118536688",10,11,,,11,3.67,11,1,3,"","",""
8,"P. Świsłowski","The application of active biomonitoring with the use of mosses to identify polycyclic aromatic hydrocarbons in an atmospheric aerosol",2021,"Molecules","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120351655&origin=inward",6,"2024-07-11 09:22:36","Article","10.3390/molecules26237258","1420-3049","https://api.elsevier.com/content/abstract/scopus_id/85120351655",26,23,,,8,2.67,8,1,3,"","",""
2,"P. Dziurowicz","CHANGES IN PHOTOSYNTHETIC ACTIVITY OF THE LICHEN CLADONIA MITIS AND THE MOSS PLEUROZIUM SCHREBERI UNDER ARTIFICIAL HIGH-ENERGY LIGHTING IN LABORATORY CONDITIONS",2022,"Acta Biologica Cracoviensia Series Botanica","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85152762096&origin=inward",7,"2024-07-11 09:22:36","Article","10.24425/abcsb.2022.143381","0001-5296","https://api.elsevier.com/content/abstract/scopus_id/85152762096",64,2,23,33,2,1.00,2,1,2,"","",""
2,"P. Świsłowski","Comparison of Exposure Techniques and Vitality Assessment of Mosses in Active Biomonitoring for Their Suitability in Assessing Heavy Metal Pollution in Atmospheric Aerosol",2022,"Environmental Toxicology and Chemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85127420190&origin=inward",8,"2024-07-11 09:22:36","Article","10.1002/etc.5321","0730-7268","https://api.elsevier.com/content/abstract/scopus_id/85127420190",41,6,1429,1438,2,1.00,2,1,2,"","",""
2,"Y. Cameán","Limitation of photosynthetic processes in photosystem II in alpine mosses exposed to low temperatures: Response of chlorophyll fluorescence parameters",2018,"Czech Polar Reports","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062676284&origin=inward",9,"2024-07-11 09:22:36","Article","10.5817/CPR2018-2-18","1805-0689","https://api.elsevier.com/content/abstract/scopus_id/85062676284",8,2,218,229,2,0.33,2,1,6,"","",""
2,"E.M. Aro","Polypeptide patterns of the thylakoid membranes of bryophytes",1982,"Plant Science Letters","","https://api.elsevier.com/content/article/eid/1-s2.0-030442118290030X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2642637142&origin=inward",10,"2024-07-11 09:22:36","Article","10.1016/0304-4211(82)90030-X","0304-4211","https://api.elsevier.com/content/abstract/scopus_id/2642637142",24,3,335,345,2,0.05,2,1,42,"","",""
0,"P. Dziurowicz","Effect of light stress on maximum photochemical efficiency of photosystem II and chloroplast structure in cryptogams Cladonia mitis and Pleurozium schreberi",2024,"Ecological Questions","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85189888480&origin=inward",11,"2024-07-11 09:22:36","Article","10.12775/EQ.2024.039","1644-7298","https://api.elsevier.com/content/abstract/scopus_id/85189888480",35,3,,,0,0.00,0,1,1,"","",""
