Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
174,"T. Williams","Effect of changes in water content on photosynthesis, transpiration and discrimination against <sup>13</sup>CO<inf>2</inf> and C<sup>18</sup>O<sup>16</sup>O in Pleurozium and Sphagnum",1996,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029957445&origin=inward",1,"2024-07-11 09:19:05","Article","10.1007/BF00333212","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0029957445",108,1,38,46,174,6.21,174,1,28,"","",""
112,"O. Skre","Moss functioning in different taiga ecosystems in interior Alaska - I. Seasonal, phenotypic, and drought effects on photosynthesis and response patterns",1981,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0003108366&origin=inward",2,"2024-07-11 09:19:05","Article","10.1007/BF00346987","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0003108366",48,1,50,59,112,2.60,112,1,43,"","",""
105,"T. Williams","Measuring and modelling environmental influences on photosynthetic gas exchange in Sphagnum and Pleurozium",1998,"Plant, Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031825984&origin=inward",3,"2024-07-11 09:19:05","Article","10.1046/j.1365-3040.1998.00292.x","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/0031825984",21,6,555,564,105,4.04,105,1,26,"","",""
45,"O. Skre","Moss leaf water content and solar radiation at the moss surface in a mature black spruce forest in central Alaska.",1983,"Canadian Journal of Forest Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0020922853&origin=inward",4,"2024-07-11 09:19:05","Article","10.1139/x83-116","0045-5067","https://api.elsevier.com/content/abstract/scopus_id/0020922853",13,5,860,868,45,1.10,45,1,41,"","",""
38,"K.K. Deane-Coe","Experimental Warming Alters Productivity and Isotopic Signatures of Tundra Mosses",2015,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84940719632&origin=inward",5,"2024-07-11 09:19:05","Article","10.1007/s10021-015-9884-7","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/84940719632",18,6,1070,1082,38,4.22,38,1,9,"","",""
33,"B. Bond-Lamberty","Measurement and modelling of bryophyte evaporation in a boreal forest chronosequence",2011,"Ecohydrology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78751530381&origin=inward",6,"2024-07-11 09:19:05","Article","10.1002/eco.118","1936-0584","https://api.elsevier.com/content/abstract/scopus_id/78751530381",4,1,26,35,33,2.54,33,1,13,"","",""
32,"N.J. Fenton","Decomposition rates of bryophytes in managed boreal forests: Influence of bryophyte species and forest harvesting",2010,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78049262881&origin=inward",7,"2024-07-11 09:19:05","Article","10.1007/s11104-010-0506-z","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/78049262881",336,1,499,508,32,2.29,32,1,14,"","",""
17,"D. Carter","Soil formation under two moss species in sandy materials of central British Columbia (Canada)",2000,"Geoderma","","https://api.elsevier.com/content/article/eid/1-s2.0-S0016706100000598","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033755306&origin=inward",8,"2024-07-11 09:19:05","Article","10.1016/S0016-7061(00)00059-8","0016-7061","https://api.elsevier.com/content/abstract/scopus_id/0033755306",98,3,157,176,17,0.71,17,1,24,"","",""
16,"S.K. Rice","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959562345&origin=inward",9,"2024-07-11 09:19:05","Article","10.1639/0007-2745-114.2.367","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/79959562345",114,2,367,378,16,1.23,16,1,13,"","",""
13,"C. Coburn","Anisotropic reflectance effects on spectral indices for estimating ecophysiological parameters using a portable goniometer system",2010,"Canadian Journal of Remote Sensing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79951762795&origin=inward",10,"2024-07-11 09:19:05","Article","10.5589/m10-066","0703-8992","https://api.elsevier.com/content/abstract/scopus_id/79951762795",36,,,,13,0.93,13,1,14,"","",""
9,"K.J. Lees","Assessing the reliability of peatland GPP measurements by remote sensing: From plot to landscape scale",2021,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969720361428","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85093698680&origin=inward",11,"2024-07-11 09:19:05","Article","10.1016/j.scitotenv.2020.142613","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/85093698680",766,,,,9,3.00,9,1,3,"","",""
