Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"P Whittington, A Koiter, D Watts…","Bulk density, particle density, and porosity of two species of Sphagnum: Variability in measurement techniques and spatial distribution",2021,"Soil Science Society …","Wiley Online Library","https://acsess.onlinelibrary.wiley.com/doi/abs/10.1002/saj2.20327","https://scholar.google.com/scholar?cites=16767925579424652334&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 08:35:59","","10.1002/saj2.20327","","",,,,,9,3.00,2,4,3,"… The mean bulk density across all sites, monoliths, cores, and depths was 0.0237 ± 0.0085 (… bulk density for both Sphagnum litter species increases with depth; however, the bulk density …","https://www.researchgate.net/profile/Alexander-Koiter/publication/354326638_Bulk_density_particle_density_and_porosity_of_two_species_of_Sphagnum_Variability_in_measurement_techniques_and_spatial_distribution/links/621fca3019d1945acecf74f8/Bulk-density-particle-density-and-porosity-of-two-species-of-Sphagnum-Variability-in-measurement-techniques-and-spatial-distribution.pdf","https://scholar.google.com/scholar?q=related:LtzKZXmjs-gJ:scholar.google.com/&scioq=sphagnum+%22bulk+density%22&hl=en&as_sdt=2007"
13,"S Elowson, L Rytter","Soil characteristics of raised sphagnum bog in relation to intensively grown deciduous species: Peat bulk density, water content, and pH during the growing season",1986,"Scandinavian Journal of Forest Research","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/02827588609382404","https://scholar.google.com/scholar?cites=1905778386900946496&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 08:35:59","","10.1080/02827588609382404","","",,,,,13,0.34,7,2,38,"… the soil of a low-humified sphagnum peat bog. The improved … pH, water content, and peat bulk density in the soil during the … bulk density, water content, pH, and mineral nutrient content. …","","https://scholar.google.com/scholar?q=related:QA7Ze1ivchoJ:scholar.google.com/&scioq=sphagnum+%22bulk+density%22&hl=en&as_sdt=2007"
36,"JM Waddington, MC Lucchese, TP Duval","Sphagnum moss moisture retention following the re‐vegetation of degraded peatlands",2011,"Ecohydrology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.130","https://scholar.google.com/scholar?cites=9297079617129591779&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 08:35:59","","10.1002/eco.130","","",,,,,36,2.77,12,3,13,"… due to higher bulk density and the relatively more decomposed state of Sphagnum samples (see von Post in Table I). Moisture retention increases with higher bulk density (Boelter, 1968…","https://www.gret-perg.ulaval.ca/fileadmin/Fichiers/centre_recherche/Waddington_etal_Ecohydrol_2011_02.pdf","https://scholar.google.com/scholar?q=related:47OIW6fcBYEJ:scholar.google.com/&scioq=sphagnum+%22bulk+density%22&hl=en&as_sdt=2007"
132,"BJM Robroek, J Limpens, A Breeuwer, MGC Schouten","Effects of water level and temperature on performance of four Sphagnum mosses",2007,"Plant Ecology","Springer","https://link.springer.com/article/10.1007/s11258-006-9193-5","https://scholar.google.com/scholar?cites=9418525009113562440&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 08:35:59","","10.1007/s11258-006-9193-5","","",,,,,132,7.76,33,4,17,"… Since liverwort cover affected subcapitulum bulk density, we included liverwort as … bulk density. Liverwort cover was omitted from the analyses not dealing with subcapitulum bulk density…","https://link.springer.com/content/pdf/10.1007/s11258-006-9193-5.pdf","https://scholar.google.com/scholar?q=related:SL1YJJhStYIJ:scholar.google.com/&scioq=sphagnum+%22bulk+density%22&hl=en&as_sdt=2007"
52,"H Li, LE Parent, A Karam, C Tremblay","Potential of Sphagnum peat for improving soil organic matter, water holding capacity, bulk density and potato yield in a sandy soil",2004,"Plant and soil","Springer","https://link.springer.com/article/10.1007/s11104-005-0753-6","https://scholar.google.com/scholar?cites=17213666627764734384&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-11 08:35:59","","10.1007/s11104-005-0753-6","","",,,,,52,2.60,13,4,20,"… (SOM), water holding capacity, bulk density (BD), plant leaf … The treatments consisted of Sphagnum peat at rates of 0, 29, … It is suggested that Sphagnum peat at a rate of 48 Mg ha −1 …","https://link.springer.com/content/pdf/10.1007/s11104-005-0753-6.pdf","https://scholar.google.com/scholar?q=related:sMnplZg64-4J:scholar.google.com/&scioq=sphagnum+%22bulk+density%22&hl=en&as_sdt=2007"
15,"A Kämäräinen, A Simojoki, L Lindén, K Jokinen…","Physical growing media characteristics of Sphagnum biomass dominated by Sphagnum fuscum (Schimp.) Klinggr.",2018,"","mires-and-peat.net","http://mires-and-peat.net/media/map21/map_21_17.pdf","https://scholar.google.com/scholar?cites=15008426674113146380&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 08:35:59","PDF","","","",,,,,15,2.50,3,5,6,"… the volumetric water retention of the moss as its bulk density increases. Our results provide considerable insight into the physical growing media properties of Sphagnum moss biomass. …","http://mires-and-peat.net/media/map21/map_21_17.pdf","https://scholar.google.com/scholar?q=related:DO4CxIqkSNAJ:scholar.google.com/&scioq=sphagnum+%22bulk+density%22&hl=en&as_sdt=2007"
151,"PH Grosvernier, Y Matthey, A Buttler","Growth potential of three Sphagnum species in relation to water table level and peat properties with implications for their restoration in cut-over bogs",1997,"Journal of applied ecology","JSTOR","https://www.jstor.org/stable/2404891","https://scholar.google.com/scholar?cites=8011560624593924682&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-11 08:35:59","","","","",,,,,151,5.59,50,3,27,"… Growth in length and weight of three species of Sphagnum (S… The Sphagnum mosses were cultivated at natural density on … Significant differences in the growth of the three Sphagnum …","https://www.jstor.org/stable/pdf/2404891.pdf","https://scholar.google.com/scholar?q=related:SnJt5fDHLm8J:scholar.google.com/&scioq=sphagnum+%22bulk+density%22&hl=en&as_sdt=2007"
393,"PM Hayward, RS Clymo","Profiles of water content and pore size in Sphagnum and peat, and their relation to peat bog ecology",1982,"… of the Royal Society of London …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rspb.1982.0044","https://scholar.google.com/scholar?cites=8381214870277106086&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 08:35:59","","10.1098/rspb.1982.0044","","",,,,,393,9.36,197,2,42,"… arm about 0.4 mm long, and a bulk density of 0.04 g cm-3, similar to that of Sphagnum (figure 2). The sponge proved to be homogeneous, unlike the Sphagnum carpet. At a (figure 5) …","https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.1982.0044","https://scholar.google.com/scholar?q=related:pqkW2YQOUHQJ:scholar.google.com/&scioq=sphagnum+%22bulk+density%22&hl=en&as_sdt=2007"
116,"LC Johnson, AWH Damman, N Malmer","Sphagnum macrostructure as an indicator of decay and compaction in peat cores from an ombrotrophic south Swedish peat-bog",1990,"The Journal of Ecology","JSTOR","https://www.jstor.org/stable/2260889","https://scholar.google.com/scholar?cites=10679329676563261334&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 08:35:59","","","","",,,,,116,3.41,39,3,34,"… (2) Because stems of Sphagnum fuscum were intact to a depth … (3) A comparison of measured bulk density for each depth in two S… in Sphagnum shoot numbers and shoot bulk density in …","https://www.jstor.org/stable/pdf/2260889.pdf","https://scholar.google.com/scholar?q=related:lifXYsKZNJQJ:scholar.google.com/&scioq=sphagnum+%22bulk+density%22&hl=en&as_sdt=2007"
952,"RS Clymo, PM Hayward","The Ecology of Sphagnum",1982,"Bryophyte ecology","Springer","https://link.springer.com/content/pdf/10.1007/978-94-009-5891-3_8?pdf=chapter%20toc","https://scholar.google.com/scholar?cites=5123961377822070694&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 08:35:59","","10.1007/978-94-009-5891-3_8","","",,,,,952,22.67,476,2,42,"… The bulk density increases from about 0.01 to about 0.1 g cm-3 . The leaves retain their structure but pack down more tightly; the lateral hydraulic conductance falls, and the water table …","","https://scholar.google.com/scholar?q=related:ptfnp7n3G0cJ:scholar.google.com/&scioq=sphagnum+%22bulk+density%22&hl=en&as_sdt=2007"
