Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
78,"AM Laine, E Juurola, T Hájek, ES Tuittila","Sphagnum growth and ecophysiology during mire succession",2011,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-011-2039-4","https://scholar.google.com/scholar?cites=8570989017311868007&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-10 13:50:17","HTML","10.1007/s00442-011-2039-4","","",,,,,78,6.00,20,4,13,"… The differences in Φ PSII were reflected in the electron transport rate, ETR (Fig. 5). The relationship between P G and ETR revealed an interesting pattern along the successional …","https://link.springer.com/article/10.1007/s00442-011-2039-4","https://scholar.google.com/scholar?q=related:Z_SlphlF8nYJ:scholar.google.com/&scioq=sphagnum+%22electron+transport%22&hl=en&as_sdt=2007"
157,"TG Williams, LB Flanagan","Measuring and modelling environmental influences on photosynthetic gas exchange in Sphagnum and Pleurozium",1998,"Plant, Cell &Environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?cites=9685983540770307951&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-10 13:50:17","","10.1046/j.1365-3040.1998.00292.x","","",,,,,157,6.04,79,2,26,"… After snow melt and initial thaw, Sphagnum moss had low electron transport rate capacity, while evidence for such limitation was lacking in Pleurozium. When first defrosted, Sphagnum …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?q=related:b__kN7aGa4YJ:scholar.google.com/&scioq=sphagnum+%22electron+transport%22&hl=en&as_sdt=2007"
44,"KS Maseyk, TGA Green, D Klinac","Photosynthetic responses of New Zealand Sphagnum species",1999,"New Zealand Journal of Botany","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/0028825X.1999.9512621","https://scholar.google.com/scholar?cites=8958110721800636551&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-10 13:50:17","","10.1080/0028825X.1999.9512621","","",,,,,44,1.76,15,3,25,"… The response of light-saturated GP and relative electron transport to WC were very similar at … This seems to indicate that electron transport through the photosynthetic apparatus is not as …","https://www.tandfonline.com/doi/pdf/10.1080/0028825X.1999.9512621","https://scholar.google.com/scholar?q=related:h4iLRz2aUXwJ:scholar.google.com/&scioq=sphagnum+%22electron+transport%22&hl=en&as_sdt=2007"
1,"RJ Ritchie, S Sma-Air","Photosynthetic electron transport in a tropical moss Hyophila involuta",2023,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-126/issue-1/0007-2745-126.1.052/Photosynthetic-electron-transport-in-a-tropical-moss-Hyophila-involuta/10.1639/0007-2745-126.1.052.short","https://scholar.google.com/scholar?cites=11298516861359335689&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-10 13:50:17","","10.1639/0007-2745-126.1.052.short","","",,,,,1,1.00,1,2,1,"… Sphagnum moss is characteristic of cool-temperate and boreal habitats (Van … where, ETR is electron transport rate as a measure of the photosynthetic Electron Transport Rate (μmol e– …","","https://scholar.google.com/scholar?q=related:CakVKjllzJwJ:scholar.google.com/&scioq=sphagnum+%22electron+transport%22&hl=en&as_sdt=2007"
0,"A Sytiuk","Evaluating the role of metabolites in Sphagnum ecology under climate change: from Sphagnum functional trait space to carbon-related processes",2022,"","theses.hal.science","https://theses.hal.science/tel-04132040/","",5,"2024-07-10 13:50:17","","","","",,,,,0,0.00,0,1,2,"… My findings showed that Sphagnum … Sphagnum form and function, as well as Sphagnum resistance to environmental changes. Additionally, I found that the volume of the Sphagnum …","https://theses.hal.science/tel-04132040/document","https://scholar.google.com/scholar?q=related:s8KePGdPvO4J:scholar.google.com/&scioq=sphagnum+%22electron+transport%22&hl=en&as_sdt=2007"
32,"R Baxter, MJ Emes, JA Lee","Effects of the bisulphite ion on growth and photosynthesis in Sphagnum cuspidatum Hoffm.",1989,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1989.tb00708.x","https://scholar.google.com/scholar?cites=3102601313193941184&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-10 13:50:17","","10.1111/j.1469-8137.1989.tb00708.x","","",,,,,32,0.91,11,3,35,"… The eflects on the water-splitting apparatus and electron transport in Sphagnum from the remote Welsh site suggest chloroplast men-ibrane disruption. Entry into the organelle followed …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.1989.tb00708.x","https://scholar.google.com/scholar?q=related:wNiVwHSnDisJ:scholar.google.com/&scioq=sphagnum+%22electron+transport%22&hl=en&as_sdt=2007"
44,"T Hájek","Physiological ecology of peatland bryophytes",2013,"Photosynthesis in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_13","https://scholar.google.com/scholar?cites=5335692331972320140&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-10 13:50:17","","10.1007/978-94-007-6988-5_13","","",,,,,44,4.00,44,1,11,"… Therefore, the majority of this chapter is devoted to Sphagnum ecophysiology. … QY PSII quantum yield of photosystem II photochemistry, RETR relative electron transport rate (RETR = …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=254","https://scholar.google.com/scholar?q=related:jFv8_ecvDEoJ:scholar.google.com/&scioq=sphagnum+%22electron+transport%22&hl=en&as_sdt=2007"
3,"SR Schmidt","Sphagnum in a changing world: from the landscape to the isotope scale",2014,"","ediss.sub.uni-hamburg.de","https://ediss.sub.uni-hamburg.de/handle/ediss/5382","https://scholar.google.com/scholar?cites=5891480064926474907&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-10 13:50:17","CITATION","","","",,,,,3,0.30,3,1,10,"… in peatlands are peatmosses of the genus Sphagnum. Peatlands’ carbon sequestration is highly dependent on the productivity of Sphagnum mosses, which in turn depends on …","https://ediss.sub.uni-hamburg.de/bitstream/ediss/5382/1/Dissertation.pdf","https://scholar.google.com/scholar?q=related:m-I8l-e9wlEJ:scholar.google.com/&scioq=sphagnum+%22electron+transport%22&hl=en&as_sdt=2007"
78,"DJ Weston, CM Timm, AP Walker, L Gu…","Sphagnum physiology in the context of changing climate: emergent influences of genomics, modelling and host–microbiome interactions on understanding …",2015,"Plant, cell & …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.12458","https://scholar.google.com/scholar?cites=11907952160181161498&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-10 13:50:17","","10.1111/pce.12458","","",,,,,78,8.67,16,5,9,"… Sphagnum as a model organism to explore ecosystem response to a changing climate and to define the role that Sphagnum … s −1 ) and the electron transport limited gross carboxylation …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/pce.12458","https://scholar.google.com/scholar?q=related:Go7xDWaLQaUJ:scholar.google.com/&scioq=sphagnum+%22electron+transport%22&hl=en&as_sdt=2007"
9,"X Zhu, V Nimmo, J Wu, R Thomas","Sphagnum outcompetes feathermosses in their photosynthetic adaptation to postharvest black spruce forests",2019,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2019-0076","https://scholar.google.com/scholar?cites=9732328113305871832&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-10 13:50:17","","10.1139/cjb-2019-0076","","",,,,,9,1.80,2,4,5,"… investigated photosynthetic traits in Sphagnum and three feathermoss … In contrast, Sphagnum showed a significant increase in … the potential proliferation of Sphagnum and decrease of …","https://cdnsciencepub.com/doi/pdf/10.1139/cjb-2019-0076","https://scholar.google.com/scholar?q=related:2OUk39osEIcJ:scholar.google.com/&scioq=sphagnum+%22electron+transport%22&hl=en&as_sdt=2007"
