Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
107,"SK Rice, L Aclander, DT Hanson","Do bryophyte shoot systems function like vascular plant leaves or canopies? Functional trait relationships in Sphagnum mosses (Sphagnaceae)",2008,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.3732/ajb.0800019","https://scholar.google.com/scholar?cites=7491186129893362433&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-09 10:24:48","","10.3732/ajb.0800019","","",,,,,107,6.69,36,3,16,"… with photosynthetic characteristics in 10 Sphagnum species. Trait … to carbon uptake in Sphagnum shoots does not conform to … The relationships of plant traits in Sphagnum defines a …","https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.0800019","https://scholar.google.com/scholar?q=related:AYugWhgK9mcJ:scholar.google.com/&scioq=sphagnum+%22functional+trait%22&hl=en&as_sdt=2007"
25,"BT Piatkowski, AJ Shaw","Functional trait evolution in Sphagnum peat mosses and its relationship to niche construction",2019,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15825","https://scholar.google.com/scholar?cites=4456485310778785163&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-09 10:24:48","","10.1111/nph.15825","","",,,,,25,5.00,13,2,5,"… Species in the genus Sphagnum create, maintain, and dominate … of functional trait evolution across 15 species of Sphagnum using data from the most extensive studies of Sphagnum …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/nph.15825","https://scholar.google.com/scholar?q=related:iz23V8ed2D0J:scholar.google.com/&scioq=sphagnum+%22functional+trait%22&hl=en&as_sdt=2007"
44,"AM Laine, T Lindholm, M Nilsson…","Functional diversity and trait composition of vascular plant and Sphagnum moss communities during peatland succession across land uplift regions",2021,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13601","https://scholar.google.com/scholar?cites=12840844562013182587&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-09 10:24:48","","10.1111/1365-2745.13601","","",,,,,44,14.67,11,4,3,"… is known to shift from sedges and forbs to Sphagnum mosses and sedges to finally Sphagnum mosses and shrubs. While plant traits are yet little … 2.3 Functional trait measurements …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2745.13601","https://scholar.google.com/scholar?q=related:e1rNbhjYM7IJ:scholar.google.com/&scioq=sphagnum+%22functional+trait%22&hl=en&as_sdt=2007"
35,"A Mazziotta, G Granath, H Rydin…","Scaling functional traits to ecosystem processes: Towards a mechanistic understanding in peat mosses",2019,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13110","https://scholar.google.com/scholar?cites=88839435969380461&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-09 10:24:48","","10.1111/1365-2745.13110","","",,,,,35,7.00,9,4,5,"… We acknowledge that many models are possible to fit but here we present interpretable models given our current knowledge of Sphagnum and functional trait scaling that fulfil the …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.13110","https://scholar.google.com/scholar?q=related:bUAAD_-eOwEJ:scholar.google.com/&scioq=sphagnum+%22functional+trait%22&hl=en&as_sdt=2007"
7,"A Sytiuk, R Céréghino, S Hamard, F Delarue…","Biochemical traits enhance the trait concept in Sphagnum ecology",2022,"Oikos","Wiley Online Library","https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/oik.09119","https://scholar.google.com/scholar?cites=1064113375253746076&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-09 10:24:48","","10.1111/oik.09119","","",,,,,7,3.50,1,5,2,"… Our results further showed that the functional trait space of Sphagnum mosses expanded when biochemicals were taken into account. This suggests that Sphagnum biochemical traits …","https://hal.science/hal-03792880/file/SYTIUK_main%20%23OIK-09119_vf.pdf","https://scholar.google.com/scholar?q=related:nNG9FHp9xA4J:scholar.google.com/&scioq=sphagnum+%22functional+trait%22&hl=en&as_sdt=2007"
35,"JE Palozzi, Z Lindo","Boreal peat properties link to plant functional traits of ecosystem engineers",2017,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-017-3291-0","https://scholar.google.com/scholar?cites=3968093354479400195&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-09 10:24:48","HTML","10.1007/s11104-017-3291-0","","",,,,,35,5.00,18,2,7,"… in functional trait composition were mainly driven by LDMC and plant height. However, when considering functional trait … Yet, impacts of both Sphagnum and Carex as ecosystem …","https://link.springer.com/article/10.1007/s11104-017-3291-0","https://scholar.google.com/scholar?q=related:AzVVzeF_ETcJ:scholar.google.com/&scioq=sphagnum+%22functional+trait%22&hl=en&as_sdt=2007"
73,"K Marcisz, D Colombaroli, VEJ Jassey, W Tinner…","A novel testate amoebae trait-based approach to infer environmental disturbance in Sphagnum peatlands",2016,"Scientific Reports","nature.com","https://www.nature.com/articles/srep33907","https://scholar.google.com/scholar?cites=922690028289323836&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-09 10:24:48","HTML","","","",,,,,73,9.13,15,5,8,"… We analysed TA traits from two Sphagnum-dominated mires, which had experienced … between TA community structure, functional trait composition and functional diversity using …","https://www.nature.com/articles/srep33907","https://scholar.google.com/scholar?q=related:PPP6LbENzgwJ:scholar.google.com/&scioq=sphagnum+%22functional+trait%22&hl=en&as_sdt=2007"
0,"A Sytiuk","Evaluating the role of metabolites in Sphagnum ecology under climate change: from Sphagnum functional trait space to carbon-related processes",2022,"","theses.hal.science","https://theses.hal.science/tel-04132040/","",8,"2024-07-09 10:24:48","","","","",,,,,0,0.00,0,1,2,"… Despite this knowledge, the role of Sphagnum metabolites as important … of Sphagnum metabolites in providing deeper mechanistic understanding of the Sphagnum functional trait space…","https://theses.hal.science/tel-04132040/document","https://scholar.google.com/scholar?q=related:s8KePGdPvO4J:scholar.google.com/&scioq=sphagnum+%22functional+trait%22&hl=en&as_sdt=2007"
8,"AM Laine, A Korrensalo, ES Tuittila","Plant functional traits play the second fiddle to plant functional types in explaining peatland CO2 and CH4 gas exchange",2022,"Science of the Total Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969722024457","https://scholar.google.com/scholar?cites=2813842030885734812&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-09 10:24:48","HTML","","","",,,,,8,4.00,3,3,2,"… gas flux variability compared to functional trait-based indices. Our findings … Sphagnum litterbags under the living parts of Sphagnum shoots of the same species, where fresh Sphagnum …","https://www.sciencedirect.com/science/article/pii/S0048969722024457","https://scholar.google.com/scholar?q=related:nAkCMWvGDCcJ:scholar.google.com/&scioq=sphagnum+%22functional+trait%22&hl=en&as_sdt=2007"
11,"AM Laine, T Selänpää, J Oksanen, M Seväkivi…","Plant diversity and functional trait composition during mire development",2018,"","erepo.uef.fi","https://erepo.uef.fi/handle/123456789/6816","https://scholar.google.com/scholar?cites=9330252374242972307&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-09 10:24:48","","","","",,,,,11,1.83,2,5,6,"… In our chronosequence, Sphagnum species were already starting to dominate the moss layer in mesotrophic fens (SJ 3), and at the fen–bog transition stage the total cover of Sphagnum …","https://erepo.uef.fi/bitstream/handle/123456789/6816/15345065971239059233.pdf?sequence=2","https://scholar.google.com/scholar?q=related:k1J_vxm3e4EJ:scholar.google.com/&scioq=sphagnum+%22functional+trait%22&hl=en&as_sdt=2007"
