Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"V Stepanenko, I Repina, A Artamonov","Derivation of heat conductivity from temperature and heat flux measurements in soil",2021,"Land","mdpi.com","https://www.mdpi.com/2073-445X/10/6/552","https://scholar.google.com/scholar?cites=206381742762416376&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-10 14:02:17","HTML","","","",,,,,4,1.33,1,3,3,"… The sensors were placed in the Sphagnum moss layer 5–25 cm below surface, with the … (“Fourier law”) for the heat conduction problem provides a convenient framework, because it is …","https://www.mdpi.com/2073-445X/10/6/552","https://scholar.google.com/scholar?q=related:-Nh6ARo33QIJ:scholar.google.com/&scioq=sphagnum+%22heat+conduction%22&hl=en&as_sdt=2007"
197,"JA O'Donnell, VE Romanovsky, JW Harden…","The effect of moisture content on the thermal conductivity of moss and organic soil horizons from black spruce ecosystems in interior Alaska",2009,"Soil …","journals.lww.com","https://journals.lww.com/soilsci/fulltext/2009/12000/The_Effect_of_Moisture_Content_on_the_Thermal.2.aspx","https://scholar.google.com/scholar?cites=18315986973597956049&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-10 14:02:17","","","","",,,,,197,13.13,49,4,15,"… Our findings suggest that a shift toward Sphagnum-dominated from feather moss-dominated ecosystems could enhance heat conduction through organic horizons via wetter soil …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=202bd6259c9ed46d987f9383a0a8b9b4c5dd82eb","https://scholar.google.com/scholar?q=related:0ff8Nxx1L_4J:scholar.google.com/&scioq=sphagnum+%22heat+conduction%22&hl=en&as_sdt=2007"
58,"JM McKenzie, DI Siegel, DO Rosenberry…","Heat transport in the Red Lake bog, glacial Lake Agassiz peatlands",2007,"Hydrological …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.6239","https://scholar.google.com/scholar?cites=8961607566573764441&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-10 14:02:17","","10.1002/hyp.6239","","",,,,,58,3.41,15,4,17,"… The upper 3 m of peat consist of oligotrophic bog peat derived largely from Sphagnum moss … Using Equation (5), the total heat conduction is calculated as 1Ð8 MJ day 1, indicating it …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=3b1c03144a0467dafad1848fdc019b9f001c2533","https://scholar.google.com/scholar?q=related:Wf8U5pkGXnwJ:scholar.google.com/&scioq=sphagnum+%22heat+conduction%22&hl=en&as_sdt=2007"
73,"R Weiss, NJ Shurpali, T Sallantaus, R Laiho, J Laine…","Simulation of water table level and peat temperatures in boreal peatlands",2006,"Ecological …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304380005003534","https://scholar.google.com/scholar?cites=943337294936746032&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-10 14:02:17","","","","",,,,,73,4.06,12,6,18,"… Using the peat characteristics in terms of the remains of peat constituents such as Sphagnum, Carex, Eriophorum and Lignum, they have established well-defined water retention …","https://www.academia.edu/download/49963916/Simulation_of_water_table_level_and_peat20161029-6326-7rkk6k.pdf","https://scholar.google.com/scholar?q=related:MCgVkEVoFw0J:scholar.google.com/&scioq=sphagnum+%22heat+conduction%22&hl=en&as_sdt=2007"
14,"DD Dimitrov, RF Grant, PM Lafleur…","Modeling peat thermal regime of an ombrotrophic peatland with hummock–hollow microtopography",2010,"Soil Science Society …","Wiley Online Library","https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj2009.0288","https://scholar.google.com/scholar?cites=18383335438720002112&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-10 14:02:17","","10.2136/sssaj2009.0288","","",,,,,14,1.00,4,4,14,"… heat wouldn't have penetrated and heat conduction would act alone. Therefore, the effective … The groundcover is mainly Sphagnum mosses and overstory vegetation is dominated by a …","https://www.researchgate.net/profile/Dimitre-Dimitrov/publication/250129440_Modeling_Peat_Thermal_Regime_of_an_Ombrotrophic_Peatland_with_Hummock-Hollow_Microtopography/links/5c98f257a6fdccd4603ae2c3/Modeling-Peat-Thermal-Regime-of-an-Ombrotrophic-Peatland-with-Hummock-Hollow-Microtopography.pdf","https://scholar.google.com/scholar?q=related:QGjBsy66Hv8J:scholar.google.com/&scioq=sphagnum+%22heat+conduction%22&hl=en&as_sdt=2007"
26,"SH Dissanayaka, S Hamamoto…","Thermal properties of peaty soils: Effects of liquid‐phase impedance factor and shrinkage",2012,"Vadose Zone …","Wiley Online Library","https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/vzj2011.0092","https://scholar.google.com/scholar?cites=2586543023773348141&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-10 14:02:17","","10.2136/vzj2011.0092","","",,,,,26,2.17,9,3,12,"… mainly of fresh and decawying sphagnum moss inside the marsh (… profile consisted of decomposed sphagnum and decaying plant … to the overall heat capacity than to heat conduction. …","https://acsess.onlinelibrary.wiley.com/doi/pdfdirect/10.2136/vzj2011.0092","https://scholar.google.com/scholar?q=related:LXFGEC0_5SMJ:scholar.google.com/&scioq=sphagnum+%22heat+conduction%22&hl=en&as_sdt=2007"
49,"H Park, S Launiainen, PY Konstantinov…","Modeling the effect of moss cover on soil temperature and carbon fluxes at a tundra site in northeastern Siberia",2018,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2018jg004491","https://scholar.google.com/scholar?cites=4958760740448732755&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-10 14:02:17","","10.1029/2018jg004491","","",,,,,49,8.17,12,4,6,"… The main objective of this study was to quantitatively assess the impact of the Sphagnum-… G s is the heat conduction from the bottom snow layer when snow covers the moss, and f s …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018JG004491","https://scholar.google.com/scholar?q=related:U4aZ7J4O0UQJ:scholar.google.com/&scioq=sphagnum+%22heat+conduction%22&hl=en&as_sdt=2007"
0,"M Yamada, T Sato, H Takahashi","A numerical simulation of the effect of water table levels on nocturnal air temperature and frost damage in Mire, Japan",2009,"Wetlands","Springer","https://link.springer.com/article/10.1672/07-151.1","",8,"2024-07-10 14:02:17","","10.1672/07-151.1","","",,,,,0,0.00,0,3,15,"… Vegetation at the study site was dominated by Sphagnum papillosum, Sphagnum … temperature change in the peat layer is due to heat conduction as well as latent heat release. Thermal …","https://link.springer.com/content/pdf/10.1672/07-151.1.pdf","https://scholar.google.com/scholar?q=related:K14pR59TwHAJ:scholar.google.com/&scioq=sphagnum+%22heat+conduction%22&hl=en&as_sdt=2007"
0,"E Mastej, S Wright, M Braverman, É Devoie…","An evaluation of ground-cooling systems in a saturated subarctic peatland",2024,"Cold Regions Science …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0165232X23003269","",9,"2024-07-10 14:02:17","","","","",,,,,0,0.00,0,5,1,"… The area was vegetated by a mixture of mosses (Sphagnum spp.), shrubs (Rhododendron groenlandicum), lichens (Cladonia spp.), and some sparse tree seedlings (Picea mariana). …","","https://scholar.google.com/scholar?q=related:Z7bFEWvqbkEJ:scholar.google.com/&scioq=sphagnum+%22heat+conduction%22&hl=en&as_sdt=2007"
27,"R Puranen, M Mäkilä, H Säävuori","Electric conductivity and temperature variations within a raised bog in Finland: implications for bog development",1999,"The Holocene","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1191/095968399669634350","https://scholar.google.com/scholar?cites=599740835549243024&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-10 14:02:17","","10.1191/095968399669634350","","",,,,,27,1.08,9,3,25,"… to 5 m thick layer of Sphagnum peat was developed so that now … are mainly controlled by heat conduction. Noclear signs of thermal … The heat conduction model can also be used in the …","https://journals.sagepub.com/doi/pdf/10.1191/095968399669634350","https://scholar.google.com/scholar?q=related:kGY1xBy1UggJ:scholar.google.com/&scioq=sphagnum+%22heat+conduction%22&hl=en&as_sdt=2007"
