Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
372,"RS Clymo","The growth of Sphagnum: some effects of environment",1973,"The Journal of Ecology","JSTOR","https://www.jstor.org/stable/2258654","https://scholar.google.com/scholar?cites=4103957168698327586&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-09 13:46:19","","","","",,,,,372,7.29,372,1,51,"The growth of up to twelve species of Sphagnum was measured in experiments with factorial … The surface irregularity of a Sphagnum carpet decreases as the water table falls, and a …","https://www.jstor.org/stable/pdf/2258654.pdf","https://scholar.google.com/scholar?q=related:IoKuHU0v9DgJ:scholar.google.com/&scioq=sphagnum+height&hl=en&as_sdt=2007"
592,"RS Clymo","The growth of Sphagnum: methods of measurement",1970,"The Journal of Ecology","JSTOR","https://www.jstor.org/stable/2258168","https://scholar.google.com/scholar?cites=16937587115242227785&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-09 13:46:19","","","","",,,,,592,10.96,592,1,54,"… These could not be defined beforehand in terms of height relative to the water table, so the Sphagnum plants were themselves used as indicators, and the three habitats defined as pool …","https://www.jstor.org/stable/pdf/2258168.pdf","https://scholar.google.com/scholar?q=related:SQg__L1lDusJ:scholar.google.com/&scioq=sphagnum+height&hl=en&as_sdt=2007"
132,"BJM Robroek, J Limpens, A Breeuwer, MGC Schouten","Effects of water level and temperature on performance of four Sphagnum mosses",2007,"Plant Ecology","Springer","https://link.springer.com/article/10.1007/s11258-006-9193-5","https://scholar.google.com/scholar?cites=9418525009113562440&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-09 13:46:19","","10.1007/s11258-006-9193-5","","",,,,,132,7.76,33,4,17,"… We conclude that changes in water table and temperature may alter the Sphagnum composition … Nonetheless, these liverworts had no effect on Sphagnum height increment, dry weight …","https://link.springer.com/content/pdf/10.1007/s11258-006-9193-5.pdf","https://scholar.google.com/scholar?q=related:SL1YJJhStYIJ:scholar.google.com/&scioq=sphagnum+height&hl=en&as_sdt=2007"
951,"RS Clymo, PM Hayward","The Ecology of Sphagnum",1982,"Bryophyte ecology","Springer","https://link.springer.com/content/pdf/10.1007/978-94-009-5891-3_8?pdf=chapter%20toc","https://scholar.google.com/scholar?cites=5123961377822070694&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-09 13:46:19","","10.1007/978-94-009-5891-3_8","","",,,,,951,22.64,476,2,42,"… In a Sphagnum carpet, the height of the water table at a particular time is determined by many processes: preCipitation, evaporation, hydraulic conductivity in both vertical and horizontal …","","https://scholar.google.com/scholar?q=related:ptfnp7n3G0cJ:scholar.google.com/&scioq=sphagnum+height&hl=en&as_sdt=2007"
149,"A Breeuwer, MMPD Heijmans, BJM Robroek…","The effect of temperature on growth and competition between Sphagnum species",2008,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-008-0963-8","https://scholar.google.com/scholar?cites=10359460958170024566&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-09 13:46:19","HTML","10.1007/s00442-008-0963-8","","",,,,,149,9.31,37,4,16,"… From our results, we conclude that the height increment and biomass production of all Sphagnum species in bogs can increase with an increase in temperature. However, the literature …","https://link.springer.com/article/10.1007/s00442-008-0963-8","https://scholar.google.com/scholar?q=related:dopAzNoyxI8J:scholar.google.com/&scioq=sphagnum+height&hl=en&as_sdt=2007"
260,"PM Hayward, RS Clymo","The growth of Sphagnum: experiments on, and simulation of, some effects of light flux and water-table depth",1983,"The Journal of Ecology","JSTOR","https://www.jstor.org/stable/2259597","https://scholar.google.com/scholar?cites=6075639389837906040&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-09 13:46:19","","","","",,,,,260,6.34,130,2,41,"… the heights of the pointers (x andy are the two axes of the rectangular grid; z is the height above … of the required species of Sphagnum at about the required height above the water-table. …","https://www.jstor.org/stable/pdf/2259597.pdf","https://scholar.google.com/scholar?q=related:eNCovtUBUVQJ:scholar.google.com/&scioq=sphagnum+height&hl=en&as_sdt=2007"
47,"G Gaudig, M Krebs, H Joosten","Sphagnum farming on cut-over bog in NW Germany: Long-term studies on Sphagnum growth.",2017,"Mires &Peat","researchgate.net","https://www.researchgate.net/profile/Greta-Gaudig/publication/318601922_Sphagnum_farming_on_cut-over_bog_in_NW_Germany_Long-term_studies_on_Sphagnum_growth/links/597284720f7e9b4016944704/Sphagnum-farming-on-cut-over-bog-in-NW-Germany-Long-term-studies-on-Sphagnum-growth.pdf","https://scholar.google.com/scholar?cites=6487596063336331787&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-09 13:46:19","PDF","","","",,,,,47,6.71,16,3,7,"… Sphagnum farming allows sustainable and climate-friendly … studied Sphagnum productivity on an experimental Sphagnum … between Sphagnum lawn thickness and relative height of the …","https://www.researchgate.net/profile/Greta-Gaudig/publication/318601922_Sphagnum_farming_on_cut-over_bog_in_NW_Germany_Long-term_studies_on_Sphagnum_growth/links/597284720f7e9b4016944704/Sphagnum-farming-on-cut-over-bog-in-NW-Germany-Long-term-studies-on-Sphagnum-growth.pdf","https://scholar.google.com/scholar?q=related:C3piMT-SCFoJ:scholar.google.com/&scioq=sphagnum+height&hl=en&as_sdt=2007"
51,"S Sundberg","Size matters for violent discharge height and settling speed of Sphagnum spores: important attributes for dispersal potential",2009,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/105/2/291/196099","https://scholar.google.com/scholar?cites=8841103652413752187&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-09 13:46:19","","","","",,,,,51,3.40,51,1,15,"… Sphagnum (peat moss) species have explosive spore liberation. In this study, how capsule and spore sizes affect the height … relate to settling speed in the aspherical Sphagnum spores. …","https://academic.oup.com/aob/article/105/2/291/196099","https://scholar.google.com/scholar?q=related:e8OHAO7osXoJ:scholar.google.com/&scioq=sphagnum+height&hl=en&as_sdt=2007"
57,"A Breeuwer, MMPD Heijmans, M Gleichman…","Response of Sphagnum species mixtures to increased temperature and nitrogen availability",2009,"Plant Ecology","Springer","https://link.springer.com/article/10.1007/s11258-009-9571-x","https://scholar.google.com/scholar?cites=17715184096704996954&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-09 13:46:19","HTML","10.1007/s11258-009-9571-x","","",,,,,57,3.80,14,4,15,"… year −1 ) on the growth of four Sphagnum species from three geographically interspersed … of these Sphagnum species during two growing seasons. Sphagnum height increment and …","https://link.springer.com/article/10.1007/s11258-009-9571-x","https://scholar.google.com/scholar?q=related:WibArhP62PUJ:scholar.google.com/&scioq=sphagnum+height&hl=en&as_sdt=2007"
152,"U Gunnarsson, G Granberg, M Nilsson","Growth, production and interspecific competition in Sphagnum: effects of temperature, nitrogen and sulphur treatments on a boreal mire",2004,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2004.01108.x","https://scholar.google.com/scholar?cites=15378676152184806626&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-09 13:46:19","","10.1111/j.1469-8137.2004.01108.x","","",,,,,152,7.60,51,3,20,"… of Sphagnum balticum and interspecific competition between S. balticum and either Sphagnum lindbergii or transplanted Sphagnum … The height above the groundwater table has been …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1469-8137.2004.01108.x","https://scholar.google.com/scholar?q=related:4hy_DnsIbNUJ:scholar.google.com/&scioq=sphagnum+height&hl=en&as_sdt=2007"
