Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
107,"SK Rice, L Aclander, DT Hanson","Do bryophyte shoot systems function like vascular plant leaves or canopies? Functional trait relationships in Sphagnum mosses (Sphagnaceae)",2008,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.3732/ajb.0800019","https://scholar.google.com/scholar?cites=7491186129893362433&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-09 14:10:37","","10.3732/ajb.0800019","","",,,,,107,6.69,36,3,16,"… Species of Sphagnum occupy diverse habitats and differ in … Comparative studies within Sphagnum present an opportunity … in structural compounds, low leaf mass per area, short leaf life …","https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.0800019","https://scholar.google.com/scholar?q=related:AYugWhgK9mcJ:scholar.google.com/&scioq=sphagnum+%22leaf+mass%22&hl=en&as_sdt=2007"
10,"W Konings, K Boyd, R Andersen","Comparison of plant traits of sedges, shrubs and Sphagnum mosses between sites undergoing forest-to-bog restoration and near-natural open blanket bog: a pilot …",2019,"Mires and Peat","pure.uhi.ac.uk","https://pure.uhi.ac.uk/en/publications/comparison-of-plant-traits-of-sedges-shrubs-and-sphagnum-mosses-b","https://scholar.google.com/scholar?cites=11844396517630807842&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-09 14:10:37","","","","",,,,,10,2.00,3,3,5,"… Sphagnum capillifolium and Sphagnum papillosum collected in an open blanket bog, a forestry plantation and two forest-to-bog restoration sites in northern Scotland. Significantly lower …","https://pure.uhi.ac.uk/files/3572118/map_23_07.pdf","https://scholar.google.com/scholar?q=related:Ig9C5OC_X6QJ:scholar.google.com/&scioq=sphagnum+%22leaf+mass%22&hl=en&as_sdt=2007"
10,"TA Oke, MR Turetsky","Evaluating Sphagnum traits in the context of resource economics and optimal partitioning theories",2020,"Oikos","Wiley Online Library","https://nsojournals.onlinelibrary.wiley.com/doi/abs/10.1111/oik.07195","https://scholar.google.com/scholar?cites=11277318689529958978&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-09 14:10:37","","10.1111/oik.07195","","",,,,,10,2.50,5,2,4,"… Leaf mass area Leaves are very small in many species and relatively weightless when dry. Crown mass (eg capitulum mass) may be equivalent because it is more exposed than the …","https://www.researchgate.net/profile/Tobi-Oke/publication/340954118_Evaluating_Sphagnm_traits_in_the_context_of_resource_economics_and_optimal_partitioning_theories/links/6104f6c31ca20f6f86ed91ac/Evaluating-Sphagnm-traits-in-the-context-of-resource-economics-and-optimal-partitioning-theories.pdf","https://scholar.google.com/scholar?q=related:QpJOLJkVgZwJ:scholar.google.com/&scioq=sphagnum+%22leaf+mass%22&hl=en&as_sdt=2007"
63,"E Dorrepaal, R Aerts, JHC Cornelissen…","Sphagnum modifies climate‐change impacts on subarctic vascular bog plants",2006,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2435.2006.01076.x","https://scholar.google.com/scholar?cites=3866196814397478780&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-09 14:10:37","","10.1111/j.1365-2435.2006.01076.x","","",,,,,63,3.50,16,4,18,"… to increased summer temperatures may therefore have been limited, but was crucial in avoiding negative impacts of enhanced Sphagnum growth on leaf mass and nutrient losses. …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1365-2435.2006.01076.x","https://scholar.google.com/scholar?q=related:fJfoyYR9pzUJ:scholar.google.com/&scioq=sphagnum+%22leaf+mass%22&hl=en&as_sdt=2007"
25,"Z Wang, W Bao, D Feng, H Lin","Functional trait scaling relationships across 13 temperate mosses growing in wintertime",2014,"Ecological Research","Springer","https://link.springer.com/article/10.1007/s11284-014-1146-1","https://scholar.google.com/scholar?cites=101552927544369114&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-09 14:10:37","HTML","10.1007/s11284-014-1146-1","","",,,,,25,2.50,6,4,10,"… Only a few researches focused on Sphagnum species and … traits were negatively associated with leaf mass per area (LMA). … thickness of the shoot of Sphagnum species was higher than …","https://link.springer.com/article/10.1007/s11284-014-1146-1","https://scholar.google.com/scholar?q=related:2t8ufNnJaAEJ:scholar.google.com/&scioq=sphagnum+%22leaf+mass%22&hl=en&as_sdt=2007"
102,"BM Svensson","Competition between Sphagnum fuscum and Drosera rotundifolia: a case of ecosystem engineering",1995,"Oikos","JSTOR","https://www.jstor.org/stable/3545649","https://scholar.google.com/scholar?cites=9479957016933735080&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-09 14:10:37","","","","",,,,,102,3.52,102,1,29,"… rotundifolia led to increases in number of leaves and specific leaf mass. No leaf area effect … It is concluded that competition for growth-limiting mineral nutrients in Sphagnum peatlands …","https://www.jstor.org/stable/pdf/3545649.pdf","https://scholar.google.com/scholar?q=related:qJpOEK6Sj4MJ:scholar.google.com/&scioq=sphagnum+%22leaf+mass%22&hl=en&as_sdt=2007"
88,"B Bond-Lamberty, ST Gower","Estimation of stand-level leaf area for boreal bryophytes",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?cites=5314145550210239110&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-09 14:10:37","HTML","10.1007/s00442-006-0619-5","","",,,,,88,5.18,44,2,17,"… Species-specific SLA (for three feather mosses, four Sphagnum … the SLA of non-Sphagnum mosses. Bryophyte LAI increased … Leaf area may also be calculated from leaf mass using …","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?q=related:hgoB7Tijv0kJ:scholar.google.com/&scioq=sphagnum+%22leaf+mass%22&hl=en&as_sdt=2007"
23,"R Milla, JHC Cornelissen, RSP van Logtestijn, S Toet…","Vascular Plant Responses to Elevated CO2 in a Temperate Lowland Sphagnum Peatland",2006,"Plant Ecology","Springer","https://link.springer.com/article/10.1007/s11258-005-9028-9","https://scholar.google.com/scholar?cites=14961317739751283562&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-09 14:10:37","","10.1007/s11258-005-9028-9","","",,,,,23,1.28,5,5,18,"… lowland peatland dominated by Sphagnum and Phragmites for 3 … with those from other Sphagnum peatland studies, the … and functioning of lowland Sphagnum–Phragmites reedlands …","https://link.springer.com/content/pdf/10.1007/s11258-005-9028-9.pdf","https://scholar.google.com/scholar?q=related:ahugQTdHoc8J:scholar.google.com/&scioq=sphagnum+%22leaf+mass%22&hl=en&as_sdt=2007"
0,"O Oke","Evaluating trait-based ecology in Sphagnum moss",2018,"","atrium.lib.uoguelph.ca","https://atrium.lib.uoguelph.ca/handle/10214/12587","",9,"2024-07-09 14:10:37","","","","",,,,,0,0.00,0,1,6,"… Additionally, in vascular plants, trait correlations are evaluated using leaf traits such as the relationship between leaf longevity and leaf mass area compared with whole-plant traits in …","https://atrium.lib.uoguelph.ca/bitstreams/e086f09b-c473-4c59-8406-44676d11ad11/download","https://scholar.google.com/scholar?q=related:1c6oqA5WqXQJ:scholar.google.com/&scioq=sphagnum+%22leaf+mass%22&hl=en&as_sdt=2007"
12,"F Carvalho, KA Brown, MP Waller, A Boom","Leaf traits interact with management and water table to modulate ecosystem properties in fen peatlands",2019,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-019-04126-6","https://scholar.google.com/scholar?cites=13895313680072044412&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-09 14:10:37","HTML","10.1007/s11104-019-04126-6","","",,,,,12,2.40,3,4,5,"… Leaf samples were kept in moistened bags at under 4 C for up to 72 h prior to fresh leaf mass and area measurements. Leaf lamina and petiole were used to determine fresh leaf area …","https://link.springer.com/article/10.1007/s11104-019-04126-6","https://scholar.google.com/scholar?q=related:fO9R5ysS1sAJ:scholar.google.com/&scioq=sphagnum+%22leaf+mass%22&hl=en&as_sdt=2007"
