Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
398,"L Rochefort, F Quinty, S Campeau, K Johnson…","North American approach to the restoration of Sphagnum dominated peatlands",2003,"Wetlands Ecology and …","Springer","https://link.springer.com/article/10.1023/a:1022011027946","https://scholar.google.com/scholar?cites=11852517797884859747&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-10 14:12:59","","10.1023/a:1022011027946","","",,,,,398,18.95,80,5,21,"… Vegetation establishment was assessed by estimating the percent cover of Sphagnum mosses, other mosses, herbaceous plants and ericaceous shrubs from a series of 14 quadrats (…","https://link.springer.com/content/pdf/10.1023/A:1022011027946.pdf","https://scholar.google.com/scholar?q=related:YxXszCOafKQJ:scholar.google.com/&scioq=sphagnum+%22percent+cover%22&hl=en&as_sdt=2007"
239,"J Price, L Rochefort, F Quinty","Energy and moisture considerations on cutover peatlands: surface microtopography, mulch cover and Sphagnum regeneration",1998,"Ecological engineering","Elsevier","https://www.sciencedirect.com/science/article/pii/S0925857498000469","https://scholar.google.com/scholar?cites=18093103376638060600&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-10 14:12:59","","","","",,,,,239,9.19,80,3,26,"… At the end of September of 1995 and 1996 and in June 1996, vegetation re-establishment was assessed by estimating the percent cover of Sphagnum mosses, other mosses, …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=bb02e73b0a2efb40585ec2d6ee1fe37b6df02cf3","https://scholar.google.com/scholar?q=related:OKju4KidF_sJ:scholar.google.com/&scioq=sphagnum+%22percent+cover%22&hl=en&as_sdt=2007"
10,"A Corson, D Campbell","Testing Protocols to Restore Disturbed Sphagnum-dominated Peatlands in the Hudson Bay Lowland",2013,"Wetlands","Springer","https://link.springer.com/article/10.1007/s13157-013-0383-3","https://scholar.google.com/scholar?cites=8020039567982471186&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-10 14:12:59","HTML","10.1007/s13157-013-0383-3","","",,,,,10,0.91,5,2,11,"… They were resampled on August 10–13, 2010, this time to determine the percent cover of Sphagnum and other bryophytes after three and a half growing seasons. Percent cover was …","https://link.springer.com/article/10.1007/s13157-013-0383-3","https://scholar.google.com/scholar?q=related:Eigsvn7nTG8J:scholar.google.com/&scioq=sphagnum+%22percent+cover%22&hl=en&as_sdt=2007"
52,"NJ Fenton, Y Bergeron","Sphagnum community change after partial harvest in black spruce boreal forests",2007,"Forest Ecology and Management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378112707000540","https://scholar.google.com/scholar?cites=5163323472829719977&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-10 14:12:59","","","","",,,,,52,3.06,26,2,17,"… , the proportion of Sphagnum magellanicum, Sphagnum fallax and Sphagnum fuscum increased … Models of percent Sphagnum cover indicated machinery track cover, percent cover of …","https://chaireafd.uqat.ca/publication/articlePDF/ForEcolManage2007_242_24-33.pdf","https://scholar.google.com/scholar?q=related:qaVzklfPp0cJ:scholar.google.com/&scioq=sphagnum+%22percent+cover%22&hl=en&as_sdt=2007"
58,"C Chirino, S Campeau…","Sphagnum establishment on bare peat: The importance of climatic variability and Sphagnum species richness",2006,"Applied Vegetation …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1654-109X.2006.tb00678.x","https://scholar.google.com/scholar?cites=3998559258983149577&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-10 14:12:59","","10.1111/j.1654-109X.2006.tb00678.x","","",,,,,58,3.22,19,3,18,"… fuscum resulted in the highest mean percent cover compared to the other re-introduction combinations (Fig. 3a). According to the protected LSD tests the performance of S. …","https://www.jstor.org/stable/pdf/4620488.pdf","https://scholar.google.com/scholar?q=related:CTAK9XW8fTcJ:scholar.google.com/&scioq=sphagnum+%22percent+cover%22&hl=en&as_sdt=2007"
7,"MS Famous, N Taylor","Regeneration of Three Sphagnum species",2005,"Wetlands Ecology and Management","Springer","https://link.springer.com/article/10.1007/s11273-005-0125-2","https://scholar.google.com/scholar?cites=7693594173706974832&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-10 14:12:59","","10.1007/s11273-005-0125-2","","",,,,,7,0.37,4,2,19,"… recurvum had a somewhat greater mean percent cover under lower water conditions than … mean percent cover was low (0–3%). S. recurvum had a slightly higher mean percent cover …","https://link.springer.com/content/pdf/10.1007/s11273-005-0125-2.pdf","https://scholar.google.com/scholar?q=related:cLbReSMjxWoJ:scholar.google.com/&scioq=sphagnum+%22percent+cover%22&hl=en&as_sdt=2007"
35,"NJ Fenton, C Beland, S De Blois, Y Bergeron","Sphagnum establishment and expansion in black spruce (Picea mariana) boreal forests",2007,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/b06-148","https://scholar.google.com/scholar?cites=6029024934032170233&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-10 14:12:59","","10.1139/b06-148","","",,,,,35,2.06,9,4,17,"… Observed and expected frequencies of establishment substrates for Sphagnum capillifolium colonies at different depths (cm). Expected values were calculated based on percent cover …","https://cdnsciencepub.com/doi/pdf/10.1139/b06-148","https://scholar.google.com/scholar?q=related:-dz1_jtmq1MJ:scholar.google.com/&scioq=sphagnum+%22percent+cover%22&hl=en&as_sdt=2007"
72,"RK Wieder, GE Lang","Net primary production of the dominant bryophytes in a Sphagnum-dominated wetland in West Virginia",1983,"Bryologist","JSTOR","https://www.jstor.org/stable/3242723","https://scholar.google.com/scholar?cites=5251619440024548348&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-10 14:12:59","","","","",,,,,72,1.76,36,2,41,"… net production of a potentially pure stand of each particular species, such that those studies that measured production in mixed species stands have been corrected by percent cover …","https://www.jstor.org/stable/pdf/3242723.pdf","https://scholar.google.com/scholar?q=related:_PMycg6A4UgJ:scholar.google.com/&scioq=sphagnum+%22percent+cover%22&hl=en&as_sdt=2007"
73,"L Rochefort, F Isselin-Nondedeu, S Boudreau…","Comparing survey methods for monitoring vegetation change through time in a restored peatland",2013,"Wetlands Ecology and …","Springer","https://link.springer.com/article/10.1007/s11273-012-9280-4","https://scholar.google.com/scholar?cites=16764969526142435128&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-10 14:12:59","HTML","10.1007/s11273-012-9280-4","","",,,,,73,6.64,18,4,11,"… percent cover … Sphagnum capitula are fully developed and prominent with their colour, they are well detected by both methods and (2) with the development of the dominant Sphagnum …","https://link.springer.com/article/10.1007/s11273-012-9280-4","https://scholar.google.com/scholar?q=related:OP_3m_UiqegJ:scholar.google.com/&scioq=sphagnum+%22percent+cover%22&hl=en&as_sdt=2007"
2,"SR Bender, AL Swinehart…","Seventeen years of change in two Sphagnum bogs in Noble County, Indiana",2012,"Proceedings of the …","journals.indianapolis.iu.edu","https://journals.indianapolis.iu.edu/index.php/ias/article/view/21044","https://scholar.google.com/scholar?cites=14887667439241624534&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-10 14:12:59","","","","",,,,,2,0.17,1,3,12,"… Percent frequency and percent cover were calculated for the herbaceous, ground, and aquatic layers in each bog. Percent … Percent cover was calculated by dividing the sum of observed …","https://journals.indianapolis.iu.edu/index.php/ias/article/download/21044/20481","https://scholar.google.com/scholar?q=related:1nslYqiem84J:scholar.google.com/&scioq=sphagnum+%22percent+cover%22&hl=en&as_sdt=2007"
