Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
167,"H Rydin, RS Clymo","Transport of carbon and phosphorus compounds about Sphagnum",1989,"Proceedings of the Royal Society of …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rspb.1989.0037","https://scholar.google.com/scholar?cites=10692030843766583752&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-11 09:00:59","","10.1098/rspb.1989.0037","","",,,,,167,4.77,84,2,35,"The bog mosses, Sphagnum, lack any obvious anatomical … These results indicate that Sphagnum has an effective … be seen as causes of the widespread success of Sphagnum. …","https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.1989.0037","https://scholar.google.com/scholar?q=related:yDE6Ume5YZQJ:scholar.google.com/&scioq=sphagnum+phosphorus&hl=en&as_sdt=2007"
47,"JA Carfrae, LJ Sheppard, JA Raven, ID Leith…","Potassium and phosphorus additions modify the response of Sphagnum capillifolium growing on a Scottish ombrotrophic bog to enhanced nitrogen …",2007,"Applied …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0883292707000443","https://scholar.google.com/scholar?cites=8803698770475648434&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-11 09:00:59","HTML","","","",,,,,47,2.76,9,5,17,"This study reports the impacts of wet reduced versus oxidised N on in situ responses of Sphagnum capillifolium: architecture, chemistry and F v /F m . Nitrogen inputs were enhanced …","https://www.sciencedirect.com/science/article/pii/S0883292707000443","https://scholar.google.com/scholar?q=related:soW-Q2MFLXoJ:scholar.google.com/&scioq=sphagnum+phosphorus&hl=en&as_sdt=2007"
162,"J Limpens, F Berendse, H Klees","How Phosphorus Availability Affects the Impact of Nitrogen Deposition on Sphagnum and Vascular Plants in Bogs",2004,"Ecosystems","Springer","https://link.springer.com/article/10.1007/s10021-004-0274-9","https://scholar.google.com/scholar?cites=8978873330749707898&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-11 09:00:59","HTML","10.1007/s10021-004-0274-9","","",,,,,162,8.10,54,3,20,"… Sphagnum. We conclude that because P alleviates the negative impact N has on Sphagnum … impact of N deposition on Sphagnum production and thus on carbon sequestration in bogs. …","https://link.springer.com/article/10.1007/s10021-004-0274-9","https://scholar.google.com/scholar?q=related:epaQ4rhdm3wJ:scholar.google.com/&scioq=sphagnum+phosphorus&hl=en&as_sdt=2007"
97,"C Fritz, G Van Dijk, AJP Smolders, VA Pancotto…","Nutrient additions in pristine Patagonian Sphagnum bog vegetation: can phosphorus addition alleviate (the effects of) increased nitrogen loads",2012,"Plant …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1438-8677.2011.00527.x","https://scholar.google.com/scholar?cites=7044049767388127903&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-11 09:00:59","","10.1111/j.1438-8677.2011.00527.x","","",,,,,97,8.08,19,5,12,"… of phosphorus (Juutinen et al. 2010). The present paper therefore emphasises the role of phosphorus … balance and alleviating stress imposed by excess nitrogen on Sphagnum mosses. …","https://ri.conicet.gov.ar/bitstream/handle/11336/94942/CONICET_Digital_Nro.b2e1e6f2-3a01-4db3-a2ff-92a143777147_A.pdf?sequence=2","https://scholar.google.com/scholar?q=related:n6JXRfF9wWEJ:scholar.google.com/&scioq=sphagnum+phosphorus&hl=en&as_sdt=2007"
6,"CA León, M Neila-Pivet, A Benítez-Mora…","Effect of phosphorus and nitrogen on Sphagnum regeneration and growth: an experience from Patagonia",2019,"Wetlands Ecology and …","Springer","https://link.springer.com/article/10.1007/s11273-019-09657-4","https://scholar.google.com/scholar?cites=8495502504627933181&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-11 09:00:59","HTML","10.1007/s11273-019-09657-4","","",,,,,6,1.20,2,4,5,"… fibers of Sphagnum moss that are used as a substrate in horticulture. Sphagnum fibers are … regeneration and growth rate of Sphagnum magellanicum and Sphagnum falcatulum. An ex …","https://link.springer.com/article/10.1007/s11273-019-09657-4","https://scholar.google.com/scholar?q=related:_Q_KUIQW5nUJ:scholar.google.com/&scioq=sphagnum+phosphorus&hl=en&as_sdt=2007"
41,"G Wang, X Yu, K Bao, W Xing, C Gao, Q Lin, X Lu","Effect of fire on phosphorus forms in Sphagnum moss and peat soils of ombrotrophic bogs",2015,"Chemosphere","Elsevier","https://www.sciencedirect.com/science/article/pii/S0045653514002239","https://scholar.google.com/scholar?cites=15518946813429887310&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-11 09:00:59","","","","",,,,,41,4.56,6,7,9,"… The effect of burning Sphagnum moss and peat on phosphorus forms was … Sphagnum moss and peat soils resulted in losses of organic phosphorus (P o ), while inorganic phosphorus (…","https://scholar.google.com/scholar?output=instlink&q=info:TjGrZudfXtcJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=2954457789684753140&oi=lle","https://scholar.google.com/scholar?q=related:TjGrZudfXtcJ:scholar.google.com/&scioq=sphagnum+phosphorus&hl=en&as_sdt=2007"
16,"T Živković, K Disney, TR Moore","Variations in nitrogen, phosphorus, and δ15N in Sphagnum mosses along a climatic and atmospheric deposition gradient in eastern Canada",2017,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2016-0314","https://scholar.google.com/scholar?cites=9700167838738710419&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-11 09:00:59","","10.1139/cjb-2016-0314","","",,,,,16,2.29,5,3,7,"… (N) and phosphorus (P) and δ 15 N value in Sphagnum sections … The N concentration in Sphagnum declined from south to … Ratios of N and P concentration in Sphagnum capitulum:stem …","https://cdnsciencepub.com/doi/pdf/10.1139/cjb-2016-0314","https://scholar.google.com/scholar?q=related:k3-wcUHrnYYJ:scholar.google.com/&scioq=sphagnum+phosphorus&hl=en&as_sdt=2007"
643,"R Aerts, BO Wallen, N Malmer","Growth-limiting nutrients in Sphagnum-dominated bogs subject to low and high atmospheric nitrogen supply",1992,"Journal of ecology","JSTOR","https://www.jstor.org/stable/2261070","https://scholar.google.com/scholar?cites=2489721049654016600&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-11 09:00:59","","","","",,,,,643,20.09,214,3,32,"… The effects of increased nitrogen or phosphorus supply on the productivity of Sphagnum-dominated ombrotrophic bogs in northern and southern Sweden were studied. Atmospheric …","https://www.jstor.org/stable/pdf/2261070.pdf","https://scholar.google.com/scholar?q=related:WLpwghpEjSIJ:scholar.google.com/&scioq=sphagnum+phosphorus&hl=en&as_sdt=2007"
12,"TT Li, Y Lei, C Dai, LF Yang, ZQ Li, ZX Wang","Effects of both substrate and nitrogen and phosphorus fertilizer on Sphagnum palustre growth in subtropical high-mountain regions and implications for …",2018,"Wetlands Ecology and …","Springer","https://link.springer.com/article/10.1007/s11273-018-9598-7","https://scholar.google.com/scholar?cites=9682408570995177129&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-11 09:00:59","HTML","10.1007/s11273-018-9598-7","","",,,,,12,2.00,2,6,6,"Human activities have recently caused severe destruction of Sphagnum wetlands in subtropical high-mountain regions, calling for urgent efforts to restore Sphagnum wetlands. Through …","https://link.springer.com/article/10.1007/s11273-018-9598-7","https://scholar.google.com/scholar?q=related:qXZdtEvTXoYJ:scholar.google.com/&scioq=sphagnum+phosphorus&hl=en&as_sdt=2007"
105,"R Gerdol, A Petraglia, L Bragazza…","Nitrogen deposition interacts with climate in affecting production and decomposition rates in Sphagnum mosses",2007,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2007.01380.x","https://scholar.google.com/scholar?cites=5368628535493877059&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-11 09:00:59","","10.1111/j.1365-2486.2007.01380.x","","",,,,,105,6.18,26,4,17,"… Phosphorus addition resulted in higher Sphagnum production in both habitats, but the effect was significant only in 2004 and 2005, as demonstrated by a significant Year × P addition …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2486.2007.01380.x","https://scholar.google.com/scholar?q=related:Q10jdTUzgUoJ:scholar.google.com/&scioq=sphagnum+phosphorus&hl=en&as_sdt=2007"
