Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"G Chiapusio, P Binet, C Bertheau, P Priault","Sphagnum physiological responses to elevated temperature, nitrogen, CO2 and low moisture in laboratory and in situ microhabitats: a review",2022,"Aquatic Ecology","Springer","https://link.springer.com/article/10.1007/s10452-021-09924-8","https://scholar.google.com/scholar?cites=11651239753481141196&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-10 13:51:56","","10.1007/s10452-021-09924-8","","",,,,,8,4.00,2,4,2,"… , length increment, respiration, photosynthetic capability, N … studied Sphagnum subgenera (Acutifolia, Cuspidata, Sphagnum… ) on Sphagnum reveal an increase in length, respiration and …","https://search.proquest.com/openview/ba3112c8ef285c416f4f7d92378c5e3a/1?pq-origsite=gscholar&cbl=54576","https://scholar.google.com/scholar?q=related:zDsnK9OEsaEJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
222,"P McNeil, JM Waddington","Moisture controls on Sphagnum growth and CO2 exchange on a cutover bog",2003,"Journal of applied ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2664.2003.00790.x","https://scholar.google.com/scholar?cites=15790525377640333169&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-10 13:51:56","","10.1046/j.1365-2664.2003.00790.x","","",,,,,222,10.57,111,2,21,"… Sphagnum respiration was calculated as the difference between total respiration (R TOT ) and soil respiration… R TOT was dominated by soil respiration rather than Sphagnum respiration…","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2664.2003.00790.x","https://scholar.google.com/scholar?q=related:cf8KTys3I9sJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
43,"SK Kivimäki, LJ Sheppard, ID Leith, J Grace","Long-term enhanced nitrogen deposition increases ecosystem respiration and carbon loss from a Sphagnum bog in the Scottish Borders",2013,"… and Experimental Botany","Elsevier","https://www.sciencedirect.com/science/article/pii/S0098847212001864","https://scholar.google.com/scholar?cites=9416708242305978762&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-10 13:51:56","","","","",,,,,43,3.91,11,4,11,"… , the ER measurements in this study include respiration from auto- and heterotrophs, such as vascular plant roots and micro-organisms. However, mass loss from Sphagnum litter …","","https://scholar.google.com/scholar?q=related:ihEkKEHeroIJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
185,"ES Tuittila, H Vasander, J Laine","Sensitivity of C Sequestration in Reintroduced Sphagnum to Water‐Level Variation in a Cutaway Peatland",2004,"Restoration Ecology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1061-2971.2004.00280.x","https://scholar.google.com/scholar?cites=9372244688457733765&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-10 13:51:56","","10.1111/j.1061-2971.2004.00280.x","","",,,,,185,9.25,62,3,20,"… to peat respiration, the response of Sphagnum respiration to … respiration values to get estimates for R S (R S = R TOT − R P ). We based the model construction for Sphagnum respiration …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1061-2971.2004.00280.x","https://scholar.google.com/scholar?q=related:hZaQS-PmEIIJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
15,"B D'angelo, S Gogo, F Laggoun-Défarge…","Soil temperature synchronisation improves representation of diel variability of ecosystem respiration in Sphagnum peatlands",2016,"Agricultural and Forest …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0168192316302088","https://scholar.google.com/scholar?cites=17541288745818649158&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-10 13:51:56","","","","",,,,,15,1.88,4,4,8,"… the plant covers consist of Sphagnum spp. Four … Sphagnum capitulum (considered as the zero), which considering the sensor and shelter size was about 15 cm above the Sphagnum …","https://insu.hal.science/insu-01303659/document","https://scholar.google.com/scholar?q=related:RvITNS0tb_MJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
94,"M Strack, JS Price","Moisture controls on carbon dioxide dynamics of peat‐Sphagnum monoliths",2009,"Ecohydrology: Ecosystems, Land and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.36","https://scholar.google.com/scholar?cites=12178757479905375782&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-10 13:51:56","","10.1002/eco.36","","",,,,,94,6.27,47,2,15,"… capitula and this was likely to limit the sudden respiration response. When … Sphagnum monoliths in this study makes it impossible to separate Sphagnum respiration from soil respiration …","https://www.academia.edu/download/84349967/Strack_Price_Ecohydrol_2009_01.pdf","https://scholar.google.com/scholar?q=related:JjZk82ajA6kJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
2,"PA Pacheco‐Cancino, RF Carrillo‐López…","Sphagnum mosses, the impact of disturbances and anthropogenic management actions on their ecological role in CO2 fluxes generated in peatland ecosystems",2024,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.16972","https://scholar.google.com/scholar?cites=17954778528667404126&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-10 13:51:56","","10.1111/gcb.16972","","",,,,,2,2.00,1,3,1,"… three different peatland types in Finland did not affect Sphagnum respiration, although this … to −25 cm showed no effect on respiration of Sphagnum established in lawns and hummocks. …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/gcb.16972","https://scholar.google.com/scholar?q=related:XgcIfvEvLPkJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
32,"AC Adkinson, ER Humphreys","The response of carbon dioxide exchange to manipulations of Sphagnum water content in an ombrotrophic bog",2011,"Ecohydrology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.171","https://scholar.google.com/scholar?cites=7523184873299950570&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-10 13:51:56","","10.1002/eco.171","","",,,,,32,2.46,16,2,13,"… In this study, the decreasing trend in Sphagnum respiration with … Sphagnum GP max was not significantly less in the PE treatment, it is possible that the decreased Sphagnum respiration …","https://scholar.google.com/scholar?output=instlink&q=info:6ruiYMi4Z2gJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=10541917075133326735&oi=lle","https://scholar.google.com/scholar?q=related:6ruiYMi4Z2gJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
38,"MR Turetsky, RK Wieder","Boreal bog Sphagnum refixes soil-produced and respired 14CO2",1999,"Ecoscience","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/11956860.1999.11682559","https://scholar.google.com/scholar?cites=12143931017625731569&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-10 13:51:56","","10.1080/11956860.1999.11682559","","",,,,,38,1.52,19,2,25,"… carpet of transplanted Sphagnum plants. Below the capitulum canopy, CO2 produced via living Sphagnum respiration, vascular plant root respiration, or soil microbial respiration all are …","https://www.jstor.org/stable/pdf/42901156.pdf","https://scholar.google.com/scholar?q=related:8QFuUuvoh6gJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
12,"S Gogo, AJ Francez, F Laggoun-Défarge, N Gouélibo…","Simultaneous Estimation of Actual Litter Enzymatic Catalysis and Respiration Rates with a Simple Model of C Dynamics in Sphagnum-Dominated Peatlands",2014,"Ecosystems","Springer","https://link.springer.com/article/10.1007/s10021-013-9724-6","https://scholar.google.com/scholar?cites=6003994525448915329&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-10 13:51:56","HTML","10.1007/s10021-013-9724-6","","",,,,,12,1.20,2,5,10,"… than in Sphagnum (low … respiration, Sphagnum and Molinia followed the same pattern, with low initial rates and high decreasing rate (Table 4; Figure 3B). Betula had a high respiration …","https://link.springer.com/article/10.1007/s10021-013-9724-6","https://scholar.google.com/scholar?q=related:gcnF2jV5UlMJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
21,"SF Harpenslager, G van Dijk, S Kosten…","Simultaneous high C fixation and high C emissions in Sphagnum mires",2015,"…","bg.copernicus.org","https://bg.copernicus.org/articles/12/4739/2015/","https://scholar.google.com/scholar?cites=955155549744432678&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-10 13:51:56","","","","",,,,,21,2.33,5,4,9,"… respiration rates during the light period and the use of estimated Sphagnum respiration … emissions during the light period in growing Sphagnum patches clearly points out that there is a …","https://bg.copernicus.org/articles/12/4739/2015/bg-12-4739-2015.pdf","https://scholar.google.com/scholar?q=related:JobCb-lkQQ0J:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
78,"AM Laine, E Juurola, T Hájek, ES Tuittila","Sphagnum growth and ecophysiology during mire succession",2011,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-011-2039-4","https://scholar.google.com/scholar?cites=8570989017311868007&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-10 13:51:56","HTML","10.1007/s00442-011-2039-4","","",,,,,78,6.00,20,4,13,"… Sphagnum mosses from the early successional sites would also have higher maximum photosynthetic rates, higher respiration rates, and less efficient photosystem II photochemistries …","https://link.springer.com/article/10.1007/s00442-011-2039-4","https://scholar.google.com/scholar?q=related:Z_SlphlF8nYJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
182,"JE Titus, DJ Wagner","Carbon balance for two Sphagnum mosses: water balance resolves a physiological paradox",1984,"Ecology","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1937772","https://scholar.google.com/scholar?cites=563380031579663473&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-10 13:51:56","","10.2307/1937772","","",,,,,182,4.55,91,2,40,"… We assumed that dark respiration rates were independent oflight intensity. Thus for Pz., we added the absolute value of dark respiration to net C02 exchange rates, each measured at a …","https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.2307/1937772","https://scholar.google.com/scholar?q=related:cazaXyeH0QcJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
33,"S Hamard, BJM Robroek, PM Allard…","Effects of Sphagnum Leachate on Competitive Sphagnum Microbiome Depend on Species and Time",2019,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fmicb.2019.02042/full","https://scholar.google.com/scholar?cites=17378637603647640403&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-10 13:51:56","HTML","10.3389/fmicb.2019.02042","","",,,,,33,6.60,8,4,5,"… Sphagnum leachates and microbiome are species-specific. We show that both Sphagnum … In our study, microbial enzyme activity and respiration seems to be resilient to prolonged …","https://www.frontiersin.org/articles/10.3389/fmicb.2019.02042/full","https://scholar.google.com/scholar?q=related:U9OpFdNSLfEJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
15,"KJ Lees, JM Clark, T Quaife, M Khomik…","Changes in carbon flux and spectral reflectance of Sphagnum mosses as a result of simulated drought",2019,"Ecohydrology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.2123","https://scholar.google.com/scholar?cites=8819461962980650212&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-10 13:51:56","","10.1002/eco.2123","","",,,,,15,3.00,3,5,5,"… Our results suggest that a period of at least 29 days is required to affect Sphagnum carbon function (photosynthesis and respiration). This result might, however, be different in field …","https://centaur.reading.ac.uk/84106/1/2019%20Lees%20et%20al%20Sphangnm%20drought%20effects.pdf","https://scholar.google.com/scholar?q=related:5OyHhe0FZXoJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
124,"E Van Der Heijden, SK Verbeek…","Elevated atmospheric CO2 and increased nitrogen deposition: effects on C and N metabolism and growth of the peat moss Sphagnum recurvum P. Beauv. var …",2000,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2486.2000.00303.x","https://scholar.google.com/scholar?cites=18000578453696605357&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-10 13:51:56","","10.1046/j.1365-2486.2000.00303.x","","",,,,,124,5.17,41,3,24,"… 2 ] inhibited respiration in Sphagnum recurvum, resulting in an accumulation of soluble sugars in capitula. The inhibition in respiration was surprising, because respiration rate is often …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-2486.2000.00303.x","https://scholar.google.com/scholar?q=related:rewihLvmzvkJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
12,"AG Molchanov","Gas exchange in sphagnum mosses at different near-surface groundwater levels",2015,"Russian Journal of Ecology","Springer","https://link.springer.com/article/10.1134/S1067413615030066","https://scholar.google.com/scholar?cites=15270637841893629435&as_sdt=2005&sciodt=2007&hl=en",17,"2024-07-10 13:51:56","","10.1134/S1067413615030066","","",,,,,12,1.33,12,1,9,"… a sedge–sphagnum phytocenosis at a saturating irradiance reaches a plateau at about 300– 400 mg СО2/(m2 h), or 1.9–2.5 µmol СО2/(m2 s), with the dark respiration rate being 100–…","https://link.springer.com/content/pdf/10.1134/S1067413615030066.pdf","https://scholar.google.com/scholar?q=related:-x21uzU07NMJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
951,"RS Clymo, PM Hayward","The Ecology of Sphagnum",1982,"Bryophyte ecology","Springer","https://link.springer.com/content/pdf/10.1007/978-94-009-5891-3_8?pdf=chapter%20toc","https://scholar.google.com/scholar?cites=5123961377822070694&as_sdt=2005&sciodt=2007&hl=en",18,"2024-07-10 13:51:56","","10.1007/978-94-009-5891-3_8","","",,,,,951,22.64,476,2,42,"… suggests that there may be more vertical transport in Sphagnum plants than is commonly supposed. The apex of a Sphagnum plant may sometimes be replaced by two smaller ones. …","","https://scholar.google.com/scholar?q=related:ptfnp7n3G0cJ:scholar.google.com/&scioq=sphagnum+respiration&hl=en&as_sdt=2007"
