Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"R Garisoain, C Delire, B Decharme…","A Study of Dominant Vegetation Phenology in a Sphagnum Mountain Peatland Using In Situ and Sentinel‐2 Observations",2023,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2023JG007403","https://scholar.google.com/scholar?cites=2053309205376709681&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-09 13:58:38","","10.1029/2023JG007403","","",,,,,1,1.00,0,4,1,"… on Sphagnum LAI and none on its seasonal change. We monitored Sphagnum mosses LAI … using two methods: 2D scans of monthly Sphagnum moss samples and analysis of Sentinel‐…","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2023JG007403","https://scholar.google.com/scholar?q=related:MbSE6NfRfhwJ:scholar.google.com/&scioq=sphagnum+%22shoot+area+index%22&hl=en&as_sdt=2007"
28,"AP Walker, KR Carter, L Gu, PJ Hanson…","Biophysical drivers of seasonal variability in Sphagnum gross primary production in a northern temperate bog",2017,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1002/2016jg003711","https://scholar.google.com/scholar?cites=14540909408163584999&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-09 13:58:38","","10.1002/2016jg003711","","",,,,,28,4.00,6,5,7,"… the canopy layer, ie, the cumulative shoot area index. Following Williams and Flanagan [1998], we employed a k of 1.5 for Sphagnum though recognizing that this is above the bounds …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2016JG003711","https://scholar.google.com/scholar?q=related:59u50BCwy8kJ:scholar.google.com/&scioq=sphagnum+%22shoot+area+index%22&hl=en&as_sdt=2007"
88,"B Bond-Lamberty, ST Gower","Estimation of stand-level leaf area for boreal bryophytes",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?cites=5314145550210239110&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-09 13:58:38","HTML","10.1007/s00442-006-0619-5","","",,,,,88,5.18,44,2,17,"… feather mosses, four Sphagnum spp. and Aulacomnium … the SLA of non-Sphagnum mosses. Bryophyte LAI increased with … data, but imply that a total shoot area index of 2.4 was typical (…","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?q=related:hgoB7Tijv0kJ:scholar.google.com/&scioq=sphagnum+%22shoot+area+index%22&hl=en&as_sdt=2007"
2,"E Jabłońska, W Kotowski, NA Soudzilovskaia","Desiccation avoidance and hummock formation traits of rich fen bryophytes",2023,"Wetlands","Springer","https://link.springer.com/article/10.1007/s13157-023-01669-4","https://scholar.google.com/scholar?cites=10676949426722999587&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-09 13:58:38","HTML","10.1007/s13157-023-01669-4","","",,,,,2,2.00,1,3,1,"… With use of SLA values, we calculated also shoot area index (… -Sphagnum species (Figs. 1 and 2). Looking at the results in terms of species trait characteristics, we found that Sphagnum …","https://link.springer.com/article/10.1007/s13157-023-01669-4","https://scholar.google.com/scholar?q=related:I42iSO8kLJQJ:scholar.google.com/&scioq=sphagnum+%22shoot+area+index%22&hl=en&as_sdt=2007"
157,"TG Williams, LB Flanagan","Measuring and modelling environmental influences on photosynthetic gas exchange in Sphagnum and Pleurozium",1998,"Plant, Cell &Environment","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?cites=9685983540770307951&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-09 13:58:38","","10.1046/j.1365-3040.1998.00292.x","","",,,,,157,6.04,79,2,26,"… The incident light intensity will also be affected due to light attenuation within the moss canopy in a manner dependent on the shoot area index (SAI) of the sample. This was modelled …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-3040.1998.00292.x","https://scholar.google.com/scholar?q=related:b__kN7aGa4YJ:scholar.google.com/&scioq=sphagnum+%22shoot+area+index%22&hl=en&as_sdt=2007"
0,"LB Flanagan","Measuring and modelling environmental influences on photosynthetic gas exchange in Sphagnum andPleurozium.",1998,"Plant, Cell &Environment","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=01407791&AN=5284624&h=O0cv7DhCXliOKkoiDvNa64wF0XzR2l4rUAOwl8gHkpOkymIvgOyzLL5w7lyAj6unWcuDE88XRRugJ9trOEPcaQ%3D%3D&crl=c","",6,"2024-07-09 13:58:38","","","","",,,,,0,0.00,0,1,26,"… The incident light intensity will also be affected due to light attenuation within the moss canopy in a manner dependent on the shoot area index (SAI) of the sample. This was modelled …","https://scholar.google.com/scholar?output=instlink&q=info:AL4_TSUmlYgJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=6396442527348647128&oi=lle","https://scholar.google.com/scholar?q=related:AL4_TSUmlYgJ:scholar.google.com/&scioq=sphagnum+%22shoot+area+index%22&hl=en&as_sdt=2007"
26,"SK Rice, N Neal, J Mango, K Black","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-114/issue-2/0007-2745-114.2.367/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the/10.1639/0007-2745-114.2.367.short","https://scholar.google.com/scholar?cites=10331985589368611300&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-09 13:58:38","","10.1639/0007-2745-114.2.367.short","","",,,,,26,2.00,7,4,13,"… the leaf area index, or in our case the shoot area index (SAI), above that point as described … Irradiance and temperature effects on photosynthesis of tussock tundra Sphagnum mosses …","https://www.jstor.org/stable/pdf/41289793.pdf","https://scholar.google.com/scholar?q=related:5GHF_iaWYo8J:scholar.google.com/&scioq=sphagnum+%22shoot+area+index%22&hl=en&as_sdt=2007"
26,"Ü Niinemets, M Tobias","Scaling light harvesting from moss “leaves” to canopies",2013,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_9","https://scholar.google.com/scholar?cites=17855212720943001565&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-09 13:58:38","","10.1007/978-94-007-6988-5_9","","",,,,,26,2.36,13,2,11,"… Determination of shoot area index is less time-consuming, and can be achieved either by … cumulative shoot area index (S c ) relationships was also larger in C. molluscum than in the …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=176","https://scholar.google.com/scholar?q=related:3e_XZF51yvcJ:scholar.google.com/&scioq=sphagnum+%22shoot+area+index%22&hl=en&as_sdt=2007"
35,"EC Van der Hoeven, CIJ Huynen…","Vertical profiles of biomass, light intercepting area and light intensity in chalk grassland mosses",1993,"The Journal of the Hattori …","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/jhbl/74/0/74_261/_article/-char/ja/","https://scholar.google.com/scholar?cites=7779787560312842679&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-09 13:58:38","","","","",,,,,35,1.13,12,3,31,"… However, in the case of bryophytes it is more practical to use the Shoot Area Index (SAi) in … commune and to only 1 % in Sphagnum subsecundum. The differences in light profiles may …","https://www.jstage.jst.go.jp/article/jhbl/74/0/74_261/_pdf","https://scholar.google.com/scholar?q=related:tylzKJFb92sJ:scholar.google.com/&scioq=sphagnum+%22shoot+area+index%22&hl=en&as_sdt=2007"
13,"SK Rice, DT Hanson, Z Portman","Structural and functional analyses of bryophyte canopies",2013,"… in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_10","https://scholar.google.com/scholar?cites=10577720432462383968&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-09 13:58:38","","10.1007/978-94-007-6988-5_10","","",,,,,13,1.18,4,3,11,"… ) on 7 cm diameter samples of ten Sphagnum species during drying. Spatial variation in … the light extinction coefficient and SAI x is the shoot area index above point x, the surface area of …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=197","https://scholar.google.com/scholar?q=related:YMtPrrCcy5IJ:scholar.google.com/&scioq=sphagnum+%22shoot+area+index%22&hl=en&as_sdt=2007"
