Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
140,"K Gajewski, A Viau, M Sawada…","Sphagnum peatland distribution in North America and Eurasia during the past 21,000 years",2001,"Global …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2000GB001286","https://scholar.google.com/scholar?cites=14552450066975232610&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-09 14:04:01","","10.1029/2000GB001286","","",,,,,140,6.09,35,4,23,"… peatlands are present, in the same way that the distribution of pollen of upland taxa can be used to indicate the distribution of trees. We plot the modem distribution of Sphagnum spore …","https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2000GB001286","https://scholar.google.com/scholar?q=related:YhKr1Tuw9MkJ:scholar.google.com/&scioq=sphagnum+distribution&hl=en&as_sdt=2007"
40,"P Hájková, M Hájek","Sphagnum distribution patterns along environmental gradients in Bulgaria",2007,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/174328207X160577","https://scholar.google.com/scholar?cites=8126946760032235072&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-09 14:04:01","","10.1179/174328207X160577","","",,,,,40,2.35,20,2,17,"… The distribution patterns of 18 Sphagnum species along base-… Here, distribution of Sphagnum species was determined mainly … controls of Sphagnum distribution below the timberline. …","","https://scholar.google.com/scholar?q=related:QK47FAW3yHAJ:scholar.google.com/&scioq=sphagnum+distribution&hl=en&as_sdt=2007"
9,"C Campbell, G Granath, H Rydin","Climatic drivers of Sphagnum species distributions",2021,"Frontiers of Biogeography","escholarship.org","https://escholarship.org/uc/item/1f70180p","https://scholar.google.com/scholar?cites=4581982625247481651&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-09 14:04:01","","","","",,,,,9,3.00,3,3,3,"… their seasonal variability) to model the distributions of the Sphagnum species of Europe. Our … Sphagnum species distributions, (2) to produce climate suitability maps for each Sphagnum …","https://escholarship.org/content/qt1f70180p/qt1f70180p.pdf","https://scholar.google.com/scholar?q=related:M0_j2Ot4lj8J:scholar.google.com/&scioq=sphagnum+distribution&hl=en&as_sdt=2007"
951,"RS Clymo, PM Hayward","The Ecology of Sphagnum",1982,"Bryophyte ecology","Springer","https://link.springer.com/content/pdf/10.1007/978-94-009-5891-3_8?pdf=chapter%20toc","https://scholar.google.com/scholar?cites=5123961377822070694&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-09 14:04:01","","10.1007/978-94-009-5891-3_8","","",,,,,951,22.64,476,2,42,"… The distribution and rate of growth of Sphagnum plants and the performance of one species relative to another are determined primarily by the supply of water and by the concentration …","","https://scholar.google.com/scholar?q=related:ptfnp7n3G0cJ:scholar.google.com/&scioq=sphagnum+distribution&hl=en&as_sdt=2007"
106,"BH Green","Factors influencing the spatial and temporal distribution of Sphagnum imbricatum Hornsch. ex Russ. in the British Isles",1968,"The Journal of Ecology","JSTOR","https://www.jstor.org/stable/2258066","https://scholar.google.com/scholar?cites=12419570316885890345&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-09 14:04:01","","","","",,,,,106,1.89,106,1,56,"Sphagnum imbricatum occurs in abundance as sub-fossil remains in peat mires throughout the British Isles yet today is a very rare species and generally confined to hummocks which …","https://www.jstor.org/stable/pdf/2258066.pdf","https://scholar.google.com/scholar?q=related:KRX4yGYtW6wJ:scholar.google.com/&scioq=sphagnum+distribution&hl=en&as_sdt=2007"
19,"A Séneca, L Söderström","Species richness and distribution ranges of European Sphagnum",2008,"Folia Cryptogamica Estonica","ojs.utlib.ee","https://ojs.utlib.ee/index.php/FCE/article/view/13715","https://scholar.google.com/scholar?cites=12135946213496454089&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-09 14:04:01","","","","",,,,,19,1.19,10,2,16,"… There are 51 Sphagnum species in Europe. Sphagnum species richness shows a gradient of … the Balkans and Slovakia are identified as probably underexplored for Sphagnum species. …","https://ojs.utlib.ee/index.php/FCE/article/download/13715/8762","https://scholar.google.com/scholar?q=related:yfuzPMiKa6gJ:scholar.google.com/&scioq=sphagnum+distribution&hl=en&as_sdt=2007"
13,"SYU POPOV","The climatic patterning of Sphagnum sect. Sphagnum species distribution in the East European Plain",2016,"Arctoa","elibrary.ru","https://elibrary.ru/item.asp?id=28088912","https://scholar.google.com/scholar?cites=15844600343945921411&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-09 14:04:01","","","","",,,,,13,1.63,13,1,8,"… distribution of Sphagnum species with local climatic factors in the East European Plain. Six species of Sphagnum from section Sphagnum… between species distribution and temperature, …","","https://scholar.google.com/scholar?q=related:g8PthBBU49sJ:scholar.google.com/&scioq=sphagnum+distribution&hl=en&as_sdt=2007"
140,"OW Heal","Observations on the seasonal and spatial distribution of Testacea (Protozoa: Rhizopoda) in Sphagnum",1964,"The Journal of Animal Ecology","JSTOR","https://www.jstor.org/stable/2561","https://scholar.google.com/scholar?cites=2495092253094594504&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-09 14:04:01","","","","",,,,,140,2.33,140,1,60,"… seasonal changes in numbers and activi Testacea in Sphagnum. In the second part a survey … Thes studies indicate that certain factors influence the distribution of Testacea, and prelim …","https://www.jstor.org/stable/pdf/2561.pdf","https://scholar.google.com/scholar?q=related:yEeIQy9ZoCIJ:scholar.google.com/&scioq=sphagnum+distribution&hl=en&as_sdt=2007"
140,"LD Gignac, DH Vitt","Habitat limitations of Sphagnum along climatic, chemical, and physical gradients in mires of western Canada",1990,"Bryologist","JSTOR","https://www.jstor.org/stable/3243541","https://scholar.google.com/scholar?cites=2966861551518090589&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-09 14:04:01","","","","",,,,,140,4.12,70,2,34,"… Sphagnum distribution was studied on twenty-seven peatlands found along a transect extendingfrom the Queen Charlotte Islands, British Columbia, to central Alberta. Based on surface …","https://www.jstor.org/stable/pdf/3243541.pdf","https://scholar.google.com/scholar?q=related:XQUArNxoLCkJ:scholar.google.com/&scioq=sphagnum+distribution&hl=en&as_sdt=2007"
87,"J Whinam, GS Hope, BR Clarkson, RP Buxton…","Sphagnum in peatlands of Australasia: Their distribution, utilisation and management",2003,"Wetlands Ecology and …","Springer","https://link.springer.com/article/10.1023/A:1022005504855","https://scholar.google.com/scholar?cites=5178583567389576065&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-09 14:04:01","","10.1023/A:1022005504855","","",,,,,87,4.14,17,5,21,"… been on ensuring ecologically sustainable Sphagnum moss harvesting, with limited peat mining. We have found that general recovery of Sphagnum after moss harvesting can be …","https://link.springer.com/content/pdf/10.1023/A:1022005504855.pdf","https://scholar.google.com/scholar?q=related:gUvuNVEG3kcJ:scholar.google.com/&scioq=sphagnum+distribution&hl=en&as_sdt=2007"
