Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"W Konings, K Boyd, R Andersen","Comparison of plant traits of sedges, shrubs and Sphagnum mosses between sites undergoing forest-to-bog restoration and near-natural open blanket bog: a pilot …",2019,"Mires and Peat","pure.uhi.ac.uk","https://pure.uhi.ac.uk/en/publications/comparison-of-plant-traits-of-sedges-shrubs-and-sphagnum-mosses-b","https://scholar.google.com/scholar?cites=11844396517630807842&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-09 13:48:23","","","","",,,,,10,2.00,3,3,5,"… Sphagnum capillifolium and Sphagnum papillosum collected in an open blanket bog, a forestry plantation and two forest-to-bog restoration sites in northern Scotland. Significantly lower …","https://pure.uhi.ac.uk/files/3572118/map_23_07.pdf","https://scholar.google.com/scholar?q=related:Ig9C5OC_X6QJ:scholar.google.com/&scioq=sphagnum+%22leaf+density%22&hl=en&as_sdt=2007"
46,"SK Rice, PH Schuepp","On the ecological and evolutionary significance OF BRANCH AND LEAF MORPHOLOGY IN aquatic Sphagnum (Sphagnaceae)",1995,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/j.1537-2197.1995.tb15699.x","https://scholar.google.com/scholar?cites=13811813925791980383&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-09 13:48:23","","10.1002/j.1537-2197.1995.tb15699.x","","",,,,,46,1.59,23,2,29,"… Members ofthe moss genus Sphagnum occupy a wide range … nonaquatic species in the genus Sphagnum can be used to … in aquatic and nonaquatic Sphagnum species and to …","https://www.jstor.org/stable/pdf/2445969.pdf","https://scholar.google.com/scholar?q=related:X9ufXpZrrb8J:scholar.google.com/&scioq=sphagnum+%22leaf+density%22&hl=en&as_sdt=2007"
0,"C Campbell, G Granath, H Rydin","Variations in water economy traits in two Sphagnum species across their distribution boundaries",2024,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.16347","",3,"2024-07-09 13:48:23","","10.1002/ajb2.16347","","",,,,,0,0.00,0,3,1,"… Stem leaf density decreased with annual degree days and increased with annual water balance and degree days seasonality (P = 0.08), similarly in both species. Pendent branch …","https://bsapubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ajb2.16347","https://scholar.google.com/scholar?q=related:swxRDA9HbLsJ:scholar.google.com/&scioq=sphagnum+%22leaf+density%22&hl=en&as_sdt=2007"
102,"BM Svensson","Competition between Sphagnum fuscum and Drosera rotundifolia: a case of ecosystem engineering",1995,"Oikos","JSTOR","https://www.jstor.org/stable/3545649","https://scholar.google.com/scholar?cites=9479957016933735080&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-09 13:48:23","","","","",,,,,102,3.52,102,1,29,"… weight per plant (C) and leaf density (D) for Drosera rotu difolia in four treatments. Values are means of quadrat means ? SE, except for leaf density where values are means of quadra …","https://www.jstor.org/stable/pdf/3545649.pdf","https://scholar.google.com/scholar?q=related:qJpOEK6Sj4MJ:scholar.google.com/&scioq=sphagnum+%22leaf+density%22&hl=en&as_sdt=2007"
158,"K Hassel, MO Kyrkjeeide, N Yousefi, T Prestø…","Sphagnum divinum (sp. nov.) and S. medium Limpr. and their relationship to S. magellanicum Brid.",2018,"Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03736687.2018.1474424","https://scholar.google.com/scholar?cites=3889519429184382828&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-09 13:48:23","","10.1080/03736687.2018.1474424","","",,,,,158,26.33,32,5,6,"… with compact heads and high leaf density on short divergent … with long branches and lower leaf density. Furthermore, additional … in genus Sphagnum; eg between S. fuscum (Schimp.) H.…","https://www.researchgate.net/profile/Kristian-Hassel/publication/326350641_Sphagnum_divinum_sp_nov_and_S_medium_Limpr_and_their_relationship_to_S_magellanicum_Brid/links/5d075412a6fdcc39f12216e7/Sphagnum-divinum-sp-nov-and-S-medium-Limpr-and-their-relationship-to-S-magellanicum-Brid.pdf","https://scholar.google.com/scholar?q=related:bOeDM1BZ-jUJ:scholar.google.com/&scioq=sphagnum+%22leaf+density%22&hl=en&as_sdt=2007"
37,"N Yousefi, K Hassel, KI Flatberg…","Divergent evolution and niche differentiation within the common peatmoss Sphagnum magellanicum",2017,"American Journal of …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.3732/ajb.1700163","https://scholar.google.com/scholar?cites=3281560936988608462&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-09 13:48:23","","10.3732/ajb.1700163","","",,,,,37,5.29,9,4,7,"… To score leaf density, we removed the first 2 mm of the base of the branch and counted the leaves in the next 5 mm. Then, leaves in the middle part were removed and put in a drop of …","https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.1700163","https://scholar.google.com/scholar?q=related:zgcBJklyii0J:scholar.google.com/&scioq=sphagnum+%22leaf+density%22&hl=en&as_sdt=2007"
43,"R Niemi, PJ Martikainen, J Silvola…","Ozone effects on Sphagnum mosses, carbon dioxide exchange and methane emission in boreal peatland microcosms",2002,"Science of the Total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969701010129","https://scholar.google.com/scholar?cites=651174713943776096&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-09 13:48:23","","","","",,,,,43,1.95,11,4,22,"… were adjusted to the leaf density of the aerenchymatous Eriophorum vaginatum to make the microcosms with variant vegetation more comparable. The leaf density itself was not …","","https://scholar.google.com/scholar?q=related:YNtVx_NvCQkJ:scholar.google.com/&scioq=sphagnum+%22leaf+density%22&hl=en&as_sdt=2007"
72,"RK Wieder, GE Lang","Net primary production of the dominant bryophytes in a Sphagnum-dominated wetland in West Virginia",1983,"Bryologist","JSTOR","https://www.jstor.org/stable/3242723","https://scholar.google.com/scholar?cites=5251619440024548348&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-09 13:48:23","","","","",,,,,72,1.76,36,2,41,"Measurements of annual net primary production of Sphagnum magellanicum Brid., Sphagnum … A general increase in annual production of Sphagnum spp. with decreasing latitude was …","https://www.jstor.org/stable/pdf/3242723.pdf","https://scholar.google.com/scholar?q=related:_PMycg6A4UgJ:scholar.google.com/&scioq=sphagnum+%22leaf+density%22&hl=en&as_sdt=2007"
78,"DJ Weston, CM Timm, AP Walker, L Gu…","Sphagnum physiology in the context of changing climate: emergent influences of genomics, modelling and host–microbiome interactions on understanding …",2015,"Plant, cell & …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.12458","https://scholar.google.com/scholar?cites=11907952160181161498&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-09 13:48:23","","10.1111/pce.12458","","",,,,,78,8.67,16,5,9,"… Sphagnum as a model organism to explore ecosystem response to a changing climate and to define the role that Sphagnum … stem, branch and leaf density and greater water retention …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/pce.12458","https://scholar.google.com/scholar?q=related:Go7xDWaLQaUJ:scholar.google.com/&scioq=sphagnum+%22leaf+density%22&hl=en&as_sdt=2007"
3,"EM Goud, MJ Roddy","Variation in leaf traits among and within dominant shrubs of contrasting Pine Barrens habitats",2022,"Flora","Elsevier","https://www.sciencedirect.com/science/article/pii/S0367253022001062","https://scholar.google.com/scholar?cites=5927039883330447219&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-09 13:48:23","","","","",,,,,3,1.50,2,2,2,"… Lowland White Cedar-Sphagnum bogs are wetlands with inundated, organic peat soils and … ) with an understory of shrubs and peat mosses (Sphagnum spp.). Both sites are relatively …","https://scholar.google.com/scholar?output=instlink&q=info:c-d7_14TQVIJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=8260875537369638338&oi=lle","https://scholar.google.com/scholar?q=related:c-d7_14TQVIJ:scholar.google.com/&scioq=sphagnum+%22leaf+density%22&hl=en&as_sdt=2007"
