Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
133,"E. Kellner","Surface energy fluxes and control of evapotranspiration from a Swedish Sphagnum mire",2001,"Agricultural and Forest Meteorology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0168192301002830","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035960984&origin=inward",1,"2024-07-12 11:00:38","Article","10.1016/S0168-1923(01)00283-0","0168-1923","https://api.elsevier.com/content/abstract/scopus_id/0035960984",110,2,101,123,133,5.78,133,1,23,"","",""
124,"J. Weltzin","Production and microtopography of bog bryophytes: Response to warming and water-table manipulations",2001,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034862814&origin=inward",2,"2024-07-12 11:00:38","Article","10.1007/s004420100691","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0034862814",128,4,557,565,124,5.39,124,1,23,"","",""
115,"N. Auerbach","Effects of roadside disturbance on substrate and vegetation properties in arctic tundra",1997,"Ecological Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030616821&origin=inward",3,"2024-07-12 11:00:38","Article","10.1890/1051-0761(1997)007[0218:EORDOS]2.0.CO;2","1051-0761","https://api.elsevier.com/content/abstract/scopus_id/0030616821",7,1,218,235,115,4.26,115,1,27,"","",""
101,"D.A. Walker","Road dust and its environmental impact on Alaskan taiga and tundra",1987,"Arctic &amp; Alpine Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0023583376&origin=inward",4,"2024-07-12 11:00:38","Article","10.2307/1551414","","https://api.elsevier.com/content/abstract/scopus_id/0023583376",19,4,479,489,101,2.73,101,1,37,"","",""
39,"P. Stoy","Temperature, heat flux, and reflectance of common subarctic mosses and lichens under field conditions: Might changes to community composition impact climate-relevant surface fluxes?",2012,"Arctic, Antarctic, and Alpine Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84870189311&origin=inward",5,"2024-07-12 11:00:38","Article","10.1657/1938-4246-44.4.500","1523-0430","https://api.elsevier.com/content/abstract/scopus_id/84870189311",44,4,500,508,39,3.25,39,1,12,"","",""
31,"H. Joosten","Thinking like a bog: hydrological selfregulation of raised bogs and its importance for rewetting and restoration",1993,"Telma","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027795677&origin=inward",6,"2024-07-12 11:00:38","Article","","0340-4927","https://api.elsevier.com/content/abstract/scopus_id/0027795677",23,,95,115,31,1.00,31,1,31,"","",""
27,"S. Tsuyuzaki","Recovery of surface albedo and plant cover after wildfire in a Picea mariana forest in interior Alaska",2009,"Climatic Change","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=62949084521&origin=inward",7,"2024-07-12 11:00:38","Article","10.1007/s10584-008-9505-y","0165-0009","https://api.elsevier.com/content/abstract/scopus_id/62949084521",93,3,517,525,27,1.80,27,1,15,"","",""
23,"S. Panitz","Climate variability and long-term expansion of peatlands in Arctic Norway during the late Pliocene (ODP Site 642, Norwegian Sea)",2016,"Climate of the Past","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84965119367&origin=inward",8,"2024-07-12 11:00:38","Article","10.5194/cp-12-1043-2016","1814-9324","https://api.elsevier.com/content/abstract/scopus_id/84965119367",12,4,1043,1060,23,2.88,23,1,8,"","",""
21,"C. Gibson","Variation in plant community composition and vegetation carbon pools a decade following a severe fire season in interior Alaska",2016,"Journal of Vegetation Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84988345879&origin=inward",9,"2024-07-12 11:00:38","Article","10.1111/jvs.12443","1100-9233","https://api.elsevier.com/content/abstract/scopus_id/84988345879",27,6,1187,1197,21,2.63,21,1,8,"","",""
4,"S.A. Harris","Effects of vegetation cover on soil heat flux in the southern Yukon Territory",1998,"Erdkunde","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032448954&origin=inward",10,"2024-07-12 11:00:38","Article","10.3112/erdkunde.1998.04.01","0014-0015","https://api.elsevier.com/content/abstract/scopus_id/0032448954",52,4,265,285,4,0.15,4,1,26,"","",""
1,"W. Zhao","A New Approach in Atmospheric and Spectral Corrections",1997,"Journal of Agricultural Meteorology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0004469355&origin=inward",11,"2024-07-12 11:00:38","Article","10.2480/agrmet.52.541","0021-8588","https://api.elsevier.com/content/abstract/scopus_id/0004469355",52,5,541,544,1,0.04,1,1,27,"","",""
