Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
100,"F. Bengtsson","Photosynthesis, growth, and decay traits in Sphagnum - a multispecies comparison",2016,"Ecology and Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84963744619&origin=inward",1,"2024-07-09 10:09:49","Article","10.1002/ece3.2119","2045-7758","https://api.elsevier.com/content/abstract/scopus_id/84963744619",6,10,3325,3341,100,12.50,100,1,8,"","",""
65,"S. Rice","Do bryophyte shoot systems function like vascular plant leaves or canopies? Functional trait relationships in Sphagnum mosses (Sphagnaceae)",2008,"American Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=57349083064&origin=inward",2,"2024-07-09 10:09:49","Article","10.3732/ajb.0800019","0002-9122","https://api.elsevier.com/content/abstract/scopus_id/57349083064",95,11,1366,1374,65,4.06,65,1,16,"","",""
63,"M. Gałka","Unveiling exceptional Baltic bog ecohydrology, autogenic succession and climate change during the last 2000 years in CE Europe using replicate cores, multi-proxy data and functional traits of testate amoebae",2017,"Quaternary Science Reviews","","https://api.elsevier.com/content/article/eid/1-s2.0-S0277379116306072","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85001949429&origin=inward",3,"2024-07-09 10:09:49","Article","10.1016/j.quascirev.2016.11.034","0277-3791","https://api.elsevier.com/content/abstract/scopus_id/85001949429",156,,90,106,63,9.00,63,1,7,"","",""
61,"K. Marcisz","A novel testate amoebae trait-based approach to infer environmental disturbance in Sphagnum peatlands",2016,"Scientific Reports","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84988640504&origin=inward",4,"2024-07-09 10:09:49","Article","10.1038/srep33907","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/84988640504",6,,,,61,7.63,61,1,8,"","",""
56,"M.G. Johnson","Evolution of niche preference in Sphagnum peat mosses",2015,"Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925374423&origin=inward",5,"2024-07-09 10:09:49","Article","10.1111/evo.12547","0014-3820","https://api.elsevier.com/content/abstract/scopus_id/84925374423",69,1,90,103,56,6.22,56,1,9,"","",""
53,"A. Jonathan Shaw","Organellar phylogenomics of an emerging model system: Sphagnum (peatmoss)",2016,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84982166211&origin=inward",6,"2024-07-09 10:09:49","Article","10.1093/aob/mcw086","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/84982166211",118,2,185,196,53,6.63,53,1,8,"","",""
51,"V.E.J. Jassey","Plant functional diversity drives niche-size-structure of dominant microbial consumers along a poor to extremely rich fen gradient",2014,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84906069744&origin=inward",7,"2024-07-09 10:09:49","Article","10.1111/1365-2745.12288","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/84906069744",102,5,1150,1162,51,5.10,51,1,10,"","",""
48,"M. Lamentowicz","Unveiling tipping points in long-term ecological records from Sphagnum-dominated peatlands",2019,"Biology Letters","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064211524&origin=inward",8,"2024-07-09 10:09:49","Article","10.1098/rsbl.2019.0043","1744-9561","https://api.elsevier.com/content/abstract/scopus_id/85064211524",15,4,,,48,9.60,48,1,5,"","",""
48,"C.G. Laing","Tradeoffs and scaling of functional traits in Sphagnum as drivers of carbon cycling in peatlands",2014,"Oikos","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84902544460&origin=inward",9,"2024-07-09 10:09:49","Article","10.1111/oik.01061","0030-1299","https://api.elsevier.com/content/abstract/scopus_id/84902544460",123,7,817,828,48,4.80,48,1,10,"","",""
46,"A. Armstrong","Multi-scale relationship between peatland vegetation type and dissolved organic carbon concentration",2012,"Ecological Engineering","","https://api.elsevier.com/content/article/eid/1-s2.0-S0925857412002261","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84864054091&origin=inward",10,"2024-07-09 10:09:49","Article","10.1016/j.ecoleng.2012.06.027","0925-8574","https://api.elsevier.com/content/abstract/scopus_id/84864054091",47,,182,188,46,3.83,46,1,12,"","",""
