Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
210,"S. Dedysh","Methylocapsa acidiphila gen. nov., sp. nov., a novel methane-oxidizing and dinitrogen-fixing acidophilic bacterium from Sphagnum bog",2002,"International Journal of Systematic and Evolutionary Microbiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036151243&origin=inward",1,"2024-07-12 11:01:26","Article","10.1099/00207713-52-1-251","1466-5026","https://api.elsevier.com/content/abstract/scopus_id/0036151243",52,1,251,261,210,9.55,210,1,22,"","",""
205,"A. Vorobev","Methyloferula stellata gen. nov., sp. nov., an acidophilic, obligately methanotrophic bacterium that possesses only a soluble methane monooxygenase",2011,"International Journal of Systematic and Evolutionary Microbiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79960099987&origin=inward",2,"2024-07-12 11:01:26","Article","10.1099/ijs.0.028118-0","1466-5026","https://api.elsevier.com/content/abstract/scopus_id/79960099987",61,10,2456,2463,205,15.77,205,1,13,"","",""
171,"L. Bragazza","Nitrogen concentration and δ<sup>15</sup>N signature of ombrotrophic Sphagnum mosses at different N deposition levels in Europe",2005,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=19944431750&origin=inward",3,"2024-07-12 11:01:26","Article","10.1111/j.1365-2486.2004.00886.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/19944431750",11,1,106,114,171,9.00,171,1,19,"","",""
142,"T. Larmoia","Methanotrophy induces nitrogen fixation during peatland development",2014,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84892573916&origin=inward",4,"2024-07-12 11:01:26","Article","10.1073/pnas.1314284111","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/84892573916",111,2,734,739,142,14.20,142,1,10,"","",""
136,"A. Bragina","Sphagnum mosses harbour highly specific bacterial diversity during their whole lifecycle",2012,"ISME Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858866394&origin=inward",5,"2024-07-12 11:01:26","Article","10.1038/ismej.2011.151","1751-7362","https://api.elsevier.com/content/abstract/scopus_id/84858866394",6,4,802,813,136,11.33,136,1,12,"","",""
106,"K. Opelt","Investigations of the structure and function of bacterial communities associated with Sphagnum mosses",2007,"Environmental Microbiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35148829378&origin=inward",6,"2024-07-12 11:01:26","Article","10.1111/j.1462-2920.2007.01391.x","1462-2912","https://api.elsevier.com/content/abstract/scopus_id/35148829378",9,11,2795,2809,106,6.24,106,1,17,"","",""
104,"J.E. Kostka","The Sphagnum microbiome: New insights from an ancient plant lineage",2016,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84969932039&origin=inward",7,"2024-07-12 11:01:26","Article","10.1111/nph.13993","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84969932039",211,1,57,64,104,13.00,104,1,8,"","",""
83,"A. Carrell","Experimental warming alters the community composition, diversity, and N<inf>2</inf> fixation activity of peat moss (Sphagnum fallax) microbiomes",2019,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85068615147&origin=inward",8,"2024-07-12 11:01:26","Article","10.1111/gcb.14715","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/85068615147",25,9,2993,3004,83,16.60,83,1,5,"","",""
83,"E. Van Der Heijden","Elevated atmospheric CO<inf>2</inf> and increased nitrogen deposition: Effects on C and N metabolism and growth of the peat moss Sphagnum recurvum P. Beauv. var. mucronatum (Russ.) Warnst",2000,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034101518&origin=inward",9,"2024-07-12 11:01:26","Article","10.1046/j.1365-2486.2000.00303.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/0034101518",6,2,201,212,83,3.46,83,1,24,"","",""
76,"A. Berg","Transfer of fixed-N from N<inf>2</inf>-fixing cyanobacteria associated with the moss Sphagnum riparium results in enhanced growth of the moss",2013,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84871525991&origin=inward",10,"2024-07-12 11:01:26","Article","10.1007/s11104-012-1278-4","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/84871525991",362,1,271,278,76,6.91,76,1,11,"","",""
