Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
82,"M. Poulin","Spontaneous revegetation of mined peatlands in eastern Canada",2005,"Canadian Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=23144439346&origin=inward",1,"2024-07-12 11:00:03","Article","10.1139/b05-025","0008-4026","https://api.elsevier.com/content/abstract/scopus_id/23144439346",83,5,539,557,82,4.32,82,1,19,"","",""
69,"M. Purdon","Initial response of understorey vegetation to fire severity and salvage-logging in the southern boreal forest of Québec",2004,"Applied Vegetation Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2542519307&origin=inward",2,"2024-07-12 11:00:03","Article","10.1111/j.1654-109X.2004.tb00595.x","1402-2001","https://api.elsevier.com/content/abstract/scopus_id/2542519307",7,1,49,60,69,3.45,69,1,20,"","",""
55,"C. Chapin","pH and nutrient effects on above-ground net primary production in a Minnesota, USA bog and fen",2004,"Wetlands","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=3242702623&origin=inward",3,"2024-07-12 11:00:03","Article","10.1672/0277-5212(2004)024[0186:PANEOA]2.0.CO;2","0277-5212","https://api.elsevier.com/content/abstract/scopus_id/3242702623",24,1,186,201,55,2.75,55,1,20,"","",""
43,"D.A. Roberts","The submersed macrophyte communities of adirondack lakes (New York, U.S.A.) of varying degrees of acidity",1985,"Aquatic Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-0304377085900506","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0022212869&origin=inward",4,"2024-07-12 11:00:03","Article","10.1016/0304-3770(85)90050-6","0304-3770","https://api.elsevier.com/content/abstract/scopus_id/0022212869",21,3,219,235,43,1.10,43,1,39,"","",""
37,"N.J. Fenton","Sphagnum community change after partial harvest in black spruce boreal forests",2007,"Forest Ecology and Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S0378112707000540","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33947232249&origin=inward",5,"2024-07-12 11:00:03","Article","10.1016/j.foreco.2007.01.028","0378-1127","https://api.elsevier.com/content/abstract/scopus_id/33947232249",242,1,24,33,37,2.18,37,1,17,"","",""
34,"S. Pellerin","Changes in plant communities over three decades on two disturbed bogs in southeastern québec",2009,"Applied Vegetation Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70249134566&origin=inward",6,"2024-07-12 11:00:03","Article","10.1111/j.1654-109X.2009.01008.x","1402-2001","https://api.elsevier.com/content/abstract/scopus_id/70249134566",12,1,107,118,34,2.27,34,1,15,"","",""
7,"T. Power","Forest structure and site conditions of boreal felt lichen (Erioderma pedicellatum) habitat in Cape Breton, Nova Scotia, Canada",2018,"Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85049446059&origin=inward",7,"2024-07-12 11:00:03","Article","10.1139/cjb-2017-0209","1916-2804","https://api.elsevier.com/content/abstract/scopus_id/85049446059",96,7,449,459,7,1.17,7,1,6,"","",""
4,"S.I. Grabovik","Drainage effect on the plant cover development in South Karelian mesotrophic Herb-Sphagnum mires",2019,"Botanicheskii Zhurnal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85078837490&origin=inward",8,"2024-07-12 11:00:03","Article","10.1134/S000681361906005X","0006-8136","https://api.elsevier.com/content/abstract/scopus_id/85078837490",104,6,888,899,4,0.80,4,1,5,"","",""
4,"Y. Thompson","Plant community composition as a function of geochemistry and hydrology in three appalachian wetlands",2012,"Ecohydrology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84865363094&origin=inward",9,"2024-07-12 11:00:03","Article","10.1002/eco.228","1936-0584","https://api.elsevier.com/content/abstract/scopus_id/84865363094",5,4,389,400,4,0.33,4,1,12,"","",""
2,"I.M. Rossell","The habitat and plant associates of Eriocaulon decangulare L. in three southern Appalachian wetlands",2005,"Castanea","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=22144450293&origin=inward",10,"2024-07-12 11:00:03","Article","10.2179/0008-7475(2005)070[0129:THAPAO]2.0.CO;2","0008-7475","https://api.elsevier.com/content/abstract/scopus_id/22144450293",70,2,129,135,2,0.11,2,1,19,"","",""
1,"S. Rancura","Considerations on harvesting sphagnum in cananéia municipality, São Paulo State, Brazil",2010,"Acta Botanica Brasilica","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956599976&origin=inward",11,"2024-07-12 11:00:03","Article","10.1590/s0102-33062010000200004","0102-3306","https://api.elsevier.com/content/abstract/scopus_id/77956599976",24,2,328,334,1,0.07,1,1,14,"","",""
0,"S.I. Grabovik","Monitoring of vegetation cover change in a drained mesotrophic herb-sphagnum mire in Southern Karelia",2021,"Botanicheskii Zhurnal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105175751&origin=inward",12,"2024-07-12 11:00:03","Article","10.31857/S0006813621040050","0006-8136","https://api.elsevier.com/content/abstract/scopus_id/85105175751",106,4,324,335,0,0.00,0,1,3,"","",""
