Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
369,"L. Bragazza","Atmospheric nitrogen deposition promotes carbon loss from peat bogs",2006,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845900495&origin=inward",1,"2024-07-12 11:01:52","Article","10.1073/pnas.0606629104","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/33845900495",103,51,19386,19389,369,20.50,369,1,18,"","",""
290,"D. Vitt","The relationships of vegetation to surface water chemistry and peat chemistry in fens of Alberta, Canada",1990,"Vegetatio","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025628331&origin=inward",2,"2024-07-12 11:01:52","Article","10.1007/BF00032163","0042-3106","https://api.elsevier.com/content/abstract/scopus_id/0025628331",89,2,87,106,290,8.53,290,1,34,"","",""
288,"M. Abad","Physico-chemical and chemical properties of some coconut coir dusts for use as a peat substitute for containerised ornamental plants",2002,"Bioresource Technology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0960852401001894","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036153446&origin=inward",3,"2024-07-12 11:01:52","Article","10.1016/S0960-8524(01)00189-4","0960-8524","https://api.elsevier.com/content/abstract/scopus_id/0036153446",82,3,241,245,288,13.09,288,1,22,"","",""
246,"B. Hoorens","Does initial litter chemistry explain litter mixture effects on decomposition?",2003,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0344237242&origin=inward",4,"2024-07-12 11:01:52","Article","10.1007/s00442-003-1365-6","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0344237242",137,4,578,586,246,11.71,246,1,21,"","",""
238,"L. Rochefort","North American approach to the restoration of Sphagnum dominated peatlands",2003,"Wetlands Ecology and Management","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037687944&origin=inward",5,"2024-07-12 11:01:52","Conference Paper","10.1023/A:1022011027946","0923-4861","https://api.elsevier.com/content/abstract/scopus_id/0037687944",11,1,3,20,238,11.33,238,1,21,"","",""
176,"L. Bragazza","Nutritional constraints in ombrotrophic Sphagnum plants under increasing atmospheric nitrogen deposition in Europe",2004,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=4143123381&origin=inward",6,"2024-07-12 11:01:52","Article","10.1111/j.1469-8137.2004.01154.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/4143123381",163,3,609,616,176,8.80,176,1,20,"","",""
175,"S. Lang","An experimental comparison of chemical traits and litter decomposition rates in a diverse range of subarctic bryophyte, lichen and vascular plant species",2009,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=68849113226&origin=inward",7,"2024-07-12 11:01:52","Article","10.1111/j.1365-2745.2009.01538.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/68849113226",97,5,886,900,175,11.67,175,1,15,"","",""
170,"F. Herrera","Use of municipal solid waste compost (MSWC) as a growing medium in the nursery production of tomato plants",2008,"Bioresource Technology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0960852407000181","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35549007104&origin=inward",8,"2024-07-12 11:01:52","Article","10.1016/j.biortech.2006.12.042","0960-8524","https://api.elsevier.com/content/abstract/scopus_id/35549007104",99,2,287,296,170,10.63,170,1,16,"","",""
166,"J. Verhoeven","Nitrogen and phosphorus mineralization in fens and bogs",1990,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025599145&origin=inward",9,"2024-07-12 11:01:52","Article","10.2307/2260894","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/0025599145",78,3,713,726,166,4.88,166,1,34,"","",""
166,"N. Malmer","Interferences between Sphagnum and vascular plants: Effects on plant community structure and peat formation",2003,"Oikos","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0012476651&origin=inward",10,"2024-07-12 11:01:52","Article","10.1034/j.1600-0706.2003.12170.x","0030-1299","https://api.elsevier.com/content/abstract/scopus_id/0012476651",100,3,469,482,166,7.90,166,1,21,"","",""
