Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
382,"A.M. Farmer","The effects of dust on vegetation-a review",1993,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-026974919390179R","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027431615&origin=inward",1,"2024-07-09 09:15:23","Article","10.1016/0269-7491(93)90179-R","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/0027431615",79,1,63,75,382,12.32,382,1,31,"","",""
347,"A. Raghoebarsing","Methanotrophic symbionts provide carbon for photosynthesis in peat bogs",2005,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=24144437435&origin=inward",2,"2024-07-09 09:15:23","Article","10.1038/nature03802","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/24144437435",436,7054,1153,1156,347,18.26,347,1,19,"","",""
300,"T. Moore","Plant biomass and production and CO<inf>2</inf> exchange in an ombrotrophic bog",2002,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036189401&origin=inward",3,"2024-07-09 09:15:23","Article","10.1046/j.0022-0477.2001.00633.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/0036189401",90,1,25,36,300,13.64,300,1,22,"","",""
226,"J. Bubier","Effects of nutrient addition on vegetation and carbon cycling in an ombrotrophic bog",2007,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34250316469&origin=inward",4,"2024-07-09 09:15:23","Article","10.1111/j.1365-2486.2007.01346.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/34250316469",13,6,1168,1186,226,13.29,226,1,17,"","",""
213,"M.L. Goulden","Automated measurements of CO<inf>2</inf> exchange at the moss surface of a black spruce forest",1997,"Tree Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030921227&origin=inward",5,"2024-07-09 09:15:23","Article","10.1093/treephys/17.8-9.537","0829-318X","https://api.elsevier.com/content/abstract/scopus_id/0030921227",17,8,537,542,213,7.89,213,1,27,"","",""
182,"B. Schipperges","Response of photosynthesis of Sphagnum species from contrasting microhabitats to tissue water content and repeated desiccation",1998,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032438711&origin=inward",6,"2024-07-09 09:15:23","Article","10.1046/j.1469-8137.1998.00311.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0032438711",140,4,677,684,182,7.00,182,1,26,"","",""
174,"T. Williams","Effect of changes in water content on photosynthesis, transpiration and discrimination against <sup>13</sup>CO<inf>2</inf> and C<sup>18</sup>O<sup>16</sup>O in Pleurozium and Sphagnum",1996,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029957445&origin=inward",7,"2024-07-09 09:15:23","Article","10.1007/BF00333212","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0029957445",108,1,38,46,174,6.21,174,1,28,"","",""
159,"M. Strack","Response of vegetation and net ecosystem carbon dioxide exchange at different peatland microforms following water table drawdown",2006,"Journal of Geophysical Research: Biogeosciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34249687392&origin=inward",8,"2024-07-09 09:15:23","Article","10.1029/2005JG000145","0148-0227","https://api.elsevier.com/content/abstract/scopus_id/34249687392",111,2,,,159,8.83,159,1,18,"","",""
150,"P. McNeil","Moisture controls on Sphagnum growth and CO<inf>2</inf> exchange on a cutover bog",2003,"Journal of Applied Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0038814795&origin=inward",9,"2024-07-09 09:15:23","Article","10.1046/j.1365-2664.2003.00790.x","0021-8901","https://api.elsevier.com/content/abstract/scopus_id/0038814795",40,2,354,367,150,7.14,150,1,21,"","",""
133,"T. Riutta","Sensitivity of CO<inf>2</inf> exchange of fen ecosystem components to water level variation",2007,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35048892921&origin=inward",10,"2024-07-09 09:15:23","Article","10.1007/s10021-007-9046-7","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/35048892921",10,5,718,733,133,7.82,133,1,17,"","",""
