Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
73,"G. Le Roux","Recent atmospheric Pb deposition at a rural site in southern Germany assessed using a peat core and snowpack, and comparison with other archives",2005,"Atmospheric Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S1352231005006357","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=26844432454&origin=inward",1,"2024-07-12 10:52:39","Article","10.1016/j.atmosenv.2005.07.026","1352-2310","https://api.elsevier.com/content/abstract/scopus_id/26844432454",39,36,6790,6801,73,3.84,73,1,19,"","",""
61,"T. Hájek","Light responses of mire mosses - A key to survival after water-level drawdown?",2009,"Oikos","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58849114154&origin=inward",2,"2024-07-12 10:52:39","Article","10.1111/j.1600-0706.2008.16528.x","0030-1299","https://api.elsevier.com/content/abstract/scopus_id/58849114154",118,2,240,250,61,4.07,61,1,15,"","",""
22,"F. Bengtsson","Mechanisms behind species-specific water economy responses to water level drawdown in peat mosses",2020,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85088678805&origin=inward",3,"2024-07-12 10:52:39","Article","10.1093/aob/mcaa033","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/85088678805",126,2,219,230,22,5.50,22,1,4,"","",""
20,"P. Świsłowski","Mosses as a biomonitor to identify elements released into the air as a result of car workshop activities",2022,"Ecological Indicators","","https://api.elsevier.com/content/article/eid/1-s2.0-S1470160X2200320X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85127758444&origin=inward",4,"2024-07-12 10:52:39","Conference Paper","10.1016/j.ecolind.2022.108849","1470-160X","https://api.elsevier.com/content/abstract/scopus_id/85127758444",138,,,,20,10.00,20,1,2,"","",""
20,"E. Fréchette","Will changes in root-zone temperature in boreal spring affect recovery of photosynthesis in Picea mariana and Populus tremuloides in a future climate?",2011,"Tree Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=82055194269&origin=inward",5,"2024-07-12 10:52:39","Article","10.1093/treephys/tpr102","0829-318X","https://api.elsevier.com/content/abstract/scopus_id/82055194269",31,11,1204,1216,20,1.54,20,1,13,"","",""
13,"R. Gerdol","Response to heat stress of populations of two Sphagnum species from alpine bogs at different altitudes",2011,"Environmental and Experimental Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-S009884721100102X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80054044946&origin=inward",6,"2024-07-12 10:52:39","Article","10.1016/j.envexpbot.2011.04.010","0098-8472","https://api.elsevier.com/content/abstract/scopus_id/80054044946",74,1,22,30,13,1.00,13,1,13,"","",""
2,"P. Świsłowski","Comparison of Exposure Techniques and Vitality Assessment of Mosses in Active Biomonitoring for Their Suitability in Assessing Heavy Metal Pollution in Atmospheric Aerosol",2022,"Environmental Toxicology and Chemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85127420190&origin=inward",7,"2024-07-12 10:52:39","Article","10.1002/etc.5321","0730-7268","https://api.elsevier.com/content/abstract/scopus_id/85127420190",41,6,1429,1438,2,1.00,2,1,2,"","",""
2,"J.C. Rodríguez-Ortiz","Broccoli Seedling Production in Response to Recognised Organic Inputs",2021,"International Journal of Agriculture and Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115633501&origin=inward",8,"2024-07-12 10:52:39","Article","10.17957/IJAB/15.1854","1560-8530","https://api.elsevier.com/content/abstract/scopus_id/85115633501",26,3,436,442,2,0.67,2,1,3,"","",""
2,"M.A. Nelson","Effects of light and diaspore type on the regeneration and growth of two Sphagnum species collected from two New Zealand locations",1998,"Journal of Bryology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0039919640&origin=inward",9,"2024-07-12 10:52:39","Article","10.1179/jbr.1998.20.1.17","0373-6687","https://api.elsevier.com/content/abstract/scopus_id/0039919640",20,1,17,25,2,0.08,2,1,26,"","",""
0,"C. Costella","INPUTS OPTIMIZATION IN THE SEEDLINGS PRODUCTION OF Corymbia citriodora E Eucalyptus dunnii",2022,"Floresta","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123516365&origin=inward",10,"2024-07-12 10:52:39","Article","10.5380/RF.V52I1.78100","0015-3826","https://api.elsevier.com/content/abstract/scopus_id/85123516365",52,1,103,112,0,0.00,0,1,2,"","",""
