Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
382,"A.M. Farmer","The effects of dust on vegetation-a review",1993,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-026974919390179R","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027431615&origin=inward",1,"2024-07-12 10:58:51","Article","10.1016/0269-7491(93)90179-R","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/0027431615",79,1,63,75,382,12.32,382,1,31,"","",""
300,"T. Moore","Plant biomass and production and CO<inf>2</inf> exchange in an ombrotrophic bog",2002,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036189401&origin=inward",2,"2024-07-12 10:58:51","Article","10.1046/j.0022-0477.2001.00633.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/0036189401",90,1,25,36,300,13.64,300,1,22,"","",""
271,"J. Alm","Carbon balance of a boreal bog during a year with an exceptionally dry summer",1999,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032896989&origin=inward",3,"2024-07-12 10:58:51","Article","10.1890/0012-9658(1999)080[0161:CBOABB]2.0.CO;2","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/0032896989",80,1,161,174,271,10.84,271,1,25,"","",""
226,"J. Bubier","Effects of nutrient addition on vegetation and carbon cycling in an ombrotrophic bog",2007,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34250316469&origin=inward",4,"2024-07-12 10:58:51","Article","10.1111/j.1365-2486.2007.01346.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/34250316469",13,6,1168,1186,226,13.29,226,1,17,"","",""
213,"M.L. Goulden","Automated measurements of CO<inf>2</inf> exchange at the moss surface of a black spruce forest",1997,"Tree Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030921227&origin=inward",5,"2024-07-12 10:58:51","Article","10.1093/treephys/17.8-9.537","0829-318X","https://api.elsevier.com/content/abstract/scopus_id/0030921227",17,8,537,542,213,7.89,213,1,27,"","",""
159,"M. Strack","Response of vegetation and net ecosystem carbon dioxide exchange at different peatland microforms following water table drawdown",2006,"Journal of Geophysical Research: Biogeosciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34249687392&origin=inward",6,"2024-07-12 10:58:51","Article","10.1029/2005JG000145","0148-0227","https://api.elsevier.com/content/abstract/scopus_id/34249687392",111,2,,,159,8.83,159,1,18,"","",""
150,"P. McNeil","Moisture controls on Sphagnum growth and CO<inf>2</inf> exchange on a cutover bog",2003,"Journal of Applied Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0038814795&origin=inward",7,"2024-07-12 10:58:51","Article","10.1046/j.1365-2664.2003.00790.x","0021-8901","https://api.elsevier.com/content/abstract/scopus_id/0038814795",40,2,354,367,150,7.14,150,1,21,"","",""
138,"J.P. Chanton","Radiocarbon evidence for the importance of surface vegetation on fermentation and methanogenesis in contrasting types of boreal peatlands",2008,"Global Biogeochemical Cycles","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=64549115361&origin=inward",8,"2024-07-12 10:58:51","Article","10.1029/2008GB003274","0886-6236","https://api.elsevier.com/content/abstract/scopus_id/64549115361",22,4,,,138,8.63,138,1,16,"","",""
133,"T. Riutta","Sensitivity of CO<inf>2</inf> exchange of fen ecosystem components to water level variation",2007,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35048892921&origin=inward",9,"2024-07-12 10:58:51","Article","10.1007/s10021-007-9046-7","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/35048892921",10,5,718,733,133,7.82,133,1,17,"","",""
130,"T. Hájek","Cell-wall polysaccharides play an important role in decay resistance of Sphagnum and actively depressed decomposition in vitro",2011,"Biogeochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79952104714&origin=inward",10,"2024-07-12 10:58:51","Article","10.1007/s10533-010-9444-3","0168-2563","https://api.elsevier.com/content/abstract/scopus_id/79952104714",103,1,45,57,130,10.00,130,1,13,"","",""
126,"D.A. Hutchins","Climate change microbiology — problems and perspectives",2019,"Nature Reviews Microbiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066836754&origin=inward",11,"2024-07-12 10:58:51","Review","10.1038/s41579-019-0178-5","1740-1526","https://api.elsevier.com/content/abstract/scopus_id/85066836754",17,6,391,396,126,25.20,126,1,5,"","",""
126,"M. Fisk","Microbial activity and functional composition among northern peatland ecosystems",2003,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071703000531","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037665125&origin=inward",12,"2024-07-12 10:58:51","Article","10.1016/S0038-0717(03)00053-1","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/0037665125",35,4,591,602,126,6.00,126,1,21,"","",""
119,"L. Chasar","Methane concentration and stable isotope distribution as evidence of rhizospheric processes: Comparison of a fen and bog in the glacial Lake Agassiz Peatland complex",2000,"Annals of Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-S0305736400911727","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033831619&origin=inward",13,"2024-07-12 10:58:51","Article","10.1006/anbo.2000.1172","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/0033831619",86,3,655,663,119,4.96,119,1,24,"","",""
115,"E. Tuittila","Sensitivity of C sequestration in reintroduced Sphagnum to water-level variation in a cutaway peatland",2004,"Restoration Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=11144249252&origin=inward",14,"2024-07-12 10:58:51","Article","10.1111/j.1061-2971.2004.00280.x","1061-2971","https://api.elsevier.com/content/abstract/scopus_id/11144249252",12,4,483,493,115,5.75,115,1,20,"","",""
112,"O. Skre","Moss functioning in different taiga ecosystems in interior Alaska - I. Seasonal, phenotypic, and drought effects on photosynthesis and response patterns",1981,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0003108366&origin=inward",15,"2024-07-12 10:58:51","Article","10.1007/BF00346987","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0003108366",48,1,50,59,112,2.60,112,1,43,"","",""
110,"P. Carroll","Carbon balance of a temperate poor fen",1997,"Global Biogeochemical Cycles","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000366626&origin=inward",16,"2024-07-12 10:58:51","Article","10.1029/97GB01365","0886-6236","https://api.elsevier.com/content/abstract/scopus_id/0000366626",11,3,349,356,110,4.07,110,1,27,"","",""
108,"S.E. Crow","Sources of CO<inf>2</inf> emission from a northern peatland: Root respiration, exudation, and decomposition",2005,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=21644490411&origin=inward",17,"2024-07-12 10:58:51","Article","10.1890/04-1575","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/21644490411",86,7,1825,1834,108,5.68,108,1,19,"","",""
100,"S. Rice","The influence of water content and leaf anatomy on carbon isotope discrimination and photosynthesis in Sphagnum",1996,"Plant, Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030039753&origin=inward",18,"2024-07-12 10:58:51","Article","10.1111/j.1365-3040.1996.tb00233.x","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/0030039753",19,1,118,124,100,3.57,100,1,28,"","",""
99,"E.R. Humphreys","Summer carbon dioxide and water vapor fluxes across a range of northern peatlands",2006,"Journal of Geophysical Research: Biogeosciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34848904581&origin=inward",19,"2024-07-12 10:58:51","Article","10.1029/2005JG000111","0148-0227","https://api.elsevier.com/content/abstract/scopus_id/34848904581",111,4,,,99,5.50,99,1,18,"","",""
92,"M.E. Hines","Uncoupling of acetate degradation from methane formation in Alaskan wetlands: Connections to vegetation distribution",2008,"Global Biogeochemical Cycles","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=50849088283&origin=inward",20,"2024-07-12 10:58:51","Article","10.1029/2006GB002903","0886-6236","https://api.elsevier.com/content/abstract/scopus_id/50849088283",22,2,,,92,5.75,92,1,16,"","",""
