Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
45,"P. Cannavo","Peat particle size effects on spatial root distribution, and changes on hydraulic and aeration properties",2013,"Scientia Horticulturae","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304423812005985","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84872385012&origin=inward",1,"2024-07-12 10:57:55","Article","10.1016/j.scienta.2012.12.021","0304-4238","https://api.elsevier.com/content/abstract/scopus_id/84872385012",151,,11,21,45,4.09,45,1,11,"","",""
32,"N. Sivritepe","Salinity responses of grafted grapevines: Effects of scion and rootstock genotypes",2010,"Notulae Botanicae Horti Agrobotanici Cluj-Napoca","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78649967353&origin=inward",2,"2024-07-12 10:57:55","Article","","0255-965X","https://api.elsevier.com/content/abstract/scopus_id/78649967353",38,3,193,201,32,2.29,32,1,14,"","",""
21,"J.S. Fields","Soilless substrate hydrology can be engineered to influence plant water status for an ornamental containerized crop grown within optimal water potentials",2018,"Journal of the American Society for Horticultural Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052407955&origin=inward",3,"2024-07-12 10:57:55","Article","10.21273/JASHS04251-17","0003-1062","https://api.elsevier.com/content/abstract/scopus_id/85052407955",143,4,268,281,21,3.50,21,1,6,"","",""
21,"J.S. Fields","The influence of substrate hydraulic conductivity on plant water status of an ornamental container crop grown in suboptimal substrate water potentials",2017,"HortScience","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85033586745&origin=inward",4,"2024-07-12 10:57:55","Article","10.21273/HORTSCI11987-17","0018-5345","https://api.elsevier.com/content/abstract/scopus_id/85033586745",52,10,1419,1428,21,3.00,21,1,7,"","",""
20,"J.S. Fields","Use of the evaporative method for determination of soilless substrate moisture characteristic curves",2016,"Scientia Horticulturae","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304423816304046","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84983499645&origin=inward",5,"2024-07-12 10:57:55","Article","10.1016/j.scienta.2016.08.009","0304-4238","https://api.elsevier.com/content/abstract/scopus_id/84983499645",211,,102,109,20,2.50,20,1,8,"","",""
18,"J. Heiskanen","Hydrological properties of container media based on sphagnum peat and their potential implications for availability of water to seedlings after outplanting",1999,"Scandinavian Journal of Forest Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032932795&origin=inward",6,"2024-07-12 10:57:55","Article","10.1080/02827589908540810","0282-7581","https://api.elsevier.com/content/abstract/scopus_id/0032932795",14,1,78,85,18,0.72,18,1,25,"","",""
15,"P. Bernier","Effects of the physical properties of sphagnum peat on water stress in containerized picea mariana seedlings under simulated field conditions",1995,"Scandinavian Journal of Forest Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0029107142&origin=inward",7,"2024-07-12 10:57:55","Article","10.1080/02827589509382883","0282-7581","https://api.elsevier.com/content/abstract/scopus_id/0029107142",10,1,184,189,15,0.52,15,1,29,"","",""
14,"P.A. Moore","Hydrological and thermal properties of moss and lichen species on rock barrens: Implications for turtle nesting habitat",2019,"Ecohydrology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057501475&origin=inward",8,"2024-07-12 10:57:55","Article","10.1002/eco.2057","1936-0584","https://api.elsevier.com/content/abstract/scopus_id/85057501475",12,2,,,14,2.80,14,1,5,"","",""
13,"H. Xu","Greenhouse tomato photosynthetic acclimation to water deficit and response to salt accumulation in the substrate",1997,"Journal of the Japanese Society for Horticultural Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030966351&origin=inward",9,"2024-07-12 10:57:55","Article","","1882-3351","https://api.elsevier.com/content/abstract/scopus_id/0030966351",65,4,777,784,13,0.48,13,1,27,"","",""
11,"J.M. Warren","Divergent species-specific impacts of whole ecosystem warming and elevated CO<inf>2</inf> on vegetation water relations in an ombrotrophic peatland",2021,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85101222140&origin=inward",10,"2024-07-12 10:57:55","Article","10.1111/gcb.15543","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/85101222140",27,9,1820,1835,11,3.67,11,1,3,"","",""
11,"L.B. Vence","Water retention curves as a tool in the selection of a plant-growing substrate and the watering scheme",2013,"Ciencia del Suelo","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84905501015&origin=inward",11,"2024-07-12 10:57:55","Article","","0326-3169","https://api.elsevier.com/content/abstract/scopus_id/84905501015",31,2,153,164,11,1.00,11,1,11,"","",""
9,"S. Bañón","Influence of paclobutrazol and substrate on daily evapotranspiration of potted geranium",2009,"Scientia Horticulturae","","https://api.elsevier.com/content/article/eid/1-s2.0-S0304423809003276","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=69249232116&origin=inward",12,"2024-07-12 10:57:55","Article","10.1016/j.scienta.2009.06.033","0304-4238","https://api.elsevier.com/content/abstract/scopus_id/69249232116",122,4,572,578,9,0.60,9,1,15,"","",""
9,"T. Tsuboya","Effect of pore structure on redistribution of subsurface water in Sarobetsu Mire, northern Japan",2001,"Journal of Hydrology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0022169401004486","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035980582&origin=inward",13,"2024-07-12 10:57:55","Article","10.1016/S0022-1694(01)00448-6","0022-1694","https://api.elsevier.com/content/abstract/scopus_id/0035980582",252,1,100,115,9,0.39,9,1,23,"","",""
6,"M. Endo","Effects of coir and peat ratios on growth, yield and water relations of strawberries 'Akihime' grown in soilless culture",2006,"Journal of the Japanese Society for Horticultural Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33748623110&origin=inward",14,"2024-07-12 10:57:55","Article","10.2503/jjshs.75.344","1882-3351","https://api.elsevier.com/content/abstract/scopus_id/33748623110",75,4,344,349,6,0.33,6,1,18,"","",""
5,"B. Lorente","Substrate composition affects the development of water stress and subsequent recovery by inducing physiological changes in Cistus albidus plants",2021,"Plant Physiology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0981942820306082","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85097477114&origin=inward",15,"2024-07-12 10:57:55","Article","10.1016/j.plaphy.2020.11.048","0981-9428","https://api.elsevier.com/content/abstract/scopus_id/85097477114",158,,125,135,5,1.67,5,1,3,"","",""
5,"R.K. Dumroese","Allometry, nitrogen status, and carbon stable isotope composition of Pinus ponderosa seedlings in two growing media with contrasting nursery irrigation regimes",2011,"Canadian Journal of Forest Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955731750&origin=inward",16,"2024-07-12 10:57:55","Article","10.1139/x11-017","0045-5067","https://api.elsevier.com/content/abstract/scopus_id/79955731750",41,5,1091,1101,5,0.38,5,1,13,"","",""
5,"L. Qin","Effects of peat on water conserving properties of sandy soil",2005,"Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=27744545513&origin=inward",17,"2024-07-12 10:57:55","Article","","1002-6819","https://api.elsevier.com/content/abstract/scopus_id/27744545513",21,10,51,54,5,0.26,5,1,19,"","",""
3,"S.J. Hwang","Growth of Phalaenopsis in a recirculating ebb and flood hydroponic system as affected by ionic strength of solution and medium Composition",2004,"Acta Horticulturae","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70449126900&origin=inward",18,"2024-07-12 10:57:55","Conference Paper","10.17660/actahortic.2004.659.82","0567-7572","https://api.elsevier.com/content/abstract/scopus_id/70449126900",659,,637,646,3,0.15,3,1,20,"","",""
2,"J.S. Fields","The use of dewpoint hygrometry to measure low water potentials in soilless substrate components and composites",2020,"Agronomy","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091825406&origin=inward",19,"2024-07-12 10:57:55","Article","10.3390/agronomy10091393","2073-4395","https://api.elsevier.com/content/abstract/scopus_id/85091825406",10,9,,,2,0.50,2,1,4,"","",""
2,"J. Michel","Importance of peat particle size effects on spatial root distribution and changes on aeration properties",2014,"Acta Horticulturae","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84902254563&origin=inward",20,"2024-07-12 10:57:55","Article","10.17660/ActaHortic.2014.1034.43","0567-7572","https://api.elsevier.com/content/abstract/scopus_id/84902254563",1034,,347,354,2,0.20,2,1,10,"","",""
