Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
119,"WA Rutherford, TH Painter, S Ferrenberg, J Belnap…","Albedo feedbacks to future climate via climate change impacts on dryland biocrusts",2017,"Scientific Reports","nature.com","https://www.nature.com/articles/srep44188","https://scholar.google.com/scholar?cites=967455904017756552&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 13:29:05","HTML","","","",,,,,119,17.00,24,5,7,"… albedo via multi-angle, solar-reflectance measurements. Warming and watering treatments each led to large increases in albedo (>30%… A rise in dryland surface albedo may represent a …","https://www.nature.com/articles/srep44188","https://scholar.google.com/scholar?q=related:iDHV1gQYbQ0J:scholar.google.com/&scioq=syntrichia+albedo&hl=en&as_sdt=2007"
0,"MCR Faiffer","From community to transcriptome: Responses of Syntrichia caninervis and biocrusts to climate change",2021,"","search.proquest.com","https://search.proquest.com/openview/0c2d284527d373373ec228a4db8f6205/1?pq-origsite=gscholar&cbl=18750&diss=y","",2,"2024-07-15 13:29:05","HTML","","","",,,,,0,0.00,0,1,3,"… Here, we investigated how biocrust communities and one common biocrust moss species, Syntrichia caninervis, will respond to climate disturbances, to better understand and predict …","https://search.proquest.com/openview/0c2d284527d373373ec228a4db8f6205/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:K6-IrKVbx-EJ:scholar.google.com/&scioq=syntrichia+albedo&hl=en&as_sdt=2007"
0,"AF Clements","Testing Functional Variation in Thermal Properties for Antarctic Mosses",2021,"","search.proquest.com","https://search.proquest.com/openview/0d33003b732072e2131c0260ab3e8af0/1?pq-origsite=gscholar&cbl=18750&diss=y","",3,"2024-07-15 13:29:05","HTML","","","",,,,,0,0.00,0,1,3,"… , Sanionia georgicouncinata and Syntrichia filaris both showed a mid-… albedo would be relevant in addition to the thermal properties in determining moss functional groups. Moss albedo …","https://search.proquest.com/openview/0d33003b732072e2131c0260ab3e8af0/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:GQxlvcP9ROcJ:scholar.google.com/&scioq=syntrichia+albedo&hl=en&as_sdt=2007"
0,"K Coe","Physiological Ecology Of Biocrust Mosses Under Global Change: Implications For Dryland Biogeochemistry",2012,"","ecommons.cornell.edu","https://ecommons.cornell.edu/bitstream/1813/31079/1/kkc32.pdf","",4,"2024-07-15 13:29:05","PDF","","","",,,,,0,0.00,0,1,12,"… Rainfall event magnitude is one of the largest determinants of carbon balance in the common biocrust species Syntrichia caninervis, because increased rainfall amounts result in shoots …","https://ecommons.cornell.edu/bitstream/1813/31079/1/kkc32.pdf","https://scholar.google.com/scholar?q=related:T95jGS50f5gJ:scholar.google.com/&scioq=syntrichia+albedo&hl=en&as_sdt=2007"
1,"C Verhoeven","Evaporative cooling of a bioreceptive concrete facade",2023,"","repository.tudelft.nl","https://repository.tudelft.nl/islandora/object/uuid:992d1c6a-4ce4-46c3-b416-c79a5133fb37","https://scholar.google.com/scholar?cites=6205500048574492223&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 13:29:05","HTML","","","",,,,,1,1.00,1,1,1,"… striatum versus 1.86 g/h for Syntrichia ruralis. However, after a … was attributed to the lower albedo of the moss (0.07 – 0.11) … concrete panel surface due to lower albedo of the moss. On …","https://repository.tudelft.nl/islandora/object/uuid:992d1c6a-4ce4-46c3-b416-c79a5133fb37","https://scholar.google.com/scholar?q=related:P67zgGpdHlYJ:scholar.google.com/&scioq=syntrichia+albedo&hl=en&as_sdt=2007"
43,"KK Coe, JP Sparks, J Belnap","Physiological ecology of dryland biocrust mosses",2013,"… in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_16","https://scholar.google.com/scholar?cites=482322560319715201&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 13:29:05","","10.1007/978-94-007-6988-5_16","","",,,,,43,3.91,14,3,11,"… 2009a, b), as do hair points at the ends of leaves (eg Grimmia, Syntrichia) that serve to extend the height of the boundary layer and increase albedo (Valko 2003; Bowker et al. 2010). …","https://www.researchgate.net/profile/Kirsten-Deane-Coe/publication/264788490_Physiological_Ecology_of_Dryland_Biocrust_Mosses/links/53f0cc2f0cf2711e0c431225/Physiological-Ecology-of-Dryland-Biocrust-Mosses.pdf","https://scholar.google.com/scholar?q=related:gXcDK9CNsQYJ:scholar.google.com/&scioq=syntrichia+albedo&hl=en&as_sdt=2007"
0,"AD Richardson, GV Kong, KM Taylor…","Soil-atmosphere fluxes of CO2, CH4, and N2O across an experimentally-grown, successional gradient of biocrust community types",2022,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fmicb.2022.979825/full","",7,"2024-07-15 13:29:05","HTML","10.3389/fmicb.2022.979825","","",,,,,0,0.00,0,4,2,"… Our moss-lichen biocrust was dominated throughout by the moss Syntrichia ruralis. Light and dark cyanobacterial communities were the most frequent and abundant subdominants. …","https://www.frontiersin.org/articles/10.3389/fmicb.2022.979825/full","https://scholar.google.com/scholar?q=related:kN7zoDWUtrQJ:scholar.google.com/&scioq=syntrichia+albedo&hl=en&as_sdt=2007"
6,"H Yin, AV Perera-Castro, KL Randall…","Basking in the sun: how mosses photosynthesise and survive in Antarctica",2023,"Photosynthesis …","Springer","https://link.springer.com/article/10.1007/s11120-023-01040-y","https://scholar.google.com/scholar?cites=13082987346674612676&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 13:29:05","HTML","10.1007/s11120-023-01040-y","","",,,,,6,6.00,2,4,1,"The Antarctic environment is extremely cold, windy and dry. Ozone depletion has resulted in increasing ultraviolet-B radiation, and increasing greenhouse gases and decreasing …","https://link.springer.com/article/10.1007/s11120-023-01040-y","https://scholar.google.com/scholar?q=related:xHl416wbkLUJ:scholar.google.com/&scioq=syntrichia+albedo&hl=en&as_sdt=2007"
1,"N Pombubpa","Biological Soil Crusts Microbiomes: An Exploration and Investigation of Factors Influencing Biocrust Microbial Communities in Mojave Desert, USA",2021,"","search.proquest.com","https://search.proquest.com/openview/2f97878e373415c51d28aa4287a2d4ac/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=5023486478626230456&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 13:29:05","BOOK","","","",,,,,1,0.33,1,1,3,"… Expansion of the world’s deserts due to vegetation-albedo feedback under global warming. … 3.1B and 3.1E) were collected at all four sites, while rough moss crust (RMC, Syntrichia spp., …","https://search.proquest.com/openview/2f97878e373415c51d28aa4287a2d4ac/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:uJB-NFYCt0UJ:scholar.google.com/&scioq=syntrichia+albedo&hl=en&as_sdt=2007"
1,"B Steven, TA McHugh, SC Reed","The response of arid soil communities to climate change",2017,"The biology of arid soils. De …","degruyter.com","https://www.degruyter.com/document/doi/10.1515/9783110419047-008/pdf?licenseType=restricted","https://scholar.google.com/scholar?cites=9575601095279544721&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-15 13:29:05","","10.1515/9783110419047-008","","",,,,,1,0.14,0,3,7,"… ecosystems differ in characteristics such as water retention, albedo, and nutrient cycling [6–8]. … pronounced mortality of the widespread moss Syntrichia caninervis, dramatically reducing …","https://www.researchgate.net/profile/Blaire-Steven/publication/318647744_8_The_Response_of_Arid_Soil_Communities_to_Climate_Change/links/5a5b9a9ca6fdcc3bfb6377bc/8-The-Response-of-Arid-Soil-Communities-to-Climate-Change.pdf","https://scholar.google.com/scholar?q=related:kYn6YnZe44QJ:scholar.google.com/&scioq=syntrichia+albedo&hl=en&as_sdt=2007"
