Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
40,"C Cole, LR Stark, ML Bonine…","Transplant survivorship of bryophyte soil crusts in the Mojave Desert",2010,"Restoration …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1526-100X.2008.00445.x","https://scholar.google.com/scholar?cites=11721448070891541845&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 13:23:30","","10.1111/j.1526-100X.2008.00445.x","","",,,,,40,2.86,10,4,14,"… Syntrichia crust (shaded and exposed) is a factor in transplantation success, both from a source and a destination perspective. Given the highly clonal nature of Syntrichia … , bulk density …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1526-100X.2008.00445.x","https://scholar.google.com/scholar?q=related:VZWt5uryqqIJ:scholar.google.com/&scioq=syntrichia+%22bulk+density%22&hl=en&as_sdt=2007"
102,"B Zhang, W Kong, N Wu…","Bacterial diversity and community along the succession of biological soil crusts in the Gurbantunggut Desert, Northern China",2016,"Journal of Basic …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jobm.201500751","https://scholar.google.com/scholar?cites=3038501661449749266&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 13:23:30","","10.1002/jobm.201500751","","",,,,,102,12.75,26,4,8,"… The most common moss species were Syntrichia caninervis and Bryum argenteum 11. Moss … positively related with pH and soil bulk density whereas negatively related with organic …","","https://scholar.google.com/scholar?q=related:EoMllCntKioJ:scholar.google.com/&scioq=syntrichia+%22bulk+density%22&hl=en&as_sdt=2007"
61,"B Zhang, Y Zhang, X Li, Y Zhang","Successional changes of fungal communities along the biocrust development stages",2018,"Biology and Fertility of Soils","Springer","https://link.springer.com/article/10.1007/s00374-017-1259-0","https://scholar.google.com/scholar?cites=3801307464595620900&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 13:23:30","HTML","10.1007/s00374-017-1259-0","","",,,,,61,10.17,15,4,6,"… Changes in soil organic C, conductivity, and soil bulk density were associated to the shifts in fungal community compositions, suggesting that the accumulations of soil nutrients and …","https://link.springer.com/article/10.1007/s00374-017-1259-0","https://scholar.google.com/scholar?q=related:JERDtf_0wDQJ:scholar.google.com/&scioq=syntrichia+%22bulk+density%22&hl=en&as_sdt=2007"
54,"TO Vorren, KD Vorren, O Aasheim, KIT Dahlgren…","Palaeoenvironment in northern N orway between 22.2 and 14.5 cal. ka BP",2013,"Boreas","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/bor.12013","https://scholar.google.com/scholar?cites=6804798166709068870&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 13:23:30","","10.1111/bor.12013","","",,,,,54,4.91,11,5,11,"… Physical properties, including p-wave velocity, wet-bulk density and magnetic … , and Syntrichia ruralis also occur in subzones B and C in smaller quantities. The combination of Syntrichia …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/bor.12013","https://scholar.google.com/scholar?q=related:RmTsFuF_b14J:scholar.google.com/&scioq=syntrichia+%22bulk+density%22&hl=en&as_sdt=2007"
1,"J Ming, Y Zhao, Y Sun, Z Liu","Biocrusts impact soil properties and ecological stoichiometry characteristics in frozen ground regions on the Qinghai-Tibet Plateau",2024,"Soil Ecology Letters","Springer","https://link.springer.com/article/10.1007/s42832-023-0212-4","https://scholar.google.com/scholar?cites=6347879906497455430&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 13:23:30","","10.1007/s42832-023-0212-4","","",,,,,1,1.00,0,4,1,"… Our results showed that BSCs increased the silt particle content in 20–40 cm soil layer, leading to a decrease in soil bulk density. And the field water capacity increased about 10%–40…","https://scholar.google.com/scholar?output=instlink&q=info:RuWedyQzGFgJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=7665272910754993497&oi=lle","https://scholar.google.com/scholar?q=related:RuWedyQzGFgJ:scholar.google.com/&scioq=syntrichia+%22bulk+density%22&hl=en&as_sdt=2007"
0,"MH Bashtian, A Karimi, A Sepehr, A Lakzian, R Bol","Functional roles of biocrusts in enhancing soil quality in a semi-arid environment",2024,"Geoderma Regional","Elsevier","https://www.sciencedirect.com/science/article/pii/S2352009424000348","",6,"2024-07-15 13:23:30","","","","",,,,,0,0.00,0,5,1,"… In addition, biocrusts improved the soil structure by reducing bulk density and increasing the … Syntrichia caninervis was the most present in the moss crusts. Chlorolichen species were …","","https://scholar.google.com/scholar?q=related:TOH7tucs6mYJ:scholar.google.com/&scioq=syntrichia+%22bulk+density%22&hl=en&as_sdt=2007"
1,"L Ruiz, V Carrión-Paladines, M Vega, F López…","Biological Crust Diversity Related to Elevation and Soil Properties at Local Scale in a Montane Scrub of Ecuador",2023,"Journal of Fungi","mdpi.com","https://www.mdpi.com/2309-608X/9/3/386","https://scholar.google.com/scholar?cites=241004355106804927&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 13:23:30","HTML","","","",,,,,1,1.00,0,5,1,"… bulk density (gr cm −1 ) and another three random samples for the texture and chemical analysis (eg, pH). The sampling depth was 0–10 cm for both the bulk density … and Syntrichia sp., …","https://www.mdpi.com/2309-608X/9/3/386","https://scholar.google.com/scholar?q=related:v5R2Hy84WAMJ:scholar.google.com/&scioq=syntrichia+%22bulk+density%22&hl=en&as_sdt=2007"
28,"BR Voortman, RP Bartholomeus…","Unsaturated hydraulic properties of xerophilous mosses: towards implementation of moss covered soils in hydrological models",2014,"Hydrological …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.10111","https://scholar.google.com/scholar?cites=10295852716893445599&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 13:23:30","","10.1002/hyp.10111","","",,,,,28,2.80,9,3,10,"… The dry bulk density better explained the variation in retention parameters than greenness or shoot length density. Dry bulk density was positively correlated with θ 0 parameters of all …","","https://scholar.google.com/scholar?q=related:350sCn834o4J:scholar.google.com/&scioq=syntrichia+%22bulk+density%22&hl=en&as_sdt=2007"
5,"L Jiao, Y Zhou, X Liu, S Wang, F Li","Driving Forces Analysis of Non-structural Carbohydrates for Phragmites australis in Different Habitats of Inland River Wetland",2020,"Water","mdpi.com","https://www.mdpi.com/2073-4441/12/6/1700","https://scholar.google.com/scholar?cites=5880960217897667400&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 13:23:30","HTML","","","",,,,,5,1.25,1,5,4,"… (3) Soil water, soil bulk density and salinity were the main driving forces for the NSC content … However, the starch and NSC did not change significantly in different habitats of Syntrichia …","https://www.mdpi.com/2073-4441/12/6/1700","https://scholar.google.com/scholar?q=related:SIv-1ShenVEJ:scholar.google.com/&scioq=syntrichia+%22bulk+density%22&hl=en&as_sdt=2007"
6,"D Vázquez-Nion, F Troiano, P Sanmartín…","Secondary bioreceptivity of granite: effect of salt weathering on subaerial biofilm growth",2018,"Materials and …","Springer","https://link.springer.com/article/10.1617/s11527-018-1283-z","https://scholar.google.com/scholar?cites=11958855178269528803&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-15 13:23:30","HTML","10.1617/s11527-018-1283-z","","",,,,,6,1.00,2,4,6,"… The samples were also physically characterized by determination of the bulk density and open porosity according to [39]. As water can be a limiting factor in biological colonisation, the …","https://link.springer.com/article/10.1617/s11527-018-1283-z","https://scholar.google.com/scholar?q=related:45IYhWxj9qUJ:scholar.google.com/&scioq=syntrichia+%22bulk+density%22&hl=en&as_sdt=2007"
