Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"Ruchika, Z Csintalan, ER Péli","Seasonality and Small Spatial-Scale Variation of Chlorophyll a Fluorescence in Bryophyte Syntrichia ruralis [Hedw.] in Semi-Arid Sandy Grassland, Hungary",2020,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/9/1/92","https://scholar.google.com/scholar?cites=54414925305221988&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 11:09:24","HTML","","","",,,,,3,0.75,1,3,4,"… In this study, chlorophyll a fluorescence was measured to … , the metabolic activity of Syntrichia species is different even in … main biological crust components (Syntrichia ruralis) of the semi…","https://www.mdpi.com/2223-7747/9/1/92","https://scholar.google.com/scholar?q=related:ZBNMFRZSwQAJ:scholar.google.com/&scioq=syntrichia+chlorophyll&hl=en&as_sdt=2007"
14,"Z Jing, Z Yuan-ming","Effects of freezing and thawing on chlorophyll fluorescence of Syntrichia caninervis in biological soil crusts",2011,"Journal of Desert Research","desert.ac.cn","http://www.desert.ac.cn/EN/Y2011/V31/I6/1479","https://scholar.google.com/scholar?cites=18164826146245823419&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 11:09:24","","","","",,,,,14,1.08,7,2,13,"… to freezing and thawing of Syntrichia caninervis, the … chlorophyll fluorescence parameters could recover to their original values at the beginning of freezing. In addition, the chlorophyll …","http://www.desert.ac.cn/EN/article/downloadArticleFile.do?attachType=PDF&id=1731","https://scholar.google.com/scholar?q=related:u8u1fSNtFvwJ:scholar.google.com/&scioq=syntrichia+chlorophyll&hl=en&as_sdt=2007"
26,"B Yin, Y Zhang, A Lou","Impacts of the removal of shrubs on the physiological and biochemical characteristics of Syntrichia caninervis Mitt: in a temperate desert",2017,"Scientific Reports","nature.com","https://www.nature.com/articles/srep45268","https://scholar.google.com/scholar?cites=7276451386390100720&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 11:09:24","HTML","","","",,,,,26,3.71,9,3,7,"… Thus, during these periods, we did not detect chlorophyll fluorescence activity of Syntrichia caninervis. In August 2014, to test the chlorophyll fluorescence, the bryophytes were …","https://www.nature.com/articles/srep45268","https://scholar.google.com/scholar?q=related:8Douz_sl-2QJ:scholar.google.com/&scioq=syntrichia+chlorophyll&hl=en&as_sdt=2007"
35,"Y Zhang, X Zhou, B Yin, A Downing","Sensitivity of the xerophytic moss Syntrichia caninervis to prolonged simulated nitrogen deposition",2016,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/117/7/1153/2195927","https://scholar.google.com/scholar?cites=7532729263316376173&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 11:09:24","","","","",,,,,35,4.38,9,4,8,"… The aim of this study was to understand how Syntrichia caninervis, … Concentration of chlorophyll a, b and a + b of Syntrichia … (chlorophyll a and b) and upper case letters (chlorophyll a + b…","https://academic.oup.com/aob/article/117/7/1153/2195927","https://scholar.google.com/scholar?q=related:bZop2VqhiWgJ:scholar.google.com/&scioq=syntrichia+chlorophyll&hl=en&as_sdt=2007"
48,"J Zhang, YM Zhang, A Downing, N Wu, BC Zhang","Photosynthetic and cytological recovery on remoistening Syntrichia caninervis Mitt., a desiccation-tolerant moss from Northwestern China",2011,"Photosynthetica","Springer","https://link.springer.com/article/10.1007/s11099-011-0002-6","https://scholar.google.com/scholar?cites=6993901750186355061&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 11:09:24","","10.1007/s11099-011-0002-6","","",,,,,48,3.69,10,5,13,"… The arrangement of chloroplasts in cells influences the reabsorption of chlorophyll fluorescence emission. The effect of desiccation on the chlorophyll fluorescence spectra of …","https://link.springer.com/content/pdf/10.1007/s11099-011-0002-6.pdf","https://scholar.google.com/scholar?q=related:dSnXJZZUD2EJ:scholar.google.com/&scioq=syntrichia+chlorophyll&hl=en&as_sdt=2007"
12,"KE Young, SC Reed","Spectrally monitoring the response of the biocrust moss Syntrichia caninervis to altered precipitation regimes",2017,"Scientific Reports","nature.com","https://www.nature.com/articles/srep41793","https://scholar.google.com/scholar?cites=6018657506728130655&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 11:09:24","HTML","","","",,,,,12,1.71,6,2,7,"… Assess narrowband chlorophyll-specific vegetation indices to test our capacity to monitor chlorophyll degradation in dry, stressed mosses; and 4. Explore the effects of moss stress on N …","https://www.nature.com/articles/srep41793","https://scholar.google.com/scholar?q=related:X7hEOR2RhlMJ:scholar.google.com/&scioq=syntrichia+chlorophyll&hl=en&as_sdt=2007"
78,"MCF Proctor","Experiments on the effect of different intensities of desiccation on bryophyte survival, using chlorophyll fluorescence as an index of recovery",2003,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/037366803235001652","https://scholar.google.com/scholar?cites=1026358156453746181&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 11:09:24","","10.1179/037366803235001652","","",,,,,78,3.71,78,1,21,"… interception by chlorophyll on remoistening. By contrast, Syntrichia ruralis showed a dramatic increase in FM on remoistening, suggesting that in the dry state the chlorophyll is largely …","","https://scholar.google.com/scholar?q=related:BRbAL05bPg4J:scholar.google.com/&scioq=syntrichia+chlorophyll&hl=en&as_sdt=2007"
6,"Y Mao, W Liu, X Yang, Y Chang, T Yang, X Wang…","Syntrichia caninervis adapt to mercury stress by altering submicrostructure and physiological properties in the Gurbantünggüt Desert",2022,"Scientific Reports","nature.com","https://www.nature.com/articles/s41598-022-15822-2","https://scholar.google.com/scholar?cites=9895382284827080855&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 11:09:24","HTML","","","",,,,,6,3.00,1,7,2,"… correlations to chlorophyll (p <0.01). SS had the positive correlations with chlorophyll (p < … that Hg stress significantly reduced chlorophyll content (chlorophyll a and b, as well as total …","https://www.nature.com/articles/s41598-022-15822-2","https://scholar.google.com/scholar?q=related:l7jPk8J1U4kJ:scholar.google.com/&scioq=syntrichia+chlorophyll&hl=en&as_sdt=2007"
27,"Y Li, Z Wang, T Xu, W Tu, C Liu, Y Zhang…","Reorganization of photosystem II is involved in the rapid photosynthetic recovery of desert moss Syntrichia caninervis upon rehydration",2010,"Journal of plant …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161710003536","https://scholar.google.com/scholar?cites=14628052987935942551&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 11:09:24","","","","",,,,,27,1.93,4,7,14,"The moss Syntrichia caninervis (S. caninervis) is one of the dominant species in biological soil crusts of deserts. It has long been the focus of scientific research because of its ecological …","","https://scholar.google.com/scholar?q=related:l2eDlbBIAcsJ:scholar.google.com/&scioq=syntrichia+chlorophyll&hl=en&as_sdt=2007"
0,"YBF Yin BenFeng, ZYM Zhang YuanMing","Physiological and biochemical responses of Syntrichia caninervis at a snowfall event in different desert habitats.",2014,"","cabidigitallibrary.org","https://www.cabidigitallibrary.org/doi/full/10.5555/20143378599","",10,"2024-07-15 11:09:24","","10.5555/20143378599","","",,,,,0,0.00,0,2,10,"… content and chlorophyll fluorescence activity were significantly higher in samples under the living shrub, while in the exposed area S. caninervis had lower water content and chlorophyll …","","https://scholar.google.com/scholar?q=related:srnuDg50BHgJ:scholar.google.com/&scioq=syntrichia+chlorophyll&hl=en&as_sdt=2007"
0,"XHM Xu HongMei, LJ Li Jin, ZYM Zhang YuanMing","Effects of water condition on photochemical efficiency and physiological characteristics in artificially cultivated moss Syntrichia caninervis.",2017,"","cabidigitallibrary.org","https://www.cabidigitallibrary.org/doi/full/10.5555/20173345757","",11,"2024-07-15 11:09:24","","10.5555/20173345757","","",,,,,0,0.00,0,3,7,"… Syntrichia … chlorophyll, chlorophyll a and b in drought and fully watered treatments were significantly lower than in intermittent water supply treatment. Drought reduced the chlorophyll a/…","","https://scholar.google.com/scholar?q=related:fAE4CLoMcVsJ:scholar.google.com/&scioq=syntrichia+chlorophyll&hl=en&as_sdt=2007"
