Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"KK Coe, NB Howard, ML Slate…","Morphological and physiological traits in relation to carbon balance in a diverse clade of dryland mosses",2019,"Plant, Cell & …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.13613","https://scholar.google.com/scholar?cites=12910933310441424752&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 09:28:36","","10.1111/pce.13613","","",,,,,16,3.20,4,4,5,"… , Syntrichia caninervis. It is likely that variation in C-balance is present within Syntrichia and … In this study, we focused on 14 genotypes representing 13 Syntrichia species common to …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pce.13613","https://scholar.google.com/scholar?q=related:cIee13DZLLMJ:scholar.google.com/&scioq=syntrichia+conductance&hl=en&as_sdt=2007"
47,"N Wu, YM Zhang, A Downing, J Zhang…","Membrane stability of the desert moss Syntrichia caninervis Mitt. during desiccation and rehydration",2012,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282011Y.0000000043","https://scholar.google.com/scholar?cites=2196932029383212311&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 09:28:36","","10.1179/1743282011Y.0000000043","","",,,,,47,3.92,9,5,12,"… Relative conductance rates represent the relative electrolyte leakage L … conductance in distilled H 2 O, C i is the conductance rate of H 2 O plus leachates and C t is the total conductance…","https://www.academia.edu/download/103825325/1743282011Y.000000004320230628-1-5apa4h.pdf","https://scholar.google.com/scholar?q=related:F30QdwoSfR4J:scholar.google.com/&scioq=syntrichia+conductance&hl=en&as_sdt=2007"
18,"H Yang, D Zhang, D Zhang, TA Bozorov…","Overexpression of ALDH21 from Syntrichia caninervis Moss in Upland Cotton Enhances Fiber Quality, Boll Component Traits, and Physiological Parameters during …",2019,"Crop …","Wiley Online Library","https://acsess.onlinelibrary.wiley.com/doi/abs/10.2135/cropsci2018.08.0477","https://scholar.google.com/scholar?cites=18110297842488767614&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 09:28:36","","10.2135/cropsci2018.08.0477","","",,,,,18,3.60,4,5,5,"… The Syntrichia caninervis Mitt. ALDH21 gene plays a role in plant responses to abiotic stresses, and overexpression of this gene in tobacco (Nicoiana tabacum L.) and cotton (…","https://acsess.onlinelibrary.wiley.com/doi/pdf/10.2135/cropsci2018.08.0477","https://scholar.google.com/scholar?q=related:fvQQbu-zVPsJ:scholar.google.com/&scioq=syntrichia+conductance&hl=en&as_sdt=2007"
16,"J Royles, J Ogée, L Wingate, DA Hodgson…","Temporal separation between CO2 assimilation and growth? Experimental and theoretical evidence from the desiccation‐tolerant moss Syntrichia ruralis",2013,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.12114","https://scholar.google.com/scholar?cites=11523071560072252897&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 09:28:36","","10.1111/nph.12114","","",,,,,16,1.45,3,5,11,"… The aim of this study was to interpret δ 13 C C and δ 18 O C values from Syntrichia ruralis … where g t is the total conductance to water vapour from the evaporative site to the outside air…","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.12114","https://scholar.google.com/scholar?q=related:4U2DM4gs6p8J:scholar.google.com/&scioq=syntrichia+conductance&hl=en&as_sdt=2007"
2,"X Liu, X Li, H Yang, R Yang, D Zhang","Genome-Wide Characterization and Expression Profiling of ABA Biosynthesis Genes in a Desert Moss Syntrichia caninervis",2023,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/12/5/1114","https://scholar.google.com/scholar?cites=16781446079242100544&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 09:28:36","HTML","","","",,,,,2,2.00,0,5,1,"Syntrichia caninervis can survive under 80–90% protoplasmic water losses, and it is a model plant in desiccation tolerance research. A previous study has revealed that S. caninervis …","https://www.mdpi.com/2223-7747/12/5/1114","https://scholar.google.com/scholar?q=related:QN-YEkys4-gJ:scholar.google.com/&scioq=syntrichia+conductance&hl=en&as_sdt=2007"
19,"KK Coe, J Belnap, EE Grote…","Physiological ecology of desert biocrust moss following 10 years exposure to elevated CO2: evidence for enhanced photosynthetic thermotolerance",2012,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.2012.01566.x","https://scholar.google.com/scholar?cites=13693198155242934900&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 09:28:36","","10.1111/j.1399-3054.2012.01566.x","","",,,,,19,1.58,5,4,12,"… CO 2 exposure on the common desert moss Syntrichia caninervis (Mitten) collected from the … Finally, boundary layer conductance to CO 2 was assumed to be large in this experiment (…","https://www.academia.edu/download/43409585/Physiological_ecology_of_desert_biocrust20160305-9576-1lomccx.pdf","https://scholar.google.com/scholar?q=related:dBJKKiwDCL4J:scholar.google.com/&scioq=syntrichia+conductance&hl=en&as_sdt=2007"
0,"K Coe","Physiological Ecology Of Biocrust Mosses Under Global Change: Implications For Dryland Biogeochemistry",2012,"","ecommons.cornell.edu","https://ecommons.cornell.edu/bitstream/1813/31079/1/kkc32.pdf","",7,"2024-07-15 09:28:36","PDF","","","",,,,,0,0.00,0,1,12,"… Rainfall event magnitude is one of the largest determinants of carbon balance in the common biocrust species Syntrichia caninervis, because increased rainfall amounts result in shoots …","https://ecommons.cornell.edu/bitstream/1813/31079/1/kkc32.pdf","https://scholar.google.com/scholar?q=related:T95jGS50f5gJ:scholar.google.com/&scioq=syntrichia+conductance&hl=en&as_sdt=2007"
50,"H Yang, D Zhang, H Li, L Dong, H Lan","Ectopic overexpression of the aldehyde dehydrogenase ALDH21 from Syntrichia caninervis in tobacco confers salt and drought stress tolerance",2015,"Plant Physiology and Biochemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0981942815300474","https://scholar.google.com/scholar?cites=2963305958492788073&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 09:28:36","","","","",,,,,50,5.56,10,5,9,"… An aldehyde dehydrogenase gene from Syntrichia caninervis, ScALDH21, was introduced into tobacco using Agrobacterium-mediated transformation to generate ScALDH21-…","","https://scholar.google.com/scholar?q=related:adXCqBHHHykJ:scholar.google.com/&scioq=syntrichia+conductance&hl=en&as_sdt=2007"
2,"Y Zhang, Y Zhang, C Wang, J Xiao, M Huang…","Enhancement of salt tolerance of alfalfa: Physiological and molecular responses of transgenic alfalfa plants expressing Syntrichia caninervis-derived ScABI3",2024,"Plant Physiology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0981942824000032","https://scholar.google.com/scholar?cites=778021173036471966&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 09:28:36","","","","",,,,,2,2.00,0,6,1,"… The gene ScABI3 from Syntrichia caninervis, a moss species tolerant to desiccation, could be considered a potential candidate gene to modify alfalfa's nutritional and growth aspects. …","","https://scholar.google.com/scholar?q=related:nlaSfiIWzAoJ:scholar.google.com/&scioq=syntrichia+conductance&hl=en&as_sdt=2007"
43,"KK Coe, JP Sparks, J Belnap","Physiological ecology of dryland biocrust mosses",2013,"… in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_16","https://scholar.google.com/scholar?cites=482322560319715201&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-15 09:28:36","","10.1007/978-94-007-6988-5_16","","",,,,,43,3.91,14,3,11,"… balance in the common biocrust species Syntrichia caninervis, because increased rainfall … of cytoskeletal elements can take >24 h in Syntrichia, thus brief periods of hydration may not …","https://www.researchgate.net/profile/Kirsten-Deane-Coe/publication/264788490_Physiological_Ecology_of_Dryland_Biocrust_Mosses/links/53f0cc2f0cf2711e0c431225/Physiological-Ecology-of-Dryland-Biocrust-Mosses.pdf","https://scholar.google.com/scholar?q=related:gXcDK9CNsQYJ:scholar.google.com/&scioq=syntrichia+conductance&hl=en&as_sdt=2007"
