Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"J Jauregui‐Lazo, JC Brinda…","The phylogeny of Syntrichia: An ecologically diverse clade of mosses with an origin in South America",2023,"American Journal of …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.16103","https://scholar.google.com/scholar?cites=2347959301087731262&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 12:04:46","","10.1002/ajb2.16103","","",,,,,8,8.00,3,3,1,"… Our results showed that these disjunct distributions are best explained, for Syntrichia at least, by the model BAYAREAlike that emphasizes dispersal instead of vicariance as the primary …","https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.1002/ajb2.16103","https://scholar.google.com/scholar?q=related:Pp5oWIuglSAJ:scholar.google.com/&scioq=syntrichia+distribution&hl=en&as_sdt=2007"
46,"MT Gallego, MJ Cano, RM Ros…","An overview of Syntrichia ruralis complex (Pottiaceae: Musci) in the Mediterranean region and neighbouring areas",2002,"Botanical Journal of the …","academic.oup.com","https://academic.oup.com/botlinnean/article-abstract/138/2/209/2433701","https://scholar.google.com/scholar?cites=14387843034742964043&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 12:04:46","","10.1046/j.1095-8339.2002.138002209.x","","",,,,,46,2.09,12,4,22,"… Finally Zander (1989, 1993) considered this section to be synonymous with the genus Syntrichia and provided convincing characters to recognize this genus (S. ruralis (Hedw.) F. …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1095-8339.2002.138002209.x","https://scholar.google.com/scholar?q=related:S7_ukQLjq8cJ:scholar.google.com/&scioq=syntrichia+distribution&hl=en&as_sdt=2007"
183,"MA Bowker, LR Stark, DN McLetchie…","Sex expression, skewed sex ratios, and microhabitat distribution in the dioecious desert moss Syntrichia caninervis (Pottiaceae)",2000,"American Journal of …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.2307/2656595","https://scholar.google.com/scholar?cites=9101273849230712292&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 12:04:46","","10.2307/2656595","","",,,,,183,7.63,46,4,24,"The moss Syntrichia caninervis is the dominant soil bryophyte in a blackbrush (Coleogyne ramosissima) community in the southern Nevada Mojave Desert, with a mean cover of 6.3%. …","https://bsapubs.onlinelibrary.wiley.com/doi/pdfdirect/10.2307/2656595","https://scholar.google.com/scholar?q=related:5N3yYlg4Tn4J:scholar.google.com/&scioq=syntrichia+distribution&hl=en&as_sdt=2007"
13,"A Vanderpoorten","The Syntrichia ruralis complex in Belgium",2001,"Cryptogamie Bryologie","Elsevier","https://www.sciencedirect.com/science/article/pii/S1290079601010598","https://scholar.google.com/scholar?cites=16338073250372264836&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 12:04:46","","","","",,,,,13,0.57,13,1,23,"… Syntrichia princeps is also accepted, though tentatively, due to its synoecious condition. Syntrichia … The morphological variability of these taxa, their ecology and distribution in Belgium …","","https://scholar.google.com/scholar?q=related:hCPA8g5_vOIJ:scholar.google.com/&scioq=syntrichia+distribution&hl=en&as_sdt=2007"
14,"MT Gallego, MJ Cano, J Guerra","New records, synonyms and one combination in the genus Syntrichia (Pottiaceae) from South America",2011,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-114/issue-3/0007-2745-114.3.556/New-records-synonyms-and-one-combination-in-the-genus-span/10.1639/0007-2745-114.3.556.short","https://scholar.google.com/scholar?cites=16225658887465527785&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 12:04:46","","10.1639/0007-2745-114.3.556.short","","",,,,,14,1.08,5,3,13,"… Since our last contributions to the nomenclature and distribution of South American Syntrichia … In addition, the authors had an opportunity to examine the type specimens of Syntrichia …","https://www.jstor.org/stable/pdf/41289812.pdf","https://scholar.google.com/scholar?q=related:6ekKesoeLeEJ:scholar.google.com/&scioq=syntrichia+distribution&hl=en&as_sdt=2007"
5,"MT Gallego, MJ Cano, JA Jiménez, J Guerra","Circumscription and Phylogenetic Position of Two Propagulose Species of Syntrichia (Pottiaceae, Bryophyta) Reveals Minor Realignments within the Tribe …",2022,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/11/5/626","https://scholar.google.com/scholar?cites=10692842233591179703&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 12:04:46","HTML","","","",,,,,5,2.50,1,4,2,"… the habitat and distribution of the … Syntrichia, as well as among the related genera grouped in the tribe Syntricheae sensu Zander [1]. It has been the case for the widespread Syntrichia …","https://www.mdpi.com/2223-7747/11/5/626","https://scholar.google.com/scholar?q=related:tyl_vFubZJQJ:scholar.google.com/&scioq=syntrichia+distribution&hl=en&as_sdt=2007"
13,"MT Gallego, MJ Cano, JF Jiménez…","Morphological and molecular data support a new combination in the Neotropical complex of cucullate-leaved species of Syntrichia (Pottiaceae)",2014,"Systematic …","ingentaconnect.com","https://www.ingentaconnect.com/content/aspt/sb/2014/00000039/00000002/art00001","https://scholar.google.com/scholar?cites=12953857807063044232&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 12:04:46","","","","",,,,,13,1.30,3,4,10,"… Syntrichia kingii is described, illustrated, and its distribution mapped. The known range of this species is extended in the … Syntrichia percarnosa is excluded from the Mexican moss flora. …","https://www.jstor.org/stable/pdf/24546145.pdf","https://scholar.google.com/scholar?q=related:iNDpBAtZxbMJ:scholar.google.com/&scioq=syntrichia+distribution&hl=en&as_sdt=2007"
15,"OM AFONINA, EA IGNATOVA, VE FEDOSOV…","Toward a new understanding of Syntrichia submontana (Pottiaceae, Bryophyta)",2014,"Arctoa","elibrary.ru","https://elibrary.ru/item.asp?id=22477443","https://scholar.google.com/scholar?cites=8215876815771854622&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 12:04:46","","","","",,,,,15,1.50,4,4,10,"… Collections from Russia which we attribute now to Syntrichia submontana were previously … Distribution.The distribution of Syntrichia submontana includes mountain areas of China (…","","https://scholar.google.com/scholar?q=related:HudyMm-oBHIJ:scholar.google.com/&scioq=syntrichia+distribution&hl=en&as_sdt=2007"
31,"MT Gallego, MJ Cano, RM Ros, J Guerra","New taxonomic data on a circum-Tethyan group of Syntrichia (Pottiaceae, Bryophyta): the S. caninervis complex",2002,"Systematic botany","BioOne","https://bioone.org/journals/systematic-botany/volume-27/issue-4/0363-6445-27.4.643/New-Taxonomic-Data-on-a-Circum-Tethyan-Group-of-Syntrichia/10.1043/0363-6445-27.4.643.short","https://scholar.google.com/scholar?cites=12738773018745885131&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 12:04:46","","10.1043/0363-6445-27.4.643.short","","",,,,,31,1.41,8,4,22,"… Syntrichia pseudohandelii is reduced to the rank of variety as … The Syntrichia caninervis Mitt. complex comprises a group of … problem and related research on Syntrichia Brid., we have …","https://www.jstor.org/stable/pdf/3093912.pdf","https://scholar.google.com/scholar?q=related:y9GtUJE2ybAJ:scholar.google.com/&scioq=syntrichia+distribution&hl=en&as_sdt=2007"
14,"MT Gallego, O Werner, C Sérgio, J Guerra","A morphological and molecular study of the Syntrichia laevipila complex (Pottiaceae) in Portugal",2005,"Nova Hedwigia","researchgate.net","https://www.researchgate.net/profile/Maria-Gallego/publication/233569779_A_morphological_and_molecular_study_of_the_Syntrichia_laevipila_complex_Pottiaceae_in_Portugal/links/5880856808ae71eb5dc2cafa/A-morphological-and-molecular-study-of-the-Syntrichia-laevipila-complex-Pottiaceae-in-Portugal.pdf","https://scholar.google.com/scholar?cites=15074635023088402225&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-15 12:04:46","PDF","","","",,,,,14,0.74,4,4,19,"Specimens from Portugal belonging to Syntrichia laevipila were analyzed using a combination of molecular (ISSR; 90 samples) and morphometric (PCA, FCA and BDA; 290 samples) …","https://www.researchgate.net/profile/Maria-Gallego/publication/233569779_A_morphological_and_molecular_study_of_the_Syntrichia_laevipila_complex_Pottiaceae_in_Portugal/links/5880856808ae71eb5dc2cafa/A-morphological-and-molecular-study-of-the-Syntrichia-laevipila-complex-Pottiaceae-in-Portugal.pdf","https://scholar.google.com/scholar?q=related:Mb_YRa_cM9EJ:scholar.google.com/&scioq=syntrichia+distribution&hl=en&as_sdt=2007"
