Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
27,"Y Li, Z Wang, T Xu, W Tu, C Liu, Y Zhang…","Reorganization of photosystem II is involved in the rapid photosynthetic recovery of desert moss Syntrichia caninervis upon rehydration",2010,"Journal of plant …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161710003536","https://scholar.google.com/scholar?cites=14628052987935942551&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 13:08:10","","","","",,,,,27,1.93,4,7,14,"… that the electron transport in the PSII is also the prerequisite for the rapid activation of PSII of the moss S. caninervis upon rehydration. Blocking the electron transport from Q A to Q B …","","https://scholar.google.com/scholar?q=related:l2eDlbBIAcsJ:scholar.google.com/&scioq=syntrichia+%22electron+transport%22&hl=en&as_sdt=2007"
0,"JTB Ekwealor","Tolerance of desiccation and UV radiation in mosses of the genus Syntrichia (Pottiaceae), from genomes to ecology",2020,"","search.proquest.com","https://search.proquest.com/openview/d3b78cecec01ca8931c7e37b008cf9ea/1?pq-origsite=gscholar&cbl=18750&diss=y","",2,"2024-07-15 13:08:10","BOOK","","","",,,,,0,0.00,0,1,4,"… Common in drylands, the moss genus Syntrichia contains some of the most desiccation-tolerant plants known. Desiccation tolerance (DT), defined as the ability to equilibrate to dry air …","https://search.proquest.com/openview/d3b78cecec01ca8931c7e37b008cf9ea/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:ThPZqUSPrDIJ:scholar.google.com/&scioq=syntrichia+%22electron+transport%22&hl=en&as_sdt=2007"
3,"Ruchika, Z Csintalan, ER Péli","Seasonality and Small Spatial-Scale Variation of Chlorophyll a Fluorescence in Bryophyte Syntrichia ruralis [Hedw.] in Semi-Arid Sandy Grassland, Hungary",2020,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/9/1/92","https://scholar.google.com/scholar?cites=54414925305221988&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 13:08:10","HTML","","","",,,,,3,0.75,1,3,4,"… quenching (NPQ), in the moss cushions of Syntrichia ruralis [Hedw.] collected from semi-arid … future changing in diversification and coverage of the Syntrichia species in semi-arid sandy …","https://www.mdpi.com/2223-7747/9/1/92","https://scholar.google.com/scholar?q=related:ZBNMFRZSwQAJ:scholar.google.com/&scioq=syntrichia+%22electron+transport%22&hl=en&as_sdt=2007"
26,"B Yin, Y Zhang, A Lou","Impacts of the removal of shrubs on the physiological and biochemical characteristics of Syntrichia caninervis Mitt: in a temperate desert",2017,"Scientific Reports","nature.com","https://www.nature.com/articles/srep45268","https://scholar.google.com/scholar?cites=7276451386390100720&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 13:08:10","HTML","","","",,,,,26,3.71,9,3,7,"… This study aimed to test whether the presence of shrubs affects the physiological state of the bryophyte Syntrichia caninervis Mitt. in this desert ecosystem. We simulated animal-grazed …","https://www.nature.com/articles/srep45268","https://scholar.google.com/scholar?q=related:8Douz_sl-2QJ:scholar.google.com/&scioq=syntrichia+%22electron+transport%22&hl=en&as_sdt=2007"
0,"F Lei, Y Liang, R Yang, Q Yang, W Bai, F Yin…","ScbZIP1 positively regulates desiccation tolerance of desert moss Syntrichia caninervis by ROS scavenging and photosynthesis pathways",2024,"Environmental and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0098847224001758","",5,"2024-07-15 13:08:10","","","","",,,,,0,0.00,0,7,1,"… electron transport genes based on RNA-Seq data. Light reaction-related genes, such as PSII, electron transport… control lines, especially for electron transport and PSI-related genes (Fig. …","","https://scholar.google.com/scholar?q=related:0s9wj1rZbtIJ:scholar.google.com/&scioq=syntrichia+%22electron+transport%22&hl=en&as_sdt=2007"
19,"X Liu, Y Zhang, H Yang, Y Liang, X Li…","Functional Aspects of Early Light-Induced Protein (ELIP) Genes from the Desiccation-Tolerant Moss Syntrichia caninervis",2020,"International Journal of …","mdpi.com","https://www.mdpi.com/1422-0067/21/4/1411","https://scholar.google.com/scholar?cites=14797985969379412769&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 13:08:10","HTML","","","",,,,,19,4.75,3,6,4,"… Syntrichia caninervis and Bryum argenteum, as predominant moss species of the Gobi … In Syntrichia caninervis, the increase in transcript abundance for genes involved in …","https://www.mdpi.com/1422-0067/21/4/1411","https://scholar.google.com/scholar?q=related:IQsTCNYBXc0J:scholar.google.com/&scioq=syntrichia+%22electron+transport%22&hl=en&as_sdt=2007"
14,"Z Jing, Z Yuan-ming","Effects of freezing and thawing on chlorophyll fluorescence of Syntrichia caninervis in biological soil crusts",2011,"Journal of Desert Research","desert.ac.cn","http://www.desert.ac.cn/EN/Y2011/V31/I6/1479","https://scholar.google.com/scholar?cites=18164826146245823419&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 13:08:10","","","","",,,,,14,1.08,7,2,13,"Abstract The tolerance to freezing and thawing of Syntrichia caninervis, the dominant … of PSⅡ (ΦPSⅡ), the relative rate of electron transport (ETR), and the photochemical quenching …","http://www.desert.ac.cn/EN/article/downloadArticleFile.do?attachType=PDF&id=1731","https://scholar.google.com/scholar?q=related:u8u1fSNtFvwJ:scholar.google.com/&scioq=syntrichia+%22electron+transport%22&hl=en&as_sdt=2007"
9,"R Yang, X Li, Q Yang, M Zhao, W Bai, Y Liang…","Transcriptional profiling analysis providing insights into desiccation tolerance mechanisms of the desert moss Syntrichia caninervis",2023,"Frontiers in Plant …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2023.1127541/full","https://scholar.google.com/scholar?cites=11605231505773335624&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 13:08:10","HTML","10.3389/fpls.2023.1127541","","",,,,,9,9.00,1,7,1,"Syntrichia caninervis is a desiccation tolerant moss and is the dominant bryophyte found in biological soil crusts in the Gurbantunggut desert. In this study, we assessed the …","https://www.frontiersin.org/articles/10.3389/fpls.2023.1127541/full","https://scholar.google.com/scholar?q=related:SJTKPZEQDqEJ:scholar.google.com/&scioq=syntrichia+%22electron+transport%22&hl=en&as_sdt=2007"
19,"LR Stark, JL Greenwood, ML Slate, JC Brinda","Syntrichia norvegica shoots exhibit a complex inducible response to desiccation: separating the effects of rate of drying and water content",2017,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2016-0263","https://scholar.google.com/scholar?cites=9798450045631876883&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 13:08:10","","10.1139/cjb-2016-0263","","",,,,,19,2.71,5,4,7,"… We approach the standing hypothesis that Syntrichia species are constitutively desiccation tolerant (incapable of dehardening) by assessing how shoots of Syntrichia norvegica F.Weber…","https://cdnsciencepub.com/doi/pdf/10.1139/cjb-2016-0263","https://scholar.google.com/scholar?q=related:E09M72YW-4cJ:scholar.google.com/&scioq=syntrichia+%22electron+transport%22&hl=en&as_sdt=2007"
0,"Q Zeng","Regulation of gene expression in the desiccation-tolerant moss Syntrichia ruralis: A study using the early light inducible protein-like genes ELIPa and ELIPb …",2001,"","search.proquest.com","https://search.proquest.com/openview/44a91f68ef387fe2a52d61f74af71de7/1?pq-origsite=gscholar&cbl=18750&diss=y","",10,"2024-07-15 13:08:10","BOOK","","","",,,,,0,0.00,0,1,23,"… Raymond Stotler for his help with his expertise on the nomenclature literature of Syntrichia ruralis. Thank Mrs. Jean Wood for her help, the great time we spent in her house and family …","https://search.proquest.com/openview/44a91f68ef387fe2a52d61f74af71de7/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:RBuUiYTV-BkJ:scholar.google.com/&scioq=syntrichia+%22electron+transport%22&hl=en&as_sdt=2007"
