Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"KK Coe, NB Howard, ML Slate…","Morphological and physiological traits in relation to carbon balance in a diverse clade of dryland mosses",2019,"Plant, Cell & …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.13613","https://scholar.google.com/scholar?cites=12910933310441424752&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 09:58:53","","10.1111/pce.13613","","",,,,,16,3.20,4,4,5,"… 14 genotypes representing 13 Syntrichia species common to North America and applied a functional trait-based approach to (a) examine how C-balance differs in the Syntrichia clade; (…","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pce.13613","https://scholar.google.com/scholar?q=related:cIee13DZLLMJ:scholar.google.com/&scioq=syntrichia+%22functional+trait%22&hl=en&as_sdt=2007"
4,"L Concostrina‐Zubiri, M Prieto, P Hurtado…","Functional diversity regulates the effects of habitat degradation on biocrust phylogenetic and taxonomic diversities",2022,"Ecological …","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/eap.2599","https://scholar.google.com/scholar?cites=13684670183643325656&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 09:58:53","","10.1002/eap.2599","","",,,,,4,2.00,1,4,2,"… spp., Psora decipiens and moss species from the genera Syntrichia and Didymodon. … These findings suggest that habitat degradation shape biocrust biodiversity via functional trait …","https://scholar.google.com/scholar?output=instlink&q=info:2KRwDAe36b0J:scholar.google.com/&hl=en&as_sdt=2007&scillfp=14340218327152786458&oi=lle","https://scholar.google.com/scholar?q=related:2KRwDAe36b0J:scholar.google.com/&scioq=syntrichia+%22functional+trait%22&hl=en&as_sdt=2007"
3,"MJ Bustos, IA Garibotti, N Cech, MC Navarro…","Microhabitat-specific differences on the composition and function of biological soil crust communities",2022,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-022-05556-5","https://scholar.google.com/scholar?cites=13996343267753000043&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 09:58:53","","10.1007/s11104-022-05556-5","","",,,,,3,1.50,1,5,2,"… greater attention for improving BSC functional-trait analyses in diverse natural communities. … In average across all samples, Tortula inmermis and Syntrichia ruralis were the two more …","https://scholar.google.com/scholar?output=instlink&q=info:a_zY1AsAPcIJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=1905027000957005828&oi=lle","https://scholar.google.com/scholar?q=related:a_zY1AsAPcIJ:scholar.google.com/&scioq=syntrichia+%22functional+trait%22&hl=en&as_sdt=2007"
9,"JA Molina, JP Martín-Sanz, I Valverde-Asenjo…","Mediterranean grassland succession as an indicator of changes in ecosystem biodiversity and functionality",2023,"Biodiversity and …","Springer","https://link.springer.com/article/10.1007/s10531-022-02481-y","https://scholar.google.com/scholar?cites=12021443933156830673&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 09:58:53","HTML","10.1007/s10531-022-02481-y","","",,,,,9,9.00,2,4,1,"… An undetermined plant functional trait was also taken into account. Coverages of plant growth … The moss Syntrichia ruralis was also included this time as a diagnostic species with a high …","https://link.springer.com/article/10.1007/s10531-022-02481-y","https://scholar.google.com/scholar?q=related:0W0Wm5C_1KYJ:scholar.google.com/&scioq=syntrichia+%22functional+trait%22&hl=en&as_sdt=2007"
34,"M Mallen‐Cooper, MA Bowker…","A practical guide to measuring functional indicators and traits in biocrusts",2020,"Restoration …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/rec.12974","https://scholar.google.com/scholar?cites=6557611580597816287&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 09:58:53","","10.1111/rec.12974","","",,,,,34,8.50,11,3,4,"… be measured as a functional trait of species by … functional trait of just one species. Biocrusts require some time to activate cellular function upon hydration. On a single patch of Syntrichia …","https://www.researchgate.net/profile/David-Eldridge-2/publication/333054699_A_practical_guide_to_measuring_functional_indicators_and_traits_in_biocrusts/links/644cb64097449a0e1a65f13f/A-practical-guide-to-measuring-functional-indicators-and-traits-in-biocrusts.pdf","https://scholar.google.com/scholar?q=related:30uFJP1QAVsJ:scholar.google.com/&scioq=syntrichia+%22functional+trait%22&hl=en&as_sdt=2007"
41,"N Wu, Y Zhang, A Downing, ZT Aanderud…","Rapid adjustment of leaf angle explains how the desert moss, Syntrichia caninervis, copes with multiple resource limitations during rehydration",2013,"Functional Plant …","CSIRO Publishing","https://www.publish.csiro.au/FP/FP13054","https://scholar.google.com/scholar?cites=18417215860785002735&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 09:58:53","","","","",,,,,41,3.73,8,5,11,"Although the desert moss Syntrichia caninervis Mitt. is extremely desiccation tolerant, it still requires water and photosynthates for growth. The ecological significance of the leaf angle in …","http://www.egi.cas.cn/xwdt/kydt_163364/202001/W020200131553456001888.pdf","https://scholar.google.com/scholar?q=related:77jHLT8Yl_8J:scholar.google.com/&scioq=syntrichia+%22functional+trait%22&hl=en&as_sdt=2007"
39,"P Hurtado, M Prieto, G Aragón, A Escudero…","Critical predictors of functional, phylogenetic and taxonomic diversity are geographically structured in lichen epiphytic communities",2019,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13189","https://scholar.google.com/scholar?cites=4185841276926181581&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 09:58:53","","10.1111/1365-2745.13189","","",,,,,39,7.80,8,5,5,"… &Valladares, 2016), we expected that mechanisms influencing the presence and abundance of species in realized communities may be primarily mediated by species functional trait …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2745.13189","https://scholar.google.com/scholar?q=related:zUBavXYYFzoJ:scholar.google.com/&scioq=syntrichia+%22functional+trait%22&hl=en&as_sdt=2007"
0,"AF Clements","Testing Functional Variation in Thermal Properties for Antarctic Mosses",2021,"","search.proquest.com","https://search.proquest.com/openview/0d33003b732072e2131c0260ab3e8af0/1?pq-origsite=gscholar&cbl=18750&diss=y","",8,"2024-07-15 09:58:53","HTML","","","",,,,,0,0.00,0,1,3,"… Chorisodontium aciphyllum consistently had the greatest thermal conductivity and water retention, Sanionia georgicouncinata and Syntrichia filaris both showed a mid-level thermal …","https://search.proquest.com/openview/0d33003b732072e2131c0260ab3e8af0/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:GQxlvcP9ROcJ:scholar.google.com/&scioq=syntrichia+%22functional+trait%22&hl=en&as_sdt=2007"
0,"K Coe","Physiological Ecology Of Biocrust Mosses Under Global Change: Implications For Dryland Biogeochemistry",2012,"","ecommons.cornell.edu","https://ecommons.cornell.edu/bitstream/1813/31079/1/kkc32.pdf","",9,"2024-07-15 09:58:53","PDF","","","",,,,,0,0.00,0,1,12,"… Rainfall event magnitude is one of the largest determinants of carbon balance in the common biocrust species Syntrichia caninervis, because increased rainfall amounts result in shoots …","https://ecommons.cornell.edu/bitstream/1813/31079/1/kkc32.pdf","https://scholar.google.com/scholar?q=related:T95jGS50f5gJ:scholar.google.com/&scioq=syntrichia+%22functional+trait%22&hl=en&as_sdt=2007"
155,"MA Bowker, RL Mau, FT Maestre, C Escolar…","Functional profiles reveal unique ecological roles of various biological soil crust organisms",2011,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2435.2011.01835.x","https://scholar.google.com/scholar?cites=282968120423476553&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-15 09:58:53","","10.1111/j.1365-2435.2011.01835.x","","",,,,,155,11.92,31,5,13,"… squarrosa and Syntrichia ruralis are most strongly positively correlated with infiltration, … We believe that enabling and applying a functional trait-based index of diversity for BSC …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1365-2435.2011.01835.x","https://scholar.google.com/scholar?q=related:Se2ZnAFO7QMJ:scholar.google.com/&scioq=syntrichia+%22functional+trait%22&hl=en&as_sdt=2007"
