Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
24,"LA Reynolds, D Nicholas McLetchie","Short distances between extreme microhabitats do not result in ecotypes in Syntrichia caninervis",2011,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282011Y.0000000004","https://scholar.google.com/scholar?cites=4578040553302715691&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 14:27:17","","10.1179/1743282011Y.0000000004","","",,,,,24,1.85,12,2,13,"… The moss Syntrichia caninervis appears morphologically variable along an environmental gradient changing rapidly from low light, low temperature, and high moisture levels in the …","","https://scholar.google.com/scholar?q=related:K-3wsqB3iD8J:scholar.google.com/&scioq=syntrichia+height&hl=en&as_sdt=2007"
8,"J Jauregui‐Lazo, JC Brinda…","The phylogeny of Syntrichia: An ecologically diverse clade of mosses with an origin in South America",2023,"American Journal of …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/ajb2.16103","https://scholar.google.com/scholar?cites=2347959301087731262&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 14:27:17","","10.1002/ajb2.16103","","",,,,,8,8.00,3,3,1,"Premise To address the biodiversity crisis, we need to understand the evolution of all organisms and how they fill geographic and ecological space. Syntrichia is one of the most diverse …","https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.1002/ajb2.16103","https://scholar.google.com/scholar?q=related:Pp5oWIuglSAJ:scholar.google.com/&scioq=syntrichia+height&hl=en&as_sdt=2007"
14,"MT Gallego, MJ Cano, J Guerra","New records, synonyms and one combination in the genus Syntrichia (Pottiaceae) from South America",2011,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-114/issue-3/0007-2745-114.3.556/New-records-synonyms-and-one-combination-in-the-genus-span/10.1639/0007-2745-114.3.556.short","https://scholar.google.com/scholar?cites=16225658887465527785&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 14:27:17","","10.1639/0007-2745-114.3.556.short","","",,,,,14,1.08,5,3,13,"… Syntrichia lacerifolia is reported for the first time from Brazil, Colombia and Ecuador. Syntrichia … Three new synonyms are proposed: Syntrichia gromschii , S. campestris and S. scabrella …","https://www.jstor.org/stable/pdf/41289812.pdf?casa_token=HKuyXAa-CaQAAAAA:eVPIDxYSAGev8zxe4gfNoY89AjG_MJs7MdgdG0qeCfhqRknVRF-ILXWy0258_dNQeYEgB4NVol27Br1zIWlfDCTusgSjytmitQV6rBM5wOCZVoP_NLJNMg","https://scholar.google.com/scholar?q=related:6ekKesoeLeEJ:scholar.google.com/&scioq=syntrichia+height&hl=en&as_sdt=2007"
41,"N Wu, Y Zhang, A Downing, ZT Aanderud…","Rapid adjustment of leaf angle explains how the desert moss, Syntrichia caninervis, copes with multiple resource limitations during rehydration",2013,"Functional Plant …","CSIRO Publishing","https://www.publish.csiro.au/FP/FP13054","https://scholar.google.com/scholar?cites=18417215860785002735&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 14:27:17","","","","",,,,,41,3.73,8,5,11,"Although the desert moss Syntrichia caninervis Mitt. is extremely desiccation tolerant, it still requires water and photosynthates for growth. The ecological significance of the leaf angle in …","http://www.egi.cas.cn/xwdt/kydt_163364/202001/W020200131553456001888.pdf","https://scholar.google.com/scholar?q=related:77jHLT8Yl_8J:scholar.google.com/&scioq=syntrichia+height&hl=en&as_sdt=2007"
187,"Z Pan, WG Pitt, Y Zhang, N Wu, Y Tao, TT Truscott","The upside-down water collection system of Syntrichia caninervis",2016,"Nature plants","nature.com","https://www.nature.com/articles/nplants201676","https://scholar.google.com/scholar?cites=15249050351150191981&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 14:27:17","","","","",,,,,187,23.38,31,6,8,"… caninervis moss shoots that we studied were 3–8 mm in height (including rhizoids), with about 20 leaves. A semitransparent awn grows out from the tip of the leaf (Fig. 1d) and appears …","https://www.researchgate.net/profile/Ye-Tao/publication/303828699_The_upside-down_water_collection_system_of_Syntrichia_caninervis/links/584e5ec208aecb6bd8cb8833/The-upside-down-water-collection-system-of-Syntrichia-caninervis.pdf","https://scholar.google.com/scholar?q=related:bVVaXoCCn9MJ:scholar.google.com/&scioq=syntrichia+height&hl=en&as_sdt=2007"
183,"MA Bowker, LR Stark, DN McLetchie…","Sex expression, skewed sex ratios, and microhabitat distribution in the dioecious desert moss Syntrichia caninervis (Pottiaceae)",2000,"American Journal of …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.2307/2656595","https://scholar.google.com/scholar?cites=9101273849230712292&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 14:27:17","","10.2307/2656595","","",,,,,183,7.63,46,4,24,"… Ramets were classified as “tall” if their height was above the mean ramet height of all ramets, and ramets were classified as “short” if their height was below the mean height of all ramets…","https://bsapubs.onlinelibrary.wiley.com/doi/pdfdirect/10.2307/2656595","https://scholar.google.com/scholar?q=related:5N3yYlg4Tn4J:scholar.google.com/&scioq=syntrichia+height&hl=en&as_sdt=2007"
15,"OM AFONINA, EA IGNATOVA, VE FEDOSOV…","Toward a new understanding of Syntrichia submontana (Pottiaceae, Bryophyta)",2014,"Arctoa","elibrary.ru","https://elibrary.ru/item.asp?id=22477443","https://scholar.google.com/scholar?cites=8215876815771854622&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 14:27:17","","","","",,,,,15,1.50,4,4,10,"… Collections from Russia which we attribute now to Syntrichia submontana were previously … even under stereomicroscope: they differ in the height of basal membrane of peristome (very …","","https://scholar.google.com/scholar?q=related:HudyMm-oBHIJ:scholar.google.com/&scioq=syntrichia+height&hl=en&as_sdt=2007"
2,"J Jauregui-Lazo, M Wilson, BD Mishler","The dynamics of external water conduction in the dryland moss Syntrichia",2023,"AoB Plants","academic.oup.com","https://academic.oup.com/aobpla/article-abstract/15/3/plad025/7175598","https://scholar.google.com/scholar?cites=6222238552772280080&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 14:27:17","","","","",,,,,2,2.00,1,3,1,"… 5 mm in height, clean, green and fully developed. We carefully placed each stem in each well and recorded water movement. We measured the initial and final weight (mg), height (mm) …","https://academic.oup.com/aobpla/article/15/3/plad025/7175598","https://scholar.google.com/scholar?q=related:EH-7Nf_UWVYJ:scholar.google.com/&scioq=syntrichia+height&hl=en&as_sdt=2007"
3,"MT Gallego, MJ Cano, J Larraín, J Guerra","Syntrichia lamellaris MTGallego, MJCano &Larraín (Pottiaceae), a new moss species from Chilean Patagonia",2020,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03736687.2019.1706036","https://scholar.google.com/scholar?cites=8025370103429028850&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 14:27:17","","10.1080/03736687.2019.1706036","","",,,,,3,0.75,1,4,4,"Introduction. While revising material of South American Syntrichia for a worldwide revision of the genus, one specimen collected in Aysén (Chile) did not match the concept of any of the …","","https://scholar.google.com/scholar?q=related:8lvtvZbXX28J:scholar.google.com/&scioq=syntrichia+height&hl=en&as_sdt=2007"
16,"KK Coe, NB Howard, ML Slate…","Morphological and physiological traits in relation to carbon balance in a diverse clade of dryland mosses",2019,"Plant, Cell & …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.13613","https://scholar.google.com/scholar?cites=12910933310441424752&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-15 14:27:17","","10.1111/pce.13613","","",,,,,16,3.20,4,4,5,"… in C-balance is present within Syntrichia and contributes to … 14 genotypes representing 13 Syntrichia species common to … by determining the average height of the moss and the area …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pce.13613","https://scholar.google.com/scholar?q=related:cIee13DZLLMJ:scholar.google.com/&scioq=syntrichia+height&hl=en&as_sdt=2007"
