Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
62,"LR Stark, L Nichols II, DN McLetchie…","Do the Sexes of the Desert Moss Syntrichia caninervis Differ in Desiccation Tolerance? A Leaf Regeneration Assay",2005,"… Journal of Plant …","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/425671","https://scholar.google.com/scholar?cites=344532216818868931&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 12:12:51","","10.1086/425671","","",,,,,62,3.26,16,4,19,"… Average initial biomass of mature leaves was estimated from weighing 37 mature leaves at one time, yielding a mean leaf mass of 0.014 mg. We used a two‐way ANOVA to determine …","https://www.jstor.org/stable/pdf/10.1086/425671.pdf","https://scholar.google.com/scholar?q=related:w6IqzTkGyAQJ:scholar.google.com/&scioq=syntrichia+%22leaf+mass%22&hl=en&as_sdt=2007"
0,"T Wuyun, L Zhang, T Tosens, B Liu, K Mark…","Extremely thin but very robust: Surprising cryptogam trait combinations at the end of the leaf economics spectrum",2024,"Plant Diversity","Elsevier","https://www.sciencedirect.com/science/article/pii/S2468265924000623","",2,"2024-07-15 12:12:51","HTML","","","",,,,,0,0.00,0,6,1,"… Photosynthetic capacity of seed plants was the highest on leaf mass (A mass ), area (A area ), leaf N basis compared to that of other lineages (PNUE, Table S2). Nitrogen (N mass and N …","https://www.sciencedirect.com/science/article/pii/S2468265924000623","https://scholar.google.com/scholar?q=related:9tHDRje73KkJ:scholar.google.com/&scioq=syntrichia+%22leaf+mass%22&hl=en&as_sdt=2007"
0,"YY Xu, XT Liu, X Yang","Effects of the Microstructural Characteristics of Leaves on the Dew Evaporation Duration and Absorption Capacity",2022,"Russian Journal of Plant Physiology","Springer","https://link.springer.com/article/10.1134/S1021443722601902","",3,"2024-07-15 12:12:51","","10.1134/S1021443722601902","","",,,,,0,0.00,0,3,2,"… The F u was positively correlated with water content (W a ) and leaf mass per unit of leaf area (LMA) (P <0.01). The water absorption capacity of leaves increased with increasing W a …","https://scholar.google.com/scholar?output=instlink&q=info:TLlAjjIQj0wJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=9941899363735823935&oi=lle","https://scholar.google.com/scholar?q=related:TLlAjjIQj0wJ:scholar.google.com/&scioq=syntrichia+%22leaf+mass%22&hl=en&as_sdt=2007"
17,"SK Rice, JHC Cornelissen","Best practices for measuring photosynthesis at multiple scales",2013,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_5","https://scholar.google.com/scholar?cites=11963277960207341024&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 12:12:51","","10.1007/978-94-007-6988-5_5","","",,,,,17,1.55,9,2,11,"… strong negative relationships between canopy mass per area and maximum rates of photosynthesis expressed on a mass basis, a similar pattern found when comparing leaf mass per …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=106","https://scholar.google.com/scholar?q=related:4BVrr-sZBqYJ:scholar.google.com/&scioq=syntrichia+%22leaf+mass%22&hl=en&as_sdt=2007"
88,"B Bond-Lamberty, ST Gower","Estimation of stand-level leaf area for boreal bryophytes",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?cites=5314145550210239110&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 12:12:51","HTML","10.1007/s00442-006-0619-5","","",,,,,88,5.18,44,2,17,"… Leaf area may also be calculated from leaf mass using specific leaf area (SLA), the ratio of the fresh foliage surface area to the unit dry foliage mass. In vascular plants SLA typically …","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?q=related:hgoB7Tijv0kJ:scholar.google.com/&scioq=syntrichia+%22leaf+mass%22&hl=en&as_sdt=2007"
26,"SK Rice, N Neal, J Mango, K Black","Relationships among shoot tissue, canopy and photosynthetic characteristics in the feathermoss Pleurozium schreberi",2011,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-114/issue-2/0007-2745-114.2.367/Relationships-among-shoot-tissue-canopy-and-photosynthetic-characteristics-in-the/10.1639/0007-2745-114.2.367.short","https://scholar.google.com/scholar?cites=10331985589368611300&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 12:12:51","","10.1639/0007-2745-114.2.367.short","","",,,,,26,2.00,7,4,13,"… life span, leaf nitrogen concentration, leaf mass per area and maximum photosynthetic carbon … In the desert moss Syntrichia ruralis, high light environments create desiccation stress and …","https://www.jstor.org/stable/pdf/41289793.pdf","https://scholar.google.com/scholar?q=related:5GHF_iaWYo8J:scholar.google.com/&scioq=syntrichia+%22leaf+mass%22&hl=en&as_sdt=2007"
0,"T Wuyun","Leaf structure-function relationships and responses to plant hormones in non-seed plants",2024,"","dspace.emu.ee","https://dspace.emu.ee/bitstreams/c512d440-b206-4e6f-85c6-98be7d7f9948/download","",7,"2024-07-15 12:12:51","PDF","","","",,,,,0,0.00,0,1,1,"… LMA, leaf mass per unit area; LD, leaf density; CWT, cell wall thickness; Amass, net assimilation rate per leaf dry mass; Nmass, nitrogen content per leaf dry mass; Codes indicate …","https://dspace.emu.ee/bitstreams/c512d440-b206-4e6f-85c6-98be7d7f9948/download","https://scholar.google.com/scholar?q=related:u-JG_1i8iKQJ:scholar.google.com/&scioq=syntrichia+%22leaf+mass%22&hl=en&as_sdt=2007"
36,"ML Slate, TN Rosenstiel, SM Eppley","Sex-specific morphological and physiological differences in the moss Ceratodon purpureus (Dicranales)",2017,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/120/5/845/3947929","https://scholar.google.com/scholar?cites=4292901723867819430&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 12:12:51","","","","",,,,,36,5.14,12,3,7,"… to quantify canopy mass, leaf mass, stem mass and … , leaf mass area (gm –2 ); CMA, canopy mass area (gm –2 ); CH, canopy height (cm); CD, canopy density (g cm –3 ); LMF, leaf mass …","https://academic.oup.com/aob/article/120/5/845/3947929","https://scholar.google.com/scholar?q=related:pq3Ngl9zkzsJ:scholar.google.com/&scioq=syntrichia+%22leaf+mass%22&hl=en&as_sdt=2007"
17,"B Fernández-Marín, MI Arzac…","Frozen in the dark: Interplay of night-time activity of xanthophyll cycle, xylem attributes, and desiccation tolerance in fern resistance to winter",2021,"Journal of …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/72/8/3168/6146593","https://scholar.google.com/scholar?cites=17572931767983969301&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 12:12:51","","","","",,,,,17,5.67,6,3,3,"While most ferns avoid freezing as they have a tropical distribution or shed their fronds, wintergreen species in temperate and boreoalpine ecosystems have to deal with sub-zero …","https://academic.oup.com/jxb/article/72/8/3168/6146593","https://scholar.google.com/scholar?q=related:FZTcbFaY3_MJ:scholar.google.com/&scioq=syntrichia+%22leaf+mass%22&hl=en&as_sdt=2007"
11,"LR Stark, C Delgadillo M","Is Crossidium crassinerve (Pottiaceae) an annual moss? Observations on vegetative allocation and viability from Mojave Desert populations",2003,"Lindbergia","researchgate.net","https://www.researchgate.net/profile/Claudio-Delgadillo-Moya/publication/259799580_Is_Crossidium_crassinerve_Pottiaceae_an_Annual_Moss_Observations_on_Vegetative_Allocation_and_Viability_from_Mojave_Desert_Populations/links/58d14ba5aca2720cd05ec967/Is-Crossidium-crassinerve-Pottiaceae-an-Annual-Moss-Observations-on-Vegetative-Allocation-and-Viability-from-Mojave-Desert-Populations.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9","https://scholar.google.com/scholar?cites=228714193182167415&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-15 12:12:51","PDF","","","",,,,,11,0.52,6,2,21,"… leaf mass from the same ramet were determined and added for a total growth interval biomass. Leaf mass … mean ramet age for Mojave Desert Syntrichia caninervis Mitt. estimated at 16 …","https://www.researchgate.net/profile/Claudio-Delgadillo-Moya/publication/259799580_Is_Crossidium_crassinerve_Pottiaceae_an_Annual_Moss_Observations_on_Vegetative_Allocation_and_Viability_from_Mojave_Desert_Populations/links/58d14ba5aca2720cd05ec967/Is-Crossidium-crassinerve-Pottiaceae-an-Annual-Moss-Observations-on-Vegetative-Allocation-and-Viability-from-Mojave-Desert-Populations.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9","https://scholar.google.com/scholar?q=related:d5G2z1iOLAMJ:scholar.google.com/&scioq=syntrichia+%22leaf+mass%22&hl=en&as_sdt=2007"
