Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
48,"J Zhang, YM Zhang, A Downing, N Wu, BC Zhang","Photosynthetic and cytological recovery on remoistening Syntrichia caninervis Mitt., a desiccation-tolerant moss from Northwestern China",2011,"Photosynthetica","Springer","https://link.springer.com/article/10.1007/s11099-011-0002-6","https://scholar.google.com/scholar?cites=6993901750186355061&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 09:02:44","","10.1007/s11099-011-0002-6","","",,,,,48,3.69,10,5,13,"Syntrichia caninervis Mitt. is the dominant species in the moss crusts of the Gurbantunggut Desert, Northwestern China. We experimented with this species under controlled …","https://link.springer.com/content/pdf/10.1007/s11099-011-0002-6.pdf","https://scholar.google.com/scholar?q=related:dSnXJZZUD2EJ:scholar.google.com/&scioq=syntrichia+photosynthesis&hl=en&as_sdt=2007"
27,"Y Li, Z Wang, T Xu, W Tu, C Liu, Y Zhang…","Reorganization of photosystem II is involved in the rapid photosynthetic recovery of desert moss Syntrichia caninervis upon rehydration",2010,"Journal of plant …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161710003536","https://scholar.google.com/scholar?cites=14628052987935942551&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 09:02:44","","","","",,,,,27,1.93,4,7,14,"… In this study, we chose the moss Syntrichia caninervis, one of the dominant species in … material to investigate the mechanisms of rapid photosynthetic recovery of PSII upon rehydration. …","","https://scholar.google.com/scholar?q=related:l2eDlbBIAcsJ:scholar.google.com/&scioq=syntrichia+photosynthesis&hl=en&as_sdt=2007"
16,"KK Coe, NB Howard, ML Slate…","Morphological and physiological traits in relation to carbon balance in a diverse clade of dryland mosses",2019,"Plant, Cell & …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.13613","https://scholar.google.com/scholar?cites=12910933310441424752&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 09:02:44","","10.1111/pce.13613","","",,,,,16,3.20,4,4,5,"… In this study, we focused on 14 genotypes representing 13 Syntrichia species common to … Based on these collective results across Syntrichia genotypes, it appears that photosynthetic …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pce.13613","https://scholar.google.com/scholar?q=related:cIee13DZLLMJ:scholar.google.com/&scioq=syntrichia+photosynthesis&hl=en&as_sdt=2007"
2,"M WEI, Y ZHANG","Effects of dehydration on photosynthetic pigment content and chloroplast ultrastructure of Syntrichia caninervis in biological soil crusts",2010,"Journal of Desert Research","desert.ac.cn","http://www.desert.ac.cn/EN/abstract/abstract1480.shtml","https://scholar.google.com/scholar?cites=5429900793787234117&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 09:02:44","","","","",,,,,2,0.14,1,2,14,"Syntrichia caninervis is the dominant moss in biological soil crusts in the Gurbantunggut desert. In this paper, the effects of dehydration on photosynthetic pigment content and …","http://www.desert.ac.cn/EN/article/downloadArticleFile.do?attachType=PDF&id=1480","https://scholar.google.com/scholar?q=related:RbdMywDiWksJ:scholar.google.com/&scioq=syntrichia+photosynthesis&hl=en&as_sdt=2007"
3,"Ruchika, Z Csintalan, ER Péli","Seasonality and Small Spatial-Scale Variation of Chlorophyll a Fluorescence in Bryophyte Syntrichia ruralis [Hedw.] in Semi-Arid Sandy Grassland, Hungary",2020,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/9/1/92","https://scholar.google.com/scholar?cites=54414925305221988&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 09:02:44","HTML","","","",,,,,3,0.75,1,3,4,"… In this preliminary study, we analyzed the photosynthetic efficiency by measuring chlorophyll a fluorescence of desiccation-tolerant bryophyte S. ruralis within different slopes north-east (…","https://www.mdpi.com/2223-7747/9/1/92","https://scholar.google.com/scholar?q=related:ZBNMFRZSwQAJ:scholar.google.com/&scioq=syntrichia+photosynthesis&hl=en&as_sdt=2007"
41,"N Wu, Y Zhang, A Downing, ZT Aanderud…","Rapid adjustment of leaf angle explains how the desert moss, Syntrichia caninervis, copes with multiple resource limitations during rehydration",2013,"Functional Plant …","CSIRO Publishing","https://www.publish.csiro.au/FP/FP13054","https://scholar.google.com/scholar?cites=18417215860785002735&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 09:02:44","","","","",,,,,41,3.73,8,5,11,"… Relationship between Syntrichia caninervis leaf angle and photosynthetic recovery. (a) Comparison of potential photosynthetic area under minimum and maximum leaf angle. Different …","http://www.egi.cas.cn/xwdt/kydt_163364/202001/W020200131553456001888.pdf","https://scholar.google.com/scholar?q=related:77jHLT8Yl_8J:scholar.google.com/&scioq=syntrichia+photosynthesis&hl=en&as_sdt=2007"
26,"B Yin, Y Zhang, A Lou","Impacts of the removal of shrubs on the physiological and biochemical characteristics of Syntrichia caninervis Mitt: in a temperate desert",2017,"Scientific Reports","nature.com","https://www.nature.com/articles/srep45268","https://scholar.google.com/scholar?cites=7276451386390100720&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 09:02:44","HTML","","","",,,,,26,3.71,9,3,7,"… photosynthesis of many plants 61 . Laboratory experiments have indicated that the effects of UV-B radiation on plant photosynthetic … responsible for a decreased photosynthetic rate 19,…","https://www.nature.com/articles/srep45268","https://scholar.google.com/scholar?q=related:8Douz_sl-2QJ:scholar.google.com/&scioq=syntrichia+photosynthesis&hl=en&as_sdt=2007"
14,"Z Jing, Z Yuan-ming","Effects of freezing and thawing on chlorophyll fluorescence of Syntrichia caninervis in biological soil crusts",2011,"Journal of Desert Research","desert.ac.cn","http://www.desert.ac.cn/EN/Y2011/V31/I6/1479","https://scholar.google.com/scholar?cites=18164826146245823419&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 09:02:44","","","","",,,,,14,1.08,7,2,13,"Abstract The tolerance to freezing and thawing of Syntrichia caninervis, the dominant … the photosynthetic structures from photooxidative damage. The rapid recovery of photosynthetic …","http://www.desert.ac.cn/EN/article/downloadArticleFile.do?attachType=PDF&id=1731","https://scholar.google.com/scholar?q=related:u8u1fSNtFvwJ:scholar.google.com/&scioq=syntrichia+photosynthesis&hl=en&as_sdt=2007"
47,"N Wu, YM Zhang, A Downing, J Zhang…","Membrane stability of the desert moss Syntrichia caninervis Mitt. during desiccation and rehydration",2012,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282011Y.0000000043","https://scholar.google.com/scholar?cites=2196932029383212311&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 09:02:44","","10.1179/1743282011Y.0000000043","","",,,,,47,3.92,9,5,12,"… Syntrichia caninervis Mitt. is the dominant species in the moss crusts of the Gurbantunggut … Most studies of bryophyte desiccation tolerance have been of Tortula (Syntrichia) ruralis. The …","https://www.academia.edu/download/103825325/1743282011Y.000000004320230628-1-5apa4h.pdf","https://scholar.google.com/scholar?q=related:F30QdwoSfR4J:scholar.google.com/&scioq=syntrichia+photosynthesis&hl=en&as_sdt=2007"
0,"F Lei, Y Liang, R Yang, Q Yang, W Bai, F Yin…","ScbZIP1 positively regulates desiccation tolerance of desert moss Syntrichia caninervis by ROS scavenging and photosynthesis pathways",2024,"Environmental and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0098847224001758","",10,"2024-07-15 09:02:44","","","","",,,,,0,0.00,0,7,1,"… from the DT model moss Syntrichia caninervis, which encodes … -ScbZIP1plants had higher photosynthetic efficiency, lower … led to enriched ROS and photosynthesis pathways. This was …","","https://scholar.google.com/scholar?q=related:0s9wj1rZbtIJ:scholar.google.com/&scioq=syntrichia+photosynthesis&hl=en&as_sdt=2007"
