Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"KK Coe, NB Howard, ML Slate…","Morphological and physiological traits in relation to carbon balance in a diverse clade of dryland mosses",2019,"Plant, Cell & …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.13613","https://scholar.google.com/scholar?cites=12910933310441424752&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 12:13:42","","10.1111/pce.13613","","",,,,,16,3.20,4,4,5,"… 14 genotypes representing 13 Syntrichia species common to … The green photosynthetic tissue for each culture plate was … view if the sample's photosynthetic tissue with ImageJ2. The …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pce.13613","https://scholar.google.com/scholar?q=related:cIee13DZLLMJ:scholar.google.com/&scioq=syntrichia+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
24,"LA Reynolds, D Nicholas McLetchie","Short distances between extreme microhabitats do not result in ecotypes in Syntrichia caninervis",2011,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282011Y.0000000004","https://scholar.google.com/scholar?cites=4578040553302715691&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 12:13:42","","10.1179/1743282011Y.0000000004","","",,,,,24,1.85,12,2,13,"… We removed these sections to focus on current photosynthetic tissue and not on old growth that can vary greatly. Fourth, our sample sizes might be too low to detect small morphological …","","https://scholar.google.com/scholar?q=related:K-3wsqB3iD8J:scholar.google.com/&scioq=syntrichia+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
17,"MCF Proctor, N Smirnoff","Photoprotection in bryophytes: rate and extent of dark relaxation of non-photochemical quenching of chlorophyll fluorescence",2015,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282015Y.0000000001","https://scholar.google.com/scholar?cites=16329410286383049218&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 12:13:42","","10.1179/1743282015Y.0000000001","","",,,,,17,1.89,9,2,9,"… Syntrichia ruralis has been widely known in the literature as Tortula ruralis. … Trichocolea tomentella ( Figure 1A ) is a leafy liverwort of shady, wet places, Syntrichia ruralis ( Figure 1B ) a …","","https://scholar.google.com/scholar?q=related:Aqp4dyO4neIJ:scholar.google.com/&scioq=syntrichia+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
0,"MCR Faiffer","From community to transcriptome: Responses of Syntrichia caninervis and biocrusts to climate change",2021,"","search.proquest.com","https://search.proquest.com/openview/0c2d284527d373373ec228a4db8f6205/1?pq-origsite=gscholar&cbl=18750&diss=y","",4,"2024-07-15 12:13:42","HTML","","","",,,,,0,0.00,0,1,3,"… Here, we investigated how biocrust communities and one common biocrust moss species, Syntrichia caninervis, will respond to climate disturbances, to better understand and predict …","https://search.proquest.com/openview/0c2d284527d373373ec228a4db8f6205/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:K6-IrKVbx-EJ:scholar.google.com/&scioq=syntrichia+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
340,"M Marschall, MCF Proctor","Are Bryophytes Shade Plants? Photosynthetic Light Responses and Proportions of Chlorophyll a, Chlorophyll b and Total Carotenoids",2004,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/94/4/593/189774","https://scholar.google.com/scholar?cites=5584578008632036743&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 12:13:42","","","","",,,,,340,17.00,170,2,20,"… lamella systems forming a ventilated photosynthetic tissue. Total chlorophyll, chlorophyll a : … of exposed habitats such as Orthotrichum anomalum and Syntrichia intermedia. Over all, the …","https://academic.oup.com/aob/article/94/4/593/189774","https://scholar.google.com/scholar?q=related:h434SBxogE0J:scholar.google.com/&scioq=syntrichia+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
0,"KK Coe, N Neumeister, MI Gomez…","Carbon balance: A technique to assess comparative photosynthetic physiology in poikilohydric plants",2024,"Applications in Plant …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/aps3.11585","",6,"2024-07-15 12:13:42","","10.1002/aps3.11585","","",,,,,0,0.00,0,4,1,"… based on previous work in which a uniform height of green, photosynthetic tissue was observed on the adaxial cushion surface in Syntrichia caninervis (Coe et al., 2012). To determine …","https://bsapubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aps3.11585","https://scholar.google.com/scholar?q=related:F22_NBRfa6MJ:scholar.google.com/&scioq=syntrichia+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
17,"SK Rice, JHC Cornelissen","Best practices for measuring photosynthesis at multiple scales",2013,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_5","https://scholar.google.com/scholar?cites=11963277960207341024&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 12:13:42","","10.1007/978-94-007-6988-5_5","","",,,,,17,1.55,9,2,11,"Studies of bryophyte photosynthetic performance have generally adapted techniques developed for use in vascular plants and relied on underlying vascular plant functional models as …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=106","https://scholar.google.com/scholar?q=related:4BVrr-sZBqYJ:scholar.google.com/&scioq=syntrichia+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
5,"ML Bonine","Growth, reproductive phenology, and population structure in Syntrichia caninervis",2004,"","search.proquest.com","https://search.proquest.com/openview/c7bba8e259c59d2bb408f49a238dd489/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=13848161322422728688&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 12:13:42","BOOK","","","",,,,,5,0.25,5,1,20,"… are commonly referred to as the Green Zone (GZ), the entire chlorophyllous region, and the Recent Green Zone (RGZ), which refers only to the current season of photosynthetic tissue. …","https://search.proquest.com/openview/c7bba8e259c59d2bb408f49a238dd489/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:8HdPH1qNLsAJ:scholar.google.com/&scioq=syntrichia+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
0,"K Kellman, BD Mishler","FREMONTIA",2003,"","herbarium.sdsu.edu","https://herbarium.sdsu.edu/pdfs/Fremontia2003_Vol31-No3-Bryophytes.pdf","",9,"2024-07-15 12:13:42","PDF","","","",,,,,0,0.00,0,2,21,"… The photosynthetic tissue of thallose liverworts is thickened, whereas leafy liverwort leaves … By that is meant that, if one collects a few stems of this Syntrichia, hydrates the stems on a …","https://herbarium.sdsu.edu/pdfs/Fremontia2003_Vol31-No3-Bryophytes.pdf","https://scholar.google.com/scholar?q=related:37GAsriaKAEJ:scholar.google.com/&scioq=syntrichia+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
14,"J Zhang, YM Zhang","Diurnal variations of chlorophyll fluorescence and CO2 exchange of biological soil crusts in different successional stages in the Gurbantunggut Desert of …",2014,"Ecological research","Springer","https://link.springer.com/article/10.1007/s11284-013-1122-1","https://scholar.google.com/scholar?cites=1009533245576604302&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-15 12:13:42","HTML","10.1007/s11284-013-1122-1","","",,,,,14,1.40,7,2,10,"… Studies on the effects of environmental factors on the performance of poikilohydric plants suggest that they are likely to have changes in the display of leaf area and photosynthetic tissue…","https://link.springer.com/article/10.1007/s11284-013-1122-1","https://scholar.google.com/scholar?q=related:jmqKWyOVAg4J:scholar.google.com/&scioq=syntrichia+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
