Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
27,"Y Li, Z Wang, T Xu, W Tu, C Liu, Y Zhang…","Reorganization of photosystem II is involved in the rapid photosynthetic recovery of desert moss Syntrichia caninervis upon rehydration",2010,"Journal of plant …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161710003536","https://scholar.google.com/scholar?cites=14628052987935942551&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 11:06:12","","","","",,,,,27,1.93,4,7,14,"The moss Syntrichia caninervis (S. caninervis) is one of the dominant species in biological soil crusts of deserts. It has long been the focus of scientific research because of its ecological …","","https://scholar.google.com/scholar?q=related:l2eDlbBIAcsJ:scholar.google.com/&scioq=syntrichia+photosystem&hl=en&as_sdt=2007"
3,"Ruchika, Z Csintalan, ER Péli","Seasonality and Small Spatial-Scale Variation of Chlorophyll a Fluorescence in Bryophyte Syntrichia ruralis [Hedw.] in Semi-Arid Sandy Grassland, Hungary",2020,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/9/1/92","https://scholar.google.com/scholar?cites=54414925305221988&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 11:06:12","HTML","","","",,,,,3,0.75,1,3,4,"… photosystem II (ΦPS II), fluorescence quenching (qN), and non-photochemical quenching (NPQ), in the moss cushions of Syntrichia … and coverage of the Syntrichia species in semi-arid …","https://www.mdpi.com/2223-7747/9/1/92","https://scholar.google.com/scholar?q=related:ZBNMFRZSwQAJ:scholar.google.com/&scioq=syntrichia+photosystem&hl=en&as_sdt=2007"
48,"J Zhang, YM Zhang, A Downing, N Wu, BC Zhang","Photosynthetic and cytological recovery on remoistening Syntrichia caninervis Mitt., a desiccation-tolerant moss from Northwestern China",2011,"Photosynthetica","Springer","https://link.springer.com/article/10.1007/s11099-011-0002-6","https://scholar.google.com/scholar?cites=6993901750186355061&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 11:06:12","","10.1007/s11099-011-0002-6","","",,,,,48,3.69,10,5,13,"… Syntrichia caninervis Mitt. is the dominant species in the moss crusts of the Gurbantunggut … and photosynthetic yield (FV/FM) of photosystem II (PSII) recovered quickly when shoots were …","https://link.springer.com/content/pdf/10.1007/s11099-011-0002-6.pdf","https://scholar.google.com/scholar?q=related:dSnXJZZUD2EJ:scholar.google.com/&scioq=syntrichia+photosystem&hl=en&as_sdt=2007"
0,"JTB Ekwealor","Tolerance of desiccation and UV radiation in mosses of the genus Syntrichia (Pottiaceae), from genomes to ecology",2020,"","search.proquest.com","https://search.proquest.com/openview/d3b78cecec01ca8931c7e37b008cf9ea/1?pq-origsite=gscholar&cbl=18750&diss=y","",4,"2024-07-15 11:06:12","BOOK","","","",,,,,0,0.00,0,1,4,"… Common in drylands, the moss genus Syntrichia contains some of the most desiccation-… In this dissertation, I explore molecular and physiological responses of two Syntrichia species to …","https://search.proquest.com/openview/d3b78cecec01ca8931c7e37b008cf9ea/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:ThPZqUSPrDIJ:scholar.google.com/&scioq=syntrichia+photosystem&hl=en&as_sdt=2007"
16,"KK Coe, NB Howard, ML Slate…","Morphological and physiological traits in relation to carbon balance in a diverse clade of dryland mosses",2019,"Plant, Cell & …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.13613","https://scholar.google.com/scholar?cites=12910933310441424752&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 11:06:12","","10.1111/pce.13613","","",,,,,16,3.20,4,4,5,"… balance among 14 genotypes of Syntrichia and measured an … F m , indicating the importance of photosystem II health for C … 14 genotypes representing 13 Syntrichia species common to …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pce.13613","https://scholar.google.com/scholar?q=related:cIee13DZLLMJ:scholar.google.com/&scioq=syntrichia+photosystem&hl=en&as_sdt=2007"
95,"B Fernández-Marín, I Kranner…","Evidence for the absence of enzymatic reactions in the glassy state. A case study of xanthophyll cycle pigments in the desiccation-tolerant moss Syntrichia ruralis",2013,"Journal of …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/64/10/3033/542745","https://scholar.google.com/scholar?cites=8426163896100292248&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 11:06:12","","","","",,,,,95,8.64,32,3,11,"… Here, the desiccation-tolerant moss Syntrichia ruralis was dehydrated at either 75% or <5% … The ratio F v /F m represents the maximum photochemical efficiency of photosystem II (PSII). …","https://academic.oup.com/jxb/article/64/10/3033/542745","https://scholar.google.com/scholar?q=related:mIZHdmu_73QJ:scholar.google.com/&scioq=syntrichia+photosystem&hl=en&as_sdt=2007"
26,"B Yin, Y Zhang, A Lou","Impacts of the removal of shrubs on the physiological and biochemical characteristics of Syntrichia caninervis Mitt: in a temperate desert",2017,"Scientific Reports","nature.com","https://www.nature.com/articles/srep45268","https://scholar.google.com/scholar?cites=7276451386390100720&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 11:06:12","HTML","","","",,,,,26,3.71,9,3,7,"… This study aimed to test whether the presence of shrubs affects the physiological state of the bryophyte Syntrichia caninervis Mitt. in this desert ecosystem. We simulated animal-grazed …","https://www.nature.com/articles/srep45268","https://scholar.google.com/scholar?q=related:8Douz_sl-2QJ:scholar.google.com/&scioq=syntrichia+photosystem&hl=en&as_sdt=2007"
47,"N Wu, YM Zhang, A Downing, J Zhang…","Membrane stability of the desert moss Syntrichia caninervis Mitt. during desiccation and rehydration",2012,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282011Y.0000000043","https://scholar.google.com/scholar?cites=2196932029383212311&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 11:06:12","","10.1179/1743282011Y.0000000043","","",,,,,47,3.92,9,5,12,"… Syntrichia caninervis Mitt. is the dominant species in the moss crusts of the Gurbantunggut … Most studies of bryophyte desiccation tolerance have been of Tortula (Syntrichia) ruralis. The …","https://www.academia.edu/download/103825325/1743282011Y.000000004320230628-1-5apa4h.pdf","https://scholar.google.com/scholar?q=related:F30QdwoSfR4J:scholar.google.com/&scioq=syntrichia+photosystem&hl=en&as_sdt=2007"
3,"Ruchika, Z Csintalan, ER Péli","Effect of Salicylic Acid Pre-Treatment after Long-Term Desiccation in the Moss Syntrichia ruralis (Hedw.) Web. and Mohr",2020,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/9/9/1097","https://scholar.google.com/scholar?cites=15358883030426295098&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 11:06:12","HTML","","","",,,,,3,0.75,1,3,4,"… Our results also showed that SA pre-treatment has a significant effect on photosystem II in the moss S.ruralis. This would be the first study of SA pre-treatment on S. ruralis to explore the …","https://www.mdpi.com/2223-7747/9/9/1097","https://scholar.google.com/scholar?q=related:OptVx722JdUJ:scholar.google.com/&scioq=syntrichia+photosystem&hl=en&as_sdt=2007"
0,"P Liu, E Li, Y Ma, J Lü, Q Zhang","Allelopathic potential of Haloxylon ammodendron against Syntrichia caninervis and comparative analysis of soil microbial differences between inside and outside of …",2024,"Applied Soil Ecology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0929139323004031","",10,"2024-07-15 11:06:12","","","","",,,,,0,0.00,0,5,1,"In the Gurbantunggut Desert, Haloxylon ammodendron and Syntrichia caninervis are often found at the base of the dunes. In these areas, bare patches usually form under H. …","","https://scholar.google.com/scholar?q=related:2VpKqH6wAikJ:scholar.google.com/&scioq=syntrichia+photosystem&hl=en&as_sdt=2007"
