Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"Ruchika, Z Csintalan, ER Péli","Seasonality and Small Spatial-Scale Variation of Chlorophyll a Fluorescence in Bryophyte Syntrichia ruralis [Hedw.] in Semi-Arid Sandy Grassland, Hungary",2020,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/9/1/92","https://scholar.google.com/scholar?cites=54414925305221988&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-15 10:15:26","HTML","","","",,,,,3,0.75,1,3,4,"… quantum yield of photosystem II (ΦPS II), fluorescence quenching (qN), and non-photochemical quenching (NPQ), in the moss cushions of Syntrichia … of the effective quantum yield of PS …","https://www.mdpi.com/2223-7747/9/1/92","https://scholar.google.com/scholar?q=related:ZBNMFRZSwQAJ:scholar.google.com/&scioq=syntrichia+%22quantum+yield%22&hl=en&as_sdt=2007"
58,"J Belnap, SL Phillips, SD Smith","Dynamics of cover, UV-protective pigments, and quantum yield in biological soil crust communities of an undisturbed Mojave Desert shrubland",2007,"Flora-Morphology, Distribution, Functional …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0367253007000898","https://scholar.google.com/scholar?cites=5374887922115413385&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-15 10:15:26","","","","",,,,,58,3.41,19,3,17,"… and lichenized cyanobacteria, and quantum yield in the soil lichen … coccophorum, and moss cover, dominated by Syntrichia … Quantum yield in Collema spp. was closely correlated with …","https://scholar.google.com/scholar?output=instlink&q=info:iQU6eRZwl0oJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=1973885935784087884&oi=lle","https://scholar.google.com/scholar?q=related:iQU6eRZwl0oJ:scholar.google.com/&scioq=syntrichia+%22quantum+yield%22&hl=en&as_sdt=2007"
3,"Ruchika, Z Csintalan, ER Péli","Effect of Salicylic Acid Pre-Treatment after Long-Term Desiccation in the Moss Syntrichia ruralis (Hedw.) Web. and Mohr",2020,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/9/9/1097","https://scholar.google.com/scholar?cites=15358883030426295098&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-15 10:15:26","HTML","","","",,,,,3,0.75,1,3,4,"… activities in desiccation-tolerant moss species Syntrichia ruralis (Hedw.) Web. and Mohr. … photochemical quantum yield of PS II (Fv/Fm), effective photochemical quantum yield of PS II (…","https://www.mdpi.com/2223-7747/9/9/1097","https://scholar.google.com/scholar?q=related:OptVx722JdUJ:scholar.google.com/&scioq=syntrichia+%22quantum+yield%22&hl=en&as_sdt=2007"
19,"LR Stark, JL Greenwood, ML Slate, JC Brinda","Syntrichia norvegica shoots exhibit a complex inducible response to desiccation: separating the effects of rate of drying and water content",2017,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2016-0263","https://scholar.google.com/scholar?cites=9798450045631876883&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-15 10:15:26","","10.1139/cjb-2016-0263","","",,,,,19,2.71,5,4,7,"… Effective quantum yield of photosystem II (PSII) photochemistry as Φ PSII at 24 h post-rehydration on shoot apices of Syntrichia norvegica subjected to a range of drying times at …","https://cdnsciencepub.com/doi/pdf/10.1139/cjb-2016-0263","https://scholar.google.com/scholar?q=related:E09M72YW-4cJ:scholar.google.com/&scioq=syntrichia+%22quantum+yield%22&hl=en&as_sdt=2007"
78,"MCF Proctor","Experiments on the effect of different intensities of desiccation on bryophyte survival, using chlorophyll fluorescence as an index of recovery",2003,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/037366803235001652","https://scholar.google.com/scholar?cites=1026358156453746181&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-15 10:15:26","","10.1179/037366803235001652","","",,,,,78,3.71,78,1,21,"… By contrast, Syntrichia ruralis showed a dramatic increase in FM on remoistening, suggest… The ratio (F9 M–FS)/F9 M then gives a measure of the effective quantum yield of PSII (WPSII). …","","https://scholar.google.com/scholar?q=related:BRbAL05bPg4J:scholar.google.com/&scioq=syntrichia+%22quantum+yield%22&hl=en&as_sdt=2007"
16,"KK Coe, NB Howard, ML Slate…","Morphological and physiological traits in relation to carbon balance in a diverse clade of dryland mosses",2019,"Plant, Cell & …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.13613","https://scholar.google.com/scholar?cites=12910933310441424752&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-15 10:15:26","","10.1111/pce.13613","","",,,,,16,3.20,4,4,5,"… F v /F m , the maximum quantum yield of photosystem II) and … in C-balance is present within Syntrichia and contributes to … 14 genotypes representing 13 Syntrichia species common to …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pce.13613","https://scholar.google.com/scholar?q=related:cIee13DZLLMJ:scholar.google.com/&scioq=syntrichia+%22quantum+yield%22&hl=en&as_sdt=2007"
48,"J Zhang, YM Zhang, A Downing, N Wu, BC Zhang","Photosynthetic and cytological recovery on remoistening Syntrichia caninervis Mitt., a desiccation-tolerant moss from Northwestern China",2011,"Photosynthetica","Springer","https://link.springer.com/article/10.1007/s11099-011-0002-6","https://scholar.google.com/scholar?cites=6993901750186355061&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-15 10:15:26","","10.1007/s11099-011-0002-6","","",,,,,48,3.69,10,5,13,"… Syntrichia caninervis Mitt. is the dominant species in the moss crusts of the Gurbantunggut Desert, Northwestern China. We experimented with this species under controlled …","https://link.springer.com/content/pdf/10.1007/s11099-011-0002-6.pdf","https://scholar.google.com/scholar?q=related:dSnXJZZUD2EJ:scholar.google.com/&scioq=syntrichia+%22quantum+yield%22&hl=en&as_sdt=2007"
37,"LR Stark, JL Greenwood, JC Brinda","Desiccated Syntrichia ruralis shoots regenerate after 20 years in the herbarium",2017,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03736687.2016.1176307","https://scholar.google.com/scholar?cites=10724233001608843396&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-15 10:15:26","","10.1080/03736687.2016.1176307","","",,,,,37,5.29,12,3,7,"… These shoot green zones were used to determine the maximum quantum yield of photosystem II (F v /F m ). The latter measurement was determined as described in CitationGenty et al. (…","","https://scholar.google.com/scholar?q=related:hJBqdRgh1JQJ:scholar.google.com/&scioq=syntrichia+%22quantum+yield%22&hl=en&as_sdt=2007"
20,"LR Stark, JC Brinda, JL Greenwood","Propagula and shoots of Syntrichia pagorum (Pottiaceae) exhibit different ecological strategies of desiccation tolerance",2016,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-119/issue-2/0007-2745-119.2.181/Propagula-and-shoots-of---Syntrichia-pagorum-Pottiaceae-exhibit/10.1639/0007-2745-119.2.181.short","https://scholar.google.com/scholar?cites=10750699718308531633&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-15 10:15:26","","10.1639/0007-2745-119.2.181.short","","",,,,,20,2.50,7,3,8,"… 1A) to determine the maximum quantum yield of photosystem II (Fv/Fm). The latter measurement was determined as described in Genty et al. (1989); shoots were dark-adapted for 1 h …","https://www.jstor.org/stable/pdf/44249231.pdf","https://scholar.google.com/scholar?q=related:sQ2sJG8oMpUJ:scholar.google.com/&scioq=syntrichia+%22quantum+yield%22&hl=en&as_sdt=2007"
35,"Y Zhang, X Zhou, B Yin, A Downing","Sensitivity of the xerophytic moss Syntrichia caninervis to prolonged simulated nitrogen deposition",2016,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/117/7/1153/2195927","https://scholar.google.com/scholar?cites=7532729263316376173&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-15 10:15:26","","","","",,,,,35,4.38,9,4,8,"… Actual photochemical efficiency [Y(II)] and maximum quantum yield (Fv/Fm) of Syntrichia caninervis in response to different levels of N addition (mean ± se, n = 4). Different letters above …","https://academic.oup.com/aob/article/117/7/1153/2195927","https://scholar.google.com/scholar?q=related:bZop2VqhiWgJ:scholar.google.com/&scioq=syntrichia+%22quantum+yield%22&hl=en&as_sdt=2007"
